Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,145.43,149.46,145.0,148.74,1107900,0,0
2019-02-06,148.03,149.77,144.04,145.16,798700,0,0
2019-02-07,144.31,145.77,142.2,143.96,732200,0,0
2019-02-08,142.76,146.71,142.75,145.53,715400,0,0
2019-02-11,147.66,153.32,147.29,151.23,1658200,0,0
2019-02-12,153.32,155.85,150.06,152.73,1517700,0,0
2019-02-13,152.52,153.65,145.09,149.05,1616300,0,0
2019-02-14,148.3,149.63,146.91,147.83,739900,0,0
2019-02-15,149.91,150.25,147.34,148.49,956000,0,0
2019-02-19,149.06,150.19,147.35,147.9,988800,0,0
2019-02-20,147.09,148.18,144.43,145.54,1289100,0,0
2019-02-21,145.54,147.5,143.9,146.25,1267400,0,0
2019-02-22,153.69,156.16,135.22,136.86,3713400,0,0
2019-02-25,137.95,141.47,137.95,140.9,1990100,0,0
2019-02-26,140.3,140.68,136.69,139.59,1105000,0,0
2019-02-27,140.1,143.77,139.52,140.09,1393900,0,0
2019-02-28,140.02,142.64,139.19,139.33,1182000,0,0
2019-03-01,140.52,144.04,138.1,143.49,1600400,0,0
2019-03-04,143.89,144.9,138.05,141.5,1471600,0,0
2019-03-05,141.63,149.83,139.0,146.97,1357500,0,0
2019-03-06,146.96,148.07,142.45,143.41,1306600,0,0
2019-03-07,143.58,145.97,140.7,143.07,645500,0,0
2019-03-08,141.56,143.41,139.6,143.24,741000,0,0
2019-03-11,143.0,145.05,141.93,144.09,951900,0,0
2019-03-12,143.93,144.67,140.35,143.79,1457800,0,0
2019-03-13,142.24,150.15,141.51,147.46,1678000,0,0
2019-03-14,147.22,147.53,144.48,146.85,1349500,0,0
2019-03-15,146.95,152.28,146.0,151.0,3072500,0,0
2019-03-18,152.02,154.88,145.51,146.15,1503800,0,0
2019-03-19,146.22,147.62,144.5,146.94,1492000,0,0
2019-03-20,147.0,148.08,145.11,146.16,858700,0,0
2019-03-21,145.5,147.58,140.32,142.16,1880800,0,0
2019-03-22,140.68,140.95,127.9,129.03,3946300,0,0
2019-03-25,128.0,128.24,121.5,124.08,2243700,0,0
2019-03-26,124.71,125.6,120.14,120.95,1741600,0,0
2019-03-27,120.66,120.92,114.77,115.54,2464400,0,0
2019-03-28,115.3,119.89,112.64,118.38,1700500,0,0
2019-03-29,119.0,119.89,117.12,119.1,1055900,0,0
2019-04-01,119.95,120.99,114.0,115.17,1921500,0,0
2019-04-02,115.35,117.71,113.51,116.98,1697600,0,0
2019-04-03,117.85,118.79,114.92,117.69,1897400,0,0
2019-04-04,118.45,119.14,116.11,117.16,837000,0,0
2019-04-05,117.81,118.55,116.3,116.92,978200,0,0
2019-04-08,117.15,117.71,113.56,114.95,1127200,0,0
2019-04-09,114.2,116.16,114.0,115.22,759100,0,0
