Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,116.9,118.25,116.6,117.51,209900,0,0
2019-02-06,117.4,117.73,116.21,116.85,228000,0,0
2019-02-07,116.68,117.12,115.0,115.33,478900,0,0
2019-02-08,118.6,129.33,115.36,126.57,1877500,0,0
2019-02-11,127.91,134.0,127.29,129.13,1208600,0,0
2019-02-12,129.33,131.55,128.14,128.76,712600,0,0
2019-02-13,129.29,130.15,128.6,129.29,515000,0,0
2019-02-14,129.16,130.88,128.17,129.37,366800,0,0
2019-02-15,130.27,130.85,128.65,128.98,517000,0,0
2019-02-19,128.54,130.19,128.08,129.76,339200,0,0
2019-02-20,129.7,132.29,129.33,131.6,404000,0,0
2019-02-21,131.59,132.38,130.67,131.3,214100,0,0
2019-02-22,131.9,134.52,131.83,133.99,285500,0,0
2019-02-25,134.99,135.0,132.51,133.2,251000,0,0
2019-02-26,132.68,134.27,131.32,133.01,264100,0,0
2019-02-27,133.06,134.94,132.71,134.63,243600,0,0
2019-02-28,134.65,135.07,133.53,134.32,296300,0,0
2019-03-01,135.42,135.88,132.76,135.37,492900,0,0
2019-03-04,136.17,137.77,135.05,136.97,493900,0,0
2019-03-05,137.07,137.5,135.79,137.14,310500,0,0
2019-03-06,137.53,137.98,135.78,137.13,257100,0,0
2019-03-07,136.69,137.56,135.38,136.46,248900,0,0
2019-03-08,135.27,136.52,134.6,135.55,277200,0,0
2019-03-11,135.88,138.53,134.9,137.9,521900,0,0
2019-03-12,138.0,139.27,137.0,138.31,344900,0,0
2019-03-13,138.29,139.58,137.7,138.77,618300,0,0
2019-03-14,139.59,143.17,139.28,140.47,2076700,0,0
2019-03-15,140.5,141.3,137.76,138.15,662000,0,0
2019-03-18,138.49,139.87,138.08,139.73,427900,0,0
2019-03-19,140.66,142.99,139.25,140.45,783900,0,0
2019-03-20,139.58,139.92,135.65,137.82,716000,0,0
2019-03-21,138.33,143.0,138.33,142.02,710500,0,0
2019-03-22,142.04,143.45,138.24,138.78,546400,0,0
2019-03-25,138.29,139.09,136.38,137.3,409900,0,0
2019-03-26,138.37,139.89,137.39,139.38,479000,0,0
2019-03-27,139.46,140.98,138.52,139.51,335300,0,0
2019-03-28,141.75,142.6,139.35,139.98,482200,0,0
2019-03-29,140.95,142.9,140.2,142.59,500000,0,0
2019-04-01,143.8,145.91,143.24,144.95,554500,0,0
2019-04-02,145.33,147.43,141.0,141.33,810200,0,0
2019-04-03,142.22,144.22,141.11,141.98,963300,0,0
2019-04-04,141.69,143.2,139.02,141.03,654700,0,0
2019-04-05,142.35,143.84,141.02,142.75,533400,0,0
2019-04-08,142.2,143.63,140.9,143.51,413900,0,0
2019-04-09,142.79,144.78,141.2,143.82,497800,0,0
