Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,66.82,67.55,66.54,66.62,396200,0.0,0
2019-02-06,66.55,67.24,66.19,66.9,504600,0.0,0
2019-02-07,66.5,67.41,65.6,67.21,547500,0.0,0
2019-02-08,66.33,67.23,62.56,63.97,1090800,0.0,0
2019-02-11,63.9,65.19,63.5,64.16,899000,0.0,0
2019-02-12,64.63,64.65,63.66,64.55,812300,0.0,0
2019-02-13,64.61,65.25,64.08,64.7,817600,0.0,0
2019-02-14,64.43,65.43,64.12,65.06,884100,0.0,0
2019-02-15,65.59,66.44,65.04,66.02,442000,0.0,0
2019-02-19,65.68,65.89,64.68,65.19,1020200,0.0,0
2019-02-20,64.87,65.03,63.9,64.0,830200,0.0,0
2019-02-21,64.23,64.63,63.75,64.25,590300,0.0,0
2019-02-22,64.24,65.06,63.72,64.72,488100,0.0,0
2019-02-25,65.01,65.36,64.51,64.67,489500,0.0,0
2019-02-26,64.8,64.8,63.37,63.41,334500,0.0,0
2019-02-27,63.12,63.27,61.73,62.19,469200,0.0,0
2019-02-28,62.14,63.12,61.52,62.04,615400,0.0,0
2019-03-01,62.3,62.75,61.48,62.66,577000,0.0,0
2019-03-04,62.7,62.7,60.21,61.0,1012100,0.0,0
2019-03-05,61.12,61.15,60.34,60.72,595700,0.0,0
2019-03-06,60.7,60.86,58.35,58.57,595100,0.0,0
2019-03-07,58.79,58.97,57.63,57.98,823800,0.0,0
2019-03-08,57.72,58.27,57.39,58.02,889600,0.0,0
2019-03-11,58.31,58.61,57.89,58.36,600800,0.0,0
2019-03-12,58.4,58.79,57.97,58.65,498400,0.0,0
2019-03-13,58.98,59.28,58.53,59.02,704900,0.0,0
2019-03-14,58.97,59.51,58.83,58.97,446300,0.0,0
2019-03-15,59.14,59.43,58.56,58.69,826900,0.0,0
2019-03-18,58.61,59.49,57.95,59.14,558000,0.0,0
2019-03-19,59.33,60.44,58.92,59.6,541300,0.0,0
2019-03-20,59.47,59.74,58.62,58.93,1273500,0.0,0
2019-03-21,58.82,60.89,58.82,60.29,735100,0.0,0
2019-03-22,59.91,60.01,59.06,59.19,662500,0.0,0
2019-03-25,59.04,59.04,57.91,58.57,459400,0.0,0
2019-03-26,58.88,59.1,57.84,58.27,525700,0.0,0
2019-03-27,58.03,58.47,56.69,57.44,544300,0.0,0
2019-03-28,57.57,57.92,57.18,57.57,482100,0.0,0
2019-03-29,57.97,57.97,57.32,57.65,603200,0.27,0
2019-04-01,58.13,58.3,57.24,57.67,890900,0.0,0
2019-04-02,57.58,57.76,57.04,57.58,704600,0.0,0
2019-04-03,58.05,58.81,57.73,57.92,1942400,0.0,0
2019-04-04,58.03,59.21,57.83,58.96,828200,0.0,0
2019-04-05,59.03,59.89,58.98,59.65,818300,0.0,0
2019-04-08,59.63,59.99,59.46,59.56,1373700,0.0,0
2019-04-09,59.36,60.25,59.28,59.95,682600,0.0,0
2019-04-10,59.81,60.36,59.81,60.26,754400,0.0,0
2019-04-11,60.39,60.76,59.9,60.33,1496800,0.0,0
2019-04-12,60.41,60.86,59.82,60.28,785600,0.0,0
2019-04-15,60.2,60.81,60.2,60.58,1129800,0.0,0
2019-04-16,61.12,61.12,57.81,58.13,1380700,0.0,0
2019-04-17,58.13,58.38,56.01,56.97,1708900,0.0,0
2019-04-18,57.37,61.2,57.13,60.48,2235300,0.0,0
2019-04-22,60.16,60.48,57.66,58.72,1661200,0.0,0
2019-04-23,58.74,61.2,58.59,61.17,984800,0.0,0
2019-04-24,61.1,62.05,61.1,61.43,809700,0.0,0
2019-04-25,61.12,62.46,60.79,61.84,1123800,0.0,0
2019-04-26,62.72,65.26,61.78,64.71,2175900,0.0,0
2019-04-29,64.44,64.66,63.13,63.72,1413400,0.0,0
2019-04-30,64.21,64.21,62.34,63.62,1046000,0.0,0
2019-05-01,63.68,64.1,62.05,62.16,1128700,0.0,0
2019-05-02,62.2,62.71,61.83,62.51,1012900,0.0,0
2019-05-03,62.79,63.77,62.46,63.65,940200,0.0,0
2019-05-06,62.83,64.18,62.83,64.09,1069900,0.0,0
2019-05-07,63.63,64.09,62.9,63.28,611500,0.0,0
2019-05-08,63.35,63.52,61.96,62.32,1172500,0.0,0
2019-05-09,61.65,61.85,60.68,61.36,948300,0.0,0
2019-05-10,61.46,61.79,59.95,61.54,573600,0.0,0
