Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,147.52,155.45,146.95,150.51,10521300,0.0,0
2019-02-06,148.33,150.68,145.54,148.76,3705000,0.0,0
2019-02-07,147.52,151.41,146.16,150.8,2775700,0.0,0
2019-02-08,150.8,153.18,150.01,153.18,2478200,0.0,0
2019-02-11,152.85,152.85,151.24,152.17,1757900,0.0,0
2019-02-12,153.29,153.41,151.36,151.4,1752600,0.0,0
2019-02-13,151.48,153.7,150.16,153.65,1594900,0.0,0
2019-02-14,152.57,153.23,151.59,151.86,1538600,0.0,0
2019-02-15,152.99,153.74,152.17,153.47,1509100,0.0,0
2019-02-19,152.79,154.31,150.86,153.86,1514500,0.0,0
2019-02-20,154.45,155.79,154.01,155.12,1740900,0.0,0
2019-02-21,154.59,155.44,154.08,154.98,1405600,0.0,0
2019-02-22,154.98,157.49,153.94,157.4,1336500,0.0,0
2019-02-25,157.79,157.79,155.49,155.7,1647100,0.0,0
2019-02-26,155.31,156.63,154.3,154.89,1966600,0.0,0
2019-02-27,154.37,156.32,153.26,155.92,1319400,0.43,0
2019-02-28,155.96,157.62,154.97,155.81,1270200,0.0,0
2019-03-01,157.08,158.07,154.97,155.79,1158100,0.0,0
2019-03-04,156.7,157.42,153.27,155.17,2100000,0.0,0
2019-03-05,155.73,157.36,154.85,154.86,1480700,0.0,0
2019-03-06,154.55,154.87,151.89,152.77,1971200,0.0,0
2019-03-07,156.44,156.62,153.05,154.28,2405200,0.0,0
2019-03-08,154.11,155.61,153.18,154.92,1852500,0.0,0
2019-03-11,154.88,156.88,154.39,156.38,1852500,0.0,0
2019-03-12,157.06,158.85,156.69,158.08,2007200,0.0,0
2019-03-13,158.85,159.67,157.83,158.29,1172800,0.0,0
2019-03-14,157.89,158.93,156.88,158.84,1108100,0.0,0
2019-03-15,159.45,162.21,159.12,161.57,2133500,0.0,0
2019-03-18,161.28,162.2,160.36,161.93,1055300,0.0,0
2019-03-19,162.31,162.61,159.33,159.55,1406300,0.0,0
2019-03-20,159.67,159.88,157.15,158.54,1715800,0.0,0
2019-03-21,158.17,160.85,157.42,160.63,975200,0.0,0
2019-03-22,160.23,161.36,158.31,158.35,1033800,0.0,0
2019-03-25,157.89,159.13,157.44,158.83,1160100,0.0,0
2019-03-26,159.88,161.69,159.27,160.65,712100,0.0,0
2019-03-27,160.69,162.11,160.33,161.73,1220300,0.0,0
2019-03-28,162.1,164.14,162.1,163.24,944700,0.0,0
2019-03-29,163.56,164.57,163.04,164.36,1062100,0.0,0
2019-04-01,164.59,165.72,162.94,163.59,1080600,0.0,0
2019-04-02,163.05,163.52,161.3,162.05,805400,0.0,0
2019-04-03,162.28,163.65,161.84,163.1,897200,0.0,0
2019-04-04,163.64,163.81,161.43,161.9,852800,0.0,0
2019-04-05,162.29,162.8,161.74,162.33,733900,0.0,0
2019-04-08,162.5,163.75,161.87,163.64,1091000,0.0,0
2019-04-09,163.22,163.59,162.11,162.67,1062400,0.0,0
2019-04-10,163.43,165.63,162.76,165.32,977000,0.0,0
2019-04-11,166.48,167.11,165.53,166.83,1601200,0.0,0
2019-04-12,167.34,168.25,165.98,166.32,1215600,0.0,0
2019-04-15,166.11,166.93,164.95,165.9,1077300,0.0,0
2019-04-16,166.8,168.78,166.16,168.62,1332800,0.0,0
2019-04-17,169.49,169.57,166.92,168.31,1425300,0.0,0
2019-04-18,168.62,170.16,168.26,169.11,1131500,0.0,0
2019-04-22,168.8,169.49,167.06,168.7,978800,0.0,0
2019-04-23,168.55,170.57,168.41,169.88,1122000,0.0,0
2019-04-24,169.61,170.3,168.33,169.2,730200,0.0,0
2019-04-25,169.48,169.7,168.16,169.17,738600,0.0,0
2019-04-26,169.76,171.52,169.24,171.26,819900,0.0,0
2019-04-29,171.09,171.97,170.02,171.22,1301200,0.0,0
2019-04-30,171.41,171.72,169.95,170.58,1797600,0.0,0
2019-05-01,178.7,178.91,168.61,169.08,3354900,0.0,0
2019-05-02,167.59,169.24,165.49,169.03,2323900,0.0,0
2019-05-03,169.8,173.38,168.53,173.18,1314400,0.0,0
2019-05-06,169.59,171.38,167.79,168.83,2166200,0.0,0
2019-05-07,167.6,167.87,164.28,166.09,2514000,0.0,0
2019-05-08,165.92,167.59,165.05,165.55,2149500,0.0,0
2019-05-09,164.81,164.81,161.74,164.14,1896500,0.0,0
2019-05-10,163.32,164.45,160.32,163.17,2617700,0.0,0
2019-05-13,160.34,164.06,159.67,163.91,2437600,0.0,0
2019-05-14,164.36,166.48,164.07,165.8,1850400,0.0,0
2019-05-15,165.6,168.95,165.35,168.75,1353000,0.0,0
2019-05-16,168.78,171.75,166.98,169.47,1714500,0.0,0
2019-05-17,167.62,170.61,166.38,166.42,1769800,0.0,0
2019-05-20,165.89,167.23,164.44,166.18,1428500,0.0,0
2019-05-21,167.33,167.95,166.06,166.93,1194400,0.0,0
2019-05-22,167.22,167.79,166.05,166.37,1155100,0.0,0
2019-05-23,164.97,165.68,162.11,164.34,1480400,0.0,0
2019-05-24,165.48,165.7,163.16,163.97,1290300,0.0,0
2019-05-28,163.76,168.59,163.76,165.42,1776200,0.0,0
2019-05-29,164.96,164.96,160.41,162.87,1529500,0.0,0
2019-05-30,163.66,165.34,163.29,164.85,1132900,0.43,0
2019-05-31,164.24,164.24,160.19,160.29,1401100,0.0,0
2019-06-03,160.67,164.2,160.46,163.4,1826300,0.0,0
2019-06-04,164.93,168.48,164.57,168.47,1588200,0.0,0
2019-06-05,168.48,169.21,166.91,169.21,1083200,0.0,0
2019-06-06,169.22,173.56,168.94,173.13,1582800,0.0,0
2019-06-07,173.91,176.54,173.91,176.05,1083000,0.0,0
2019-06-10,176.33,177.76,175.32,177.21,990700,0.0,0
2019-06-11,177.69,178.11,175.94,176.68,1191700,0.0,0
2019-06-12,177.54,178.28,174.86,176.36,1237500,0.0,0
2019-06-13,177.45,177.82,175.83,177.14,1293000,0.0,0
2019-06-14,177.03,177.22,175.46,176.07,1300400,0.0,0
2019-06-17,176.47,177.56,175.26,176.81,1039700,0.0,0
2019-06-18,179.13,179.15,177.45,178.32,1541900,0.0,0
2019-06-19,177.8,179.59,176.48,179.0,1266300,0.0,0
2019-06-20,180.67,182.77,179.95,182.12,1356300,0.0,0
2019-06-21,182.1,182.45,180.09,180.48,1900200,0.0,0
2019-06-24,181.72,183.25,181.02,183.07,1096500,0.0,0
2019-06-25,183.07,183.64,181.53,183.11,1257800,0.0,0
2019-06-26,182.84,183.86,180.91,181.67,933600,0.0,0
2019-06-27,182.66,183.15,181.2,181.22,1386200,0.0,0
2019-06-28,181.76,182.6,181.42,182.27,1235800,0.0,0
2019-07-01,184.03,185.06,180.1,181.4,2152500,0.0,0
2019-07-02,181.68,184.74,181.62,183.16,1228300,0.0,0
2019-07-03,183.37,186.03,182.18,185.18,650000,0.0,0
2019-07-05,185.05,185.14,182.43,184.5,819700,0.0,0
2019-07-08,184.03,184.78,183.72,184.4,671000,0.0,0
2019-07-09,183.73,183.85,182.48,183.06,938800,0.0,0
2019-07-10,183.53,184.94,182.77,183.45,922700,0.0,0
2019-07-11,183.68,186.19,182.92,185.23,1283100,0.0,0
2019-07-12,185.37,187.73,184.97,185.96,875500,0.0,0
2019-07-15,186.54,187.99,185.95,186.43,938700,0.0,0
2019-07-16,187.23,188.97,186.34,188.25,1269900,0.0,0
2019-07-17,188.06,190.27,187.97,188.86,1013200,0.0,0
2019-07-18,188.69,189.97,187.93,189.37,764800,0.0,0
2019-07-19,191.69,192.09,189.45,189.96,1241000,0.0,0
2019-07-22,190.38,190.9,187.45,187.78,949800,0.0,0
2019-07-23,188.53,188.96,187.14,188.61,723500,0.0,0
2019-07-24,188.15,188.8,187.2,188.58,1196600,0.0,0
2019-07-25,187.51,188.97,186.6,188.67,785500,0.0,0
2019-07-26,189.32,190.06,187.51,190.0,686100,0.0,0
2019-07-29,190.4,191.54,189.23,191.18,918500,0.0,0
2019-07-30,191.79,193.85,187.57,188.12,1487500,0.0,0
2019-07-31,187.66,187.88,181.27,183.35,1925700,0.0,0
2019-08-01,183.65,186.28,181.62,181.92,1740800,0.0,0
2019-08-02,181.17,183.45,180.3,181.37,1216400,0.0,0
2019-08-05,179.04,179.04,172.43,173.76,1983800,0.0,0
2019-08-06,175.19,179.33,175.01,178.74,2354700,0.0,0
2019-08-07,177.39,182.25,176.15,181.75,1852000,0.0,0
2019-08-08,182.39,186.59,181.9,185.58,1310600,0.0,0
