Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,79.51,80.07,78.67,78.97,1548600,0.0,0
2019-02-06,77.92,78.79,77.54,78.26,1274500,0.0,0
2019-02-07,77.9,78.01,75.39,76.3,1215600,0.0,0
2019-02-08,75.81,76.87,75.01,76.56,1051400,0.0,0
2019-02-11,76.7,76.92,76.09,76.81,932700,0.0,0
2019-02-12,77.58,79.09,77.58,78.73,1135700,0.0,0
2019-02-13,79.48,79.56,78.2,78.56,1347300,0.0,0
2019-02-14,78.16,79.47,78.03,79.14,1269800,0.0,0
2019-02-15,80.03,80.45,79.47,80.06,1053500,0.0,0
2019-02-19,79.29,80.79,78.97,80.21,1108700,0.0,0
2019-02-20,80.22,82.39,80.05,81.88,1017500,0.0,0
2019-02-21,82.01,82.39,80.67,81.0,808400,0.0,0
2019-02-22,81.41,82.31,81.15,81.74,966700,0.0,0
2019-02-25,82.03,82.43,81.23,81.77,581500,0.0,0
2019-02-26,81.68,82.0,81.08,81.1,516600,0.0,0
2019-02-27,81.04,81.55,80.37,81.11,654000,0.0,0
2019-02-28,81.02,81.02,79.4,80.04,1263600,0.0,0
2019-03-01,80.67,81.75,80.03,80.54,825100,0.0,0
2019-03-04,80.65,81.06,79.02,80.43,919800,0.0,0
2019-03-05,80.29,80.41,79.18,79.88,964200,0.0,0
2019-03-06,79.76,80.72,79.26,80.03,1060200,0.0,0
2019-03-07,79.61,79.76,76.11,77.35,1489600,0.0,0
2019-03-08,76.59,77.13,75.85,76.45,1154800,0.0,0
2019-03-11,76.93,78.39,76.82,78.14,790700,0.0,0
2019-03-12,78.6,79.4,78.44,78.59,969500,0.0,0
2019-03-13,79.02,80.05,78.56,79.23,985400,0.0,0
2019-03-14,79.08,79.19,77.23,77.66,1205400,0.62,0
2019-03-15,77.48,78.27,76.48,76.7,2491300,0.0,0
2019-03-18,76.75,76.75,74.38,76.52,1493500,0.0,0
2019-03-19,77.33,77.96,76.25,76.58,1179500,0.0,0
2019-03-20,76.53,77.26,75.85,76.7,1035800,0.0,0
2019-03-21,76.48,77.91,76.48,77.06,1190200,0.0,0
2019-03-22,76.39,76.39,73.2,73.28,1513800,0.0,0
2019-03-25,73.18,73.62,72.2,72.45,1271000,0.0,0
2019-03-26,73.16,73.76,72.47,73.05,939700,0.0,0
2019-03-27,73.07,73.63,72.38,73.22,1267900,0.0,0
2019-03-28,73.34,74.15,73.24,74.03,775200,0.0,0
2019-03-29,74.25,74.67,73.5,74.01,1760600,0.0,0
2019-04-01,74.75,76.7,74.57,76.58,1115900,0.0,0
