Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,47.73,48.04,44.52,45.87,1832700,0.0,0
2019-02-06,45.47,45.88,44.38,45.85,1332900,0.0,0
2019-02-07,45.21,45.46,43.64,43.98,1347000,0.0,0
2019-02-08,43.68,45.16,43.68,45.12,932100,0.0,0
2019-02-11,45.08,45.51,44.24,44.78,912200,0.0,0
2019-02-12,45.36,45.36,43.0,43.69,1991600,0.0,0
2019-02-13,43.87,44.89,43.6,44.6,883100,0.0,0
2019-02-14,44.08,44.75,43.75,44.32,513300,0.0,0
2019-02-15,44.59,44.74,44.05,44.4,625100,0.0,0
2019-02-19,44.34,45.12,43.9,44.89,1861800,0.0,0
2019-02-20,45.03,45.15,44.58,44.74,759500,0.0,0
2019-02-21,44.91,45.12,44.31,44.88,655500,0.0,0
2019-02-22,44.97,45.58,44.77,45.09,427900,0.3,0
2019-02-25,45.21,45.63,44.95,45.47,577400,0.0,0
2019-02-26,45.57,46.01,45.52,45.63,550100,0.0,0
2019-02-27,45.42,45.86,45.19,45.69,494500,0.0,0
2019-02-28,45.69,45.86,44.88,44.94,642500,0.0,0
2019-03-01,45.28,46.41,45.28,46.33,561300,0.0,0
2019-03-04,46.54,46.54,44.96,45.6,646700,0.0,0
2019-03-05,45.59,45.98,45.43,45.5,467200,0.0,0
2019-03-06,45.47,45.7,44.41,44.52,638300,0.0,0
2019-03-07,44.47,44.91,43.34,43.44,930100,0.0,0
2019-03-08,43.48,44.33,43.18,44.25,672000,0.0,0
2019-03-11,44.29,44.54,44.01,44.3,613900,0.0,0
2019-03-12,44.28,45.34,44.28,45.14,479100,0.0,0
2019-03-13,45.26,45.28,44.85,44.95,376400,0.0,0
2019-03-14,44.91,45.3,44.9,45.05,395400,0.0,0
2019-03-15,45.1,45.6,45.02,45.4,793700,0.0,0
2019-03-18,45.21,45.59,44.98,45.56,441600,0.0,0
2019-03-19,45.67,45.77,45.05,45.29,742300,0.0,0
2019-03-20,45.23,45.23,43.8,44.29,871900,0.0,0
2019-03-21,44.26,45.32,44.09,45.2,503200,0.0,0
2019-03-22,44.89,45.16,43.79,44.17,442200,0.0,0
2019-03-25,43.8,44.29,42.87,43.62,550600,0.0,0
2019-03-26,43.75,44.31,43.63,44.01,601400,0.0,0
2019-03-27,44.08,44.09,43.61,43.88,406300,0.0,0
2019-03-28,43.96,44.57,43.62,44.04,555500,0.0,0
