Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,97.97,98.38,96.62,97.1,1978000,0.0,0
2019-02-06,96.25,96.37,94.84,94.95,2723700,0.0,0
2019-02-07,94.24,94.55,90.56,91.8,3459000,0.0,0
2019-02-08,91.49,92.08,88.79,91.32,3073000,0.0,0
2019-02-11,90.46,93.15,90.44,93.01,2625700,0.0,0
2019-02-12,94.56,95.88,93.99,94.41,3072400,0.0,0
2019-02-13,94.92,96.54,94.52,95.52,3469200,0.0,0
2019-02-14,95.1,96.58,95.02,95.72,2654700,0.0,0
2019-02-15,96.97,98.98,96.66,98.97,3038600,0.0,0
2019-02-19,97.74,99.0,97.16,98.44,2791500,0.0,0
2019-02-20,98.31,98.54,97.17,97.52,3456300,0.0,0
2019-02-21,97.09,97.41,93.36,94.13,3836800,0.0,0
2019-02-22,95.2,95.88,93.91,94.31,4163500,0.0,0
2019-02-25,93.92,94.49,92.97,93.54,6090800,0.0,0
2019-02-26,93.78,93.96,91.79,92.71,5777600,0.0,0
2019-02-27,94.32,97.15,92.79,93.83,6452100,0.0,0
2019-02-28,94.15,95.0,91.79,92.8,5204700,0.0,0
2019-03-01,93.43,95.77,93.19,95.19,5033900,0.0,0
2019-03-04,95.48,96.39,93.91,95.58,3729100,0.0,0
2019-03-05,95.8,96.06,94.06,94.28,3337000,0.0,0
2019-03-06,93.71,93.77,90.39,90.77,5079200,0.0,0
2019-03-07,90.9,90.95,89.43,90.19,3731300,0.0,0
2019-03-08,88.18,88.56,85.09,85.34,6761000,0.0,0
2019-03-11,85.66,86.75,85.04,85.16,7699100,0.0,0
2019-03-12,85.82,86.52,85.37,85.87,8308900,0.0,0
2019-03-13,86.88,87.54,85.66,87.44,6656000,0.0,0
2019-03-14,87.49,88.9,87.21,88.55,4338900,0.0,0
2019-03-15,87.97,89.21,86.88,87.72,8939900,0.0,0
2019-03-18,87.89,91.01,87.69,90.75,4197000,0.0,0
2019-03-19,91.64,91.94,91.16,91.7,7035400,0.0,0
2019-03-20,91.86,95.38,91.64,94.67,7928500,0.0,0
2019-03-21,94.6,95.99,93.19,95.64,5389100,0.0,0
2019-03-22,94.53,94.73,91.6,92.49,7873000,0.0,0
2019-03-25,92.36,92.93,90.81,91.6,2940500,0.0,0
2019-03-26,93.25,94.77,93.07,93.56,2393700,0.0,0
2019-03-27,93.12,94.23,92.45,93.38,2761700,0.0,0
2019-03-28,92.61,94.25,92.53,94.03,2768000,0.0,0
2019-03-29,95.15,95.35,93.64,93.97,2785600,0.0,0
2019-04-01,94.96,95.91,94.36,95.7,2633900,0.0,0
2019-04-02,95.84,96.52,94.79,94.83,2260100,0.0,0
2019-04-03,95.42,95.42,92.58,92.73,4351500,0.0,0
2019-04-04,92.86,93.3,91.74,92.48,5782700,0.0,0
2019-04-05,93.25,97.5,92.74,97.37,4505400,0.0,0
2019-04-08,97.86,99.7,97.71,98.21,4985900,0.0,0
2019-04-09,97.53,98.32,96.15,97.31,4005700,0.0,0
2019-04-10,98.07,98.77,97.15,97.47,3066200,0.0,0
2019-04-11,97.13,98.49,96.42,97.47,2640900,0.0,0
2019-04-12,100.79,105.12,100.55,103.97,7145100,0.0,0
2019-04-15,103.31,103.6,100.36,101.03,6091000,0.22,0
2019-04-16,100.77,101.72,99.9,101.26,2990100,0.0,0
2019-04-17,102.09,103.33,100.35,100.75,2445500,0.0,0
2019-04-18,100.86,103.18,100.44,102.76,3307000,0.0,0
2019-04-22,104.13,106.15,103.52,105.93,3886000,0.0,0
2019-04-23,105.83,106.74,104.24,105.46,4242000,0.0,0
2019-04-24,106.35,106.43,102.72,102.83,3599200,0.0,0
2019-04-25,102.87,103.02,100.93,100.99,4090800,0.0,0
2019-04-26,100.39,101.05,96.04,96.83,4380400,0.0,0
2019-04-29,96.95,97.41,95.67,95.96,3512000,0.0,0
2019-04-30,96.94,97.33,93.96,95.02,3804600,0.0,0
2019-05-01,94.82,95.47,90.88,90.91,5186600,0.0,0
2019-05-02,90.16,91.17,88.12,88.22,5145900,0.0,0
2019-05-03,90.77,92.62,88.77,89.93,6354600,0.0,0
2019-05-06,88.94,90.89,88.58,90.27,3705900,0.0,0
2019-05-07,89.19,90.91,88.74,90.8,4170900,0.0,0
2019-05-08,90.69,93.65,90.54,93.03,3925400,0.0,0
2019-05-09,91.69,94.11,91.08,93.23,3395100,0.0,0
2019-05-10,93.35,94.23,91.51,93.99,2425700,0.0,0
2019-05-13,92.94,94.28,92.21,92.5,4184500,0.0,0
2019-05-14,92.92,94.31,92.92,93.33,2482500,0.0,0
