Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,144.29,146.43,144.29,145.25,422000,0,0
2019-02-06,145.07,146.54,143.32,146.31,314100,0,0
2019-02-07,144.56,145.48,143.01,144.4,331100,0,0
2019-02-08,143.19,147.01,143.19,146.41,231200,0,0
2019-02-11,147.37,150.42,147.01,149.21,313100,0,0
2019-02-12,150.0,150.0,146.76,148.19,321900,0,0
2019-02-13,148.19,150.11,148.17,149.58,299100,0,0
2019-02-14,150.55,158.79,148.21,154.09,1410400,0,0
2019-02-15,154.08,154.93,150.97,154.69,539100,0,0
2019-02-19,154.44,156.5,154.44,155.76,237800,0,0
2019-02-20,155.76,156.54,154.6,155.89,257500,0,0
2019-02-21,155.37,156.73,154.93,156.0,152900,0,0
2019-02-22,156.45,158.95,156.45,158.61,246900,0,0
2019-02-25,159.75,160.73,158.86,159.48,169700,0,0
2019-02-26,158.93,160.43,157.98,159.68,317300,0,0
2019-02-27,159.5,160.42,158.2,159.87,161100,0,0
2019-02-28,159.56,163.71,159.56,161.78,314100,0,0
2019-03-01,162.69,164.7,161.95,163.55,269000,0,0
2019-03-04,164.14,164.59,158.88,162.5,424900,0,0
2019-03-05,162.5,163.36,161.19,161.68,267400,0,0
2019-03-06,161.0,161.85,160.2,160.69,185800,0,0
2019-03-07,160.0,161.01,157.57,159.42,236300,0,0
2019-03-08,158.01,161.39,155.3,161.08,286600,0,0
2019-03-11,161.85,164.35,161.85,163.57,243000,0,0
2019-03-12,164.13,166.65,164.02,165.55,210900,0,0
2019-03-13,166.54,167.26,166.07,166.48,262300,0,0
2019-03-14,166.5,168.19,165.86,168.0,210300,0,0
2019-03-15,168.97,169.69,167.86,169.47,212600,0,0
2019-03-18,169.23,169.9,164.87,169.05,383300,0,0
2019-03-19,169.92,170.38,168.13,169.82,272700,0,0
2019-03-20,169.55,170.4,167.19,168.36,188500,0,0
2019-03-21,167.74,173.71,167.54,173.13,130600,0,0
2019-03-22,172.08,172.9,163.95,164.26,463400,0,0
2019-03-25,163.97,167.98,162.78,167.12,291200,0,0
2019-03-26,168.21,170.4,167.37,170.16,324500,0,0
2019-03-27,169.99,170.84,164.32,164.95,333900,0,0
2019-03-28,165.5,168.43,165.32,168.0,231100,0,0
