Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,70.28,70.93,69.79,70.88,1334100,0.0,0
2019-02-06,70.75,70.94,70.39,70.93,1192300,0.0,0
2019-02-07,70.79,71.54,70.4,71.45,1470000,0.0,0
2019-02-08,71.21,71.75,71.08,71.36,1695300,0.0,0
2019-02-11,71.4,71.76,71.11,71.38,1587600,0.0,0
2019-02-12,71.32,71.32,70.31,70.48,2018300,0.0,0
2019-02-13,70.23,71.29,70.08,71.21,1246800,0.0,0
2019-02-14,71.28,71.39,70.76,71.05,1037100,0.0,0
2019-02-15,71.63,71.65,70.9,71.13,1968900,0.0,0
2019-02-19,71.0,71.49,70.97,71.44,1393500,0.0,0
2019-02-20,71.34,71.37,69.83,70.62,1888900,0.0,0
2019-02-21,70.23,71.8,70.02,71.76,1487600,0.0,0
2019-02-22,71.9,72.32,71.47,72.12,1395400,0.0,0
2019-02-25,72.26,72.35,71.32,71.41,1292000,0.0,0
2019-02-26,71.64,71.8,71.15,71.63,1004800,0.0,0
2019-02-27,71.19,71.55,70.8,71.25,1123100,0.0,0
2019-02-28,71.16,72.56,70.99,71.6,2830700,0.0,0
2019-03-01,71.56,71.59,70.58,71.41,1374700,0.0,0
2019-03-04,71.63,72.02,71.13,71.88,1805200,0.0,0
2019-03-05,71.82,72.35,71.74,71.83,1278600,0.0,0
2019-03-06,71.91,72.08,71.44,71.46,1065000,0.0,0
2019-03-07,71.57,72.1,71.09,71.35,1422000,0.0,0
2019-03-08,71.37,71.88,71.05,71.55,957100,0.0,0
2019-03-11,71.79,72.43,71.38,72.33,1271000,0.0,0
2019-03-12,72.39,73.04,72.25,72.92,1622300,0.0,0
2019-03-13,73.0,73.5,72.76,72.78,1201500,0.0,0
2019-03-14,72.72,72.93,72.43,72.93,1321400,0.0,0
2019-03-15,72.93,73.12,72.34,72.64,2416000,0.0,0
2019-03-18,72.73,73.0,71.45,71.88,1361700,0.0,0
2019-03-19,71.81,72.05,71.17,71.41,1441900,0.0,0
2019-03-20,71.38,72.04,70.72,71.53,1208700,0.0,0
2019-03-21,71.29,72.79,71.24,72.67,1159500,0.0,0
2019-03-22,72.95,74.12,72.84,72.84,1484800,0.5675,0
2019-03-25,73.01,73.28,72.6,72.91,803900,0.0,0
2019-03-26,73.18,73.61,73.0,73.57,1177200,0.0,0
2019-03-27,73.97,73.97,72.89,73.41,1152600,0.0,0
2019-03-28,73.72,74.08,73.24,74.05,1015800,0.0,0
2019-03-29,73.91,74.11,73.47,73.74,1995900,0.0,0
2019-04-01,73.46,73.74,72.2,73.41,1465200,0.0,0
2019-04-02,73.52,74.29,72.68,74.11,1665400,0.0,0
2019-04-03,73.87,74.16,73.32,73.81,1282900,0.0,0
2019-04-04,73.99,73.99,73.22,73.7,762400,0.0,0
2019-04-05,73.67,74.16,73.46,74.03,761400,0.0,0
2019-04-08,73.92,74.24,73.5,73.98,831600,0.0,0
2019-04-09,74.11,74.21,73.56,73.81,877200,0.0,0
2019-04-10,74.16,74.79,73.84,74.75,1746000,0.0,0
2019-04-11,74.89,75.31,74.63,75.08,1926900,0.0,0
2019-04-12,74.9,75.84,74.33,75.83,1659300,0.0,0
2019-04-15,75.92,76.01,75.34,75.98,1791400,0.0,0
2019-04-16,75.97,75.97,73.76,74.14,1732800,0.0,0
2019-04-17,74.12,74.26,72.49,72.73,2010000,0.0,0
