Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,149.94,151.74,149.1,150.03,33600,0.0,0
2019-02-06,150.2,151.53,149.37,150.54,29600,0.0,0
2019-02-07,150.28,153.58,149.74,153.16,49600,0.0,0
2019-02-08,153.17,156.72,153.17,155.69,39500,0.0,0
2019-02-11,155.98,156.86,154.53,155.22,42200,0.0,0
2019-02-12,155.04,157.12,155.04,156.88,50800,0.0,0
2019-02-13,157.03,160.13,157.03,159.5,39600,0.0,0
2019-02-14,158.9,160.78,158.38,159.16,36400,0.0,0
2019-02-15,159.77,163.07,158.88,162.12,61100,0.0,0
2019-02-19,162.07,164.73,162.06,163.94,47500,0.0,0
2019-02-20,163.95,165.82,163.06,164.5,58300,0.0,0
2019-02-21,164.18,165.71,162.27,164.42,83700,0.0,0
2019-02-22,168.09,174.02,164.58,173.63,63700,0.0,0
2019-02-25,175.49,178.25,174.4,176.7,57800,0.0,0
2019-02-26,176.62,182.73,174.82,181.24,67100,0.0,0
2019-02-27,181.16,181.31,178.61,178.93,53600,0.0,0
2019-02-28,179.0,179.0,171.58,174.8,102600,0.0,0
2019-03-01,176.16,180.35,172.97,179.64,94500,0.0,0
2019-03-04,180.4,181.42,177.33,181.42,54200,0.0,0
2019-03-05,181.45,183.42,177.35,182.37,74700,0.0,0
2019-03-06,181.97,184.42,178.85,180.94,87300,0.0,0
2019-03-07,181.17,181.94,177.0,177.47,80400,0.0,0
2019-03-08,175.9,177.21,173.54,175.58,82200,0.0,0
2019-03-11,176.31,177.19,174.09,176.43,121300,0.0,0
2019-03-12,177.02,177.61,171.27,171.86,123400,0.0,0
2019-03-13,172.8,173.56,170.06,173.06,170000,0.0,0
2019-03-14,173.29,173.42,170.69,172.58,130200,0.0,0
2019-03-15,172.67,174.17,169.76,169.93,579500,0.0,0
2019-03-18,170.28,170.92,168.35,170.91,129400,0.0,0
2019-03-19,171.14,171.14,167.26,168.63,145100,0.0,0
2019-03-20,168.63,171.13,167.53,168.6,96300,0.0,0
2019-03-21,168.72,172.61,168.6,172.4,88800,0.0,0
2019-03-22,171.64,174.06,170.88,172.69,105200,0.0,0
2019-03-25,173.26,173.9,170.27,170.74,85600,0.0,0
2019-03-26,172.81,173.9,171.6,173.15,86100,0.0,0
2019-03-27,173.3,174.47,171.61,173.1,69100,0.0,0
2019-03-28,173.64,174.61,170.67,172.97,58200,0.0,0
2019-03-29,173.83,175.4,172.69,175.1,105800,0.0,0
2019-04-01,175.57,176.45,171.71,176.21,120700,0.0,0
2019-04-02,176.19,176.19,172.72,174.0,102100,0.0,0
2019-04-03,174.44,174.44,172.75,173.16,117000,0.0,0
2019-04-04,172.67,173.1,171.33,172.13,109800,0.0,0
2019-04-05,172.68,172.96,172.08,172.32,107600,0.9,0
2019-04-08,171.9,172.09,167.43,170.84,105400,0.0,0
2019-04-09,170.66,171.95,169.46,170.44,81300,0.0,0
2019-04-10,170.83,172.23,170.83,171.6,81400,0.0,0
2019-04-11,171.63,173.92,171.44,173.34,142600,0.0,0
2019-04-12,173.77,175.53,173.45,175.1,71000,0.0,0
2019-04-15,175.34,176.73,174.13,174.68,65800,0.0,0
2019-04-16,175.34,178.32,175.16,177.85,106500,0.0,0
2019-04-17,178.28,178.41,174.95,176.56,89600,0.0,0
2019-04-18,177.0,178.34,176.45,177.41,78400,0.0,0
2019-04-22,177.42,177.42,172.46,173.8,90900,0.0,0
2019-04-23,173.9,178.82,173.9,178.47,136000,0.0,0
2019-04-24,178.48,179.91,175.15,177.24,123700,0.0,0
2019-04-25,177.43,181.72,176.6,181.27,96900,0.0,0
2019-04-26,181.36,183.2,180.49,181.75,99000,0.0,0
2019-04-29,181.97,186.3,181.72,184.39,106700,0.0,0
2019-04-30,184.4,187.04,183.45,186.65,70300,0.0,0
2019-05-01,186.95,186.95,183.94,185.0,68100,0.0,0
2019-05-02,185.17,188.26,183.93,185.27,177100,0.0,0
2019-05-03,183.95,206.38,183.7,194.67,163100,0.0,0
2019-05-06,193.32,197.65,192.59,196.73,165200,0.0,0
2019-05-07,195.7,196.65,193.66,193.9,82300,0.0,0
2019-05-08,193.4,197.78,192.77,195.29,86600,0.0,0
2019-05-09,194.22,194.65,192.01,193.98,121700,0.0,0
2019-05-10,193.37,196.47,191.91,195.7,92000,0.0,0
2019-05-13,193.65,193.97,190.92,191.99,110700,0.0,0
2019-05-14,192.71,196.08,192.27,193.61,166500,0.0,0
2019-05-15,192.96,199.4,191.13,197.41,227400,0.0,0
2019-05-16,198.34,203.4,197.61,199.39,233900,0.0,0
2019-05-17,198.39,202.99,196.2,201.12,194700,0.0,0
2019-05-20,200.34,203.37,199.83,202.34,160300,0.0,0
2019-05-21,202.63,203.51,200.26,202.28,229500,0.0,0
2019-05-22,202.56,204.61,201.12,203.58,279000,0.0,0
2019-05-23,202.17,205.07,201.15,202.83,292600,0.0,0
2019-05-24,203.72,203.84,196.5,198.18,270600,0.0,0
2019-05-28,197.18,201.84,197.18,199.5,2136900,0.0,0
2019-05-29,197.51,201.8,196.3,201.75,280900,0.0,0
2019-05-30,202.07,206.14,201.96,204.82,409400,0.0,0
2019-05-31,203.98,210.01,201.53,209.67,407100,0.0,0
2019-06-03,209.84,212.4,207.05,211.88,289100,0.0,0
2019-06-04,213.22,216.85,213.22,216.29,250800,0.0,0
2019-06-05,217.65,224.41,217.65,224.11,233000,0.0,0
2019-06-06,224.71,226.75,222.03,226.49,206100,0.0,0
2019-06-07,226.9,230.8,224.35,230.03,150300,0.0,0
2019-06-10,231.9,236.38,230.25,234.93,222500,0.0,0
2019-06-11,235.63,239.18,233.92,236.7,215200,0.0,0
2019-06-12,236.64,245.55,236.55,245.25,376900,0.0,0
