Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,47.12,47.32,46.18,46.71,3961900,0.0,0
2019-02-06,46.51,46.9,46.18,46.5,2250300,0.0,0
2019-02-07,46.19,46.36,45.51,46.2,2106700,0.0,0
2019-02-08,45.9,46.14,45.11,45.5,3569400,0.0,0
2019-02-11,45.51,46.06,45.33,45.94,3179200,0.0,0
2019-02-12,46.39,47.46,46.23,47.02,3012100,0.0,0
2019-02-13,47.27,47.6,46.59,46.83,1993000,0.0,0
2019-02-14,46.44,46.46,45.67,46.12,2434300,0.0,0
2019-02-15,46.54,47.03,46.18,47.01,2632800,0.0,0
2019-02-19,46.7,48.28,46.67,48.19,3484700,0.0,0
2019-02-20,47.35,48.04,47.18,47.98,3896200,0.0,0
2019-02-21,47.99,48.17,47.47,47.77,2895600,0.0,0
2019-02-22,47.88,48.44,47.84,48.43,2830300,0.0,0
2019-02-25,48.63,49.5,48.23,48.29,2439300,0.0,0
2019-02-26,48.05,49.03,47.98,48.67,2408500,0.0,0
2019-02-27,48.49,48.82,48.22,48.81,1717200,0.0,0
2019-02-28,48.89,48.93,48.47,48.53,2340600,0.0,0
2019-03-01,48.91,50.11,48.76,50.04,3945800,0.0,0
2019-03-04,50.27,50.76,48.28,48.61,3644300,0.0,0
2019-03-05,48.69,48.76,47.94,48.64,2497500,0.0,0
2019-03-06,48.78,48.97,47.9,47.98,1875000,0.0,0
2019-03-07,47.75,47.87,46.33,46.78,3293400,0.0,0
2019-03-08,46.18,46.49,45.97,46.42,2717600,0.0,0
2019-03-11,46.59,47.64,46.38,46.91,1571300,0.0,0
2019-03-12,47.07,48.01,46.94,47.6,2264300,0.0,0
2019-03-13,47.78,48.22,47.61,47.92,2232200,0.0,0
2019-03-14,48.05,48.47,47.77,48.44,2097600,0.0,0
2019-03-15,48.42,48.97,48.32,48.56,3353500,0.0,0
2019-03-18,48.84,49.38,48.77,49.12,1223200,0.0,0
2019-03-19,49.49,49.52,48.58,48.71,2019100,0.0,0
2019-03-20,48.6,48.8,46.94,47.01,2636800,0.0,0
2019-03-21,46.78,47.06,45.89,46.16,2921000,0.0,0
2019-03-22,45.67,45.85,44.03,44.59,4064000,0.0,0
2019-03-25,44.62,45.21,44.29,44.66,2460000,0.0,0
2019-03-26,44.98,45.51,44.82,45.21,1989500,0.0,0
2019-03-27,45.28,45.56,44.59,44.77,1811700,0.0,0
2019-03-28,44.85,45.52,44.65,45.51,2414700,0.0,0
2019-03-29,45.94,46.22,45.71,45.99,2227300,0.0,0
2019-04-01,46.53,47.84,46.45,47.52,2104100,0.0,0
2019-04-02,47.46,47.71,47.14,47.6,1832100,0.0,0
2019-04-03,48.1,48.45,47.32,47.58,1692600,0.0,0
2019-04-04,47.54,48.24,47.54,47.97,1128800,0.0,0
2019-04-05,47.98,48.39,47.56,48.31,1903800,0.0,0
2019-04-08,48.05,48.31,47.83,48.21,1156700,0.0,0
2019-04-09,47.9,48.21,47.24,47.54,1895500,0.0,0
2019-04-10,47.59,47.67,47.08,47.59,1705400,0.0,0
2019-04-11,47.88,48.39,47.66,47.82,1677000,0.0,0
2019-04-12,48.57,49.2,48.4,48.82,2009800,0.0,0
2019-04-15,49.22,49.34,48.3,48.51,1809000,0.0,0
2019-04-16,48.47,49.38,48.47,49.35,2499000,0.0,0
2019-04-17,49.53,49.66,48.61,49.5,3442600,0.0,0
2019-04-18,51.02,51.85,50.07,50.66,5335100,0.0,0
2019-04-22,50.39,50.87,49.86,49.93,2030500,0.0,0
2019-04-23,49.89,50.51,49.37,49.98,2013000,0.0,0
2019-04-24,49.77,49.85,48.7,49.49,2979700,0.0,0
2019-04-25,49.29,50.25,49.06,49.71,1863300,0.0,0
2019-04-26,49.76,49.99,48.63,49.78,2666400,0.0,0
2019-04-29,49.8,50.87,49.73,50.78,1699500,0.0,0
2019-04-30,50.88,51.32,49.95,50.18,2058300,0.0,0
2019-05-01,50.22,50.52,49.28,49.63,2277900,0.0,0
2019-05-02,49.56,50.59,49.54,49.98,1425400,0.0,0
2019-05-03,50.09,50.54,50.0,50.12,1082200,0.0,0
2019-05-06,49.13,50.2,48.75,49.97,1779800,0.0,0
2019-05-07,49.45,49.97,48.98,49.36,2062300,0.0,0
2019-05-08,49.31,50.01,49.01,49.31,2536400,0.0,0
2019-05-09,48.74,49.74,48.17,49.61,2799300,0.0,0
2019-05-10,49.28,49.63,48.54,49.32,2043200,0.14,0
2019-05-13,48.23,48.32,47.09,47.19,3335000,0.0,0
2019-05-14,47.26,48.58,47.23,48.18,3191700,0.0,0
2019-05-15,47.68,47.82,47.05,47.36,2611800,0.0,0
2019-05-16,47.65,48.54,47.57,48.08,2093100,0.0,0
2019-05-17,47.58,48.24,47.36,47.64,1591800,0.0,0
2019-05-20,47.16,48.14,46.99,47.86,1759500,0.0,0
2019-05-21,48.21,48.54,47.98,48.19,2545900,0.0,0
2019-05-22,47.98,47.99,47.28,47.34,1871900,0.0,0
2019-05-23,46.85,47.18,45.84,46.13,3150600,0.0,0
2019-05-24,46.39,46.72,46.24,46.54,1356600,0.0,0
2019-05-28,46.41,46.45,45.35,45.37,2632400,0.0,0
2019-05-29,45.04,45.92,44.68,45.73,4501100,0.0,0
2019-05-30,45.85,46.48,45.34,45.64,1809300,0.0,0
2019-05-31,44.94,45.0,44.37,44.5,2010400,0.0,0
2019-06-03,44.45,45.36,44.31,44.49,2901000,0.0,0
2019-06-04,45.21,46.48,45.21,46.38,2584700,0.0,0
2019-06-05,46.47,46.78,46.04,46.45,2062200,0.0,0
2019-06-06,46.26,46.42,45.74,46.2,2116300,0.0,0
2019-06-07,46.15,46.24,45.58,45.75,2441200,0.0,0
2019-06-10,46.22,47.14,46.2,46.33,1728600,0.0,0
2019-06-11,46.8,47.16,46.2,46.33,1570000,0.0,0
2019-06-12,46.31,46.32,45.13,45.19,1712500,0.0,0
2019-06-13,45.31,45.8,45.21,45.59,1415600,0.0,0
2019-06-14,45.54,45.58,44.44,45.01,1926000,0.0,0
2019-06-17,45.12,45.7,44.72,44.87,1885800,0.0,0
2019-06-18,44.92,46.1,44.75,45.74,2777900,0.0,0
2019-06-19,46.09,46.15,44.71,44.76,2717600,0.0,0
2019-06-20,45.72,45.72,44.25,45.15,2077700,0.0,0
2019-06-21,45.08,46.16,44.92,45.92,3250900,0.0,0
2019-06-24,45.57,45.69,44.21,44.26,1903400,0.0,0
2019-06-25,44.19,44.58,43.2,44.17,2165700,0.0,0
2019-06-26,44.22,44.58,43.67,43.96,2661900,0.0,0
2019-06-27,44.09,45.03,44.08,44.69,2498100,0.0,0
2019-06-28,44.88,45.43,44.07,44.3,4823100,0.0,0
2019-07-01,45.13,45.74,45.06,45.34,2918000,0.0,0
2019-07-02,45.11,45.63,44.8,45.26,1501900,0.0,0
2019-07-03,45.28,45.48,45.05,45.23,823500,0.0,0
2019-07-05,45.44,46.52,45.34,45.84,1267700,0.0,0
2019-07-08,45.41,45.67,44.55,44.81,2240000,0.0,0
2019-07-09,44.53,45.1,44.27,45.0,3099300,0.0,0
2019-07-10,44.99,45.04,44.0,44.25,2984000,0.0,0
2019-07-11,44.26,45.05,44.22,44.96,2436500,0.0,0
2019-07-12,45.09,45.61,44.92,45.44,2402600,0.0,0
2019-07-15,45.61,45.61,44.88,45.33,2744600,0.0,0
2019-07-16,45.59,46.63,45.3,46.09,3298900,0.0,0
2019-07-17,45.84,46.05,45.24,45.41,2452300,0.0,0
2019-07-18,45.34,46.6,45.34,46.2,4541500,0.0,0
2019-07-19,46.69,48.11,46.69,47.03,5804300,0.0,0
2019-07-22,46.96,47.55,46.16,47.28,3133300,0.0,0
2019-07-23,47.67,48.4,47.35,48.3,3604100,0.0,0
2019-07-24,48.11,49.51,47.69,49.39,3467600,0.0,0
2019-07-25,49.37,49.44,48.63,48.78,1760700,0.0,0
2019-07-26,48.93,49.22,48.07,49.17,1730500,0.0,0
2019-07-29,49.04,49.22,48.55,48.62,1123900,0.0,0
2019-07-30,48.29,48.63,48.12,48.63,1917300,0.0,0
2019-07-31,48.65,48.97,48.06,48.46,1874200,0.0,0
2019-08-01,48.22,48.53,46.58,46.69,2470100,0.0,0
2019-08-02,46.63,46.71,45.41,45.77,2680900,0.0,0
2019-08-05,44.82,45.32,42.37,42.91,3993400,0.0,0
2019-08-06,43.06,43.92,42.68,43.83,2828700,0.0,0
2019-08-07,42.72,42.72,41.08,42.31,4430800,0.0,0
2019-08-08,42.64,42.95,42.18,42.92,3276800,0.0,0
2019-08-09,41.99,42.38,41.59,41.94,2500100,0.0,0
2019-08-12,41.31,41.67,40.6,40.86,1740600,0.0,0
2019-08-13,40.3,42.3,40.3,41.62,1921700,0.0,0
2019-08-14,40.5,41.13,39.96,40.1,2364200,0.0,0
2019-08-15,40.38,41.02,39.75,39.98,2461100,0.0,0
2019-08-16,40.27,41.27,40.03,40.96,2929600,0.14,0
2019-08-19,41.58,41.95,41.26,41.38,3392100,0.0,0
2019-08-20,41.06,41.57,40.84,41.14,2726300,0.0,0
2019-08-21,41.42,41.62,41.09,41.26,2040800,0.0,0
2019-08-22,41.33,41.76,41.02,41.18,2513600,0.0,0
