Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,74.51,74.61,73.92,74.55,2497000,0.0,0
2019-02-06,73.86,74.85,73.86,74.35,2475000,0.0,0
2019-02-07,74.05,74.53,73.15,73.79,2465900,0.0,0
2019-02-08,73.3,73.53,72.59,73.28,1903400,0.0,0
2019-02-11,73.33,73.42,72.79,73.08,1785400,0.0,0
2019-02-12,73.58,74.26,73.49,74.09,2658200,0.0,0
2019-02-13,74.47,75.21,74.27,75.05,2120400,0.0,0
2019-02-14,74.54,75.22,74.1,74.6,1898600,0.0,0
2019-02-15,75.34,76.15,75.16,76.08,2233300,0.0,0
2019-02-19,75.67,76.36,75.42,76.15,2001100,0.0,0
2019-02-20,76.31,77.09,76.12,77.03,2320500,0.0,0
2019-02-21,76.94,77.12,76.47,77.01,1935200,0.0,0
2019-02-22,77.3,78.15,77.06,78.07,2584200,0.0,0
2019-02-25,78.76,78.76,77.99,78.19,2233700,0.0,0
2019-02-26,77.83,78.46,77.74,77.78,1560200,0.0,0
2019-02-27,77.67,77.96,77.02,77.92,2082700,0.0,0
2019-02-28,77.94,77.97,77.02,77.08,2560100,0.0,0
2019-03-01,78.51,78.62,76.38,77.53,4037800,0.0,0
2019-03-04,78.53,79.31,77.5,78.56,4052900,0.0,0
2019-03-05,78.42,78.7,77.96,78.08,3225500,0.0,0
2019-03-06,78.01,78.6,77.83,78.22,3900100,0.0,0
2019-03-07,78.11,78.11,76.76,77.92,2853500,0.71,0
2019-03-08,76.88,77.7,76.78,77.38,2249600,0.0,0
2019-03-11,77.21,78.35,77.16,78.29,2394200,0.0,0
2019-03-12,79.05,79.06,78.13,78.34,3430100,0.0,0
2019-03-13,78.68,79.15,78.26,78.56,2225100,0.0,0
2019-03-14,78.41,79.16,77.92,78.95,2476700,0.0,0
2019-03-15,78.91,79.37,78.41,78.55,4940000,0.0,0
2019-03-18,78.79,80.18,78.72,80.04,2971400,0.0,0
2019-03-19,80.51,80.76,79.77,80.15,2232100,0.0,0
2019-03-20,80.08,80.08,78.85,79.19,3261900,0.0,0
2019-03-21,78.78,80.23,78.75,79.95,1891200,0.0,0
2019-03-22,79.46,79.66,76.88,77.03,3797700,0.0,0
2019-03-25,77.01,77.57,76.64,76.98,2801500,0.0,0
2019-03-26,77.75,77.91,77.09,77.52,2062400,0.0,0
2019-03-27,77.54,78.05,76.97,77.37,2136200,0.0,0
2019-03-28,77.84,78.33,77.25,77.85,1767000,0.0,0
2019-03-29,78.62,78.64,78.23,78.53,2173100,0.0,0
2019-04-01,79.51,80.32,79.22,80.17,2124600,0.0,0
2019-04-02,80.42,80.86,80.07,80.56,1699200,0.0,0
2019-04-03,81.06,81.57,80.4,80.79,2080300,0.0,0
2019-04-04,80.17,81.15,80.17,81.09,1917400,0.0,0
2019-04-05,81.2,81.58,81.01,81.16,1542900,0.0,0
2019-04-08,80.91,81.59,80.45,81.58,1417900,0.0,0
2019-04-09,81.14,81.14,80.16,80.28,1984000,0.0,0
2019-04-10,80.37,80.67,79.92,80.35,1407800,0.0,0
2019-04-11,80.66,81.09,80.43,80.89,1349700,0.0,0
2019-04-12,81.49,81.79,80.99,81.77,1510400,0.0,0
2019-04-15,81.77,81.89,81.18,81.51,876500,0.0,0
2019-04-16,81.89,82.12,81.46,82.03,1822000,0.0,0
2019-04-17,82.6,83.11,82.02,82.31,1685100,0.0,0
2019-04-18,82.79,83.34,82.62,83.07,1637700,0.0,0
2019-04-22,82.55,82.93,82.33,82.8,1222900,0.0,0
2019-04-23,82.67,83.92,82.6,83.44,2058900,0.0,0
2019-04-24,83.29,83.71,83.07,83.19,1569500,0.0,0
2019-04-25,82.36,82.64,81.54,81.69,1599000,0.0,0
2019-04-26,81.85,81.91,80.98,81.66,2454800,0.0,0
2019-04-29,82.08,82.35,81.46,81.88,2426500,0.0,0
2019-04-30,80.42,81.42,78.65,80.74,4759300,0.0,0
2019-05-01,81.18,82.08,79.77,79.85,3525600,0.0,0
2019-05-02,79.82,80.69,79.43,80.07,3072200,0.71,0
2019-05-03,80.46,81.44,80.43,81.42,1982200,0.0,0
2019-05-06,80.18,80.93,79.42,80.68,1828500,0.0,0
2019-05-07,79.6,79.89,79.08,79.68,2654600,0.0,0
2019-05-08,79.54,80.33,79.42,79.61,2822500,0.0,0
2019-05-09,78.83,79.74,78.5,79.61,1957800,0.0,0
2019-05-10,79.43,80.47,78.11,80.14,1833200,0.0,0
2019-05-13,78.31,78.62,76.92,77.2,2729600,0.0,0
2019-05-14,77.57,78.33,77.39,77.83,1853500,0.0,0
2019-05-15,77.35,78.53,77.12,78.22,1315300,0.0,0
2019-05-16,78.42,78.98,78.19,78.68,1419900,0.0,0
2019-05-17,77.8,78.57,77.32,77.44,1607800,0.0,0
2019-05-20,76.82,77.51,76.63,77.12,1332800,0.0,0
2019-05-21,77.66,78.82,77.6,78.59,2048100,0.0,0
2019-05-22,78.2,78.48,77.55,77.62,1915400,0.0,0
2019-05-23,76.73,76.76,75.44,75.75,2020000,0.0,0
2019-05-24,76.36,76.56,75.75,76.1,1661500,0.0,0
2019-05-28,76.07,76.27,74.86,74.92,1958100,0.0,0
2019-05-29,74.49,75.08,73.96,74.33,2337900,0.0,0
2019-05-30,74.45,75.05,74.28,74.59,1265700,0.0,0
2019-05-31,73.63,73.63,73.06,73.25,1840100,0.0,0
2019-06-03,73.33,74.75,73.18,74.13,2132100,0.0,0
2019-06-04,75.0,76.74,74.8,76.48,2419000,0.0,0
2019-06-05,77.17,77.4,76.26,76.92,1747500,0.0,0
2019-06-06,77.33,77.47,76.3,77.0,1626300,0.0,0
2019-06-07,77.6,78.08,77.4,77.77,1739400,0.0,0
2019-06-10,78.22,78.79,77.8,78.0,1424000,0.0,0
2019-06-11,78.67,79.22,77.72,77.89,1724900,0.0,0
2019-06-12,77.8,77.94,77.04,77.36,1328200,0.0,0
2019-06-13,77.95,78.08,77.32,77.97,1487100,0.0,0
2019-06-14,77.45,77.77,76.45,77.07,1380700,0.0,0
2019-06-17,76.9,77.17,76.17,76.35,1315700,0.0,0
2019-06-18,76.82,78.43,76.78,78.15,1732100,0.0,0
2019-06-19,78.44,78.9,78.08,78.62,2498600,0.0,0
2019-06-20,80.05,81.54,79.83,81.27,4201200,0.0,0
2019-06-21,81.48,82.35,80.86,81.84,4828400,0.0,0
2019-06-24,81.54,81.93,80.49,80.9,2754800,0.0,0
2019-06-25,81.0,81.3,80.58,80.72,3184200,0.0,0
2019-06-26,80.98,81.51,80.79,81.26,1859200,0.0,0
2019-06-27,81.45,82.0,80.58,81.35,2214700,0.0,0
2019-06-28,81.49,82.09,81.35,81.9,3083500,0.0,0
2019-07-01,83.15,83.29,81.52,81.8,2299900,0.0,0
2019-07-02,81.5,81.5,79.64,80.38,2848200,0.0,0
2019-07-03,80.39,81.0,79.98,80.95,1082000,0.0,0
2019-07-05,80.3,80.48,79.14,80.45,1322700,0.0,0
2019-07-08,79.87,80.85,79.52,79.91,1339000,0.0,0
2019-07-09,79.26,79.49,78.58,78.92,3711800,0.0,0
2019-07-10,79.25,79.71,77.67,77.73,2177500,0.0,0
2019-07-11,77.97,78.02,76.94,77.83,2869200,0.0,0
2019-07-12,78.3,80.2,77.98,79.86,2058500,0.0,0
2019-07-15,79.87,80.06,78.99,79.35,1988400,0.0,0
2019-07-16,79.27,80.06,78.87,79.8,2163100,0.0,0
2019-07-17,79.7,79.79,78.0,78.03,1705900,0.0,0
2019-07-18,77.95,78.11,77.39,77.75,2721600,0.0,0
2019-07-19,78.31,79.14,78.06,78.53,2380400,0.0,0
2019-07-22,78.71,79.14,78.14,78.24,1699500,0.0,0
2019-07-23,78.8,80.51,78.33,80.45,2702600,0.0,0
2019-07-24,79.88,81.48,79.57,81.36,2009900,0.0,0
2019-07-25,81.19,81.39,80.21,80.62,2180300,0.0,0
2019-07-26,80.26,80.74,79.78,80.21,1783700,0.0,0
2019-07-29,80.1,80.29,79.33,79.72,2472500,0.0,0
2019-07-30,79.25,82.55,78.42,81.74,3136800,0.0,0
2019-07-31,81.7,81.99,79.98,80.82,4566400,0.0,0
2019-08-01,80.58,82.17,79.04,79.33,3125000,0.71,0
2019-08-02,78.93,79.39,78.34,78.66,2670000,0.0,0
2019-08-05,77.28,77.4,75.84,76.21,3098500,0.0,0
2019-08-06,77.65,78.44,76.48,78.26,2404300,0.0,0
2019-08-07,77.09,77.83,75.72,77.46,3220400,0.0,0
2019-08-08,78.08,79.38,78.08,79.12,1879000,0.0,0
2019-08-09,78.66,79.07,77.63,78.39,2388300,0.0,0
2019-08-12,77.92,78.21,77.14,77.32,2131200,0.0,0
2019-08-13,77.39,79.72,77.0,78.77,2343500,0.0,0
2019-08-14,76.98,77.31,74.35,74.59,5155700,0.0,0
2019-08-15,74.67,75.46,74.26,75.3,2479600,0.0,0
2019-08-16,75.76,77.06,75.69,76.7,1655200,0.0,0
2019-08-19,78.28,78.72,77.81,78.5,2158600,0.0,0
2019-08-20,78.36,78.36,77.35,77.53,1610000,0.0,0
2019-08-21,78.62,78.66,77.63,78.02,1483000,0.0,0
2019-08-22,78.34,78.44,77.1,77.74,1631500,0.0,0
2019-08-23,77.26,77.54,75.48,75.97,4322800,0.0,0
