Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,55.81,55.81,55.26,55.63,1311800,0.0,0
2019-02-06,55.57,55.57,55.11,55.41,1505800,0.0,0
2019-02-07,55.52,56.01,55.45,55.83,1648800,0.0,0
2019-02-08,55.84,56.4,55.62,56.27,1006200,0.0,0
2019-02-11,56.07,56.47,56.07,56.24,926500,0.0,0
2019-02-12,56.97,57.1,56.22,56.47,1629000,0.0,0
2019-02-13,56.32,56.65,56.06,56.61,925600,0.0,0
2019-02-14,56.65,56.94,56.25,56.58,1096600,0.0,0
2019-02-15,57.04,57.13,56.68,56.92,1436500,0.0,0
2019-02-19,57.11,57.55,56.9,57.42,1020500,0.0,0
2019-02-20,57.32,57.68,57.02,57.52,1044100,0.0,0
2019-02-21,57.3,58.05,57.14,57.99,1259600,0.0,0
2019-02-22,55.22,55.29,52.85,53.74,8399700,0.0,0
2019-02-25,53.54,53.98,52.86,53.89,3055800,0.0,0
2019-02-26,54.02,54.26,53.7,54.03,2498800,0.0,0
2019-02-27,53.71,54.11,53.44,53.74,1511200,0.0,0
2019-02-28,53.77,54.55,53.77,54.15,2424700,0.0,0
2019-03-01,54.75,54.79,53.44,53.76,1949100,0.475,0
2019-03-04,54.29,54.55,53.46,53.99,1716700,0.0,0
2019-03-05,53.79,54.18,53.34,53.8,1574600,0.0,0
2019-03-06,53.97,54.04,53.46,53.57,2010800,0.0,0
2019-03-07,53.89,54.18,53.51,54.11,2970400,0.0,0
2019-03-08,54.26,54.68,53.94,54.47,2739400,0.0,0
2019-03-11,54.56,55.1,54.46,55.04,1883000,0.0,0
2019-03-12,55.17,55.67,54.94,55.42,1649100,0.0,0
2019-03-13,55.19,55.77,55.01,55.61,1283700,0.0,0
2019-03-14,55.56,56.36,55.46,55.8,2292200,0.0,0
2019-03-15,55.59,56.59,54.63,56.33,6149200,0.0,0
2019-03-18,56.13,56.25,55.32,55.55,1886300,0.0,0
2019-03-19,55.43,55.54,54.77,55.12,1979100,0.0,0
2019-03-20,55.07,55.88,54.88,55.19,1483500,0.0,0
2019-03-21,55.23,56.07,54.72,56.01,1189400,0.0,0
2019-03-22,57.09,57.09,56.23,56.66,1634900,0.0,0
2019-03-25,56.75,56.99,56.42,56.46,1288900,0.0,0
2019-03-26,56.63,57.17,56.48,57.1,1452400,0.0,0
2019-03-27,57.17,57.23,56.67,56.8,1199800,0.0,0
2019-03-28,56.85,56.99,56.23,56.61,1340700,0.0,0
2019-03-29,56.64,57.02,56.36,56.71,1702200,0.0,0
2019-04-01,56.64,56.85,56.0,56.1,1770000,0.0,0
2019-04-02,56.43,56.43,55.81,56.17,1612900,0.0,0
2019-04-03,56.23,56.66,55.83,55.99,1461800,0.0,0
2019-04-04,56.05,56.13,55.18,55.26,1892700,0.0,0
2019-04-05,55.27,56.08,55.03,55.99,1617100,0.0,0
2019-04-08,56.03,56.3,55.56,55.79,1359800,0.0,0
