Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,88.8,89.93,86.04,87.1,1438100,0,0
2019-02-06,87.1,89.36,85.56,88.35,1066900,0,0
2019-02-07,87.47,88.32,84.5,86.8,1102200,0,0
2019-02-08,85.91,89.64,85.55,88.71,861500,0,0
2019-02-11,89.5,89.61,87.56,87.99,1447100,0,0
2019-02-12,88.5,90.31,87.88,90.15,1165700,0,0
2019-02-13,90.5,90.94,87.69,89.27,831700,0,0
2019-02-14,88.58,89.54,88.01,88.12,1003300,0,0
2019-02-15,88.88,89.0,87.5,88.55,993500,0,0
2019-02-19,88.77,89.04,85.52,85.57,1386700,0,0
2019-02-20,85.05,86.17,82.54,83.63,1913400,0,0
2019-02-21,84.0,84.68,80.78,83.28,2314000,0,0
2019-02-22,81.5,93.0,81.5,92.04,3529800,0,0
2019-02-25,92.0,92.27,88.01,91.76,2048300,0,0
2019-02-26,93.07,94.75,91.57,92.62,1846200,0,0
2019-02-27,92.5,97.27,92.45,96.5,2079900,0,0
2019-02-28,96.0,96.33,90.86,91.0,2773500,0,0
2019-03-01,92.52,93.17,90.87,92.3,1565000,0,0
2019-03-04,92.97,94.66,87.19,88.88,2068000,0,0
2019-03-05,89.12,89.24,86.34,87.58,1285000,0,0
2019-03-06,86.2,86.55,83.95,85.57,3574200,0,0
2019-03-07,85.62,86.75,84.14,84.5,2615000,0,0
2019-03-08,83.84,85.73,82.31,85.37,1801400,0,0
2019-03-11,86.12,91.32,85.45,90.85,2469500,0,0
2019-03-12,90.75,94.42,90.74,93.64,2018000,0,0
2019-03-13,93.58,95.06,93.49,94.79,1972100,0,0
2019-03-14,94.92,96.3,94.03,96.15,1372800,0,0
2019-03-15,96.0,96.9,94.6,95.2,1711800,0,0
2019-03-18,95.32,96.13,90.01,91.93,2578900,0,0
2019-03-19,92.48,92.86,90.86,91.15,1385100,0,0
2019-03-20,91.05,91.77,88.81,90.48,1740500,0,0
2019-03-21,89.85,93.02,89.05,92.02,1897800,0,0
2019-03-22,91.05,91.57,87.6,89.0,1803200,0,0
2019-03-25,88.89,90.2,87.87,89.06,854200,0,0
2019-03-26,90.35,91.45,88.83,90.96,888200,0,0
2019-03-27,90.56,90.81,80.05,82.56,4016700,0,0
2019-03-28,82.24,85.0,81.28,84.57,2475600,0,0
2019-03-29,85.55,87.37,84.72,86.62,1479500,0,0
2019-04-01,87.57,92.04,87.57,90.25,2636800,0,0
2019-04-02,89.27,92.41,89.0,91.86,1327400,0,0
2019-04-03,92.98,93.66,91.52,92.59,1933500,0,0
2019-04-04,92.59,92.91,88.25,90.1,1436400,0,0
2019-04-05,90.57,92.38,90.26,91.33,1172100,0,0
2019-04-08,91.33,93.22,89.5,92.91,1793100,0,0
2019-04-09,92.69,93.21,91.28,91.61,1100100,0,0
2019-04-10,92.0,95.54,92.0,95.15,1391200,0,0
2019-04-11,95.63,95.94,92.41,93.72,924500,0,0
