Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,72.24,72.78,71.66,72.68,618000,0.0,0
2019-02-06,72.71,73.27,70.44,70.52,479300,0.0,0
2019-02-07,70.46,71.99,70.18,71.47,591500,0.0,0
2019-02-08,71.24,71.73,70.43,71.21,481400,0.0,0
2019-02-11,71.29,72.32,70.77,72.13,529500,0.0,0
2019-02-12,72.17,74.53,71.95,73.88,891700,0.0,0
2019-02-13,74.36,75.01,72.71,73.04,643600,0.0,0
2019-02-14,73.55,74.14,71.92,73.4,723400,0.0,0
2019-02-15,73.96,76.43,73.38,75.8,884200,0.0,0
2019-02-19,75.74,77.33,75.24,76.31,949600,0.0,0
2019-02-20,76.6,77.62,76.46,77.55,624000,0.0,0
2019-02-21,77.42,78.49,77.06,77.65,849700,0.0,0
2019-02-22,77.82,79.04,77.62,79.01,702200,0.0,0
2019-02-25,79.77,79.83,78.43,78.67,680400,0.0,0
2019-02-26,78.35,79.56,78.07,78.13,588500,0.0,0
2019-02-27,77.95,78.7,77.51,77.7,501800,0.0,0
2019-02-28,77.55,77.55,75.75,76.09,757500,0.0,0
2019-03-01,76.46,78.25,76.34,78.05,660800,0.0,0
2019-03-04,78.14,79.83,77.89,79.76,714000,0.0,0
2019-03-05,79.58,79.72,78.59,79.13,1272000,0.0,0
2019-03-06,79.38,79.83,78.38,78.81,930500,0.0,0
2019-03-07,78.39,79.08,77.41,78.45,740400,0.0,0
2019-03-08,77.97,78.92,77.56,78.68,712400,0.0,0
2019-03-11,78.14,79.45,77.59,77.74,799900,0.0,0
2019-03-12,77.98,78.25,75.83,75.89,966300,0.0,0
2019-03-13,76.23,76.23,71.33,71.77,1674000,0.0,0
2019-03-14,71.17,71.93,69.26,71.31,997300,0.0,0
2019-03-15,71.52,72.44,71.32,71.92,944500,0.0,0
2019-03-18,72.05,72.75,71.6,72.46,680800,0.0,0
2019-03-19,72.7,73.85,72.7,73.15,797800,0.0,0
2019-03-20,72.52,72.57,70.18,71.44,1482100,0.0,0
2019-03-21,71.02,74.68,71.02,73.96,1134300,0.0,0
2019-03-22,73.46,73.46,70.75,70.97,523500,0.0,0
2019-03-25,71.58,72.61,70.86,72.41,460700,0.0,0
2019-03-26,72.91,72.92,70.74,71.34,626700,0.0,0
2019-03-27,71.31,72.55,71.31,72.0,661600,0.0,0
2019-03-28,72.19,73.04,71.36,73.0,463500,0.0,0
2019-03-29,81.1,84.11,79.85,83.92,3243300,0.0,0
2019-04-01,84.31,86.26,83.29,83.33,1261800,0.0,0
2019-04-02,82.47,83.93,81.49,83.11,1212100,0.0,0
2019-04-03,84.2,84.2,82.65,82.93,762400,0.0,0
2019-04-04,83.69,85.31,83.36,84.18,614200,0.0,0
2019-04-05,85.54,86.09,84.77,85.4,506700,0.0,0
2019-04-08,85.07,86.08,84.91,85.45,346300,0.0,0
2019-04-09,85.03,85.47,83.89,84.09,399800,0.0,0
2019-04-10,84.1,85.14,83.87,84.25,419500,0.0,0
2019-04-11,84.57,85.48,83.97,84.36,440100,0.1,0
2019-04-12,85.1,86.66,84.58,85.83,433500,0.0,0
2019-04-15,85.73,86.23,85.0,85.96,275200,0.0,0
2019-04-16,85.84,86.41,85.03,86.31,464800,0.0,0
2019-04-17,86.74,87.06,83.98,84.05,471900,0.0,0
2019-04-18,91.25,91.69,89.41,89.78,1438800,0.0,0
2019-04-22,89.25,90.73,88.95,90.04,664500,0.0,0
2019-04-23,90.0,90.09,88.47,89.65,593900,0.0,0
2019-04-24,90.02,90.91,89.37,90.24,604300,0.0,0
2019-04-25,89.87,90.04,88.28,88.82,519100,0.0,0
2019-04-26,88.8,90.67,88.41,90.58,325900,0.0,0
2019-04-29,90.56,90.91,89.52,89.74,398900,0.0,0
2019-04-30,90.76,91.19,89.67,90.6,502800,0.0,0
2019-05-01,91.11,91.14,89.12,89.19,442600,0.0,0
2019-05-02,89.37,90.04,88.58,89.15,687000,0.0,0
2019-05-03,89.7,90.43,89.26,90.31,323200,0.0,0
2019-05-06,89.24,90.9,88.29,90.17,357200,0.0,0
2019-05-07,89.39,90.0,88.84,89.52,445400,0.0,0
2019-05-08,89.65,89.88,88.6,88.68,347200,0.0,0
2019-05-09,87.83,88.99,87.47,88.32,407000,0.0,0
2019-05-10,88.24,89.12,87.53,88.78,571600,0.0,0
2019-05-13,87.74,87.74,85.78,86.49,478200,0.0,0
2019-05-14,87.0,88.28,86.63,87.43,467900,0.0,0
2019-05-15,86.49,88.52,86.21,87.96,532000,0.0,0
2019-05-16,91.72,92.87,87.45,91.27,910100,0.0,0
2019-05-17,90.72,92.81,90.09,90.76,560000,0.0,0
2019-05-20,90.08,90.78,89.48,89.96,466100,0.0,0
2019-05-21,89.95,91.56,89.63,90.94,361800,0.0,0
2019-05-22,90.22,90.64,88.98,89.17,375800,0.0,0
2019-05-23,88.47,89.27,86.28,87.27,512500,0.0,0
2019-05-24,87.8,88.46,86.06,87.3,462300,0.0,0
2019-05-28,87.33,88.93,87.08,87.81,429400,0.0,0
2019-05-29,87.18,87.36,85.87,86.71,510300,0.0,0
2019-05-30,89.94,91.55,85.46,86.97,1204000,0.0,0
2019-05-31,85.77,86.5,84.6,85.77,573700,0.0,0
2019-06-03,85.67,87.18,85.29,86.51,466600,0.0,0
2019-06-04,87.26,90.67,87.26,90.64,381800,0.0,0
2019-06-05,90.58,91.04,89.42,90.19,382400,0.0,0
2019-06-06,90.4,90.72,88.76,89.38,303800,0.0,0
2019-06-07,90.05,90.14,88.59,89.36,427200,0.0,0
2019-06-10,89.81,90.86,89.39,89.99,612400,0.0,0
2019-06-11,90.63,91.67,86.17,87.19,523300,0.0,0
2019-06-12,86.68,87.33,84.99,85.39,649000,0.0,0
2019-06-13,85.85,87.98,85.36,87.93,643200,0.0,0
2019-06-14,87.6,87.7,85.9,87.47,483500,0.0,0
2019-06-17,87.2,88.38,86.96,87.78,347500,0.0,0
2019-06-18,88.52,89.75,88.22,88.24,261300,0.0,0
2019-06-19,88.19,88.21,86.22,87.46,341200,0.0,0
2019-06-20,88.66,89.18,87.86,88.19,375900,0.1,0
2019-06-21,87.71,88.87,87.71,88.52,789000,0.0,0
2019-06-24,88.76,88.76,86.8,86.89,404500,0.0,0
2019-06-25,86.88,87.71,86.53,86.84,379700,0.0,0
2019-06-26,86.91,88.86,86.63,88.52,440000,0.0,0
2019-06-27,88.7,89.45,87.78,88.74,1216700,0.0,0
2019-06-28,88.99,92.86,88.61,92.49,823000,0.0,0
2019-07-01,90.87,92.3,87.85,87.89,663100,0.0,0
2019-07-02,87.9,87.92,86.47,87.91,469200,0.0,0
2019-07-03,88.15,89.51,87.8,89.21,282200,0.0,0
2019-07-05,88.67,89.72,88.58,89.19,269800,0.0,0
2019-07-08,88.69,88.69,86.95,87.35,306500,0.0,0
2019-07-09,87.21,87.7,86.61,86.74,318100,0.0,0
