Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,49.01,49.14,48.65,48.9,612500,0.0,0
2019-02-06,48.83,49.2,48.67,48.97,326900,0.0,0
2019-02-07,48.87,49.05,48.56,49.03,411100,0.0,0
2019-02-08,48.78,49.47,48.55,49.38,531300,0.0,0
2019-02-11,49.49,49.71,49.2,49.66,518000,0.0,0
2019-02-12,49.9,50.44,49.88,50.17,632100,0.0,0
2019-02-13,50.25,50.62,50.15,50.42,850700,0.0,0
2019-02-14,49.66,51.16,48.29,50.13,1000400,0.0,0
2019-02-15,50.49,50.94,49.43,49.6,870500,0.0,0
2019-02-19,49.25,49.48,48.85,49.08,635000,0.0,0
2019-02-20,49.2,49.78,49.0,49.78,754400,0.0,0
2019-02-21,49.84,49.9,49.2,49.51,445900,0.0,0
2019-02-22,49.7,50.41,49.61,50.08,428100,0.0,0
2019-02-25,50.32,50.32,49.41,49.76,451800,0.0,0
2019-02-26,49.53,50.2,49.29,49.48,455500,0.0,0
2019-02-27,49.4,49.51,49.07,49.34,356300,0.0,0
2019-02-28,49.37,49.65,49.22,49.29,426100,0.0,0
2019-03-01,49.56,49.8,48.98,49.17,433700,0.0,0
2019-03-04,49.29,49.54,48.56,49.0,458700,0.0,0
2019-03-05,49.04,49.47,48.71,49.14,408200,0.0,0
2019-03-06,49.25,49.55,48.86,49.02,492400,0.0,0
2019-03-07,49.03,49.53,48.66,49.13,337100,0.42,0
2019-03-08,48.77,49.26,48.72,49.17,198100,0.0,0
2019-03-11,49.34,49.44,49.12,49.42,233400,0.0,0
2019-03-12,49.58,49.68,49.24,49.33,250100,0.0,0
2019-03-13,49.39,49.61,48.22,49.36,661600,0.0,0
2019-03-14,49.36,49.56,49.06,49.18,340800,0.0,0
2019-03-15,49.2,49.84,48.87,48.98,1008400,0.0,0
2019-03-18,49.01,49.39,48.81,49.1,663200,0.0,0
2019-03-19,49.33,49.33,47.88,47.9,510000,0.0,0
2019-03-20,47.81,48.37,47.26,47.84,527600,0.0,0
2019-03-21,47.69,48.78,47.69,48.52,452600,0.0,0
2019-03-22,48.34,49.63,48.28,49.13,955400,0.0,0
2019-03-25,49.26,50.18,49.06,49.94,970600,0.0,0
2019-03-26,50.13,50.42,49.78,50.03,533100,0.0,0
2019-03-27,50.13,51.63,49.97,50.74,580300,0.0,0
2019-03-28,50.84,51.21,50.55,50.9,394400,0.0,0
2019-03-29,51.23,51.23,50.29,50.4,412300,0.0,0
2019-04-01,51.81,52.84,51.54,52.81,977100,0.0,0
2019-04-02,52.88,52.88,51.69,51.98,581400,0.0,0
2019-04-03,52.26,52.56,51.33,52.16,1075300,0.0,0
2019-04-04,52.26,52.53,51.83,52.42,558300,0.0,0
2019-04-05,52.53,52.79,52.26,52.59,355100,0.0,0
2019-04-08,52.64,52.64,52.11,52.3,257100,0.0,0
2019-04-09,52.23,52.36,51.6,51.75,425000,0.0,0
2019-04-10,51.92,52.67,51.56,52.6,549100,0.0,0
2019-04-11,52.77,53.15,52.6,53.11,409800,0.0,0
2019-04-12,53.39,53.55,52.84,53.53,573100,0.0,0
2019-04-15,53.55,53.73,53.43,53.49,402600,0.0,0
2019-04-16,53.71,54.6,53.67,54.53,464700,0.0,0
2019-04-17,54.66,54.93,54.03,54.41,584800,0.0,0
2019-04-18,54.59,54.62,54.27,54.36,417800,0.0,0
2019-04-22,54.13,54.38,54.0,54.22,385700,0.0,0
2019-04-23,54.55,54.85,54.15,54.79,410900,0.0,0
2019-04-24,54.77,55.13,54.53,54.99,601000,0.0,0
2019-04-25,54.56,56.62,53.84,56.32,731600,0.0,0
2019-04-26,56.26,57.04,55.97,56.64,469100,0.0,0
2019-04-29,55.98,56.5,54.97,55.11,537200,0.0,0
2019-04-30,55.25,55.93,55.08,55.84,440700,0.0,0
2019-05-01,55.81,56.06,55.35,55.41,677700,0.0,0
2019-05-02,55.51,55.7,54.61,54.99,485500,0.0,0
2019-05-03,55.04,55.26,54.69,54.99,594600,0.0,0
2019-05-06,54.61,54.92,54.36,54.76,500400,0.0,0
2019-05-07,54.42,54.66,53.75,53.96,416100,0.0,0
2019-05-08,53.96,54.23,53.65,53.82,370900,0.0,0
2019-05-09,53.59,53.94,53.19,53.8,352000,0.0,0
2019-05-10,53.56,54.22,53.36,54.14,384400,0.0,0
2019-05-13,53.47,53.89,52.95,53.16,647200,0.0,0
2019-05-14,53.23,53.62,53.04,53.2,597900,0.0,0
2019-05-15,53.05,54.41,52.91,54.21,481900,0.0,0
2019-05-16,54.21,54.55,53.79,54.0,350300,0.0,0
2019-05-17,53.64,54.1,53.41,53.67,997700,0.0,0
2019-05-20,53.41,54.05,53.41,53.78,282000,0.0,0
2019-05-21,54.01,54.29,54.01,54.19,474700,0.0,0
2019-05-22,54.15,54.65,53.96,54.41,281600,0.0,0
2019-05-23,54.1,54.19,53.41,53.7,406400,0.0,0
2019-05-24,53.98,54.11,53.63,54.08,210300,0.0,0
2019-05-28,51.35,51.82,48.46,50.69,2465600,0.0,0
2019-05-29,50.7,51.74,50.51,51.3,761900,0.0,0
2019-05-30,51.38,51.66,50.36,50.68,828400,0.0,0
2019-05-31,50.2,50.84,49.76,50.54,709300,0.0,0
2019-06-03,50.48,51.66,50.48,51.66,851000,0.0,0
2019-06-04,51.84,52.06,51.25,51.77,748100,0.0,0
2019-06-05,51.89,52.52,51.58,52.11,535000,0.0,0
2019-06-06,52.12,52.58,51.83,51.83,471400,0.0,0
2019-06-07,52.02,52.46,51.9,52.03,463300,0.42,0
2019-06-10,52.29,52.44,51.86,51.88,554500,0.0,0
2019-06-11,52.17,52.27,51.45,52.03,781700,0.0,0
2019-06-12,52.13,52.36,51.77,52.02,480300,0.0,0
2019-06-13,52.22,52.28,51.78,52.13,635200,0.0,0
2019-06-14,52.19,52.45,51.85,52.27,497500,0.0,0
2019-06-17,52.22,52.52,51.96,52.0,658500,0.0,0
2019-06-18,52.48,53.32,52.17,52.39,1352500,0.0,0
2019-06-19,52.69,53.61,52.35,53.46,1273400,0.0,0
2019-06-20,53.85,55.29,53.69,55.03,1539500,0.0,0
2019-06-21,54.6,55.17,54.47,54.74,1171400,0.0,0
2019-06-24,54.89,55.01,54.25,54.28,474000,0.0,0
2019-06-25,54.45,54.65,54.17,54.37,610900,0.0,0
2019-06-26,54.55,54.63,52.31,52.37,761600,0.0,0
2019-06-27,52.55,52.94,52.35,52.89,672200,0.0,0
2019-06-28,52.88,53.36,52.75,52.97,1468300,0.0,0
2019-07-01,53.55,53.87,53.02,53.51,625000,0.0,0
2019-07-02,53.42,54.28,53.42,53.85,936100,0.0,0
2019-07-03,54.18,54.97,53.91,54.39,414600,0.0,0
2019-07-05,54.19,54.19,53.03,53.49,635700,0.0,0
2019-07-08,53.39,54.05,53.33,54.0,362800,0.0,0
2019-07-09,53.72,53.84,53.08,53.32,402900,0.0,0
2019-07-10,53.43,53.76,53.07,53.33,310900,0.0,0
2019-07-11,53.28,53.28,52.51,53.21,484700,0.0,0
2019-07-12,53.37,54.24,53.11,54.03,426800,0.0,0
2019-07-15,54.13,54.26,53.73,54.25,510400,0.0,0
2019-07-16,54.31,55.12,54.18,54.77,593400,0.0,0
2019-07-17,54.89,55.89,54.89,55.19,1067600,0.0,0
2019-07-18,55.19,55.32,54.65,54.85,725400,0.0,0
2019-07-19,54.87,55.11,54.38,54.4,455800,0.0,0
2019-07-22,54.45,54.58,54.05,54.25,450200,0.0,0
2019-07-23,54.24,55.0,54.13,54.85,543600,0.0,0
2019-07-24,54.78,55.2,54.32,55.1,487400,0.0,0
2019-07-25,55.75,56.43,54.99,56.15,993600,0.0,0
2019-07-26,56.32,57.12,55.94,57.03,642200,0.0,0
2019-07-29,57.14,57.85,56.6,56.91,614000,0.0,0
2019-07-30,56.71,57.5,56.71,57.42,622100,0.0,0
2019-07-31,57.52,58.02,56.86,57.03,641100,0.0,0
2019-08-01,56.99,57.7,56.63,57.08,667500,0.0,0
2019-08-02,56.85,56.96,55.95,56.04,495400,0.0,0
2019-08-05,55.54,56.14,53.8,54.28,1096600,0.0,0
2019-08-06,54.32,55.0,54.32,54.84,473300,0.0,0
2019-08-07,54.4,55.89,53.95,55.71,570300,0.0,0
2019-08-08,55.86,57.17,55.86,56.98,838500,0.0,0
2019-08-09,56.81,57.08,56.31,56.34,304600,0.0,0
2019-08-12,56.16,57.0,56.04,56.48,400200,0.0,0
2019-08-13,56.58,57.0,55.64,56.36,1206300,0.0,0
2019-08-14,55.61,56.22,55.17,55.31,838000,0.0,0
2019-08-15,55.6,56.59,55.45,56.41,1010000,0.0,0
2019-08-16,56.63,57.57,56.57,57.06,618700,0.0,0
2019-08-19,57.49,57.65,55.45,57.03,1171900,0.0,0
2019-08-20,57.1,57.5,56.85,57.26,819800,0.0,0
2019-08-21,57.46,58.0,57.32,57.63,565700,0.0,0
2019-08-22,57.68,57.83,57.03,57.4,430600,0.0,0
2019-08-23,57.34,57.95,56.69,56.88,546700,0.0,0
2019-08-26,57.21,57.31,56.65,57.15,403700,0.0,0
2019-08-27,57.47,57.52,56.91,57.24,515700,0.0,0
2019-08-28,56.92,57.53,56.71,57.39,500700,0.0,0
2019-08-29,57.74,58.26,57.61,57.72,526500,0.0,0
2019-08-30,57.88,58.06,57.4,57.65,649800,0.0,0
2019-09-03,57.38,58.33,57.38,58.21,494200,0.0,0
2019-09-04,58.51,58.87,58.16,58.51,378400,0.0,0
2019-09-05,58.9,58.98,58.17,58.41,469300,0.0,0
2019-09-06,58.69,60.03,58.67,59.12,706800,0.42,0
2019-09-09,59.55,60.08,59.2,59.93,838900,0.0,0
2019-09-10,59.68,59.69,57.86,58.79,708300,0.0,0
2019-09-11,58.86,59.12,58.34,58.57,549900,0.0,0
2019-09-12,58.89,58.89,57.99,58.27,500700,0.0,0
2019-09-13,58.24,58.32,56.66,56.93,1181400,0.0,0
2019-09-16,56.64,57.59,56.53,57.56,529700,0.0,0
2019-09-17,57.6,57.69,56.96,57.38,939500,0.0,0
2019-09-18,57.29,57.68,56.94,57.56,654300,0.0,0
2019-09-19,57.74,58.61,57.74,58.04,1122300,0.0,0
2019-09-20,58.23,58.48,57.94,58.31,1207900,0.0,0
2019-09-23,58.34,59.28,58.24,58.7,605200,0.0,0
2019-09-24,58.84,59.54,58.59,58.72,610600,0.0,0
2019-09-25,58.75,59.27,58.53,58.87,545300,0.0,0
2019-09-26,58.87,59.02,58.52,58.97,578800,0.0,0
2019-09-27,59.15,59.27,58.39,58.59,676000,0.0,0
2019-09-30,58.7,58.92,58.37,58.62,409100,0.0,0
2019-10-01,58.85,59.2,58.31,58.32,701700,0.0,0
2019-10-02,58.06,58.17,57.03,57.46,480800,0.0,0
2019-10-03,57.39,58.21,57.16,58.04,721900,0.0,0
2019-10-04,58.08,59.32,58.08,59.24,433400,0.0,0
2019-10-07,59.1,59.17,58.43,58.54,470800,0.0,0
2019-10-08,58.15,58.26,57.56,57.63,437900,0.0,0
2019-10-09,57.94,57.99,57.38,57.67,640800,0.0,0
2019-10-10,57.82,58.46,57.82,58.17,719500,0.0,0
2019-10-11,58.67,59.22,58.63,58.68,602000,0.0,0
2019-10-14,58.69,59.3,58.55,59.15,438500,0.0,0
2019-10-15,59.29,59.45,58.98,59.02,459700,0.0,0
2019-10-16,58.77,58.98,58.26,58.9,371500,0.0,0
2019-10-17,59.21,59.59,59.21,59.36,495000,0.0,0
2019-10-18,59.28,59.59,59.15,59.49,321100,0.0,0
2019-10-21,59.68,60.15,59.39,60.02,450300,0.0,0
2019-10-22,60.05,60.23,59.69,59.95,561200,0.0,0
2019-10-23,60.0,60.46,59.76,60.05,662800,0.0,0
2019-10-24,61.42,62.39,60.6,61.47,1162300,0.0,0
2019-10-25,61.66,62.35,61.51,61.81,1646300,0.0,0
2019-10-28,62.09,62.25,60.81,60.92,893000,0.0,0
2019-10-29,60.9,61.52,60.7,60.92,912000,0.0,0
2019-10-30,60.88,61.73,60.67,61.57,680800,0.0,0
2019-10-31,61.56,61.72,61.06,61.37,818500,0.0,0
2019-11-01,61.73,61.81,61.34,61.57,630200,0.0,0
2019-11-04,61.69,61.88,60.99,61.32,536500,0.0,0
2019-11-05,61.38,61.8,61.19,61.55,696000,0.0,0
2019-11-06,61.42,62.33,61.4,62.16,918500,0.0,0
2019-11-07,62.33,62.59,61.67,61.88,643600,0.0,0
2019-11-08,61.8,62.61,61.75,62.33,389200,0.0,0
2019-11-11,62.02,62.33,61.82,61.99,283300,0.0,0
2019-11-12,61.91,62.56,61.85,62.56,523100,0.0,0
2019-11-13,62.36,62.83,62.12,62.77,494200,0.0,0
2019-11-14,62.94,63.43,62.84,63.39,560200,0.0,0
2019-11-15,63.51,63.95,63.26,63.48,2302700,0.0,0
2019-11-18,63.47,63.47,62.82,63.08,402400,0.0,0
2019-11-19,63.12,63.87,63.12,63.77,902500,0.0,0
2019-11-20,63.48,63.76,62.79,63.1,581100,0.0,0
2019-11-21,63.05,63.05,62.11,62.31,412000,0.0,0
2019-11-22,62.29,62.45,62.0,62.2,297300,0.0,0
2019-11-25,62.43,62.67,62.24,62.5,349400,0.0,0
2019-11-26,62.61,63.32,62.54,63.31,376000,0.0,0
2019-11-27,63.31,63.48,63.06,63.4,478700,0.0,0
2019-11-29,63.4,63.54,63.17,63.2,280200,0.0,0
2019-12-02,63.12,63.27,62.61,62.89,540600,0.0,0
2019-12-03,62.62,62.82,62.43,62.59,420700,0.0,0
2019-12-04,62.59,63.35,62.59,62.67,553800,0.0,0
2019-12-05,62.69,63.57,62.69,63.46,601900,0.0,0
2019-12-06,63.94,64.18,62.98,63.04,1080100,0.42,0
2019-12-09,62.1,62.78,62.05,62.38,609800,0.0,0
2019-12-10,62.34,62.74,62.23,62.37,547400,0.0,0
2019-12-11,62.32,62.58,61.87,62.01,574200,0.0,0
2019-12-12,62.07,62.48,61.48,61.51,882100,0.0,0
2019-12-13,61.44,61.47,60.65,60.75,630400,0.0,0
2019-12-16,60.81,61.3,60.6,61.0,879600,0.0,0
2019-12-17,61.06,61.83,61.04,61.43,490200,0.0,0
2019-12-18,61.4,61.46,60.22,60.39,773300,0.0,0
2019-12-19,60.26,60.26,58.72,58.95,1093500,0.0,0
2019-12-20,59.42,59.89,58.77,58.92,1624300,0.0,0
2019-12-23,59.04,59.24,57.96,58.28,759700,0.0,0
2019-12-24,58.25,58.5,57.82,57.84,225100,0.0,0
2019-12-26,57.96,58.13,57.52,57.75,507300,0.0,0
2019-12-27,57.83,58.07,57.73,57.83,463800,0.0,0
2019-12-30,57.88,58.24,57.79,58.18,568900,0.0,0
2019-12-31,58.12,58.51,58.12,58.32,544300,0.0,0
2020-01-02,58.64,59.09,57.38,57.94,551600,0.0,0
2020-01-03,57.61,58.28,57.47,58.19,523200,0.0,0
2020-01-06,58.0,59.19,57.84,59.19,1076100,0.0,0
2020-01-07,58.98,59.02,58.35,58.46,594600,0.0,0
2020-01-08,58.5,58.79,58.17,58.27,731900,0.0,0
2020-01-09,58.32,58.98,58.3,58.96,785800,0.0,0
2020-01-10,59.06,59.5,58.53,58.7,433600,0.0,0
2020-01-13,58.7,59.05,58.69,59.01,713500,0.0,0
2020-01-14,58.95,59.09,58.38,58.63,719700,0.0,0
2020-01-15,58.5,59.36,58.46,59.08,919900,0.0,0
2020-01-16,59.3,59.74,59.24,59.53,691300,0.0,0
2020-01-17,59.6,60.14,59.5,60.02,575500,0.0,0
2020-01-21,59.92,60.29,59.78,59.86,858900,0.0,0
2020-01-22,60.15,60.65,59.93,60.18,470000,0.0,0
2020-01-23,60.25,61.32,59.7,61.21,794700,0.0,0
2020-01-24,61.21,62.02,60.82,62.02,597600,0.0,0
2020-01-27,61.72,62.64,61.61,62.44,655100,0.0,0
2020-01-28,62.53,62.81,61.93,62.17,627700,0.0,0
2020-01-29,62.34,62.92,61.97,62.76,613300,0.0,0
2020-01-30,62.7,63.06,62.5,63.02,440000,0.0,0
2020-01-31,62.94,63.04,61.9,61.98,763100,0.0,0
2020-02-03,62.22,62.89,62.18,62.65,559900,0.0,0
