Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,103.16,103.39,100.91,101.13,2340800,0.0,0
2019-02-06,100.35,101.79,99.1,100.9,1347000,0.0,0
2019-02-07,100.15,100.5,96.95,97.24,1892700,0.0,0
2019-02-08,97.1,97.73,94.38,95.89,1908900,0.0,0
2019-02-11,95.43,97.4,94.16,97.14,1374200,0.0,0
2019-02-12,98.61,100.04,97.52,97.95,1580200,0.0,0
2019-02-13,98.61,101.25,98.28,100.28,1569200,0.0,0
2019-02-14,99.86,103.91,99.76,103.06,1827600,0.0,0
2019-02-15,104.23,106.15,103.32,104.72,2132400,0.0,0
2019-02-19,103.74,105.12,102.44,104.03,2466600,0.0,0
2019-02-20,103.36,107.26,102.85,105.79,3395400,0.125,0
2019-02-21,104.41,105.78,100.44,101.51,2724800,0.0,0
2019-02-22,102.55,103.99,102.0,103.39,1874300,0.0,0
2019-02-25,102.75,104.73,102.21,104.64,1707600,0.0,0
2019-02-26,104.5,106.17,104.11,104.86,1854800,0.0,0
2019-02-27,105.44,107.57,104.68,104.84,1576500,0.0,0
2019-02-28,104.7,104.86,101.96,102.29,2404900,0.0,0
2019-03-01,102.57,105.28,102.57,104.14,1910600,0.0,0
2019-03-04,104.92,105.12,102.09,104.02,1459500,0.0,0
2019-03-05,104.47,104.47,101.62,101.99,1380800,0.0,0
2019-03-06,101.81,101.86,98.82,99.43,1680200,0.0,0
2019-03-07,99.65,100.04,97.1,97.16,1711100,0.0,0
2019-03-08,95.28,95.47,92.3,94.91,1873600,0.0,0
2019-03-11,95.97,97.17,95.41,96.98,1398800,0.0,0
2019-03-12,97.4,100.39,97.4,99.88,1920700,0.0,0
2019-03-13,101.85,102.88,100.71,102.78,2119200,0.0,0
2019-03-14,102.6,105.46,102.6,103.57,2550900,0.0,0
2019-03-15,102.63,103.39,101.32,101.76,1755600,0.0,0
2019-03-18,102.18,103.98,101.35,103.89,1396200,0.0,0
2019-03-19,104.28,104.55,101.99,102.54,1330900,0.0,0
2019-03-20,102.12,105.67,102.06,104.53,1531300,0.0,0
2019-03-21,104.39,105.7,103.71,105.25,1657700,0.0,0
2019-03-22,104.41,104.41,100.45,100.74,1412700,0.0,0
2019-03-25,100.45,100.68,98.61,100.36,1053200,0.0,0
2019-03-26,101.43,103.67,101.31,101.98,1353000,0.0,0
2019-03-27,101.95,102.89,100.56,101.72,880400,0.0,0
2019-03-28,100.89,102.16,100.38,101.91,2086300,0.0,0
2019-03-29,103.14,104.12,100.62,100.9,1508800,0.0,0
2019-04-01,102.26,103.56,101.72,103.05,1414000,0.0,0
2019-04-02,103.26,103.91,101.78,101.86,1209100,0.0,0
2019-04-03,102.35,102.81,98.9,99.34,1492000,0.0,0
2019-04-04,99.38,99.91,98.19,99.22,1751900,0.0,0
2019-04-05,99.95,102.21,99.44,101.82,1951600,0.0,0
2019-04-08,102.16,104.51,102.16,103.7,1577000,0.0,0
2019-04-09,103.15,103.44,101.59,102.2,1236700,0.0,0
2019-04-10,102.27,103.85,101.97,103.23,1208200,0.0,0
2019-04-11,102.67,102.73,99.22,99.3,3192700,0.0,0
2019-04-12,104.35,107.42,103.87,105.62,3828700,0.0,0
2019-04-15,106.04,107.46,104.69,105.3,1716500,0.0,0
2019-04-16,105.89,106.75,104.8,106.21,2224300,0.0,0
2019-04-17,107.2,108.79,106.47,107.57,1890500,0.0,0
2019-04-18,108.53,108.82,106.56,106.62,1480600,0.0,0
2019-04-22,108.15,110.78,107.61,110.51,2347500,0.0,0
2019-04-23,110.51,112.1,109.46,111.12,2130300,0.0,0
2019-04-24,111.66,112.27,109.55,110.35,2721500,0.0,0
2019-04-25,110.43,111.27,108.82,108.93,1261700,0.0,0
2019-04-26,108.02,108.13,105.07,106.55,1817400,0.0,0
