Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,410.13,410.13,406.44,408.39,34400,0.0,0
2019-02-06,408.57,410.4,406.29,409.51,16400,0.0,0
2019-02-07,410.28,413.96,398.63,411.78,25000,0.0,0
2019-02-08,409.68,418.1,408.42,411.5,28200,0.0,0
2019-02-11,411.34,416.26,411.34,415.5,29000,0.0,0
2019-02-12,417.05,426.21,417.05,423.56,30100,0.0,0
2019-02-13,423.73,427.19,420.57,423.53,38900,0.0,0
2019-02-14,422.26,424.33,420.05,422.17,24700,0.0,0
2019-02-15,424.15,429.28,424.15,427.96,15400,0.0,0
2019-02-19,426.54,435.01,426.54,434.3,22200,0.0,0
2019-02-20,433.91,437.92,431.81,436.17,21300,0.0,0
2019-02-21,435.74,439.36,435.74,437.82,46500,0.0,0
2019-02-22,438.18,441.38,435.49,438.01,31500,0.0,0
2019-02-25,440.44,443.47,434.49,435.81,28300,0.0,0
2019-02-26,433.5,438.02,432.11,433.34,54100,0.0,0
2019-02-27,434.19,437.39,432.17,437.28,16600,0.0,0
2019-02-28,436.42,437.24,434.86,435.07,26300,0.0,0
2019-03-01,436.07,438.73,434.5,436.59,28000,0.0,0
2019-03-04,437.24,441.91,435.99,438.28,39500,0.0,0
2019-03-05,435.5,435.98,432.11,434.66,28900,0.0,0
2019-03-06,434.44,434.44,423.9,425.03,29700,0.0,0
2019-03-07,423.54,425.99,419.55,420.87,26800,0.0,0
2019-03-08,417.54,422.92,417.54,421.78,46800,0.0,0
2019-03-11,422.36,429.94,419.57,427.14,32900,0.0,0
2019-03-12,428.27,428.39,423.02,423.02,36700,0.0,0
2019-03-13,424.5,426.76,424.5,425.32,32500,0.0,0
2019-03-14,425.75,426.42,422.95,425.75,30700,0.0,0
2019-03-15,425.92,428.62,421.01,423.17,113700,0.4,0
2019-03-18,423.22,430.51,423.22,429.86,51600,0.0,0
2019-03-19,430.27,435.79,418.88,418.99,34700,0.0,0
2019-03-20,418.26,423.76,405.08,406.68,54400,0.0,0
2019-03-21,404.87,406.97,399.89,401.96,37500,0.0,0
2019-03-22,399.76,399.76,385.19,386.63,39000,0.0,0
2019-03-25,384.46,389.0,380.54,385.13,70800,0.0,0
2019-03-26,386.99,397.91,385.52,397.78,40500,0.0,0
2019-03-27,397.94,402.74,389.01,400.45,41800,0.0,0
2019-03-28,403.78,408.47,399.74,407.52,32500,0.0,0
2019-03-29,411.46,412.36,404.5,406.18,39600,0.0,0
2019-04-01,410.96,423.11,408.97,421.15,29500,0.0,0
2019-04-02,421.69,422.47,417.09,418.94,25900,0.0,0
2019-04-03,421.19,424.17,417.43,417.98,35600,0.0,0
2019-04-04,417.45,423.39,417.45,421.69,15900,0.0,0
2019-04-05,422.23,424.88,421.48,422.63,20200,0.0,0
2019-04-08,418.77,426.76,418.77,423.93,29400,0.0,0
2019-04-09,422.87,424.13,419.21,421.09,35800,0.0,0
2019-04-10,421.54,427.02,420.78,426.11,35800,0.0,0
2019-04-11,426.65,432.26,424.91,429.02,30600,0.0,0
2019-04-12,431.28,437.65,431.28,436.91,25100,0.0,0
2019-04-15,435.42,436.75,424.09,429.41,30300,0.0,0
2019-04-16,431.78,440.89,430.95,440.89,36800,0.0,0
2019-04-17,441.96,442.88,437.4,439.47,28900,0.0,0
2019-04-18,439.39,441.26,432.77,434.09,25600,0.0,0
2019-04-22,435.78,435.78,429.2,432.09,27100,0.0,0
2019-04-23,430.12,442.12,430.05,441.64,31500,0.0,0
2019-04-24,439.89,446.18,439.14,439.24,41100,0.0,0
2019-04-25,438.69,443.29,437.37,440.91,47800,0.0,0
2019-04-26,442.64,446.86,440.73,444.93,23900,0.0,0
2019-04-29,444.88,452.62,444.88,448.08,29100,0.0,0
2019-04-30,447.37,450.36,446.14,447.12,43300,0.0,0
2019-05-01,448.82,452.86,442.85,445.44,44700,0.0,0
2019-05-02,444.88,455.02,444.88,452.05,31300,0.0,0
2019-05-03,457.31,460.34,454.86,455.84,35300,0.0,0
2019-05-06,450.14,461.48,450.14,458.5,40900,0.0,0
2019-05-07,453.86,457.29,451.08,451.69,26100,0.0,0
2019-05-08,451.99,455.25,450.12,451.66,35100,0.0,0
2019-05-09,446.04,451.66,445.48,447.37,59300,0.0,0
2019-05-10,446.41,450.54,437.64,450.45,33400,0.0,0
2019-05-13,445.78,446.21,434.41,434.64,41700,0.0,0
2019-05-14,438.29,447.78,436.79,445.27,53200,0.0,0
2019-05-15,443.91,444.4,437.51,442.62,62600,0.0,0
2019-05-16,443.88,449.68,443.55,446.6,93600,0.0,0
2019-05-17,436.9,447.7,436.9,441.86,44100,0.0,0
2019-05-20,442.03,446.62,440.64,445.28,62800,0.0,0
2019-05-21,445.72,447.87,443.5,444.49,90400,0.0,0
2019-05-22,443.15,450.35,443.15,447.16,65400,0.0,0
2019-05-23,444.73,444.73,434.08,436.0,46900,0.0,0
2019-05-24,437.5,440.22,434.09,436.24,47900,0.0,0
2019-05-28,435.95,436.9,427.81,430.82,62200,0.0,0
2019-05-29,429.18,433.09,424.88,432.19,32300,0.0,0
2019-05-30,433.64,433.71,421.01,422.27,64000,0.0,0
2019-05-31,418.84,422.07,417.95,419.04,59300,0.0,0
2019-06-03,420.64,427.94,417.36,423.81,71900,0.0,0
2019-06-04,427.52,434.56,427.37,434.3,92600,0.0,0
2019-06-05,435.01,443.73,430.91,438.24,71300,0.0,0
2019-06-06,438.5,439.89,431.93,438.19,80500,0.0,0
2019-06-07,437.88,440.39,433.28,434.75,100100,0.0,0
2019-06-10,438.55,446.83,438.2,444.11,109800,0.0,0
2019-06-11,444.46,448.35,433.61,435.21,72400,0.0,0
2019-06-12,433.61,435.79,424.63,433.55,155200,0.0,0
2019-06-13,425.32,436.98,425.32,429.04,75800,0.0,0
2019-06-14,429.15,436.66,425.07,434.26,76600,0.4,0
2019-06-17,434.2,437.19,427.72,428.32,89000,0.0,0
2019-06-18,429.08,436.13,429.08,431.4,51600,0.0,0
2019-06-19,432.05,444.1,432.05,439.58,81900,0.0,0
2019-06-20,443.23,443.23,431.84,439.15,102300,0.0,0
2019-06-21,437.88,439.61,434.45,434.54,89600,0.0,0
2019-06-24,433.11,437.76,429.05,429.32,50500,0.0,0
2019-06-25,429.31,430.52,422.32,427.33,80800,0.0,0
2019-06-26,428.16,432.59,426.12,430.4,65100,0.0,0
2019-06-27,429.81,439.5,428.68,436.22,71500,0.0,0
2019-06-28,438.84,452.04,438.84,449.56,136600,0.0,0
2019-07-01,453.68,457.1,451.45,452.49,57800,0.0,0
2019-07-02,452.88,453.48,445.49,449.06,39200,0.0,0
2019-07-03,447.34,453.22,445.59,452.5,41300,0.0,0
2019-07-05,452.14,458.53,452.14,458.05,81000,0.0,0
2019-07-08,455.28,456.41,450.53,452.95,73100,0.0,0
2019-07-09,454.98,455.78,448.53,452.69,57500,0.0,0
2019-07-10,453.83,453.83,448.42,450.5,65200,0.0,0
2019-07-11,451.83,464.11,450.6,460.11,85500,0.0,0
2019-07-12,462.61,462.79,458.76,459.73,56000,0.0,0
2019-07-15,455.16,458.54,446.28,449.31,42800,0.0,0
2019-07-16,452.68,455.93,448.39,454.28,30100,0.0,0
2019-07-17,456.61,456.61,449.84,452.68,35100,0.0,0
2019-07-18,452.63,457.68,444.29,455.28,40900,0.0,0
2019-07-19,455.11,460.82,454.9,458.78,29800,0.0,0
2019-07-22,458.55,458.55,450.32,450.38,26900,0.0,0
2019-07-23,452.62,458.65,451.95,457.05,62000,0.0,0
2019-07-24,455.72,466.34,454.78,461.66,43900,0.0,0
2019-07-25,461.67,465.65,456.27,459.73,58100,0.0,0
2019-07-26,461.22,468.98,461.22,465.97,44600,0.0,0
2019-07-29,465.38,467.51,455.74,456.42,47700,0.0,0
2019-07-30,454.11,466.18,454.11,464.95,57600,0.0,0
2019-07-31,466.26,476.8,461.12,466.28,64600,0.0,0
2019-08-01,464.86,474.75,449.15,450.38,45400,0.0,0
2019-08-02,449.88,450.28,442.3,445.19,39000,0.0,0
2019-08-05,437.3,439.2,427.6,432.13,53700,0.0,0
2019-08-06,434.42,438.5,429.05,436.41,37700,0.0,0
2019-08-07,431.41,435.86,425.6,434.39,40700,0.0,0
2019-08-08,437.06,448.6,437.06,444.27,41200,0.0,0
2019-08-09,443.22,444.33,438.35,444.33,35700,0.0,0
2019-08-12,441.21,443.86,436.99,439.75,34200,0.0,0
2019-08-13,439.8,451.28,439.8,442.71,42100,0.0,0
2019-08-14,436.36,439.56,428.18,431.41,46100,0.0,0
2019-08-15,431.78,436.83,429.11,430.52,46700,0.0,0
2019-08-16,432.11,445.07,432.11,443.74,47500,0.0,0
2019-08-19,449.13,449.98,445.9,446.49,51800,0.0,0
2019-08-20,443.0,446.33,442.07,446.22,42900,0.0,0
2019-08-21,449.52,451.51,444.64,444.99,54400,0.0,0
2019-08-22,446.63,449.85,444.27,448.33,28300,0.0,0
2019-08-23,446.93,449.09,431.62,432.54,29700,0.0,0
2019-08-26,435.81,440.41,433.94,438.39,28000,0.0,0
2019-08-27,439.8,442.64,426.43,426.63,62300,0.0,0
2019-08-28,425.27,437.71,425.27,434.3,63700,0.0,0
2019-08-29,438.7,445.4,438.7,443.35,49000,0.0,0
2019-08-30,446.13,448.36,441.99,443.89,29600,0.0,0
2019-09-03,439.12,439.29,432.05,433.71,25000,0.0,0
2019-09-04,436.35,440.17,434.7,438.8,43300,0.0,0
2019-09-05,443.69,453.01,443.69,452.37,49100,0.0,0
2019-09-06,458.38,458.38,445.33,448.25,44400,0.0,0
2019-09-09,446.44,461.27,446.39,459.29,43900,0.0,0
2019-09-10,457.78,469.77,457.46,466.93,28900,0.0,0
2019-09-11,467.14,472.77,461.78,470.75,31500,0.0,0
2019-09-12,471.25,477.19,467.94,477.01,50400,0.0,0
2019-09-13,482.63,484.64,479.29,480.36,38700,0.4,0
2019-09-16,478.64,483.61,473.64,478.91,27100,0.0,0
2019-09-17,475.53,479.72,473.14,476.84,37300,0.0,0
2019-09-18,475.82,483.94,474.49,481.94,51200,0.0,0
2019-09-19,482.71,485.78,474.95,475.64,39800,0.0,0
2019-09-20,477.27,479.97,472.75,473.86,107000,0.0,0
2019-09-23,474.15,480.12,469.93,475.62,57500,0.0,0
2019-09-24,476.74,476.84,467.2,471.18,46900,0.0,0
2019-09-25,473.44,481.64,471.18,478.24,46200,0.0,0
2019-09-26,474.69,477.34,471.83,472.65,27600,0.0,0
2019-09-27,474.44,479.64,472.92,473.55,40300,0.0,0
2019-09-30,474.54,476.81,470.51,471.2,38000,0.0,0
2019-10-01,472.34,476.58,465.06,467.36,56600,0.0,0
2019-10-02,463.61,465.55,459.19,462.75,41500,0.0,0
