Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,14.51,14.51,14.3,14.4,2425500,0.0,0
2019-02-06,14.37,14.46,14.28,14.39,1645000,0.0,0
2019-02-07,14.57,15.07,14.57,14.78,6365900,0.0,0
2019-02-08,14.72,14.87,14.56,14.78,2729100,0.0,0
2019-02-11,14.79,14.98,14.75,14.88,2282300,0.0,0
2019-02-12,15.02,15.16,14.95,15.04,2797400,0.0,0
2019-02-13,15.07,15.13,14.99,15.0,3496400,0.0,0
2019-02-14,14.84,14.86,14.63,14.73,4386600,0.0,0
2019-02-15,14.89,15.09,14.79,15.03,2129700,0.0,0
2019-02-19,14.96,15.11,14.92,15.07,1752800,0.0,0
2019-02-20,15.09,15.21,14.98,15.21,2353200,0.0,0
2019-02-21,15.23,15.23,15.05,15.18,1822200,0.0,0
2019-02-22,15.18,15.2,15.05,15.15,1909200,0.0,0
2019-02-25,15.31,15.36,15.1,15.14,2821800,0.0,0
2019-02-26,15.1,15.17,14.89,14.92,2445200,0.0,0
2019-02-27,14.94,15.15,14.88,15.14,1446100,0.0,0
2019-02-28,15.15,15.24,15.05,15.07,2234800,0.0,0
2019-03-01,15.19,15.27,14.85,15.0,3881100,0.0,0
2019-03-04,15.0,15.13,14.86,15.01,2637400,0.0,0
2019-03-05,14.99,15.03,14.72,14.95,1866900,0.0,0
2019-03-06,14.9,14.96,14.6,14.64,2068400,0.0,0
2019-03-07,14.56,14.56,14.28,14.3,2658000,0.0,0
2019-03-08,14.27,14.35,14.17,14.3,2201000,0.0,0
2019-03-11,14.35,14.41,14.28,14.32,2949600,0.0,0
2019-03-12,14.36,14.43,14.23,14.32,1671800,0.0,0
2019-03-13,14.35,14.46,14.3,14.4,3255200,0.0,0
2019-03-14,14.43,14.51,14.38,14.48,1538500,0.14,0
2019-03-15,14.44,14.58,14.4,14.58,4888100,0.0,0
2019-03-18,14.65,14.96,14.62,14.84,3434900,0.0,0
2019-03-19,14.92,14.92,14.43,14.45,2164200,0.0,0
2019-03-20,14.4,14.49,13.98,14.0,2292200,0.0,0
2019-03-21,13.89,14.09,13.67,13.7,5025500,0.0,0
2019-03-22,13.52,13.52,12.95,13.1,5906000,0.0,0
2019-03-25,13.1,13.28,13.0,13.17,2526200,0.0,0
2019-03-26,13.31,13.49,13.22,13.46,2574100,0.0,0
2019-03-27,13.45,13.55,13.29,13.5,2718800,0.0,0
2019-03-28,13.54,13.7,13.44,13.6,3656400,0.0,0
2019-03-29,13.76,13.79,13.56,13.61,2941500,0.0,0
2019-04-01,13.71,14.07,13.65,14.06,3134500,0.0,0
2019-04-02,14.0,14.17,13.9,13.99,2224600,0.0,0
2019-04-03,14.16,14.24,13.95,14.02,2609400,0.0,0
2019-04-04,14.02,14.3,13.99,14.29,2586500,0.0,0
