Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,48.49,49.31,48.19,48.72,630200,0.0,0
2019-02-06,48.71,49.21,48.56,49.11,673700,0.0,0
2019-02-07,48.81,49.14,48.46,48.94,881800,0.0,0
2019-02-08,48.76,49.13,48.49,49.12,1043800,0.0,0
2019-02-11,49.18,49.32,48.78,48.92,747900,0.0,0
2019-02-12,49.34,50.29,49.14,50.17,1424100,0.0,0
2019-02-13,50.33,51.9,50.33,51.0,1666500,0.0,0
2019-02-14,51.29,51.5,50.68,50.8,1433600,0.0,0
2019-02-15,51.13,51.87,50.82,51.72,1265000,0.0,0
2019-02-19,51.72,51.96,51.24,51.35,807400,0.0,0
2019-02-20,51.38,52.13,51.05,52.1,1348000,0.0,0
2019-02-21,51.95,52.26,51.43,51.73,666900,0.17,0
2019-02-22,51.97,52.27,51.7,52.07,576100,0.0,0
2019-02-25,52.33,52.67,52.05,52.1,1123000,0.0,0
2019-02-26,52.06,52.17,51.45,51.55,772400,0.0,0
2019-02-27,51.22,51.41,51.1,51.23,728500,0.0,0
2019-02-28,51.06,51.31,50.91,50.93,774600,0.0,0
2019-03-01,51.29,51.38,50.52,50.99,636100,0.0,0
2019-03-04,51.24,51.44,50.38,50.76,681700,0.0,0
2019-03-05,49.85,50.76,49.85,50.35,681800,0.0,0
2019-03-06,50.51,50.57,49.97,50.02,484500,0.0,0
2019-03-07,49.85,50.03,49.35,49.54,701500,0.0,0
2019-03-08,49.14,49.23,48.62,49.01,706800,0.0,0
2019-03-11,49.06,50.07,48.95,50.04,805300,0.0,0
2019-03-12,50.18,50.33,49.85,50.0,703600,0.0,0
2019-03-13,50.35,50.77,49.72,50.14,1363900,0.0,0
2019-03-14,50.18,50.31,49.79,50.03,997000,0.0,0
2019-03-15,50.15,50.29,49.55,49.64,1273000,0.0,0
2019-03-18,49.65,49.95,48.61,48.75,1305600,0.0,0
2019-03-19,48.84,49.01,47.81,47.94,1637500,0.0,0
2019-03-20,47.94,48.12,47.04,47.7,1956100,0.0,0
2019-03-21,47.69,48.47,47.69,48.3,1427900,0.0,0
2019-03-22,48.19,48.31,46.73,47.06,1043900,0.0,0
2019-03-25,46.99,47.3,46.67,46.75,1097800,0.0,0
2019-03-26,47.02,47.02,46.31,46.47,813300,0.0,0
2019-03-27,46.6,46.82,46.04,46.27,1142700,0.0,0
2019-03-28,46.43,47.04,46.42,46.85,916800,0.0,0
2019-03-29,47.2,47.31,46.79,47.1,902900,0.0,0
2019-04-01,47.51,48.51,47.4,48.27,1004400,0.0,0
2019-04-02,48.29,48.42,47.95,48.09,640400,0.0,0
2019-04-03,48.36,48.6,47.86,47.96,543800,0.0,0
2019-04-04,47.91,48.29,47.41,47.47,637900,0.0,0
2019-04-05,47.75,48.9,47.39,47.85,654400,0.0,0
2019-04-08,47.75,48.55,47.69,48.52,650200,0.0,0
2019-04-09,48.33,48.72,47.79,47.96,495900,0.0,0
2019-04-10,47.9,48.3,47.67,48.27,599700,0.0,0
2019-04-11,48.36,49.06,48.18,48.79,711200,0.0,0
2019-04-12,49.13,49.53,48.98,49.34,1032200,0.0,0
2019-04-15,49.31,49.5,48.71,49.0,437800,0.0,0
2019-04-16,49.11,49.28,49.05,49.1,445000,0.0,0
2019-04-17,49.29,49.49,48.9,49.02,601300,0.0,0
2019-04-18,48.92,49.5,48.6,49.48,683000,0.0,0
2019-04-22,49.33,49.6,49.06,49.34,569100,0.0,0
2019-04-23,49.57,50.27,49.57,50.14,889100,0.0,0
2019-04-24,50.98,54.6,50.32,52.88,3449300,0.0,0
2019-04-25,52.37,53.21,50.76,51.51,2776300,0.0,0
2019-04-26,51.5,51.5,50.27,51.01,1164900,0.0,0
2019-04-29,51.12,52.46,50.81,52.05,1218800,0.0,0
2019-04-30,51.85,52.48,51.43,52.41,1320800,0.0,0
2019-05-01,52.58,53.37,52.17,52.46,1213500,0.0,0
2019-05-02,52.43,52.49,51.28,51.53,1067200,0.0,0
2019-05-03,51.82,52.43,51.62,52.28,670000,0.0,0
2019-05-06,51.01,52.15,50.98,52.03,629600,0.0,0
2019-05-07,51.62,51.86,51.29,51.59,1028400,0.0,0
2019-05-08,51.46,51.51,51.0,51.18,591600,0.0,0
2019-05-09,50.81,51.48,50.61,51.28,921300,0.0,0
2019-05-10,51.15,51.46,50.06,50.86,819400,0.0,0
2019-05-13,49.84,50.04,48.65,48.96,941900,0.0,0
2019-05-14,49.2,49.84,49.02,49.38,631500,0.0,0
2019-05-15,49.0,49.57,48.76,49.35,564000,0.0,0
