Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,24.24,24.26,24.24,24.25,107500,0.0,0
2019-02-06,24.25,24.3,24.24,24.25,659000,0.0,0
2019-02-07,24.25,24.28,24.24,24.28,379000,0.0,0
2019-02-08,24.25,24.28,24.25,24.28,180400,0.0,0
2019-02-11,24.25,24.3,24.25,24.3,73600,0.0,0
2019-02-12,24.28,24.32,24.28,24.3,256100,0.0,0
2019-02-13,24.28,24.33,24.28,24.29,144200,0.0,0
2019-02-14,24.31,24.31,24.28,24.29,319500,0.0,0
2019-02-15,24.28,24.31,24.28,24.31,203800,0.0,0
2019-02-19,24.29,24.32,24.28,24.32,127200,0.0,0
2019-02-20,24.3,24.32,24.3,24.32,115000,0.0,0
2019-02-21,24.3,24.33,24.3,24.31,558100,0.0,0
2019-02-22,24.3,24.35,24.3,24.32,349700,0.0,0
2019-02-25,24.35,24.36,24.35,24.35,125100,0.0,0
2019-02-26,24.36,24.37,24.35,24.35,101600,0.0,0
2019-02-27,24.35,24.37,24.35,24.37,98500,0.0,0
2019-02-28,24.36,24.37,24.36,24.37,127400,0.0,0
2019-03-01,24.38,24.39,24.38,24.38,154700,0.066,0
2019-03-04,24.4,24.41,24.4,24.41,65500,0.0,0
2019-03-05,24.39,24.42,24.39,24.42,75900,0.0,0
2019-03-06,24.39,24.42,24.39,24.41,224200,0.0,0
2019-03-07,24.4,24.42,24.38,24.38,793500,0.0,0
2019-03-08,24.38,24.4,24.38,24.4,104500,0.0,0
2019-03-11,24.4,24.41,24.39,24.4,157300,0.0,0
2019-03-12,24.39,24.4,24.39,24.4,248000,0.0,0
2019-03-13,24.4,24.41,24.4,24.41,69400,0.0,0
2019-03-14,24.4,24.42,24.4,24.41,67100,0.0,0
2019-03-15,24.41,24.42,24.41,24.41,112000,0.0,0
2019-03-18,24.42,24.45,24.41,24.45,79800,0.0,0
2019-03-19,24.43,24.46,24.43,24.44,94300,0.0,0
2019-03-20,24.43,24.45,24.43,24.44,122300,0.0,0
2019-03-21,24.43,24.46,24.43,24.46,142300,0.0,0
2019-03-22,24.45,24.47,24.44,24.45,185700,0.0,0
2019-03-25,24.44,24.46,24.43,24.46,610400,0.0,0
2019-03-26,24.44,24.46,24.43,24.45,130900,0.0,0
2019-03-27,24.45,24.48,24.45,24.48,135000,0.0,0
2019-03-28,24.48,24.48,24.46,24.47,72700,0.0,0
2019-03-29,24.48,24.5,24.47,24.49,213800,0.0,0
2019-04-01,24.5,24.52,24.49,24.51,182600,0.075,0
2019-04-02,24.5,24.51,24.49,24.51,61000,0.0,0
2019-04-03,24.5,24.54,24.5,24.52,272000,0.0,0
2019-04-04,24.53,24.54,24.52,24.54,41400,0.0,0
2019-04-05,24.52,24.55,24.52,24.53,150700,0.0,0
2019-04-08,24.55,24.57,24.52,24.56,1252700,0.0,0
2019-04-09,24.54,24.55,24.53,24.55,464300,0.0,0
2019-04-10,24.57,24.57,24.55,24.56,46300,0.0,0
2019-04-11,24.56,24.57,24.55,24.57,179200,0.0,0
2019-04-12,24.57,24.58,24.57,24.57,255800,0.0,0
