Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,33.75,33.86,32.69,32.91,994300,0,0
2019-02-06,32.94,33.54,32.77,32.81,701600,0,0
2019-02-07,32.62,33.3,31.93,32.72,951900,0,0
2019-02-08,32.46,32.94,31.89,32.32,558900,0,0
2019-02-11,31.31,32.32,31.1,32.23,866300,0,0
2019-02-12,32.49,34.1,32.49,33.71,1094000,0,0
2019-02-13,33.96,35.02,33.73,34.91,1405400,0,0
2019-02-14,34.36,34.99,33.77,34.68,1418200,0,0
2019-02-15,35.01,36.32,34.73,34.84,1238600,0,0
2019-02-19,34.82,35.7,34.82,34.98,1238100,0,0
2019-02-20,35.25,36.91,35.12,36.73,2085100,0,0
2019-02-21,36.32,39.61,36.1,37.39,2863500,0,0
2019-02-22,37.31,38.57,37.28,37.94,1834100,0,0
2019-02-25,38.3,39.11,38.13,38.75,1487600,0,0
2019-02-26,37.21,38.4,37.1,37.81,4618000,0,0
2019-02-27,38.03,38.83,37.61,37.65,1348900,0,0
2019-02-28,37.6,37.77,36.27,37.18,1410800,0,0
2019-03-01,37.75,38.83,37.58,38.65,2626200,0,0
2019-03-04,38.96,39.06,37.36,38.1,1320600,0,0
2019-03-05,38.49,38.69,38.06,38.5,633700,0,0
2019-03-06,38.79,39.31,38.42,38.7,943500,0,0
2019-03-07,38.37,39.07,38.19,38.32,1022500,0,0
2019-03-08,37.97,39.5,37.66,39.19,1186000,0,0
2019-03-11,39.33,40.05,39.01,40.02,1142100,0,0
2019-03-12,40.0,40.19,39.53,39.98,1117700,0,0
2019-03-13,40.22,40.45,39.91,40.1,1162200,0,0
2019-03-14,39.76,39.76,37.02,38.45,3425300,0,0
2019-03-15,38.49,39.32,38.29,38.87,1923700,0,0
2019-03-18,38.81,39.26,37.91,38.4,967800,0,0
2019-03-19,38.53,39.15,38.11,38.76,894000,0,0
2019-03-20,38.53,38.75,37.61,38.23,580400,0,0
2019-03-21,38.95,41.25,38.95,41.01,1051500,0,0
2019-03-22,40.72,40.99,39.58,39.79,974400,0,0
2019-03-25,39.57,40.22,39.12,39.87,711800,0,0
2019-03-26,40.33,40.41,39.87,40.2,845000,0,0
2019-03-27,40.18,40.87,40.1,40.67,993800,0,0
2019-03-28,40.81,41.52,40.76,41.51,683800,0,0
2019-03-29,41.7,42.18,41.12,41.22,837400,0,0
2019-04-01,41.57,41.96,41.29,41.45,934900,0,0
2019-04-02,41.41,41.77,41.22,41.34,1952600,0,0
2019-04-03,41.58,42.17,41.23,42.02,812500,0,0
2019-04-04,42.01,44.11,41.93,43.89,1447600,0,0
2019-04-05,42.67,44.45,42.49,44.4,796000,0,0
2019-04-08,43.45,44.53,43.02,44.52,684700,0,0
2019-04-09,44.53,44.59,43.96,44.14,624400,0,0
2019-04-10,44.28,45.39,44.21,45.25,907900,0,0
2019-04-11,45.26,45.87,45.01,45.86,634700,0,0
2019-04-12,46.17,46.67,46.09,46.51,441300,0,0
2019-04-15,45.35,46.45,45.3,46.01,681800,0,0
2019-04-16,46.21,47.03,45.98,46.52,455100,0,0
2019-04-17,46.92,46.92,46.04,46.06,554700,0,0
2019-04-18,46.19,46.5,45.76,46.42,465300,0,0
2019-04-22,46.33,46.98,45.3,45.36,747300,0,0
2019-04-23,45.82,47.9,45.56,47.37,786800,0,0
2019-04-24,47.86,48.72,47.75,48.12,933500,0,0
2019-04-25,47.78,48.2,46.75,47.87,614200,0,0
2019-04-26,47.87,48.54,47.57,47.85,543200,0,0
2019-04-29,47.92,48.11,47.25,47.51,759900,0,0
2019-04-30,47.25,48.31,46.87,48.02,531100,0,0
2019-05-01,48.22,48.53,47.34,47.59,849900,0,0
2019-05-02,47.24,48.47,47.24,48.29,1523500,0,0
2019-05-03,42.11,45.5,42.11,44.03,3964300,0,0
2019-05-06,42.72,44.31,42.26,44.05,1917500,0,0
2019-05-07,43.62,43.84,41.82,42.55,1601900,0,0
2019-05-08,42.54,42.88,41.94,42.33,1465700,0,0
2019-05-09,41.93,42.4,41.26,42.15,1421100,0,0
2019-05-10,41.95,42.16,40.09,41.38,1347500,0,0
2019-05-13,39.97,40.06,38.48,38.69,1616200,0,0
2019-05-14,39.11,41.23,38.98,41.02,1645600,0,0
2019-05-15,40.54,42.77,40.35,42.43,1252100,0,0
2019-05-16,42.43,42.96,41.2,41.31,1578900,0,0
2019-05-17,40.86,41.81,40.27,40.9,1213500,0,0
2019-05-20,40.19,40.38,38.61,39.89,1575500,0,0
2019-05-21,39.87,40.18,39.54,40.12,1272800,0,0
2019-05-22,40.01,40.07,38.74,38.9,823600,0,0
2019-05-23,38.44,38.6,36.21,37.07,2085900,0,0
2019-05-24,37.35,38.18,37.23,38.01,739200,0,0
2019-05-28,38.0,38.7,36.28,36.36,1109500,0,0
2019-05-29,36.0,36.32,35.17,36.16,1043300,0,0
2019-05-30,36.42,37.54,36.19,36.7,884800,0,0
2019-05-31,36.04,36.19,35.24,35.52,1029300,0,0
2019-06-03,35.43,36.78,35.41,36.15,1879400,0,0
2019-06-04,36.54,37.72,36.31,37.53,1099700,0,0
2019-06-05,38.0,38.65,37.22,38.03,1135400,0,0
2019-06-06,37.75,37.9,35.48,36.82,1624300,0,0
2019-06-07,37.2,37.64,36.39,36.68,891900,0,0
2019-06-10,36.91,37.76,36.4,36.71,1079200,0,0
2019-06-11,37.09,37.37,35.98,36.2,876700,0,0
2019-06-12,36.22,38.08,35.88,37.91,1715000,0,0
2019-06-13,38.11,38.28,37.46,38.17,827600,0,0
2019-06-14,38.08,39.71,37.83,39.3,1303200,0,0
2019-06-17,39.46,40.05,39.1,39.85,801600,0,0
2019-06-18,40.21,42.01,39.65,41.44,1363900,0,0
2019-06-19,41.46,41.85,40.72,41.73,948800,0,0
2019-06-20,42.2,42.53,41.22,41.95,601500,0,0
2019-06-21,41.93,42.07,41.17,41.46,1622700,0,0
2019-06-24,41.33,41.62,40.46,40.65,1173700,0,0
2019-06-25,40.65,40.81,38.35,38.79,1001900,0,0
2019-06-26,39.08,39.76,39.08,39.25,835600,0,0
2019-06-27,39.48,40.43,39.33,40.19,613900,0,0
2019-06-28,40.52,42.1,40.52,41.9,1177600,0,0
