Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,98.91,98.93,97.25,98.65,1176000,0.0,0
2019-02-06,98.42,99.11,98.11,99.08,865600,0.0,0
2019-02-07,99.67,100.15,98.65,99.94,1151000,0.0,0
2019-02-08,99.72,100.06,98.72,99.81,1303100,0.0,0
2019-02-11,100.16,100.27,99.11,99.68,1113000,0.0,0
2019-02-12,100.55,100.86,99.65,100.18,1227600,0.0,0
2019-02-13,100.32,100.51,99.36,99.68,1303100,0.0,0
2019-02-14,99.05,99.09,97.68,98.83,1159200,0.0,0
2019-02-15,99.73,101.09,99.6,100.9,1227800,0.0,0
2019-02-19,100.02,101.56,98.71,101.27,1024200,0.0,0
2019-02-20,101.44,102.63,100.88,102.45,824400,0.0,0
2019-02-21,102.4,102.69,101.52,102.55,1172200,0.0,0
2019-02-22,102.72,103.31,102.31,102.93,942500,0.0,0
2019-02-25,103.45,103.85,102.45,102.92,844200,0.0,0
2019-02-26,102.61,103.51,102.2,102.54,1251200,0.0,0
2019-02-27,102.67,104.26,102.29,104.19,821800,0.0,0
2019-02-28,104.33,105.43,104.16,104.23,1281300,0.0,0
2019-03-01,104.13,105.19,103.43,104.68,941200,0.0,0
2019-03-04,104.86,105.0,102.74,104.02,900000,0.0,0
2019-03-05,103.77,104.81,103.01,104.21,669500,0.0,0
2019-03-06,103.99,104.49,101.99,102.29,846900,0.0,0
2019-03-07,101.72,101.91,100.4,100.8,997100,0.0,0
2019-03-08,100.08,101.18,100.04,100.99,594400,0.0,0
2019-03-11,101.25,102.17,101.0,101.9,1029000,0.0,0
2019-03-12,102.26,102.26,100.89,101.75,974100,0.0,0
2019-03-13,102.24,102.47,101.49,102.08,1028200,0.0,0
2019-03-14,101.87,102.79,101.7,102.18,619400,0.0,0
2019-03-15,101.95,103.5,101.84,102.82,1444300,0.0,0
2019-03-18,103.26,104.7,103.11,104.66,1024900,0.0,0
2019-03-19,104.99,105.15,102.98,103.25,891100,0.0,0
2019-03-20,103.22,103.69,101.01,101.17,1010800,0.0,0
2019-03-21,100.34,102.08,100.27,100.81,1074900,0.0,0
2019-03-22,99.39,99.76,96.39,97.4,1636900,0.0,0
2019-03-25,97.72,98.97,97.28,98.4,894100,0.0,0
2019-03-26,98.94,99.99,98.55,99.91,842600,0.0,0
2019-03-27,99.64,100.29,98.93,99.73,693700,0.0,0
2019-03-28,99.71,100.49,99.06,99.83,976300,0.0,0
2019-03-29,100.71,101.16,99.62,99.74,848400,0.0,0
2019-04-01,101.03,101.85,100.34,101.78,1639100,0.0,0
2019-04-02,101.86,103.51,101.6,102.96,969800,0.0,0
2019-04-03,103.81,104.18,103.04,103.49,779800,0.0,0
2019-04-04,103.28,104.11,103.03,103.85,858500,0.0,0
2019-04-05,104.13,104.5,103.38,104.02,828400,0.0,0
2019-04-08,103.84,104.24,103.12,103.52,1105300,0.0,0
2019-04-09,103.17,103.34,101.55,101.95,1826600,0.0,0
2019-04-10,102.29,102.77,101.5,102.62,1888100,0.0,0
2019-04-11,103.0,103.25,101.66,101.83,1536600,0.0,0
2019-04-12,99.28,102.19,98.69,101.07,2953200,0.0,0
2019-04-15,100.75,101.36,99.57,100.9,1382400,0.0,0
2019-04-16,101.15,102.7,100.72,102.26,1355000,0.0,0
2019-04-17,102.73,102.75,101.58,102.47,1136000,0.0,0
2019-04-18,102.19,103.6,101.69,102.88,996800,0.0,0
2019-04-22,102.53,103.13,101.89,103.09,998000,0.0,0
2019-04-23,103.03,105.57,102.9,105.5,1246200,0.0,0
2019-04-24,105.18,105.87,104.39,105.7,951500,0.19,0
2019-04-25,105.33,106.41,104.52,105.55,805600,0.0,0
2019-04-26,105.55,106.0,104.85,105.79,641600,0.0,0
2019-04-29,105.86,107.17,105.68,105.71,1018900,0.0,0
2019-04-30,105.44,106.0,104.51,105.05,1430600,0.0,0
2019-05-01,105.24,105.88,102.48,102.6,2143700,0.0,0
2019-05-02,102.84,104.32,102.78,103.46,1638100,0.0,0
2019-05-03,103.99,105.2,103.93,104.95,1512300,0.0,0
2019-05-06,103.48,105.11,103.41,104.59,655100,0.0,0
2019-05-07,103.6,104.06,102.39,103.04,1317600,0.0,0
2019-05-08,102.84,102.97,101.93,102.01,1148800,0.0,0
2019-05-09,100.92,102.73,100.63,102.44,1172400,0.0,0
2019-05-10,101.98,103.09,101.02,102.75,824600,0.0,0
2019-05-13,100.67,101.18,97.83,98.31,1168000,0.0,0
2019-05-14,98.72,100.36,98.15,99.73,1146700,0.0,0
2019-05-15,98.67,99.19,97.63,98.89,1342800,0.0,0
2019-05-16,99.6,100.87,99.49,100.16,822900,0.0,0
2019-05-17,99.06,100.68,99.06,99.42,657400,0.0,0
2019-05-20,99.26,100.19,98.95,99.62,541800,0.0,0
2019-05-21,99.81,100.89,99.78,100.4,649000,0.0,0
2019-05-22,100.14,100.49,99.15,99.38,572300,0.0,0
2019-05-23,98.6,98.68,97.62,98.55,601300,0.0,0
2019-05-24,99.14,100.23,99.14,99.98,1246300,0.0,0
2019-05-28,99.91,100.51,98.87,98.87,860300,0.0,0
2019-05-29,97.9,99.1,97.36,98.8,618300,0.0,0
2019-05-30,98.83,99.4,97.13,97.46,1059300,0.0,0
2019-05-31,96.46,97.28,95.54,96.5,922400,0.0,0
2019-06-03,96.1,96.62,94.81,95.24,1110400,0.0,0
2019-06-04,96.48,98.18,96.33,98.17,716100,0.0,0
2019-06-05,98.41,98.73,97.24,97.98,809200,0.0,0
2019-06-06,97.89,98.54,97.03,98.22,454900,0.0,0
