Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,130.09,130.27,128.46,130.11,333800,0.0,0
2019-02-06,129.87,129.87,128.67,129.32,239400,0.0,0
2019-02-07,129.36,131.65,128.28,131.42,309100,0.0,0
2019-02-08,131.14,132.5,131.02,132.33,399500,0.0,0
2019-02-11,132.26,132.7,129.41,132.29,371000,0.0,0
2019-02-12,132.57,132.57,130.31,130.93,370200,0.0,0
2019-02-13,130.57,131.77,130.5,131.41,520400,0.0,0
2019-02-14,131.24,132.62,129.35,130.1,622200,0.0,0
2019-02-15,130.88,131.39,129.86,131.32,524900,0.0,0
2019-02-19,131.35,132.19,130.94,131.17,311800,0.0,0
2019-02-20,130.96,131.02,128.79,129.52,409300,0.0,0
2019-02-21,129.26,130.55,128.61,130.33,360800,0.0,0
2019-02-22,130.57,131.9,129.83,131.01,296600,0.0,0
2019-02-25,131.16,131.55,129.77,130.1,273200,0.0,0
2019-02-26,130.4,130.4,129.52,129.63,269400,0.0,0
2019-02-27,129.0,129.41,127.85,129.03,224400,0.0,0
2019-02-28,129.01,130.82,128.47,129.49,501700,0.0,0
2019-03-01,129.4,129.62,126.99,128.39,353700,0.0,0
2019-03-04,128.75,129.19,127.51,128.98,275800,0.0,0
2019-03-05,129.1,130.61,128.78,130.17,286500,0.0,0
2019-03-06,129.91,130.52,128.67,128.69,296800,0.0,0
2019-03-07,128.36,129.59,127.89,128.29,393600,0.0,0
2019-03-08,128.17,128.99,127.35,127.78,386800,0.0,0
2019-03-11,128.09,128.85,126.9,128.82,568300,0.0,0
2019-03-12,129.2,130.17,128.91,129.88,366900,0.0,0
2019-03-13,130.16,131.42,129.9,130.74,258700,1.02,0
2019-03-14,131.05,132.06,129.72,130.37,389500,0.0,0
2019-03-15,130.22,130.58,128.87,129.59,660600,0.0,0
2019-03-18,129.63,130.18,128.45,129.31,664300,0.0,0
2019-03-19,129.32,129.41,127.76,128.22,334600,0.0,0
2019-03-20,128.21,129.43,127.35,128.63,332000,0.0,0
2019-03-21,128.29,131.22,128.27,130.94,327500,0.0,0
2019-03-22,131.33,132.97,130.93,131.39,374600,0.0,0
2019-03-25,131.73,132.58,131.07,132.04,267400,0.0,0
2019-03-26,132.69,134.16,132.56,134.12,418900,0.0,0
2019-03-27,133.85,134.88,133.45,133.85,445700,0.0,0
2019-03-28,133.8,135.63,133.8,135.52,319200,0.0,0
2019-03-29,135.48,136.05,134.41,134.64,490700,0.0,0
2019-04-01,134.71,134.85,132.75,134.03,331400,0.0,0
2019-04-02,133.88,134.8,131.7,134.41,317000,0.0,0
2019-04-03,134.58,135.27,133.31,134.18,429900,0.0,0
2019-04-04,134.63,134.63,133.76,134.43,145300,0.0,0
2019-04-05,135.01,135.79,134.22,135.68,172000,0.0,0
2019-04-08,135.76,135.76,134.52,134.7,170500,0.0,0
2019-04-09,134.85,134.95,133.5,133.79,246000,0.0,0
2019-04-10,134.4,135.72,134.15,135.31,361900,0.0,0
2019-04-11,135.42,135.55,133.48,133.74,285700,0.0,0
2019-04-12,133.62,134.93,132.62,134.89,382700,0.0,0
2019-04-15,135.08,135.08,133.09,133.34,278400,0.0,0
2019-04-16,133.21,133.59,128.75,129.4,315500,0.0,0
2019-04-17,129.58,129.58,127.67,127.96,525000,0.0,0
2019-04-18,128.1,129.86,127.87,129.12,322200,0.0,0
2019-04-22,128.59,128.9,125.27,126.57,389900,0.0,0
2019-04-23,127.2,128.5,126.64,128.39,352400,0.0,0
2019-04-24,129.33,130.7,128.3,130.02,339800,0.0,0
2019-04-25,129.42,131.06,128.9,130.61,273600,0.0,0
2019-04-26,131.24,131.49,130.53,130.78,278800,0.0,0
2019-04-29,130.71,131.1,129.45,129.53,282800,0.0,0
2019-04-30,129.88,130.94,128.32,130.73,534200,0.0,0
2019-05-01,130.59,132.17,130.56,130.72,317200,0.0,0
2019-05-02,131.02,132.22,130.38,130.97,493700,0.0,0
2019-05-03,130.68,131.86,129.09,129.86,444800,0.0,0
2019-05-06,130.17,131.29,129.46,129.73,328500,0.0,0
2019-05-07,129.42,129.85,125.99,126.74,450800,0.0,0
2019-05-08,127.26,129.05,126.44,126.5,419900,0.0,0
2019-05-09,126.17,126.95,125.22,126.04,402600,0.0,0
2019-05-10,125.96,126.91,125.2,126.35,623700,0.0,0
2019-05-13,125.7,126.8,125.52,126.18,1015300,0.0,0
2019-05-14,126.21,126.83,125.46,125.65,582200,0.0,0
2019-05-15,125.36,127.15,125.23,127.06,765000,0.0,0
2019-05-16,127.07,127.95,126.48,127.44,461200,0.0,0
2019-05-17,126.65,128.1,126.62,128.06,871200,0.0,0
2019-05-20,128.44,128.45,126.61,127.16,545700,0.0,0
2019-05-21,127.75,128.76,127.46,128.74,511000,0.0,0
2019-05-22,128.76,129.15,128.04,129.04,619100,0.0,0
2019-05-23,128.96,129.44,127.74,129.14,680400,0.0,0
2019-05-24,129.48,130.14,129.04,129.37,371400,0.0,0
2019-05-28,130.15,130.43,129.32,129.5,1666900,0.0,0
2019-05-29,129.63,129.63,126.6,126.92,588700,0.0,0
2019-05-30,127.28,127.97,126.95,127.59,298600,0.0,0
2019-05-31,127.17,128.72,126.76,127.69,614000,0.0,0
2019-06-03,127.97,128.41,126.53,127.8,489000,0.0,0
2019-06-04,127.76,128.08,126.04,126.66,552400,0.0,0
2019-06-05,127.55,129.78,126.9,129.64,471400,0.0,0
2019-06-06,130.0,130.2,128.27,129.14,280900,0.0,0
2019-06-07,129.87,130.22,128.83,128.83,240300,0.0,0
2019-06-10,128.52,128.62,127.33,128.09,341900,0.0,0
2019-06-11,128.31,128.62,127.0,127.77,308100,0.0,0
2019-06-12,127.64,128.72,127.11,128.23,479200,0.0,0
2019-06-13,128.46,129.87,128.39,129.67,254300,0.0,0
2019-06-14,129.9,130.54,129.69,130.04,357000,0.0,0
2019-06-17,131.07,132.07,131.07,131.76,317200,0.0,0
2019-06-18,132.64,133.05,130.68,131.37,339900,0.0,0
2019-06-19,131.03,132.59,130.36,132.24,399600,0.0,0
2019-06-20,132.16,132.97,131.54,132.24,356300,1.02,0
