Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,74.19,74.69,73.77,74.25,2240900,0.0,0
2019-02-06,73.97,74.92,73.9,74.67,1699400,0.0,0
2019-02-07,73.92,74.29,73.29,74.14,1939500,0.0,0
2019-02-08,75.12,77.2,74.12,76.53,3042100,0.0,0
2019-02-11,76.47,76.98,75.62,76.87,2031900,0.0,0
2019-02-12,77.4,78.81,77.01,78.52,2188400,0.0,0
2019-02-13,78.8,80.19,78.58,80.14,2688500,0.0,0
2019-02-14,79.88,80.69,79.4,80.15,2127900,0.0,0
2019-02-15,81.0,81.52,80.65,81.49,1852200,0.0,0
2019-02-19,80.87,81.22,79.83,80.18,2222500,0.0,0
2019-02-20,80.36,81.41,80.36,80.76,2979300,0.0,0
2019-02-21,80.62,80.95,79.82,80.38,1783300,0.07,0
2019-02-22,80.83,81.18,80.46,81.14,901400,0.0,0
2019-02-25,81.63,82.03,80.91,81.36,1765000,0.0,0
2019-02-26,81.15,81.79,81.05,81.5,1816200,0.0,0
2019-02-27,81.4,81.57,80.88,81.47,1207400,0.0,0
2019-02-28,81.35,81.83,80.84,81.33,1909100,0.0,0
2019-03-01,81.82,82.55,81.65,82.32,1306500,0.0,0
2019-03-04,82.65,83.29,81.71,82.34,1760000,0.0,0
2019-03-05,82.47,82.8,82.01,82.01,1083400,0.0,0
2019-03-06,82.05,82.48,81.71,81.8,1051100,0.0,0
2019-03-07,81.75,81.75,80.45,80.83,1539600,0.0,0
2019-03-08,80.01,80.78,79.36,80.17,1544200,0.0,0
2019-03-11,80.3,81.97,80.3,81.94,1472700,0.0,0
2019-03-12,82.1,82.36,81.55,81.88,1397300,0.0,0
2019-03-13,82.38,83.46,82.19,82.94,1540400,0.0,0
2019-03-14,82.65,83.1,82.3,82.4,1339300,0.0,0
2019-03-15,82.34,82.91,82.19,82.3,1849400,0.0,0
2019-03-18,82.37,83.42,82.28,83.17,1032300,0.0,0
2019-03-19,83.33,83.54,82.51,82.81,1689900,0.0,0
2019-03-20,82.93,83.33,82.05,82.75,1380200,0.0,0
2019-03-21,82.63,84.21,82.54,83.98,908300,0.0,0
2019-03-22,83.56,83.73,81.97,81.99,1137300,0.0,0
2019-03-25,81.99,82.7,81.76,82.36,661200,0.0,0
2019-03-26,82.77,83.71,82.56,83.34,1422500,0.0,0
2019-03-27,83.6,83.7,81.98,82.1,1293900,0.0,0
2019-03-28,82.32,83.18,82.15,82.7,1205000,0.0,0
2019-03-29,83.36,83.81,83.04,83.65,1248200,0.0,0
2019-04-01,84.4,84.95,84.06,84.82,1166900,0.0,0
2019-04-02,85.14,85.56,84.75,85.43,755800,0.0,0
2019-04-03,86.03,86.7,85.82,86.27,896800,0.0,0
2019-04-04,86.4,86.9,85.95,86.05,909000,0.0,0
2019-04-05,86.37,86.69,86.07,86.48,1583400,0.0,0
2019-04-08,86.24,86.69,85.67,86.68,1325300,0.0,0
2019-04-09,86.09,86.37,85.58,85.87,748700,0.0,0
2019-04-10,86.0,86.03,85.56,85.78,1445300,0.0,0
2019-04-11,86.04,86.82,85.56,86.6,1925700,0.0,0
2019-04-12,87.07,87.58,86.95,87.41,905900,0.0,0
2019-04-15,87.59,88.1,86.98,87.57,726300,0.0,0
2019-04-16,87.75,87.95,87.12,87.39,1040300,0.0,0
2019-04-17,88.11,88.36,87.35,87.36,1012900,0.0,0
2019-04-18,87.79,88.44,87.5,88.24,1468100,0.0,0
2019-04-22,87.68,88.26,87.35,88.1,1229600,0.0,0
2019-04-23,88.11,88.98,87.92,88.7,1030300,0.0,0
2019-04-24,88.99,89.22,88.56,88.8,1038100,0.0,0
2019-04-25,88.19,88.75,86.98,87.54,2097600,0.0,0
2019-04-26,81.13,85.33,80.68,84.98,3262900,0.0,0
2019-04-29,85.33,86.18,85.08,85.6,2122300,0.0,0
2019-04-30,85.63,86.28,85.2,86.09,1667100,0.0,0
2019-05-01,86.17,86.52,85.03,85.13,998300,0.0,0
2019-05-02,85.11,85.73,84.57,85.58,823700,0.0,0
2019-05-03,85.9,86.41,85.68,86.32,684100,0.0,0
2019-05-06,84.85,84.94,84.12,84.69,981800,0.0,0
2019-05-07,83.63,83.86,82.88,83.24,1557800,0.0,0
2019-05-08,82.35,82.8,81.86,82.24,2002600,0.0,0
2019-05-09,81.42,82.08,81.03,82.02,998800,0.0,0
2019-05-10,81.51,82.47,80.43,82.39,938100,0.0,0
2019-05-13,80.54,80.75,79.74,80.27,2065200,0.0,0
2019-05-14,80.51,81.56,80.24,80.28,1372700,0.0,0
2019-05-15,79.97,81.56,79.66,81.13,1013800,0.0,0
2019-05-16,81.91,81.99,81.06,81.12,1042100,0.0,0
2019-05-17,80.32,81.09,79.71,80.29,1335100,0.0,0
2019-05-20,79.53,79.73,78.9,79.11,1278700,0.0,0
2019-05-21,79.68,80.01,79.52,79.67,1108400,0.0,0
2019-05-22,79.59,80.01,79.26,79.36,1725300,0.0,0
2019-05-23,78.54,79.0,77.94,78.27,1777500,0.0,0
2019-05-24,78.74,79.03,77.78,77.81,1154800,0.0,0
2019-05-28,77.92,78.15,76.57,76.58,1611700,0.0,0
2019-05-29,75.94,76.7,75.48,76.38,2756100,0.0,0
2019-05-30,76.53,77.2,76.12,76.69,2324800,0.07,0
2019-05-31,75.88,76.25,75.73,76.0,1993100,0.0,0
2019-06-03,74.51,75.95,73.45,75.61,2567000,0.0,0
2019-06-04,76.42,77.7,76.01,77.62,1952100,0.0,0
2019-06-05,78.08,78.71,77.44,78.67,1661400,0.0,0
2019-06-06,78.77,79.47,78.35,79.22,1078700,0.0,0
2019-06-07,79.67,79.79,78.71,78.81,1102100,0.0,0
2019-06-10,79.11,79.23,78.51,78.76,1126000,0.0,0
2019-06-11,79.51,79.89,78.61,79.0,1306000,0.0,0
2019-06-12,78.84,78.94,77.83,78.03,1143700,0.0,0
2019-06-13,78.36,78.58,78.03,78.35,1010000,0.0,0
2019-06-14,78.2,78.24,76.68,77.18,1651100,0.0,0
2019-06-17,77.09,77.34,76.3,76.5,1600600,0.0,0
2019-06-18,77.11,78.44,77.11,78.19,1771200,0.0,0
2019-06-19,78.24,78.77,77.94,78.68,1380800,0.0,0
2019-06-20,79.66,80.72,79.32,80.66,1260600,0.0,0
2019-06-21,80.44,80.75,79.83,80.26,1971200,0.0,0
2019-06-24,80.27,80.74,80.01,80.5,1001900,0.0,0
2019-06-25,80.56,81.07,80.13,80.47,1806100,0.0,0
2019-06-26,80.42,80.83,79.58,79.7,2126000,0.0,0
2019-06-27,79.99,80.34,79.69,80.23,1708500,0.0,0
2019-06-28,80.38,81.77,80.02,81.36,4831400,0.0,0
2019-07-01,82.38,83.02,81.77,82.51,1466200,0.0,0
2019-07-02,82.69,82.69,81.47,81.8,935900,0.0,0
2019-07-03,81.85,82.42,81.45,82.42,826500,0.0,0
2019-07-05,81.65,81.74,79.74,80.82,1058000,0.0,0
2019-07-08,80.62,81.12,80.0,80.29,1106100,0.0,0
2019-07-09,80.08,80.32,79.77,80.11,1403600,0.0,0
2019-07-10,80.23,80.86,79.18,79.23,1094000,0.0,0
2019-07-11,79.23,79.65,78.94,79.54,1594100,0.0,0
2019-07-12,80.09,81.17,80.09,81.15,852000,0.0,0
2019-07-15,81.24,81.28,80.22,80.59,768900,0.0,0
2019-07-16,80.54,81.41,80.44,81.25,956800,0.0,0
