Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,31.23,31.5,30.88,31.24,232900,0,0
2019-02-06,31.3,31.34,30.04,30.2,260700,0,0
2019-02-07,29.97,30.78,29.64,30.75,128900,0,0
2019-02-08,30.51,30.59,30.01,30.49,107200,0,0
2019-02-11,30.72,30.72,29.91,29.99,62200,0,0
2019-02-12,30.24,30.7,30.08,30.65,70400,0,0
2019-02-13,30.64,30.86,30.13,30.36,70100,0,0
2019-02-14,30.4,30.74,29.97,30.56,129000,0,0
2019-02-15,30.77,31.14,30.48,30.88,74700,0,0
2019-02-19,30.91,31.1,30.12,30.17,65400,0,0
2019-02-20,30.16,31.14,29.97,31.11,273600,0,0
2019-02-21,30.94,31.23,30.45,30.79,134700,0,0
2019-02-22,30.93,31.9,30.93,31.73,227300,0,0
2019-02-25,31.87,31.89,30.9,31.13,132600,0,0
2019-02-26,31.09,31.24,30.77,31.0,100700,0,0
2019-02-27,30.99,30.99,30.4,30.6,123100,0,0
2019-02-28,30.05,30.95,29.13,30.74,153300,0,0
2019-03-01,31.12,33.17,30.7,33.0,129600,0,0
2019-03-04,33.01,33.7,32.64,33.41,264400,0,0
2019-03-05,33.4,33.56,32.4,32.6,140900,0,0
2019-03-06,32.67,33.38,32.67,33.35,58400,0,0
2019-03-07,33.21,33.63,32.49,32.65,162100,0,0
2019-03-08,32.37,32.79,31.91,32.14,79700,0,0
2019-03-11,32.15,34.02,31.94,33.8,115300,0,0
2019-03-12,33.94,34.72,33.73,34.35,220400,0,0
2019-03-13,34.57,34.78,33.58,33.73,152400,0,0
2019-03-14,33.72,33.98,33.17,33.73,67600,0,0
2019-03-15,33.83,34.69,33.74,34.17,200700,0,0
2019-03-18,34.04,34.27,33.79,33.95,99600,0,0
2019-03-19,34.05,34.2,33.44,33.65,58700,0,0
2019-03-20,33.64,33.79,33.3,33.56,70900,0,0
2019-03-21,33.52,34.42,33.52,34.3,62700,0,0
2019-03-22,34.45,34.45,33.25,33.31,74100,0,0
2019-03-25,33.25,33.28,32.63,33.08,76800,0,0
2019-03-26,33.25,33.82,33.05,33.63,103600,0,0
2019-03-27,33.67,34.46,33.67,34.26,91400,0,0
2019-03-28,34.27,34.56,34.1,34.17,60000,0,0
2019-03-29,34.21,34.24,33.62,34.04,108500,0,0
2019-04-01,34.17,34.76,34.07,34.63,73800,0,0
2019-04-02,34.76,34.95,34.13,34.16,92100,0,0
2019-04-03,34.3,34.98,34.01,34.61,86500,0,0
2019-04-04,34.57,35.12,34.57,34.89,53700,0,0
2019-04-05,35.13,35.98,35.09,35.82,74600,0,0
2019-04-08,35.66,35.98,35.36,35.55,47400,0,0
2019-04-09,35.5,36.24,35.41,35.83,66800,0,0
2019-04-10,35.89,36.25,35.76,36.23,195500,0,0
2019-04-11,36.33,36.89,35.88,36.75,58300,0,0
2019-04-12,36.96,37.01,36.43,36.44,105100,0,0
2019-04-15,36.45,36.85,36.13,36.77,127400,0,0
