Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,30.35,30.55,30.16,30.39,538500,0.0,0
2019-02-06,30.99,31.04,30.59,30.82,994100,0.0,0
2019-02-07,30.6,30.75,30.29,30.44,1264400,0.0,0
2019-02-08,32.7,33.68,32.21,32.45,1651600,0.0,0
2019-02-11,32.56,32.56,31.9,32.3,656400,0.0,0
2019-02-12,32.31,32.66,32.13,32.33,1080400,0.0,0
2019-02-13,31.94,32.48,31.78,32.15,4619900,0.0,0
2019-02-14,32.1,32.62,32.1,32.39,1431200,0.0,0
2019-02-15,32.69,32.77,32.45,32.64,1281700,0.0,0
2019-02-19,32.49,33.0,32.49,32.72,1617600,0.0,0
2019-02-20,32.7,33.19,32.68,32.92,1288000,0.0,0
2019-02-21,33.0,33.04,32.73,32.9,796500,0.0,0
2019-02-22,33.0,33.16,32.88,33.03,979600,0.0,0
2019-02-25,33.26,33.57,33.14,33.15,991000,0.0,0
2019-02-26,33.17,33.23,33.02,33.03,1038800,0.0,0
2019-02-27,32.9,33.04,32.75,32.87,785400,0.0,0
2019-02-28,32.87,33.06,32.8,32.92,1319300,0.0,0
2019-03-01,33.15,33.41,32.97,33.24,1403000,0.0,0
2019-03-04,33.36,33.36,32.72,33.17,1079000,0.0,0
2019-03-05,33.17,33.29,33.04,33.13,563800,0.0,0
2019-03-06,33.18,33.18,32.94,33.07,586600,0.0,0
2019-03-07,33.03,33.09,32.83,33.03,714400,0.085,0
2019-03-08,33.43,33.43,33.0,33.21,690200,0.0,0
2019-03-11,33.28,33.54,33.2,33.49,689200,0.0,0
2019-03-12,33.56,33.73,33.45,33.49,684900,0.0,0
2019-03-13,33.59,33.83,33.49,33.59,1305300,0.0,0
2019-03-14,33.54,33.77,33.46,33.69,1061600,0.0,0
2019-03-15,33.77,33.94,33.64,33.89,1654100,0.0,0
2019-03-18,33.95,34.1,33.71,33.95,848300,0.0,0
2019-03-19,34.01,34.07,33.78,33.87,1204800,0.0,0
2019-03-20,33.84,34.09,33.75,33.88,735000,0.0,0
2019-03-21,33.76,34.46,33.66,34.46,854500,0.0,0
2019-03-22,34.36,34.36,33.73,33.9,647500,0.0,0
2019-03-25,33.88,34.11,33.76,34.04,616500,0.0,0
2019-03-26,34.3,34.52,34.14,34.48,606000,0.0,0
2019-03-27,34.48,34.57,34.21,34.33,506800,0.0,0
2019-03-28,34.43,34.8,34.34,34.8,582700,0.0,0
2019-03-29,34.93,34.99,34.77,34.95,630600,0.0,0
2019-04-01,35.12,35.22,34.86,35.18,608700,0.0,0
2019-04-02,35.22,35.48,35.16,35.24,1157800,0.0,0
2019-04-03,35.35,35.6,35.3,35.46,1017500,0.0,0
2019-04-04,35.64,35.65,35.17,35.25,744400,0.0,0
2019-04-05,35.31,35.33,35.15,35.29,448800,0.0,0
2019-04-08,35.07,35.43,34.82,35.36,907600,0.0,0
2019-04-09,35.27,35.48,35.21,35.34,550000,0.0,0
2019-04-10,35.36,35.55,35.22,35.49,711800,0.0,0
2019-04-11,35.59,35.6,35.33,35.53,1032800,0.0,0
2019-04-12,35.51,35.73,35.36,35.72,522900,0.0,0
2019-04-15,35.67,35.77,35.44,35.59,322400,0.0,0
2019-04-16,35.71,35.91,35.63,35.77,840300,0.0,0
2019-04-17,35.88,35.88,35.54,35.66,1323100,0.0,0
2019-04-18,35.69,35.85,35.41,35.75,1032600,0.0,0
2019-04-22,35.54,35.97,35.28,35.84,1585800,0.0,0
2019-04-23,35.89,36.25,35.72,36.21,938100,0.0,0
2019-04-24,36.28,36.29,36.04,36.07,485100,0.0,0
2019-04-25,36.07,36.07,35.61,35.94,505000,0.0,0
2019-04-26,35.9,36.08,35.89,35.98,460200,0.0,0
2019-04-29,36.04,36.04,35.61,35.81,836400,0.0,0
2019-04-30,35.95,36.19,35.86,36.07,788800,0.0,0
2019-05-01,36.15,36.15,35.43,35.48,1606000,0.0,0
2019-05-02,35.42,35.96,35.39,35.73,1617000,0.0,0
2019-05-03,37.16,37.46,35.75,36.09,1184500,0.0,0
2019-05-06,35.6,36.07,35.41,36.02,858900,0.0,0
2019-05-07,35.79,36.07,35.63,35.77,1184800,0.0,0
2019-05-08,35.66,35.94,35.56,35.81,735100,0.0,0
2019-05-09,35.54,35.89,35.19,35.84,724700,0.0,0
2019-05-10,35.73,35.98,35.52,35.95,881500,0.0,0
2019-05-13,35.45,35.45,34.85,34.87,628100,0.0,0
2019-05-14,34.99,35.86,34.94,35.73,1251500,0.0,0
2019-05-15,35.67,36.16,35.33,36.0,955900,0.0,0
2019-05-16,36.09,36.55,36.06,36.41,702500,0.0,0
2019-05-17,36.12,36.32,35.91,36.08,360200,0.0,0
2019-05-20,35.96,36.38,35.81,36.07,512800,0.0,0
2019-05-21,36.23,36.49,36.11,36.17,727900,0.0,0
2019-05-22,35.26,36.41,35.26,36.02,3103700,0.0,0
2019-05-23,35.83,36.06,35.65,35.77,858600,0.0,0
2019-05-24,36.08,36.19,35.85,35.85,1184100,0.0,0
2019-05-28,35.97,36.4,35.85,35.85,790300,0.0,0
2019-05-29,35.66,35.84,35.49,35.54,1539100,0.0,0
2019-05-30,35.67,36.05,35.67,35.82,1674200,0.0,0
2019-05-31,35.54,36.02,35.54,35.92,1635600,0.0,0
2019-06-03,35.97,36.04,35.62,35.75,1045400,0.0,0
2019-06-04,36.07,36.09,35.53,36.03,1259900,0.0,0
2019-06-05,36.22,36.36,36.05,36.19,1378100,0.0,0
2019-06-06,36.1,36.64,36.05,36.55,1144700,0.0,0
2019-06-07,36.76,36.88,36.56,36.74,2252300,0.0,0
2019-06-10,37.0,37.11,36.45,36.56,2074800,0.0,0
2019-06-11,36.75,36.84,36.49,36.65,1039700,0.085,0
2019-06-12,36.66,37.0,36.66,36.84,692700,0.0,0
2019-06-13,37.06,37.11,36.61,36.63,1349800,0.0,0
2019-06-14,36.98,37.15,36.68,36.83,694200,0.0,0
