Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,69.8,70.01,69.24,69.63,1207900,0,0
2019-02-06,69.97,70.39,69.21,69.79,1020700,0,0
2019-02-07,68.93,70.03,68.81,69.52,1011400,0,0
2019-02-08,69.11,69.95,68.93,69.5,1011300,0,0
2019-02-11,70.0,70.57,69.38,69.72,929400,0,0
2019-02-12,70.1,71.23,69.58,70.8,1650000,0,0
2019-02-13,70.98,71.86,70.78,71.5,893600,0,0
2019-02-14,70.95,71.7,70.81,71.25,920000,0,0
2019-02-15,72.0,73.34,71.62,72.86,2027100,0,0
2019-02-19,72.63,73.44,72.54,72.68,1730800,0,0
2019-02-20,72.66,73.09,71.29,72.39,2626600,0,0
2019-02-21,76.95,77.4,74.76,75.85,3564100,0,0
2019-02-22,75.56,76.16,74.29,76.0,2122700,0,0
2019-02-25,76.4,77.31,74.99,75.35,1845500,0,0
2019-02-26,75.1,75.5,74.75,75.1,7160000,0,0
2019-02-27,74.8,76.47,74.57,76.15,3154100,0,0
2019-02-28,76.11,76.11,74.54,74.65,2468500,0,0
2019-03-01,75.05,75.22,74.61,74.95,1316600,0,0
2019-03-04,75.13,75.38,72.57,73.7,1402200,0,0
2019-03-05,73.72,74.55,73.3,74.19,1548400,0,0
2019-03-06,73.93,74.22,73.37,73.67,1673200,0,0
2019-03-07,73.42,73.59,72.55,73.27,1489900,0,0
2019-03-08,72.43,73.19,71.9,73.12,1104700,0,0
2019-03-11,73.42,74.3,73.3,74.27,1286200,0,0
2019-03-12,74.62,75.29,73.7,75.03,1328700,0,0
2019-03-13,75.42,76.15,75.04,75.43,1095700,0,0
2019-03-14,75.35,75.48,74.82,75.17,873900,0,0
2019-03-15,75.33,76.11,74.87,75.39,1537200,0,0
2019-03-18,75.51,75.92,74.3,74.7,1151600,0,0
2019-03-19,75.12,76.14,74.68,75.93,1472500,0,0
2019-03-20,75.74,76.44,74.64,75.85,1018400,0,0
2019-03-21,75.71,77.58,75.25,77.48,1194700,0,0
2019-03-22,77.13,77.64,74.87,74.99,1053500,0,0
2019-03-25,73.53,75.26,72.61,74.48,849000,0,0
2019-03-26,75.35,76.11,75.18,75.84,2411700,0,0
2019-03-27,76.0,76.0,73.51,74.21,1538200,0,0
2019-03-28,74.62,75.43,73.92,75.11,1121300,0,0
2019-03-29,75.64,75.87,73.63,75.19,2650300,0,0
2019-04-01,75.9,76.05,74.06,75.58,1899500,0,0
2019-04-02,75.69,75.93,74.75,75.8,1295000,0,0
2019-04-03,75.88,76.86,75.75,76.16,1495500,0,0
