Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,9.82,10.2,9.74,10.18,106936000,0.0,0.0
2019-02-06,10.22,10.45,9.99,10.03,125305900,0.0,0.0
2019-02-07,9.98,10.0,9.55,9.63,113052300,0.0,0.0
2019-02-08,9.59,9.67,9.14,9.39,123291400,0.0,0.0
2019-02-11,9.45,9.72,9.41,9.61,73515000,0.0,0.0
2019-02-12,9.64,9.72,9.49,9.56,69807100,0.0,0.0
2019-02-13,9.56,9.98,9.53,9.93,102894400,0.0,0.0
2019-02-14,9.85,9.86,9.53,9.62,97122500,0.0,0.0
2019-02-15,9.69,9.85,9.63,9.66,81478200,0.0,0.0
2019-02-19,9.61,9.72,9.53,9.7,66111100,0.0,0.0
2019-02-20,9.66,9.7,9.59,9.67,50594500,0.0,0.0
2019-02-21,9.61,9.77,9.58,9.61,51514500,0.0,0.0
2019-02-22,9.62,9.75,9.57,9.74,52770900,0.0,0.0
2019-02-25,11.08,11.25,10.32,10.36,301841600,0.0,0.0
2019-02-26,10.75,10.86,10.49,10.62,103990600,0.0,1.04
2019-02-27,10.79,10.89,10.6,10.84,108833400,0.0,0.0
2019-02-28,10.78,10.81,10.29,10.35,90862100,0.0,0.0
2019-03-01,10.41,10.48,10.01,10.23,89000200,0.0,0.0
2019-03-04,10.28,10.48,10.18,10.34,69762900,0.0,0.0
2019-03-05,10.34,10.53,9.54,9.85,178783600,0.0,0.0
2019-03-06,9.22,9.6,9.01,9.07,205777700,0.0,0.0
2019-03-07,9.04,9.41,9.03,9.41,127481100,0.0,0.0
2019-03-08,9.3,9.65,9.25,9.55,87518700,0.01,0.0
2019-03-11,9.42,9.99,9.3,9.87,106050400,0.0,0.0
2019-03-12,9.9,10.11,9.63,9.73,99369500,0.0,0.0
2019-03-13,9.7,10.02,9.67,9.99,74164500,0.0,0.0
2019-03-14,10.27,10.47,10.17,10.27,133870800,0.0,0.0
2019-03-15,10.26,10.42,9.87,9.93,189194100,0.0,0.0
2019-03-18,9.96,10.28,9.94,10.17,91647500,0.0,0.0
2019-03-19,10.19,10.31,10.11,10.16,54680900,0.0,0.0
2019-03-20,10.1,10.3,10.09,10.19,48370000,0.0,0.0
2019-03-21,10.17,10.3,10.1,10.24,50518900,0.0,0.0
2019-03-22,10.19,10.21,9.89,9.95,81563500,0.0,0.0
2019-03-25,9.93,10.1,9.78,9.85,49727700,0.0,0.0
2019-03-26,9.92,10.12,9.9,10.07,47624800,0.0,0.0
2019-03-27,10.05,10.15,9.87,9.93,55148300,0.0,0.0
2019-03-28,9.93,9.98,9.77,9.86,45199400,0.0,0.0
2019-03-29,9.95,10.0,9.89,9.96,48519100,0.0,0.0
2019-04-01,9.99,10.1,9.97,10.07,51346000,0.0,0.0
2019-04-02,10.03,10.25,10.01,10.21,51748200,0.0,0.0
2019-04-03,10.23,10.25,9.97,10.07,56139500,0.0,0.0
2019-04-04,10.07,10.09,9.94,10.0,41034100,0.0,0.0
2019-04-05,10.04,10.11,9.95,9.98,43257200,0.0,0.0
2019-04-08,9.48,9.51,9.12,9.46,176008200,0.0,0.0
2019-04-09,9.32,9.38,9.09,9.19,83170700,0.0,0.0
2019-04-10,9.22,9.23,9.05,9.13,53871400,0.0,0.0
2019-04-11,9.09,9.23,9.07,9.09,54814800,0.0,0.0
2019-04-12,9.12,9.18,8.96,8.97,68461200,0.0,0.0
2019-04-15,8.98,9.02,8.76,8.95,82946700,0.0,0.0
2019-04-16,9.01,9.16,8.96,9.11,60236000,0.0,0.0
2019-04-17,9.13,9.15,9.03,9.09,48065100,0.0,0.0
