Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,660.26,660.86,654.66,658.63,26300,0.0,0
2019-02-06,656.59,659.44,655.95,658.02,17100,1.39,0
2019-02-07,659.76,662.24,653.0,662.2,31000,0.0,0
2019-02-08,661.0,661.0,655.67,660.84,12200,0.0,0
2019-02-11,661.06,661.94,658.4,661.7,33400,0.0,0
2019-02-12,664.7,664.7,658.9,661.36,35200,0.0,0
2019-02-13,662.99,666.94,660.01,662.21,25300,0.0,0
2019-02-14,661.23,664.26,656.75,656.9,19400,0.0,0
2019-02-15,659.61,660.7,653.37,659.81,30000,0.0,0
2019-02-19,660.2,667.54,656.33,664.0,21500,0.0,0
2019-02-20,664.93,673.29,664.93,669.95,31000,0.0,0
2019-02-21,669.62,675.11,666.97,674.27,33300,0.0,0
2019-02-22,674.65,695.97,673.18,676.96,33500,0.0,0
2019-02-25,678.7,688.65,678.08,681.82,28800,0.0,0
2019-02-26,681.78,688.32,667.07,669.48,25500,0.0,0
2019-02-27,669.2,677.22,668.0,670.29,14700,0.0,0
2019-02-28,670.8,679.6,667.76,679.6,26100,0.0,0
2019-03-01,682.91,682.91,673.84,676.42,49600,0.0,0
2019-03-04,678.94,678.94,674.48,677.52,12900,0.0,0
2019-03-05,680.41,680.68,674.98,675.49,19400,0.0,0
2019-03-06,677.75,688.01,673.23,675.71,36400,0.0,0
2019-03-07,677.99,678.5,667.4,674.63,32100,0.0,0
2019-03-08,674.52,675.11,663.93,674.11,31400,0.0,0
2019-03-11,677.64,682.06,672.39,682.06,25900,0.0,0
2019-03-12,684.05,684.05,676.26,682.75,14000,0.0,0
2019-03-13,684.72,691.98,680.54,683.41,28300,0.0,0
2019-03-14,683.84,685.9,678.67,682.13,25700,0.0,0
2019-03-15,682.24,686.98,677.66,679.32,29500,0.0,0
2019-03-18,679.89,680.52,664.77,668.13,34800,0.0,0
2019-03-19,670.34,687.68,667.54,678.42,41700,0.0,0
2019-03-20,677.31,677.31,649.69,650.31,22700,0.0,0
2019-03-21,646.09,663.41,646.09,663.41,34800,0.0,0
2019-03-22,661.07,665.85,657.62,663.72,16300,0.0,0
2019-03-25,666.47,666.47,652.04,654.02,20100,0.0,0
2019-03-26,656.06,669.34,656.06,669.34,22200,0.0,0
2019-03-27,670.12,680.42,664.57,679.58,17400,0.0,0
2019-03-28,682.11,683.82,676.17,678.74,14600,0.0,0
2019-03-29,681.18,681.18,675.92,679.07,20000,0.0,0
2019-04-01,683.24,683.49,677.66,680.98,18900,0.0,0
2019-04-02,681.05,682.87,677.01,678.98,21900,0.0,0
2019-04-03,680.33,686.13,677.92,678.89,13300,0.0,0
2019-04-04,680.77,683.69,679.73,681.0,41100,0.0,0
2019-04-05,679.99,687.48,679.99,687.48,20000,0.0,0
2019-04-08,687.44,690.98,682.25,689.83,22100,0.0,0
2019-04-09,689.78,698.03,686.85,692.81,31200,0.0,0
2019-04-10,694.19,701.63,685.32,689.0,29600,0.0,0
2019-04-11,689.34,695.01,681.94,693.15,24000,0.0,0
2019-04-12,694.83,699.51,692.16,696.11,15500,0.0,0
2019-04-15,695.71,700.14,688.46,692.1,28900,0.0,0
2019-04-16,692.7,696.91,689.05,696.36,24800,0.0,0
2019-04-17,696.96,699.52,692.99,698.69,13300,1.39,0
2019-04-18,700.14,704.8,695.44,704.8,13300,0.0,0
2019-04-22,703.01,707.31,692.89,694.0,31400,0.0,0
2019-04-23,695.25,714.06,694.59,710.1,37500,0.0,0
2019-04-24,711.12,729.8,707.53,722.79,29900,0.0,0
2019-04-25,722.1,730.74,721.24,721.65,26500,0.0,0
2019-04-26,721.04,736.55,721.04,733.4,19900,0.0,0
2019-04-29,734.17,739.15,728.61,738.16,37300,0.0,0
2019-04-30,736.68,743.17,731.95,740.43,44700,0.0,0
2019-05-01,746.62,749.7,724.04,724.04,22300,0.0,0
2019-05-02,724.07,727.08,712.4,720.76,25800,0.0,0
2019-05-03,723.98,723.98,704.33,713.73,44400,0.0,0
2019-05-06,706.85,711.88,702.36,708.53,38300,0.0,0
2019-05-07,703.34,703.34,679.44,682.43,29700,0.0,0
2019-05-08,680.61,691.34,678.47,690.74,35200,0.0,0
2019-05-09,688.01,705.47,680.34,704.68,41800,0.0,0
2019-05-10,702.15,702.15,690.35,697.28,38300,0.0,0
2019-05-13,689.46,689.46,682.13,685.75,30600,0.0,0
2019-05-14,686.8,699.77,685.4,691.35,21100,0.0,0
2019-05-15,688.48,698.67,688.48,697.77,30800,0.0,0
2019-05-16,700.12,703.35,694.15,695.11,44800,0.0,0
2019-05-17,691.94,692.49,685.34,686.49,35900,0.0,0
2019-05-20,682.87,686.87,675.47,679.22,40000,0.0,0
2019-05-21,681.11,692.8,681.11,688.13,43600,0.0,0
2019-05-22,684.68,690.1,669.36,682.61,58100,0.0,0
2019-05-23,678.39,679.21,664.76,664.76,50100,0.0,0
2019-05-24,665.8,675.48,664.38,675.41,61700,0.0,0
2019-05-28,675.26,681.36,666.97,671.49,40800,0.0,0
2019-05-29,667.3,669.91,665.81,667.81,16400,0.0,0
2019-05-30,668.05,673.97,668.05,672.35,28000,0.0,0
2019-05-31,668.18,682.04,668.18,677.79,20300,0.0,0
2019-06-03,678.42,684.07,673.84,682.53,40400,0.0,0
2019-06-04,686.14,701.66,686.14,691.84,57200,0.0,0
2019-06-05,690.69,697.18,687.22,689.38,31800,0.0,0
2019-06-06,689.06,696.04,681.88,693.02,27400,0.0,0
2019-06-07,693.17,701.54,692.39,694.76,36700,0.0,0
2019-06-10,697.74,699.72,692.11,699.72,29300,0.0,0
2019-06-11,698.47,704.71,697.14,702.61,24000,0.0,0
2019-06-12,700.72,707.14,699.96,701.79,26800,0.0,0
2019-06-13,698.58,702.94,694.19,699.8,26300,0.0,0
2019-06-14,699.9,707.85,698.47,701.9,23700,0.0,0
2019-06-17,702.21,705.44,697.61,697.61,19000,0.0,0
2019-06-18,697.67,706.14,697.67,704.47,22100,0.0,0
2019-06-19,700.37,709.12,697.28,707.39,27400,0.0,0
