Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,51.6,53.21,51.51,53.2,693500,0,0
2019-02-06,53.14,53.48,52.12,53.0,486100,0,0
2019-02-07,52.5,53.15,52.41,53.07,300000,0,0
2019-02-08,52.89,53.2,52.58,52.97,315900,0,0
2019-02-11,53.14,53.19,51.95,52.38,447700,0,0
2019-02-12,52.91,52.93,52.0,52.48,725700,0,0
2019-02-13,51.7,52.25,51.39,51.41,1105800,0,0
2019-02-14,51.08,51.85,50.69,51.69,769300,0,0
2019-02-15,51.79,52.69,51.7,52.69,449400,0,0
2019-02-19,52.61,52.81,51.98,52.31,236200,0,0
2019-02-20,52.32,53.14,52.3,52.99,440000,0,0
2019-02-21,52.98,53.25,52.39,52.98,518100,0,0
2019-02-22,53.19,53.57,53.03,53.56,261300,0,0
2019-02-25,53.7,53.92,53.47,53.76,264500,0,0
2019-02-26,53.64,53.64,52.58,53.3,314600,0,0
2019-02-27,53.25,53.59,52.92,53.54,403500,0,0
2019-02-28,53.69,53.8,53.28,53.54,454900,0,0
2019-03-01,53.47,54.17,52.16,53.98,446400,0,0
2019-03-04,54.13,54.74,53.69,53.94,602500,0,0
2019-03-05,53.94,54.24,53.51,54.0,354500,0,0
2019-03-06,54.07,54.18,53.62,53.78,512500,0,0
2019-03-07,53.61,53.88,53.15,53.64,464400,0,0
2019-03-08,53.1,53.58,53.04,53.22,653300,0,0
2019-03-11,53.3,54.42,53.3,54.24,472700,0,0
2019-03-12,54.26,55.35,52.2,55.23,919200,0,0
2019-03-13,55.55,56.07,55.37,55.58,758100,0,0
2019-03-14,55.45,56.12,55.35,56.1,549700,0,0
2019-03-15,56.09,56.58,55.97,56.2,605100,0,0
2019-03-18,56.07,56.67,55.8,55.91,468500,0,0
2019-03-19,56.24,56.66,55.95,56.14,431300,0,0
2019-03-20,56.1,56.58,55.5,56.16,479500,0,0
2019-03-21,56.0,56.72,55.75,56.47,593800,0,0
2019-03-22,56.23,56.25,55.37,55.49,331000,0,0
2019-03-25,55.46,55.72,55.03,55.15,286500,0,0
