Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,35.04,35.28,34.93,35.26,960700,0.0,0
2019-02-06,35.24,35.27,34.92,35.21,828400,0.0,0
2019-02-07,35.15,35.47,34.99,35.34,1451100,0.0,0
2019-02-08,35.32,35.63,35.26,35.58,844600,0.0,0
2019-02-11,35.65,35.7,35.45,35.5,701700,0.0,0
2019-02-12,35.53,35.53,35.12,35.29,1429400,0.0,0
2019-02-13,35.39,35.39,34.45,35.06,2269500,0.0,0
2019-02-14,34.97,35.15,34.66,34.98,784700,0.0,0
2019-02-15,35.01,35.07,34.58,34.68,1209700,0.0,0
2019-02-19,34.63,34.68,34.39,34.51,1136000,0.0,0
2019-02-20,34.58,34.66,33.58,34.02,2274600,0.0,0
2019-02-21,34.03,34.37,33.77,34.34,1375100,0.0,0
2019-02-22,34.38,34.76,34.18,34.63,1317000,0.0,0
2019-02-25,34.71,34.83,34.35,34.46,954300,0.0,0
2019-02-26,34.48,34.63,34.35,34.4,951400,0.0,0
2019-02-27,34.33,34.33,33.85,34.21,959700,0.0,0
2019-02-28,34.2,34.36,33.92,33.93,1782000,0.0,0
2019-03-01,33.94,34.14,33.67,34.0,1237800,0.0,0
2019-03-04,34.1,34.18,33.72,33.84,1008000,0.0,0
2019-03-05,33.86,34.06,33.67,33.94,1051400,0.0,0
2019-03-06,34.0,34.16,33.82,33.86,964100,0.0,0
2019-03-07,33.91,34.01,33.64,33.8,2647100,0.68,0
2019-03-08,33.71,34.12,33.63,34.08,857500,0.0,0
2019-03-11,34.17,34.63,34.17,34.59,1170100,0.0,0
2019-03-12,34.66,35.09,34.58,35.0,1830000,0.0,0
2019-03-13,35.01,35.21,34.92,35.11,1670800,0.0,0
2019-03-14,35.16,35.23,35.06,35.15,1167400,0.0,0
2019-03-15,35.16,35.38,35.02,35.2,1569700,0.0,0
2019-03-18,35.24,35.38,34.87,35.04,1435800,0.0,0
2019-03-19,35.07,35.17,34.95,35.1,1065700,0.0,0
2019-03-20,35.1,35.19,34.74,35.04,2304200,0.0,0
2019-03-21,35.07,35.8,34.7,35.73,1098700,0.0,0
2019-03-22,35.72,35.82,35.49,35.49,1300500,0.0,0
2019-03-25,35.52,35.6,35.24,35.49,1167400,0.0,0
2019-03-26,35.5,35.91,35.5,35.9,1389900,0.0,0
2019-03-27,35.95,36.07,35.7,35.86,893600,0.0,0
2019-03-28,35.92,36.57,35.92,36.56,844000,0.0,0
2019-03-29,36.55,36.8,36.47,36.65,1545400,0.0,0
2019-04-01,36.69,36.9,36.6,36.83,1391200,0.0,0
2019-04-02,36.82,36.85,36.36,36.77,2062500,0.0,0
2019-04-03,36.81,37.03,36.71,36.97,874200,0.0,0
2019-04-04,37.06,37.06,36.83,37.02,817400,0.0,0
2019-04-05,37.04,37.33,36.97,37.32,1960200,0.0,0
2019-04-08,37.29,37.35,37.05,37.11,1081100,0.0,0
