Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,20.34,20.47,20.22,20.38,2282400,0.0,0
2019-02-06,20.36,20.53,20.33,20.39,1359000,0.0,0
2019-02-07,20.2,20.24,19.55,19.61,3038000,0.0,0
2019-02-08,19.57,19.64,19.19,19.41,2650900,0.0,0
2019-02-11,19.48,19.62,19.33,19.61,3142400,0.0,0
2019-02-12,19.72,20.03,19.72,19.78,2665300,0.0,0
2019-02-13,19.85,19.99,19.5,19.52,1788700,0.0,0
2019-02-14,19.43,19.61,19.27,19.41,2506700,0.0,0
2019-02-15,19.54,20.04,19.54,19.99,2271900,0.0,0
2019-02-19,19.95,20.27,19.89,20.11,1734400,0.0,0
2019-02-20,20.18,20.31,20.03,20.03,2091600,0.0,0
2019-02-21,19.98,20.12,19.59,19.62,2026400,0.0,0
2019-02-22,19.78,19.83,19.62,19.74,1415700,0.0,0
2019-02-25,19.87,20.14,19.7,19.74,2402200,0.0,0
2019-02-26,19.69,20.21,19.69,19.96,1613700,0.0,0
2019-02-27,19.95,20.06,19.8,19.94,1416500,0.0,0
2019-02-28,19.87,20.0,19.7,19.97,1520300,0.0,0
2019-03-01,20.1,20.34,19.96,20.12,1779100,0.0,0
2019-03-04,20.18,20.33,19.68,19.76,2034200,0.0,0
2019-03-05,19.78,20.2,19.74,20.1,2048000,0.0,0
2019-03-06,20.13,20.49,20.0,20.1,2936000,0.0,0
2019-03-07,20.03,20.2,19.85,20.16,2770200,0.0,0
2019-03-08,20.09,20.43,20.04,20.1,1604100,0.0,0
2019-03-11,20.13,20.37,20.06,20.29,1453800,0.0,0
2019-03-12,20.31,20.6,20.13,20.48,2132300,0.0,0
2019-03-13,20.52,20.52,20.2,20.3,1811000,0.0,0
2019-03-14,20.32,20.32,20.04,20.17,1694800,0.0,0
2019-03-15,20.21,20.59,20.21,20.45,3671200,0.0,0
2019-03-18,20.44,20.59,20.16,20.3,1365500,0.0,0
2019-03-19,20.43,20.56,20.24,20.32,1095500,0.0,0
2019-03-20,20.33,20.33,19.85,19.9,1446700,0.0,0
2019-03-21,19.85,20.13,19.72,20.05,1080700,0.0,0
2019-03-22,19.94,19.96,19.55,19.57,1042600,0.0,0
2019-03-25,19.59,19.69,19.46,19.61,1528800,0.0,0
2019-03-26,19.7,19.86,19.63,19.83,1169600,0.0,0
2019-03-27,19.89,20.21,19.69,20.1,1747500,0.0,0
2019-03-28,20.11,20.34,19.97,20.24,1506000,0.0,0
2019-03-29,20.36,20.37,20.25,20.3,1757900,0.0,0
2019-04-01,20.52,20.94,20.44,20.73,1864400,0.0,0
2019-04-02,20.73,20.73,20.23,20.42,1539900,0.0,0
2019-04-03,20.64,20.87,20.56,20.63,1770100,0.0,0
2019-04-04,20.63,20.82,20.54,20.77,2307800,0.0,0
2019-04-05,20.81,20.9,20.69,20.81,1081000,0.0,0
2019-04-08,20.72,21.05,20.59,20.99,918900,0.0,0
2019-04-09,20.93,20.94,20.63,20.74,797700,0.115,0
2019-04-10,20.73,21.1,20.67,21.03,1285400,0.0,0
2019-04-11,21.04,21.17,20.94,21.17,1183800,0.0,0
2019-04-12,21.25,21.59,21.15,21.54,1023900,0.0,0
2019-04-15,21.57,21.66,21.37,21.39,823100,0.0,0
2019-04-16,21.49,21.71,21.44,21.64,1333700,0.0,0
2019-04-17,21.72,21.86,21.61,21.72,948800,0.0,0
2019-04-18,21.78,22.04,21.72,22.01,1148000,0.0,0
2019-04-22,21.91,22.0,21.53,21.57,927600,0.0,0
2019-04-23,21.74,21.95,21.68,21.81,2153900,0.0,0
2019-04-24,22.45,23.25,21.93,23.12,2507200,0.0,0
2019-04-25,21.58,22.85,21.52,22.47,2490500,0.0,0
2019-04-26,22.6,23.03,22.55,22.99,2388000,0.0,0
2019-04-29,22.8,23.02,22.79,22.82,936300,0.0,0
2019-04-30,22.83,22.94,22.57,22.73,1079100,0.0,0
2019-05-01,22.74,22.8,22.45,22.58,1180000,0.0,0
2019-05-02,22.6,22.75,22.46,22.74,1411300,0.0,0
2019-05-03,22.76,23.12,22.72,23.09,1117300,0.0,0
2019-05-06,22.69,23.29,22.61,23.18,1923900,0.0,0
2019-05-07,22.96,23.12,22.88,23.06,1564200,0.0,0
2019-05-08,23.05,23.08,22.5,22.52,1128800,0.0,0
2019-05-09,22.27,22.37,21.99,22.31,1202700,0.0,0
2019-05-10,22.11,22.44,21.91,22.33,1511100,0.0,0
2019-05-13,21.81,22.0,21.57,21.63,1554000,0.0,0
2019-05-14,21.7,21.95,21.6,21.84,738100,0.0,0
2019-05-15,21.63,21.95,21.43,21.83,1246100,0.0,0
2019-05-16,21.83,22.1,21.66,21.9,1108900,0.0,0
2019-05-17,21.73,22.0,21.62,21.79,777700,0.0,0
2019-05-20,21.61,21.88,21.52,21.71,1063500,0.0,0
2019-05-21,21.78,22.12,21.77,22.08,1449900,0.0,0
2019-05-22,22.04,22.11,21.68,21.79,831700,0.0,0
2019-05-23,21.66,21.66,21.31,21.51,1268600,0.0,0
2019-05-24,21.6,21.72,21.47,21.68,1259000,0.0,0
2019-05-28,21.76,21.97,21.66,21.72,1197300,0.0,0
2019-05-29,21.54,21.61,20.98,21.42,2330600,0.0,0
2019-05-30,21.41,21.63,21.36,21.4,1285400,0.0,0
2019-05-31,21.09,21.1,20.69,21.08,2079900,0.0,0
2019-06-03,21.1,22.12,20.98,22.04,2470000,0.0,0
2019-06-04,22.27,22.74,22.27,22.72,1745500,0.0,0
2019-06-05,22.79,23.18,22.71,23.13,1520600,0.0,0
2019-06-06,23.09,23.17,22.77,23.08,1269700,0.0,0
2019-06-07,23.17,23.39,23.06,23.29,1413200,0.0,0
2019-06-10,23.44,24.04,23.4,23.62,1607600,0.0,0
2019-06-11,23.75,23.92,23.51,23.53,961000,0.0,0
2019-06-12,23.53,23.59,23.39,23.49,850600,0.0,0
2019-06-13,23.48,23.53,23.2,23.46,835600,0.0,0
2019-06-14,23.44,23.45,23.17,23.2,1036400,0.0,0
2019-06-17,23.23,23.36,23.02,23.06,998600,0.0,0
2019-06-18,23.19,23.63,23.08,23.23,1170500,0.0,0
2019-06-19,23.35,23.38,23.11,23.35,1202700,0.0,0
2019-06-20,23.6,23.69,23.39,23.66,1058100,0.0,0
2019-06-21,23.6,24.14,23.55,23.78,2853300,0.0,0
2019-06-24,23.74,23.95,23.69,23.83,1300200,0.0,0
2019-06-25,23.91,24.18,23.88,24.02,1941200,0.0,0
2019-06-26,24.03,24.26,23.89,24.05,1038100,0.0,0
2019-06-27,24.14,24.67,24.14,24.65,1258700,0.0,0
2019-06-28,24.64,24.67,24.24,24.29,5595400,0.0,0
2019-07-01,24.4,24.66,24.02,24.14,1583300,0.0,0
2019-07-02,24.1,24.29,23.95,24.09,1196300,0.0,0
2019-07-03,24.17,24.26,23.95,24.07,533900,0.0,0
2019-07-05,23.99,24.13,23.79,24.06,464300,0.0,0
2019-07-08,24.04,24.06,23.56,23.6,1166000,0.0,0
2019-07-09,23.49,23.54,23.08,23.42,2488700,0.115,0
2019-07-10,23.43,23.61,23.19,23.43,878600,0.0,0
2019-07-11,23.43,23.48,23.12,23.34,1149000,0.0,0
2019-07-12,23.37,23.77,23.37,23.68,1163800,0.0,0
2019-07-15,23.61,23.69,23.32,23.51,1018400,0.0,0
2019-07-16,23.26,23.8,23.02,23.68,1682500,0.0,0
2019-07-17,23.72,23.72,23.2,23.32,1562300,0.0,0
2019-07-18,23.4,23.47,23.16,23.38,1869300,0.0,0
2019-07-19,24.76,25.69,24.24,25.61,5312600,0.0,0
2019-07-22,25.11,26.28,24.81,26.04,4183200,0.0,0
2019-07-23,26.28,26.65,26.14,26.22,3516100,0.0,0
2019-07-24,26.17,26.92,26.17,26.88,2139400,0.0,0
2019-07-25,26.61,26.99,26.55,26.82,1596900,0.0,0
2019-07-26,26.8,27.4,26.65,27.34,1794700,0.0,0
2019-07-29,27.26,27.72,27.12,27.26,2907300,0.0,0
2019-07-30,27.16,27.22,26.82,26.93,2105500,0.0,0
2019-07-31,26.89,27.45,26.89,27.19,1818500,0.0,0
