Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,115.15,115.58,114.7,115.15,1565500,0.0,0
2019-02-06,114.9,115.27,114.13,114.17,1541300,0.0,0
2019-02-07,113.18,114.27,112.66,112.85,1925900,0.0,0
2019-02-08,111.99,114.77,111.99,114.75,1181100,0.0,0
2019-02-11,115.45,116.78,115.16,115.87,1631700,0.0,0
2019-02-12,116.58,117.72,115.79,117.27,1685700,0.0,0
2019-02-13,120.89,123.04,119.95,122.59,2699400,0.0,0
2019-02-14,122.75,123.07,120.04,121.39,1507100,0.0,0
2019-02-15,122.22,123.42,121.82,123.14,1509900,0.0,0
2019-02-19,122.25,124.49,122.25,124.21,1102300,0.0,0
2019-02-20,124.78,125.77,124.44,125.77,1741500,0.0,0
2019-02-21,125.77,126.6,125.26,126.45,1403100,0.0,0
2019-02-22,127.18,127.74,126.3,127.56,710100,0.0,0
2019-02-25,128.68,128.92,127.88,128.05,1056600,0.0,0
2019-02-26,127.98,128.76,127.31,128.23,1054800,0.0,0
2019-02-27,127.72,129.3,127.46,129.11,855600,0.0,0
2019-02-28,129.43,130.8,128.68,130.21,1352600,0.0,0
2019-03-01,131.33,131.99,130.37,131.32,782300,0.0,0
2019-03-04,131.66,131.99,129.21,130.37,1264900,0.0,0
2019-03-05,130.52,130.65,129.48,129.77,1043600,0.0,0
2019-03-06,129.9,130.76,129.19,129.38,959200,0.0,0
2019-03-07,129.34,129.94,128.47,129.7,1732200,0.0,0
2019-03-08,128.15,130.22,127.95,130.15,1078500,0.0,0
2019-03-11,130.33,131.82,130.31,131.72,843400,0.0,0
2019-03-12,132.12,132.33,130.96,131.72,973900,0.0,0
2019-03-13,132.26,134.31,131.84,132.83,1198700,0.0,0
2019-03-14,132.62,133.4,131.81,132.19,1005200,0.01,0
2019-03-15,132.01,134.34,132.01,133.95,1232100,0.0,0
2019-03-18,134.83,136.96,133.15,133.87,1134400,0.0,0
2019-03-19,134.15,135.49,133.88,134.18,1025900,0.0,0
2019-03-20,134.2,134.64,132.28,133.19,1224300,0.0,0
2019-03-21,132.19,136.5,132.19,135.98,665600,0.0,0
2019-03-22,135.41,136.2,133.76,133.83,699500,0.0,0
2019-03-25,133.46,133.62,132.07,132.74,795500,0.0,0
2019-03-26,133.78,134.63,133.21,134.52,791500,0.0,0
2019-03-27,134.71,135.87,132.68,133.82,685800,0.0,0
2019-03-28,134.37,135.18,133.78,134.98,1141900,0.0,0
2019-03-29,135.78,136.61,135.18,136.35,862800,0.0,0
2019-04-01,137.71,138.72,137.44,138.49,872100,0.0,0
