Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,24.05,24.17,23.8,23.98,2743800,0.0,0
2019-02-06,23.85,23.95,23.2,23.47,4185600,0.0,0
2019-02-07,23.34,23.73,23.26,23.7,3587000,0.0,0
2019-02-08,23.55,23.93,23.43,23.67,3972500,0.0,0
2019-02-11,23.62,23.69,23.41,23.61,3307300,0.0,0
2019-02-12,23.62,24.08,23.53,23.9,3016100,0.0,0
2019-02-13,23.9,23.96,23.36,23.87,2789900,0.0,0
2019-02-14,23.64,23.99,23.51,23.69,2679800,0.0,0
2019-02-15,23.88,24.11,23.78,23.83,3039200,0.0,0
2019-02-19,23.83,24.02,23.62,23.95,2995500,0.0,0
2019-02-20,23.9,24.13,23.83,23.92,1924800,0.0,0
2019-02-21,23.86,24.06,23.42,23.56,2892500,0.0,0
2019-02-22,23.62,23.77,23.27,23.54,4505700,0.0,0
2019-02-25,23.71,23.99,23.62,23.89,4588400,0.0,0
2019-02-26,23.87,23.92,23.37,23.62,4422200,0.0,0
2019-02-27,23.77,24.34,23.63,24.11,8974100,0.0,0
2019-02-28,24.08,24.26,23.66,24.15,14924400,0.0,0
2019-03-01,28.52,29.84,27.91,28.05,41867600,0.0,0
2019-03-04,28.04,28.13,26.28,26.37,16185300,0.0,0
2019-03-05,26.51,26.52,25.71,25.87,8351900,0.0,0
2019-03-06,25.72,25.94,25.27,25.27,7091200,0.0,0
2019-03-07,25.15,25.53,24.88,25.4,6340200,0.0,0
2019-03-08,25.14,25.39,24.63,24.65,7524200,0.0,0
2019-03-11,24.64,25.14,24.64,25.0,6713500,0.0,0
2019-03-12,25.03,25.04,24.53,24.69,4494900,0.0,0
2019-03-13,24.68,24.94,24.52,24.72,3925400,0.0,0
2019-03-14,24.73,24.79,24.12,24.26,5769900,0.0,0
2019-03-15,24.37,24.39,23.39,24.04,15898900,0.0,0
2019-03-18,24.1,24.36,23.91,24.3,3957000,0.0,0
2019-03-19,24.33,24.6,24.22,24.43,4836900,0.0,0
2019-03-20,24.37,24.51,23.98,24.08,3484900,0.0,0
2019-03-21,24.05,24.05,23.67,23.88,4205000,0.0,0
2019-03-22,23.92,23.92,23.13,23.31,4478500,0.0,0
2019-03-25,23.15,23.83,23.15,23.59,6663800,0.0,0
2019-03-26,23.89,24.23,23.82,24.08,4738900,0.0,0
2019-03-27,24.01,24.97,24.01,24.71,7393400,0.0,0
2019-03-28,24.95,25.22,24.5,24.82,5349900,0.0,0
2019-03-29,24.86,25.14,24.67,24.89,4855100,0.0,0
2019-04-01,24.96,24.97,24.36,24.81,4590500,0.0,0
2019-04-02,24.71,24.85,24.53,24.53,3511400,0.0,0
