Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,72.09,72.1,71.32,71.95,661500,0.0,0
2019-02-06,71.75,72.14,71.32,72.06,969300,0.0,0
2019-02-07,73.1,74.5,71.05,73.37,1478300,0.0,0
2019-02-08,73.42,74.22,72.73,73.55,714700,0.0,0
2019-02-11,74.06,74.11,73.31,73.62,575100,0.0,0
2019-02-12,74.13,74.63,73.74,74.46,851000,0.0,0
2019-02-13,74.84,75.11,73.97,74.34,799700,0.0,0
2019-02-14,74.03,74.66,73.99,74.07,599700,0.0,0
2019-02-15,74.75,74.79,74.16,74.46,503300,0.0,0
2019-02-19,74.08,75.5,74.08,75.19,647200,0.0,0
2019-02-20,75.19,76.44,75.09,75.83,606900,0.0,0
2019-02-21,76.1,76.72,75.88,76.37,518500,0.0,0
2019-02-22,76.69,77.1,76.38,76.48,293000,0.0,0
2019-02-25,76.72,77.52,76.35,76.75,478000,0.0,0
2019-02-26,76.63,77.18,76.45,76.83,562600,0.0,0
2019-02-27,76.78,77.53,76.26,76.95,453700,0.27,0
2019-02-28,76.8,77.27,76.32,76.76,376600,0.0,0
2019-03-01,77.23,77.61,76.74,77.18,359500,0.0,0
2019-03-04,77.04,77.25,75.73,76.56,688400,0.0,0
2019-03-05,76.55,76.82,76.28,76.64,467900,0.0,0
2019-03-06,76.68,76.94,76.41,76.46,259700,0.0,0
2019-03-07,76.33,76.41,75.29,76.09,321300,0.0,0
2019-03-08,75.63,76.4,75.15,75.91,323400,0.0,0
2019-03-11,76.25,77.05,75.82,77.05,390700,0.0,0
2019-03-12,77.22,77.37,76.35,76.39,348000,0.0,0
2019-03-13,76.44,77.31,76.35,76.53,562200,0.0,0
2019-03-14,76.63,76.63,75.92,76.33,348700,0.0,0
2019-03-15,76.45,76.92,76.28,76.57,279900,0.0,0
2019-03-18,76.67,77.04,76.36,76.91,345800,0.0,0
2019-03-19,77.42,77.5,76.05,76.4,319800,0.0,0
2019-03-20,76.39,76.59,75.67,76.09,302400,0.0,0
2019-03-21,76.65,78.01,76.32,77.26,419000,0.0,0
2019-03-22,77.38,77.53,75.68,75.75,314900,0.0,0
2019-03-25,75.58,76.51,75.58,75.92,509700,0.0,0
2019-03-26,76.32,76.67,75.81,75.9,292000,0.0,0
2019-03-27,75.9,76.24,74.96,75.32,441200,0.0,0
2019-03-28,75.61,76.69,75.61,76.66,376000,0.0,0
2019-03-29,76.9,77.42,76.6,77.13,371700,0.0,0
2019-04-01,77.48,77.69,76.96,77.68,315600,0.0,0
2019-04-02,77.66,77.95,77.16,77.41,468900,0.0,0
2019-04-03,77.79,77.82,76.99,77.1,438400,0.0,0
2019-04-04,77.19,77.96,77.17,77.36,370500,0.0,0
2019-04-05,77.57,77.81,77.33,77.48,246700,0.0,0
2019-04-08,77.32,77.32,76.54,76.89,473400,0.0,0
2019-04-09,76.63,76.94,76.04,76.47,331200,0.0,0
2019-04-10,76.79,76.85,76.1,76.63,206100,0.0,0
2019-04-11,76.69,76.91,76.18,76.41,276900,0.0,0
2019-04-12,76.1,76.79,75.94,76.52,236700,0.0,0
2019-04-15,76.71,76.71,75.84,76.36,311800,0.0,0
2019-04-16,76.6,76.85,76.18,76.52,180000,0.0,0
2019-04-17,76.6,76.77,75.87,76.07,301800,0.0,0
2019-04-18,76.23,76.23,75.33,75.99,215600,0.0,0
2019-04-22,75.85,75.96,75.26,75.76,249100,0.0,0
2019-04-23,75.84,76.07,75.29,75.59,263000,0.0,0
2019-04-24,75.69,75.95,74.11,74.38,429600,0.0,0
2019-04-25,74.41,75.16,72.13,72.32,964700,0.0,0
2019-04-26,72.47,75.76,72.47,74.42,455700,0.0,0
2019-04-29,74.47,74.72,73.77,74.41,501700,0.0,0
2019-04-30,74.44,74.72,73.94,74.7,399200,0.0,0
2019-05-01,74.91,75.02,74.09,74.14,390000,0.0,0
2019-05-02,74.15,74.9,73.5,74.64,396700,0.0,0
2019-05-03,74.99,75.89,74.74,75.62,295400,0.0,0
2019-05-06,74.48,76.0,74.48,75.95,543200,0.0,0
2019-05-07,75.41,75.78,74.17,74.62,362400,0.0,0
2019-05-08,74.33,74.69,73.7,74.1,321000,0.0,0
2019-05-09,73.42,73.85,72.62,73.64,204700,0.0,0
2019-05-10,73.46,74.19,72.67,73.8,363400,0.0,0
2019-05-13,72.66,73.1,71.98,72.53,342400,0.0,0
2019-05-14,72.57,73.38,72.56,73.03,333000,0.0,0
2019-05-15,72.54,73.46,72.44,72.95,233000,0.27,0
2019-05-16,72.66,73.44,72.66,73.2,239000,0.0,0
2019-05-17,72.73,73.74,72.59,73.59,435600,0.0,0
2019-05-20,73.14,73.39,72.1,72.22,381000,0.0,0
2019-05-21,72.86,73.26,72.5,73.14,268400,0.0,0
2019-05-22,72.9,73.24,72.34,72.42,407800,0.0,0
2019-05-23,71.89,71.89,69.72,70.07,521900,0.0,0
2019-05-24,70.47,70.88,69.89,70.57,336900,0.0,0
2019-05-28,70.41,70.67,69.75,69.76,371400,0.0,0
2019-05-29,69.4,70.2,68.66,69.6,297800,0.0,0
2019-05-30,69.86,70.87,69.72,70.58,474000,0.0,0
2019-05-31,69.72,70.56,69.57,69.91,543700,0.0,0
2019-06-03,70.18,71.25,69.99,71.15,518500,0.0,0
2019-06-04,71.95,73.76,71.95,73.69,364100,0.0,0
2019-06-05,74.11,74.11,72.8,73.74,338800,0.0,0
2019-06-06,73.83,74.15,73.26,73.99,292100,0.0,0
2019-06-07,74.46,74.6,73.7,73.78,325900,0.0,0
2019-06-10,73.9,74.54,73.4,74.14,596600,0.0,0
2019-06-11,75.04,75.23,73.48,73.94,334800,0.0,0
2019-06-12,73.62,74.68,73.48,74.65,287700,0.0,0
2019-06-13,74.96,75.02,73.94,74.16,361000,0.0,0
2019-06-14,74.12,74.25,73.39,73.75,241100,0.0,0
2019-06-17,73.43,73.43,72.54,72.75,338100,0.0,0
2019-06-18,73.06,73.64,72.41,72.44,314900,0.0,0
2019-06-19,72.45,73.28,71.93,73.06,329500,0.0,0
2019-06-20,73.78,73.78,72.81,73.29,289200,0.0,0
2019-06-21,72.96,73.18,71.83,72.91,557600,0.0,0
2019-06-24,72.81,73.75,72.81,73.35,294700,0.0,0
2019-06-25,73.37,74.62,73.06,74.32,373000,0.0,0
2019-06-26,74.3,74.51,73.82,74.04,455700,0.0,0
2019-06-27,74.08,75.09,73.56,74.92,265400,0.0,0
2019-06-28,75.18,75.87,74.73,75.5,1169100,0.0,0
2019-07-01,76.19,77.3,75.89,77.29,626100,0.0,0
2019-07-02,77.26,77.69,76.91,77.69,550500,0.0,0
2019-07-03,77.82,79.07,77.43,78.97,310400,0.0,0
2019-07-05,78.37,78.6,77.56,78.56,278900,0.0,0
2019-07-08,78.36,78.44,77.17,77.34,422800,0.0,0
2019-07-09,77.12,77.4,76.36,76.49,196700,0.0,0
2019-07-10,76.61,77.12,76.21,76.21,161400,0.0,0
2019-07-11,76.16,76.48,75.42,75.85,315000,0.0,0
2019-07-12,76.14,76.93,76.08,76.9,441100,0.0,0
2019-07-15,77.1,77.66,76.75,77.3,269900,0.0,0
2019-07-16,77.18,77.86,76.76,77.6,454100,0.0,0
2019-07-17,77.56,78.01,76.9,76.9,400700,0.0,0
2019-07-18,76.6,77.27,76.03,76.97,360700,0.0,0
2019-07-19,77.08,77.35,76.03,76.1,353200,0.0,0
2019-07-22,76.38,76.73,76.03,76.31,474000,0.0,0
2019-07-23,76.86,77.15,75.91,76.01,443300,0.0,0
2019-07-24,75.89,76.38,75.23,75.39,694800,0.0,0
2019-07-25,71.33,73.41,70.36,70.63,1907800,0.0,0
2019-07-26,70.62,71.01,69.91,70.43,988700,0.0,0
2019-07-29,70.26,70.41,69.01,69.28,566200,0.0,0
2019-07-30,68.86,69.08,68.16,68.35,701300,0.0,0
