Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,67.91,68.21,67.66,67.85,828200,0.0,0
2019-02-06,67.82,68.36,67.51,67.98,756800,0.0,0
2019-02-07,67.28,67.81,67.27,67.8,794300,0.0,0
2019-02-08,67.66,68.65,67.66,68.46,867300,0.0,0
2019-02-11,68.31,68.96,68.26,68.74,710700,0.0,0
2019-02-12,68.86,69.92,68.76,69.72,893900,0.0,0
2019-02-13,69.92,69.96,69.2,69.57,629900,0.0,0
2019-02-14,69.41,69.84,69.27,69.56,443900,0.0,0
2019-02-15,69.69,70.05,69.25,69.78,1446900,0.0,0
2019-02-19,69.99,69.99,69.04,69.15,1293600,0.0,0
2019-02-20,73.9,81.16,73.56,80.93,8418700,0.0,0
2019-02-21,80.18,81.12,79.03,80.31,3144200,0.0,0
2019-02-22,80.46,81.54,79.84,80.94,1304300,0.0,0
2019-02-25,80.87,82.65,80.77,81.41,1751400,0.0,0
2019-02-26,80.8,82.04,80.75,81.51,1058200,0.0,0
2019-02-27,81.16,82.22,81.14,82.01,1049200,0.0,0
2019-02-28,81.92,82.64,81.65,81.82,1424400,0.0,0
2019-03-01,81.89,83.31,81.88,82.52,1031100,0.0,0
2019-03-04,82.7,82.72,81.76,82.57,1174100,0.0,0
2019-03-05,82.26,82.65,81.7,81.82,1142000,0.0,0
2019-03-06,81.93,82.13,81.19,81.35,904300,0.0,0
2019-03-07,81.39,81.51,80.39,80.88,1579600,0.0,0
2019-03-08,80.39,81.31,80.18,80.56,1107000,0.0,0
2019-03-11,80.64,81.73,80.48,81.71,1162100,0.0,0
2019-03-12,81.64,82.38,81.22,82.36,1314100,0.0,0
2019-03-13,82.54,82.68,81.53,81.79,1452800,0.0,0
2019-03-14,81.93,82.53,80.86,81.42,1313100,0.53,0
2019-03-15,81.48,82.24,81.18,81.63,2808700,0.0,0
2019-03-18,81.69,82.45,81.44,82.32,1505100,0.0,0
2019-03-19,82.6,82.85,81.85,82.05,1252600,0.0,0
2019-03-20,82.22,83.31,81.96,82.58,835000,0.0,0
2019-03-21,82.09,83.08,82.0,82.94,673000,0.0,0
2019-03-22,82.58,82.93,81.71,81.95,976100,0.0,0
2019-03-25,81.86,82.66,81.6,82.5,879100,0.0,0
2019-03-26,82.81,83.64,82.76,83.56,1599400,0.0,0
2019-03-27,83.64,85.01,83.39,84.22,1805800,0.0,0
2019-03-28,84.23,84.75,83.55,83.94,779900,0.0,0
2019-03-29,84.21,84.77,83.63,84.67,1320700,0.0,0
2019-04-01,85.01,86.32,84.97,86.17,1190800,0.0,0
2019-04-02,86.0,86.67,85.56,86.53,1081300,0.0,0
2019-04-03,86.97,87.37,86.46,86.84,1306400,0.0,0
2019-04-04,86.69,86.73,85.83,86.48,862100,0.0,0
2019-04-05,86.8,86.8,86.3,86.46,660600,0.0,0
2019-04-08,86.46,87.46,86.09,87.37,903500,0.0,0
2019-04-09,87.03,87.59,86.33,86.51,807900,0.0,0
2019-04-10,86.76,87.35,86.34,87.07,856900,0.0,0
2019-04-11,87.43,87.43,86.49,87.28,952800,0.0,0
2019-04-12,87.57,87.98,87.13,87.22,674500,0.0,0
2019-04-15,87.34,87.36,86.42,86.94,851700,0.0,0
2019-04-16,87.25,87.25,85.78,86.06,946500,0.0,0
2019-04-17,86.42,86.66,84.15,84.51,1233600,0.0,0
2019-04-18,84.25,85.35,83.81,84.85,1682600,0.0,0
2019-04-22,84.77,84.93,84.17,84.4,548400,0.0,0
2019-04-23,84.46,85.36,84.28,85.25,919600,0.0,0
2019-04-24,85.45,85.84,84.83,84.94,721000,0.0,0
