Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,37.58,37.86,37.52,37.55,3197300,0.0,0
2019-02-06,38.0,38.8,37.93,38.72,5727700,0.0,0
2019-02-07,39.1,39.2,38.54,38.62,3674200,0.0,0
2019-02-08,38.83,39.22,38.76,39.11,3130100,0.0,0
2019-02-11,38.39,38.48,38.19,38.29,5360900,0.0,0
2019-02-12,38.32,38.65,38.29,38.58,3235400,0.0,0
2019-02-13,38.17,38.58,38.14,38.42,3065400,0.0,0
2019-02-14,38.63,39.0,38.58,38.89,2940800,0.0,0
2019-02-15,39.22,39.32,39.06,39.25,3213900,0.0,0
2019-02-19,39.23,39.43,39.23,39.3,2676300,0.0,0
2019-02-20,39.2,39.61,39.17,39.37,2600400,0.0,0
2019-02-21,39.14,39.32,39.05,39.15,2457800,0.597034,0
2019-02-22,38.82,39.27,38.78,39.16,2279800,0.0,0
2019-02-25,39.24,39.33,39.05,39.1,2203200,0.0,0
2019-02-26,39.05,39.31,38.95,39.11,1766100,0.0,0
2019-02-27,38.98,39.29,38.96,39.07,3308600,0.0,0
2019-02-28,38.92,39.28,38.88,38.98,3600700,0.0,0
2019-03-01,39.03,39.19,38.95,39.01,2323800,0.0,0
2019-03-04,39.1,39.1,38.74,38.9,2081900,0.0,0
2019-03-05,38.82,39.15,38.75,38.98,1990600,0.0,0
2019-03-06,39.14,39.14,38.68,38.81,1517300,0.0,0
2019-03-07,38.79,38.9,38.54,38.75,3026600,0.0,0
2019-03-08,38.78,38.79,38.46,38.75,1678100,0.0,0
2019-03-11,38.76,38.87,38.54,38.71,1759600,0.0,0
2019-03-12,38.46,38.8,38.46,38.68,1298100,0.0,0
2019-03-13,38.87,39.0,38.77,38.97,1164900,0.0,0
2019-03-14,39.08,39.19,38.97,39.05,1574700,0.0,0
2019-03-15,39.12,39.25,38.96,39.24,2115800,0.0,0
2019-03-18,39.24,39.28,38.92,39.1,1365000,0.0,0
2019-03-19,39.19,39.34,39.01,39.06,2210600,0.0,0
2019-03-20,39.36,39.58,39.17,39.41,2035000,0.0,0
2019-03-21,39.79,40.05,39.73,39.83,2568600,0.0,0
2019-03-22,40.03,40.19,39.84,39.84,2510400,0.0,0
2019-03-25,39.85,39.98,39.72,39.8,2105900,0.0,0
2019-03-26,40.42,40.44,40.09,40.18,2450200,0.0,0
2019-03-27,40.4,40.51,40.11,40.3,3156700,0.0,0
2019-03-28,40.56,40.71,40.39,40.44,3448600,0.0,0
2019-03-29,40.49,40.54,40.21,40.36,2364300,0.0,0
2019-04-01,40.63,40.63,40.27,40.38,2336200,0.0,0
2019-04-02,40.64,40.75,40.43,40.45,3132900,0.0,0
2019-04-03,40.32,40.55,40.2,40.33,2817700,0.0,0
2019-04-04,40.4,40.43,40.11,40.26,2198600,0.0,0
2019-04-05,40.39,40.45,40.12,40.18,1954300,0.0,0
2019-04-08,40.42,40.42,40.14,40.24,2044900,0.0,0
2019-04-09,40.17,40.22,40.0,40.07,1810200,0.0,0
2019-04-10,40.05,40.14,39.83,39.86,1916000,0.0,0
2019-04-11,39.88,39.9,39.45,39.54,2750800,0.0,0
2019-04-12,39.27,39.5,39.12,39.21,2756700,0.0,0
2019-04-15,39.47,39.62,39.35,39.37,2170500,0.0,0
2019-04-16,39.69,39.69,38.89,38.89,2585500,0.0,0
2019-04-17,39.19,39.21,38.55,38.61,3807300,0.0,0
2019-04-18,38.57,38.65,38.34,38.49,2670100,0.0,0
2019-04-22,38.43,38.54,38.26,38.32,1650100,0.0,0
2019-04-23,38.78,39.01,38.74,38.84,3824800,0.0,0
2019-04-24,38.77,38.81,38.45,38.56,2864200,0.0,0
