Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,15.02,15.49,15.02,15.36,303000,0,0
2019-02-06,15.33,15.65,15.33,15.53,580600,0,0
2019-02-07,15.36,15.36,14.85,15.03,182300,0,0
2019-02-08,14.94,15.28,14.91,15.1,290900,0,0
2019-02-11,15.13,15.22,14.91,15.12,397300,0,0
2019-02-12,15.11,15.42,15.08,15.38,624400,0,0
2019-02-13,16.34,17.6,15.91,16.13,1354600,0,0
2019-02-14,16.11,16.22,15.51,15.53,362900,0,0
2019-02-15,15.52,15.98,15.44,15.88,371300,0,0
2019-02-19,15.74,16.3,15.68,16.09,542700,0,0
2019-02-20,16.02,16.21,15.88,15.93,141400,0,0
2019-02-21,15.79,16.15,15.79,16.09,217600,0,0
2019-02-22,16.2,16.55,16.2,16.46,708800,0,0
2019-02-25,16.56,16.62,16.21,16.22,227500,0,0
2019-02-26,16.2,16.35,16.02,16.1,416800,0,0
2019-02-27,16.06,16.31,15.95,16.07,444400,0,0
2019-02-28,16.08,16.11,15.71,16.1,364900,0,0
2019-03-01,16.18,16.22,15.91,16.13,259600,0,0
2019-03-04,16.14,16.36,15.92,16.03,265200,0,0
2019-03-05,16.07,16.11,15.8,15.96,185100,0,0
2019-03-06,16.0,16.04,15.58,15.61,168700,0,0
2019-03-07,15.59,15.59,15.27,15.35,154900,0,0
2019-03-08,15.13,15.16,14.6,15.14,273200,0,0
2019-03-11,15.08,15.6,15.08,15.48,183600,0,0
2019-03-12,15.56,15.56,15.31,15.34,136300,0,0
2019-03-13,15.36,15.57,15.34,15.42,154300,0,0
2019-03-14,15.39,15.51,15.32,15.32,122700,0,0
2019-03-15,15.36,15.62,15.3,15.6,350700,0,0
2019-03-18,15.54,15.78,15.54,15.59,166400,0,0
2019-03-19,15.75,15.76,15.25,15.29,405100,0,0
2019-03-20,15.24,15.58,15.18,15.37,224100,0,0
2019-03-21,15.33,15.6,15.33,15.46,89800,0,0
2019-03-22,15.36,15.36,14.68,14.71,177900,0,0
2019-03-25,14.62,14.68,14.31,14.38,242700,0,0
2019-03-26,14.51,14.66,14.28,14.4,145400,0,0
2019-03-27,14.39,14.57,14.12,14.25,231400,0,0
2019-03-28,14.27,14.62,14.27,14.52,338300,0,0
