Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,79.76,80.59,79.76,80.5,528300,0,0
2019-02-06,84.44,84.94,81.43,82.45,843300,0,0
2019-02-07,81.59,82.43,79.76,80.23,540000,0,0
2019-02-08,79.77,80.23,79.16,80.18,430800,0,0
2019-02-11,80.69,81.64,79.71,79.93,292000,0,0
2019-02-12,80.38,82.39,80.38,81.91,351500,0,0
2019-02-13,81.82,82.34,81.03,82.19,324400,0,0
2019-02-14,81.81,82.56,81.81,82.08,271200,0,0
2019-02-15,82.58,82.95,81.32,82.73,221700,0,0
2019-02-19,82.34,83.77,82.26,83.11,223100,0,0
2019-02-20,83.49,84.21,82.93,83.88,300800,0,0
2019-02-21,83.64,83.77,82.81,83.32,232900,0,0
2019-02-22,83.4,84.09,83.2,84.0,338000,0,0
2019-02-25,84.13,84.5,83.35,83.4,279300,0,0
2019-02-26,83.24,83.32,82.68,82.76,208000,0,0
2019-02-27,82.71,83.31,82.34,82.85,181800,0,0
2019-02-28,82.64,82.64,81.72,82.0,194100,0,0
2019-03-01,82.76,83.01,80.67,81.97,425900,0,0
2019-03-04,82.24,83.38,80.99,82.77,493200,0,0
2019-03-05,82.89,82.89,81.27,81.35,246200,0,0
2019-03-06,81.35,81.79,80.96,81.06,286100,0,0
2019-03-07,81.0,81.31,80.19,80.94,230300,0,0
2019-03-08,80.32,80.4,79.16,80.28,226500,0,0
2019-03-11,80.3,89.39,79.94,87.53,3109400,0,0
2019-03-12,87.56,87.65,85.22,85.81,738700,0,0
2019-03-13,86.0,86.75,85.34,85.79,501000,0,0
2019-03-14,85.88,86.13,84.38,84.92,440500,0,0
2019-03-15,84.94,86.89,84.48,85.46,1035300,0,0
2019-03-18,85.46,87.31,85.4,87.15,466800,0,0
2019-03-19,87.22,87.26,85.45,85.86,364400,0,0
2019-03-20,85.65,86.54,84.96,85.64,351400,0,0
2019-03-21,85.0,87.59,85.0,87.03,326900,0,0
2019-03-22,86.39,86.39,84.77,85.0,567800,0,0
2019-03-25,85.0,85.94,84.54,85.08,359900,0,0
2019-03-26,85.83,85.98,84.02,85.85,555700,0,0
2019-03-27,85.95,86.5,85.44,85.74,521400,0,0
2019-03-28,85.98,86.98,85.76,86.88,284400,0,0
2019-03-29,87.5,87.72,86.64,87.14,270500,0,0
2019-04-01,87.9,89.74,87.87,89.49,548300,0,0
2019-04-02,89.58,89.58,88.41,89.22,290000,0,0
2019-04-03,89.67,90.0,88.44,88.76,342900,0,0
2019-04-04,88.73,89.6,88.23,89.28,164700,0,0
2019-04-05,89.43,89.78,87.6,88.99,230400,0,0
2019-04-08,89.03,89.03,88.22,88.86,342900,0,0
2019-04-09,88.52,88.88,87.67,88.8,291500,0,0
2019-04-10,89.02,89.98,88.59,89.46,276900,0,0
2019-04-11,89.31,89.68,88.89,89.25,133300,0,0
