Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,292.8,294.4,289.94,294.2,357600,0.0,0
2019-02-06,293.7,299.74,292.95,297.66,409300,0.0,0
2019-02-07,295.69,300.58,294.92,297.21,391700,0.0,0
2019-02-08,296.62,297.85,294.14,295.96,362100,1.36,0
2019-02-11,297.53,302.77,297.17,302.27,368800,0.0,0
2019-02-12,304.21,310.19,303.36,307.87,488700,0.0,0
2019-02-13,308.76,309.89,302.56,308.65,399300,0.0,0
2019-02-14,306.85,310.03,304.36,307.17,296000,0.0,0
2019-02-15,310.31,312.02,307.79,311.91,328100,0.0,0
2019-02-19,310.92,312.18,309.48,309.97,293000,0.0,0
2019-02-20,309.42,309.42,304.58,306.41,477200,0.0,0
2019-02-21,307.27,308.52,303.7,304.98,361900,0.0,0
2019-02-22,305.46,307.93,304.88,307.72,232200,0.0,0
2019-02-25,309.13,310.34,306.42,306.75,356100,0.0,0
2019-02-26,307.45,307.85,303.87,303.96,262600,0.0,0
2019-02-27,302.52,306.59,302.52,306.49,350600,0.0,0
2019-02-28,306.03,307.13,299.98,300.24,337900,0.0,0
2019-03-01,304.15,305.44,295.01,298.03,631800,0.0,0
2019-03-04,298.91,302.43,296.23,298.12,404800,0.0,0
2019-03-05,299.13,299.24,296.22,296.82,425900,0.0,0
2019-03-06,297.49,300.79,295.54,297.95,312800,0.0,0
2019-03-07,296.26,297.35,291.42,293.27,329000,0.0,0
2019-03-08,291.17,291.9,286.86,289.03,356900,0.0,0
2019-03-11,287.24,291.22,286.03,290.6,218300,0.0,0
2019-03-12,291.31,291.74,288.74,290.98,308900,0.0,0
2019-03-13,292.42,296.18,291.9,295.03,401000,0.0,0
2019-03-14,295.21,295.21,291.06,293.1,383900,0.0,0
2019-03-15,292.97,295.53,291.86,292.76,444200,0.0,0
2019-03-18,293.01,297.84,293.01,297.57,247800,0.0,0
2019-03-19,299.6,299.63,294.48,295.08,347900,0.0,0
2019-03-20,295.06,299.5,291.16,293.59,235300,0.0,0
2019-03-21,293.56,301.06,293.33,300.44,310200,0.0,0
2019-03-22,299.39,299.39,288.0,288.16,446300,0.0,0
2019-03-25,287.53,288.88,283.85,285.29,308500,0.0,0
2019-03-26,287.58,287.58,282.32,285.03,421400,0.0,0
2019-03-27,285.81,287.81,283.25,285.69,367300,0.0,0
2019-03-28,287.0,291.3,285.72,289.41,384200,0.0,0
2019-03-29,291.57,297.1,290.39,296.45,427700,0.0,0
2019-04-01,297.01,306.8,297.01,306.63,509300,0.0,0
2019-04-02,306.29,308.66,303.99,306.64,442000,0.0,0
2019-04-03,308.11,310.02,305.8,306.94,389400,0.0,0
2019-04-04,306.37,310.81,306.37,308.97,304400,0.0,0
2019-04-05,309.32,314.16,308.93,311.79,410200,0.0,0
2019-04-08,310.75,311.8,309.53,310.27,313200,0.0,0
2019-04-09,309.65,309.65,300.54,300.74,339400,0.0,0
2019-04-10,295.53,299.69,292.58,298.66,497200,0.0,0
2019-04-11,301.45,308.6,301.45,304.39,415700,0.0,0
2019-04-12,301.94,303.68,298.06,300.32,687700,0.0,0
2019-04-15,300.33,301.61,298.9,300.26,292500,0.0,0
2019-04-16,301.41,302.44,298.21,301.45,301900,0.0,0
2019-04-17,303.88,305.67,300.76,303.73,314800,0.0,0
2019-04-18,304.27,307.17,301.94,303.59,520600,0.0,0
2019-04-22,298.24,303.42,285.3,286.88,881900,0.0,0
2019-04-23,283.98,289.4,281.32,288.83,633900,0.0,0
2019-04-24,288.84,291.85,287.75,289.98,584300,0.0,0
2019-04-25,288.91,290.99,284.53,290.61,468800,0.0,0
2019-04-26,290.56,291.71,286.67,287.57,280700,0.0,0
2019-04-29,287.86,288.99,280.38,280.61,566700,0.0,0
2019-04-30,280.04,281.35,276.59,277.8,1038200,0.0,0
2019-05-01,279.15,280.02,270.38,270.77,594900,0.0,0
2019-05-02,270.13,276.53,269.92,274.8,466600,0.0,0
2019-05-03,277.08,280.18,276.42,279.33,556300,0.0,0
2019-05-06,272.62,275.72,270.06,275.15,499500,0.0,0
2019-05-07,272.22,273.25,267.53,272.35,602000,0.0,0
2019-05-08,272.14,274.64,269.79,272.45,378400,0.0,0
2019-05-09,269.08,270.6,263.67,269.37,490500,0.0,0
2019-05-10,267.98,270.35,263.66,265.1,456600,1.44,0
2019-05-13,260.51,261.54,256.21,257.48,687600,0.0,0
2019-05-14,258.31,260.4,256.76,259.53,354600,0.0,0
2019-05-15,257.18,260.42,255.92,259.26,363400,0.0,0
