Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,12.88,12.91,12.69,12.77,7927300,0.0,0
2019-02-06,12.72,12.86,12.69,12.85,9236300,0.0,0
2019-02-07,13.07,13.5,13.06,13.41,30562900,0.0,0
2019-02-08,13.32,13.37,12.99,13.08,10787800,0.0,0
2019-02-11,13.13,13.27,13.1,13.18,13725900,0.0,0
2019-02-12,13.31,13.49,13.26,13.31,12941300,0.0,0
2019-02-13,13.37,13.45,13.31,13.34,8677500,0.0,0
2019-02-14,13.18,13.25,13.03,13.15,8564300,0.0,0
2019-02-15,13.28,13.47,13.21,13.45,8385000,0.0,0
2019-02-19,13.37,13.61,13.3,13.56,7375800,0.0,0
2019-02-20,13.59,13.77,13.5,13.7,19086800,0.0,0
2019-02-21,13.71,13.75,13.58,13.64,10406600,0.0,0
2019-02-22,13.66,13.82,13.59,13.76,12013300,0.0,0
2019-02-25,13.86,14.03,13.82,13.83,14219100,0.0,0
2019-02-26,13.77,13.91,13.62,13.73,11996100,0.0,0
2019-02-27,13.72,13.83,13.66,13.8,8495700,0.0,0
2019-02-28,13.82,13.88,13.77,13.84,8890400,0.0,0
2019-03-01,13.88,14.03,13.75,13.83,12398500,0.0,0
2019-03-04,13.84,13.97,13.64,13.8,10686100,0.0,0
2019-03-05,13.78,13.81,13.49,13.7,10636700,0.0,0
2019-03-06,13.7,13.76,13.44,13.47,9192000,0.0,0
2019-03-07,13.4,13.4,13.11,13.15,18118200,0.0,0
2019-03-08,13.05,13.24,13.01,13.21,14976900,0.0,0
2019-03-11,13.23,13.39,13.15,13.16,21784000,0.0,0
2019-03-12,13.21,13.3,13.13,13.18,14741300,0.0,0
2019-03-13,13.23,13.44,13.19,13.37,12356100,0.0,0
2019-03-14,13.39,13.56,13.36,13.51,11941400,0.0,0
2019-03-15,13.53,13.6,13.34,13.34,50648700,0.14,0
2019-03-18,13.43,13.58,13.4,13.5,36485000,0.0,0
2019-03-19,13.57,13.58,13.14,13.17,12847900,0.0,0
2019-03-20,13.15,13.26,12.53,12.57,17573800,0.0,0
2019-03-21,12.52,12.62,12.21,12.24,43579100,0.0,0
2019-03-22,12.15,12.16,11.78,11.88,31984800,0.0,0
2019-03-25,11.88,12.08,11.82,11.95,16680500,0.0,0
2019-03-26,12.01,12.21,11.98,12.19,13635500,0.0,0
2019-03-27,12.16,12.3,12.1,12.23,16554900,0.0,0
2019-03-28,12.24,12.41,12.16,12.39,11929000,0.0,0
2019-03-29,12.5,12.51,12.29,12.3,12533100,0.0,0
2019-04-01,12.39,12.78,12.39,12.74,15140700,0.0,0
2019-04-02,12.71,12.93,12.66,12.78,9446300,0.0,0
2019-04-03,12.93,13.07,12.76,12.81,11723300,0.0,0
2019-04-04,12.76,12.99,12.73,12.92,13264600,0.0,0
2019-04-05,12.94,12.99,12.82,12.91,12583900,0.0,0
2019-04-08,12.9,13.0,12.87,13.0,11993500,0.0,0
2019-04-09,12.93,12.97,12.73,12.77,12937600,0.0,0
2019-04-10,12.83,12.91,12.61,12.9,11536300,0.0,0
2019-04-11,13.0,13.09,12.87,12.95,8451200,0.0,0
2019-04-12,13.13,13.39,13.06,13.28,14201700,0.0,0
2019-04-15,13.29,13.31,13.04,13.06,8636700,0.0,0
2019-04-16,13.08,13.31,12.89,13.25,15827500,0.0,0
2019-04-17,13.29,13.41,13.17,13.41,9547300,0.0,0
2019-04-18,13.4,13.4,13.19,13.2,13804800,0.0,0
2019-04-22,13.21,13.3,13.11,13.23,7472400,0.0,0
