Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,14.95,15.21,14.89,15.04,5987400,0.0,0
2019-02-06,15.02,15.14,14.78,15.01,6784100,0.0,0
2019-02-07,16.08,18.05,15.78,18.04,29578000,0.0,0
2019-02-08,17.97,18.25,17.01,17.2,12135300,0.0,0
2019-02-11,17.2,17.9,17.16,17.73,7503200,0.0,0
2019-02-12,17.81,18.22,17.6,17.94,7281500,0.0,0
2019-02-13,18.01,18.22,17.86,18.15,5437900,0.0,0
2019-02-14,17.97,18.18,17.76,18.04,4556800,0.0,0
2019-02-15,18.18,18.31,18.02,18.25,4532200,0.15,0
2019-02-19,18.23,18.4,18.01,18.27,4437900,0.0,0
2019-02-20,18.36,18.53,18.16,18.43,4634200,0.0,0
2019-02-21,18.47,18.84,18.4,18.61,4042100,0.0,0
2019-02-22,18.59,18.82,18.46,18.6,4913300,0.0,0
2019-02-25,18.8,18.83,18.47,18.51,5179300,0.0,0
2019-02-26,18.52,18.64,18.15,18.17,6032600,0.0,0
2019-02-27,18.11,18.5,18.05,18.26,4753900,0.0,0
2019-02-28,18.28,18.28,17.94,18.07,4529100,0.0,0
2019-03-01,18.29,18.59,17.99,18.0,5976900,0.0,0
2019-03-04,18.07,18.22,17.91,17.91,4107100,0.0,0
2019-03-05,17.96,18.17,17.83,18.0,5742900,0.0,0
2019-03-06,18.04,18.07,17.72,17.76,4545600,0.0,0
2019-03-07,17.68,17.96,17.52,17.82,3574700,0.0,0
2019-03-08,17.65,17.83,17.51,17.78,3020400,0.0,0
2019-03-11,17.87,17.97,17.2,17.39,7061000,0.0,0
2019-03-12,17.45,17.45,16.94,17.25,6051600,0.0,0
2019-03-13,17.28,17.58,17.19,17.2,7061900,0.0,0
2019-03-14,17.27,17.42,17.07,17.25,4575800,0.0,0
2019-03-15,17.25,17.38,17.11,17.14,7950100,0.0,0
2019-03-18,17.19,17.25,16.98,17.16,5285700,0.0,0
2019-03-19,17.2,17.6,17.13,17.35,7745300,0.0,0
2019-03-20,17.36,17.58,17.05,17.11,5072500,0.0,0
2019-03-21,17.13,17.34,17.05,17.28,3595200,0.0,0
2019-03-22,17.15,17.27,16.39,16.45,4026200,0.0,0
2019-03-25,16.34,16.58,16.21,16.42,3862600,0.0,0
2019-03-26,16.55,16.83,16.47,16.63,2727800,0.0,0
2019-03-27,16.66,16.86,16.55,16.69,2771100,0.0,0
2019-03-28,16.94,17.82,16.94,17.23,5212200,0.0,0
2019-03-29,17.29,17.46,17.18,17.38,4365900,0.0,0
2019-04-01,17.45,17.69,17.42,17.67,5498800,0.0,0
2019-04-02,17.71,17.74,17.31,17.41,3235100,0.0,0
2019-04-03,17.58,17.61,17.32,17.33,4099500,0.0,0
2019-04-04,17.36,17.92,17.35,17.88,3165300,0.0,0
2019-04-05,17.95,18.16,17.9,17.95,4303500,0.0,0
2019-04-08,17.92,18.23,17.74,17.83,3398900,0.0,0
2019-04-09,17.74,17.83,17.45,17.48,3168700,0.0,0
2019-04-10,17.48,17.65,17.27,17.52,3247700,0.0,0
2019-04-11,17.59,17.99,17.54,17.81,5940800,0.0,0
2019-04-12,17.87,18.01,17.75,18.0,4787700,0.0,0
2019-04-15,18.0,18.16,17.92,17.97,6548800,0.0,0
2019-04-16,18.03,18.3,17.98,18.23,5223100,0.0,0
2019-04-17,18.29,18.49,18.23,18.29,3035700,0.0,0
2019-04-18,18.22,18.54,18.17,18.36,3786300,0.0,0
2019-04-22,18.32,18.41,18.09,18.11,3681000,0.0,0
2019-04-23,18.21,18.3,17.94,18.3,3473800,0.0,0
2019-04-24,18.38,18.53,18.22,18.43,3088100,0.0,0
2019-04-25,18.35,18.42,17.99,18.22,3668700,0.0,0
2019-04-26,18.26,18.38,18.03,18.26,3433800,0.0,0
2019-04-29,18.21,18.43,17.95,18.04,4502700,0.0,0
2019-04-30,17.93,18.02,17.52,17.57,5350700,0.0,0
2019-05-01,17.6,17.91,17.6,17.63,9151100,0.0,0
2019-05-02,17.9,18.57,16.62,16.75,13817000,0.0,0
2019-05-03,16.83,17.43,16.67,17.32,9776200,0.0,0
2019-05-06,17.01,17.36,16.79,17.3,5906900,0.0,0
2019-05-07,17.21,17.45,17.07,17.25,5117300,0.0,0
2019-05-08,17.19,17.42,16.93,17.03,5694500,0.0,0
2019-05-09,17.14,17.14,16.67,17.03,6422400,0.0,0
2019-05-10,16.97,17.01,16.29,16.53,9089500,0.0,0
2019-05-13,16.22,16.24,15.68,15.81,6575300,0.15,0
2019-05-14,15.88,16.22,15.67,16.16,7064900,0.0,0
2019-05-15,16.09,16.55,15.83,16.08,3603900,0.0,0
2019-05-16,16.19,16.67,16.08,16.5,4026400,0.0,0
2019-05-17,16.33,16.81,16.3,16.5,3798200,0.0,0
2019-05-20,16.4,16.4,16.04,16.25,3779300,0.0,0
2019-05-21,16.26,16.57,16.2,16.57,3056400,0.0,0
2019-05-22,16.37,16.44,16.07,16.08,4495200,0.0,0
2019-05-23,15.92,16.04,15.49,15.58,4759500,0.0,0
2019-05-24,15.69,15.85,15.34,15.48,3938900,0.0,0
2019-05-28,15.52,15.67,15.45,15.45,4955200,0.0,0
2019-05-29,15.36,15.41,14.96,15.2,4345900,0.0,0
2019-05-30,15.13,15.26,14.84,14.88,3899700,0.0,0
2019-05-31,14.67,14.8,14.32,14.56,5126100,0.0,0
2019-06-03,14.48,14.92,14.36,14.61,6428700,0.0,0
2019-06-04,14.8,15.47,14.74,15.43,3733700,0.0,0
2019-06-05,15.66,15.83,15.22,15.6,4433600,0.0,0
2019-06-06,15.55,15.81,15.45,15.75,3393300,0.0,0
2019-06-07,15.75,16.01,15.55,15.94,3833000,0.0,0
2019-06-10,16.04,16.29,15.96,16.03,2482200,0.0,0
2019-06-11,16.18,16.35,16.09,16.09,2820000,0.0,0
2019-06-12,16.1,16.11,15.6,15.76,3007300,0.0,0
2019-06-13,15.85,16.12,15.75,16.09,2342300,0.0,0
2019-06-14,16.01,16.34,15.79,16.27,3374600,0.0,0
2019-06-17,16.24,16.83,16.19,16.53,4328900,0.0,0
2019-06-18,16.67,17.06,16.59,17.02,3612400,0.0,0
2019-06-19,17.0,17.07,16.61,16.9,3878000,0.0,0
2019-06-20,17.07,17.23,16.96,17.21,2865600,0.0,0
2019-06-21,17.22,17.34,16.94,17.28,5968500,0.0,0
2019-06-24,17.13,17.25,16.31,16.38,4368200,0.0,0
2019-06-25,16.46,16.52,16.22,16.33,3047700,0.0,0
2019-06-26,16.34,16.83,16.26,16.59,3280300,0.0,0
2019-06-27,16.73,16.8,16.41,16.66,2879200,0.0,0
2019-06-28,16.75,16.95,16.67,16.89,4664400,0.0,0
2019-07-01,17.09,17.35,16.44,16.64,4223300,0.0,0
2019-07-02,16.62,16.86,16.53,16.58,2554000,0.0,0
2019-07-03,16.64,17.07,16.59,17.05,1544400,0.0,0
2019-07-05,17.01,17.11,16.78,17.05,1707700,0.0,0
2019-07-08,16.74,17.16,16.74,17.12,5073600,0.0,0
