Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,42.22,42.78,42.2,42.54,982400,0,0
2019-02-06,42.54,42.78,42.2,42.32,1047000,0,0
2019-02-07,42.18,42.62,42.12,42.42,842800,0,0
2019-02-08,42.21,42.59,42.02,42.36,657700,0,0
2019-02-11,42.55,42.74,42.38,42.62,1391800,0,0
2019-02-12,42.78,43.39,42.55,43.31,718900,0,0
2019-02-13,43.35,43.56,43.15,43.34,1465800,0,0
2019-02-14,43.25,43.58,42.25,43.47,2157600,0,0
2019-02-15,43.49,43.94,43.39,43.81,901700,0,0
2019-02-19,43.8,44.25,43.65,44.13,1797800,0,0
2019-02-20,43.93,44.27,43.35,44.13,999400,0,0
2019-02-21,44.02,44.37,43.67,44.06,965700,0,0
2019-02-22,44.26,44.38,44.01,44.24,910600,0,0
2019-02-25,44.54,44.67,43.92,43.96,1268800,0,0
2019-02-26,43.94,44.13,43.48,43.5,1268600,0,0
2019-02-27,43.36,43.64,43.26,43.62,928000,0,0
2019-02-28,43.63,43.8,42.97,43.01,1071500,0,0
2019-03-01,43.28,43.67,42.81,43.34,894400,0,0
2019-03-04,43.59,43.59,42.86,43.43,1133800,0,0
2019-03-05,43.47,43.71,43.12,43.53,1680300,0,0
2019-03-06,43.41,43.61,43.2,43.23,796800,0,0
2019-03-07,43.3,43.46,42.67,42.97,1299200,0,0
2019-03-08,42.57,42.75,42.02,42.7,795400,0,0
2019-03-11,42.67,43.21,42.52,42.97,1759200,0,0
2019-03-12,43.13,43.6,42.93,43.51,996800,0,0
2019-03-13,43.63,44.1,43.63,43.69,2124000,0,0
2019-03-14,43.57,43.57,43.1,43.4,2456200,0,0
2019-03-15,43.56,43.69,42.95,42.99,1703300,0,0
2019-03-18,43.19,43.39,42.79,43.12,3637600,0,0
2019-03-19,43.49,44.0,41.1,41.45,4427700,0,0
2019-03-20,41.58,42.61,41.37,42.15,2518600,0,0
2019-03-21,42.07,43.0,41.79,42.88,1691700,0,0
2019-03-22,42.7,42.7,41.68,41.71,1437800,0,0
2019-03-25,41.74,42.0,41.48,41.6,769000,0,0
2019-03-26,41.84,42.33,41.47,41.77,1710700,0,0
2019-03-27,41.86,42.56,41.52,42.43,1313200,0,0
2019-03-28,42.44,42.92,42.39,42.81,976300,0,0
2019-03-29,43.0,43.36,42.74,43.35,1507000,0,0
2019-04-01,43.71,44.12,43.46,44.06,1449500,0,0
2019-04-02,44.12,44.42,43.89,44.03,1001900,0,0
2019-04-03,44.24,44.61,43.77,44.21,1624900,0,0
2019-04-04,44.28,44.87,43.92,44.44,1259100,0,0
2019-04-05,44.48,44.68,44.25,44.3,816700,0,0
2019-04-08,44.36,44.56,44.06,44.26,1240500,0,0
2019-04-09,44.02,44.22,43.27,43.35,875900,0,0
2019-04-10,43.28,44.23,43.24,44.13,862200,0,0
2019-04-11,44.22,44.88,44.17,44.39,1065400,0,0
2019-04-12,44.59,44.95,44.45,44.68,773000,0,0
2019-04-15,44.67,44.83,44.14,44.2,847900,0,0
2019-04-16,44.32,44.76,44.24,44.66,720900,0,0
2019-04-17,44.79,44.91,44.2,44.3,826900,0,0
2019-04-18,44.6,44.71,43.99,44.43,821600,0,0
2019-04-22,43.16,44.2,43.0,43.81,778400,0,0
2019-04-23,43.73,44.46,43.67,44.3,1364600,0,0
2019-04-24,44.36,45.32,44.16,45.1,1059000,0,0
2019-04-25,44.9,45.37,44.36,45.1,1398400,0,0
2019-04-26,45.0,45.76,44.53,45.63,900200,0,0
2019-04-29,45.74,45.84,45.52,45.53,899500,0,0
2019-04-30,45.53,45.82,45.27,45.69,844100,0,0
2019-05-01,45.84,46.11,45.47,45.65,807000,0,0
2019-05-02,45.52,46.14,45.51,46.14,800100,0,0
2019-05-03,46.22,47.13,46.22,47.0,1023500,0,0
2019-05-06,46.24,46.72,45.77,46.51,1638500,0,0
2019-05-07,46.08,46.29,45.41,45.78,1089900,0,0
2019-05-08,45.66,45.81,44.36,44.38,2583100,0,0
2019-05-09,44.21,44.44,43.44,43.94,1649400,0,0
2019-05-10,43.85,43.86,42.96,43.23,1767600,0,0
2019-05-13,42.81,43.01,42.23,42.71,1714800,0,0
2019-05-14,42.89,43.64,42.77,43.39,1463800,0,0
2019-05-15,43.05,43.58,42.71,42.9,1052700,0,0
2019-05-16,42.95,43.75,42.95,43.29,1038900,0,0
2019-05-17,43.04,43.92,42.95,43.49,1412800,0,0
2019-05-20,43.37,43.64,43.03,43.33,740400,0,0
2019-05-21,43.57,43.93,43.43,43.67,1481600,0,0
2019-05-22,43.51,43.82,43.29,43.31,1094400,0,0
2019-05-23,42.96,43.06,42.12,42.18,1986200,0,0
2019-05-24,42.34,42.5,41.37,41.75,1625700,0,0
2019-05-28,41.77,41.93,41.45,41.62,2093500,0,0
2019-05-29,41.37,41.87,41.32,41.73,1434300,0,0
2019-05-30,41.76,42.03,41.45,41.6,1021800,0,0
2019-05-31,41.22,41.73,41.06,41.49,1537300,0,0
2019-06-03,42.01,42.55,41.9,42.24,1543700,0,0
