Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,54.49,54.95,53.4,53.52,3209200,0.0,0
2019-02-06,53.8,54.26,53.24,54.04,4075600,0.0,0
2019-02-07,53.31,53.59,51.16,51.54,3740500,0.0,0
2019-02-08,51.45,51.72,50.26,51.61,3398800,0.0,0
2019-02-11,50.98,52.81,50.5,52.7,2469000,0.0,0
2019-02-12,53.92,54.62,53.65,54.24,4035600,0.0,0
2019-02-13,54.45,56.72,54.45,55.08,3762900,0.0,0
2019-02-14,54.8,56.67,54.64,56.14,2994500,0.0,0
2019-02-15,56.81,57.28,56.35,56.64,2604400,0.0,0
2019-02-19,56.08,56.78,55.62,56.65,2918900,0.0,0
2019-02-20,56.43,57.95,56.41,57.68,2388200,0.0,0
2019-02-21,57.36,57.69,56.54,56.74,3254800,0.0,0
2019-02-22,57.39,57.59,56.08,56.22,2966900,0.0,0
2019-02-25,55.73,57.09,55.65,56.6,2204900,0.0,0
2019-02-26,56.45,57.39,56.26,56.74,2859700,0.0,0
2019-02-27,57.25,58.95,56.85,57.19,3525300,0.0,0
2019-02-28,57.37,57.37,56.17,56.9,5634900,0.0,0
2019-03-01,57.31,58.76,57.31,58.26,3450700,0.0,0
2019-03-04,58.8,59.02,57.06,58.36,3319900,0.0,0
2019-03-05,58.93,58.95,57.79,58.18,4571600,0.0,0
2019-03-06,57.14,57.14,55.08,55.81,4072000,0.0,0
2019-03-07,55.99,56.3,55.08,55.68,4371100,0.0,0
2019-03-08,54.17,54.29,53.37,54.1,3367100,0.0,0
2019-03-11,54.83,55.54,54.28,55.01,4506300,0.0,0
2019-03-12,55.46,56.71,55.18,56.27,2852500,0.0,0
2019-03-13,56.92,57.48,56.46,57.11,3870900,0.0,0
2019-03-14,57.07,57.83,56.79,57.01,3572400,0.0,0
2019-03-15,56.84,57.9,56.48,57.54,4319000,0.25,0
2019-03-18,57.76,58.6,57.57,58.41,2114600,0.0,0
2019-03-19,58.91,58.93,56.93,57.29,2959300,0.0,0
2019-03-20,57.23,59.9,56.74,59.22,3905200,0.0,0
2019-03-21,59.09,60.25,58.88,60.06,2210700,0.0,0
2019-03-22,58.98,59.48,57.26,58.04,3292500,0.0,0
2019-03-25,57.89,59.09,57.35,58.82,2997200,0.0,0
2019-03-26,59.95,60.78,59.43,60.35,3149200,0.0,0
2019-03-27,60.29,60.76,59.12,59.53,2283700,0.0,0
2019-03-28,58.89,60.29,58.82,60.22,1747400,0.0,0
2019-03-29,60.84,61.18,59.38,59.5,2244600,0.0,0
2019-04-01,60.34,60.71,59.68,60.1,2580400,0.0,0
2019-04-02,60.8,60.8,59.39,59.62,3058500,0.0,0
2019-04-03,59.82,60.07,58.58,58.84,1893800,0.0,0
2019-04-04,58.78,60.07,58.41,60.01,2487900,0.0,0
2019-04-05,60.26,62.34,60.13,62.24,4768400,0.0,0
2019-04-08,62.34,62.85,61.83,62.32,4155500,0.0,0
2019-04-09,61.95,62.54,61.14,61.78,3084400,0.0,0
2019-04-10,62.2,62.86,62.08,62.59,2856800,0.0,0
2019-04-11,62.21,62.92,61.48,62.52,2128400,0.0,0
2019-04-12,64.21,65.45,63.83,65.3,6405700,0.0,0
2019-04-15,64.9,65.46,64.46,64.75,2041800,0.0,0
2019-04-16,64.49,65.67,63.88,65.51,2643200,0.0,0
2019-04-17,65.84,66.19,64.94,65.12,2135300,0.0,0
2019-04-18,65.25,65.78,64.86,65.06,2199100,0.0,0
2019-04-22,66.14,67.44,65.46,67.06,4294700,0.0,0
2019-04-23,66.93,67.25,66.08,66.64,3839000,0.0,0
2019-04-24,66.93,67.42,64.96,65.05,4279000,0.0,0
2019-04-25,65.65,66.34,63.16,63.4,7603500,0.0,0
