Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,30.59,31.23,30.56,30.8,502200,0,0
2019-02-06,30.66,30.91,30.58,30.62,274700,0,0
2019-02-07,30.4,30.51,29.73,29.83,466200,0,0
2019-02-08,29.57,29.82,29.27,29.47,776300,0,0
2019-02-11,29.6,30.09,29.33,29.78,757700,0,0
2019-02-12,29.95,30.84,29.95,30.56,1213700,0,0
2019-02-13,30.9,31.21,30.84,30.97,1166600,0,0
2019-02-14,30.72,31.36,30.32,31.12,1339400,0,0
2019-02-15,31.36,31.93,31.24,31.6,497600,0,0
2019-02-19,31.54,31.93,31.37,31.82,721800,0,0
2019-02-20,31.84,32.25,31.6,31.92,472000,0,0
2019-02-21,31.97,32.4,31.75,32.33,992600,0,0
2019-02-22,32.41,32.85,32.41,32.64,733100,0,0
2019-02-25,33.15,33.15,32.21,32.51,1006700,0,0
2019-02-26,32.37,32.69,32.31,32.41,703700,0,0
2019-02-27,32.27,32.67,32.07,32.37,955600,0,0
2019-02-28,33.84,33.99,31.39,31.79,2041900,0,0
2019-03-01,32.33,33.13,32.16,32.7,2125400,0,0
2019-03-04,33.0,33.55,32.44,33.33,1722500,0,0
2019-03-05,33.14,33.56,32.9,33.32,1031500,0,0
2019-03-06,33.4,33.6,32.97,32.97,654800,0,0
2019-03-07,32.79,32.88,31.84,32.02,1455000,0,0
2019-03-08,31.71,32.34,31.54,32.22,713400,0,0
2019-03-11,32.21,32.5,31.59,31.68,1052700,0,0
2019-03-12,31.74,31.83,31.32,31.51,1573700,0,0
2019-03-13,31.74,32.31,31.46,31.95,1825400,0,0
2019-03-14,31.85,32.02,31.43,31.47,795900,0,0
2019-03-15,31.52,32.08,31.52,31.89,1242000,0,0
2019-03-18,32.02,32.09,31.7,31.9,887900,0,0
2019-03-19,32.01,32.31,31.48,31.58,810700,0,0
2019-03-20,31.56,31.71,30.98,31.36,708400,0,0
2019-03-21,31.21,31.77,31.01,31.61,703600,0,0
2019-03-22,31.41,31.47,30.16,30.51,1045600,0,0
2019-03-25,30.59,30.93,30.25,30.49,939800,0,0
2019-03-26,30.5,30.77,30.46,30.69,537100,0,0
2019-03-27,30.73,30.87,30.17,30.46,813400,0,0
2019-03-28,30.5,31.0,30.47,30.75,834400,0,0
2019-03-29,30.89,31.28,30.69,30.85,909300,0,0
2019-04-01,31.18,31.94,31.18,31.91,636100,0,0
2019-04-02,31.89,32.02,31.63,31.88,591000,0,0
2019-04-03,32.25,32.33,31.49,31.68,775200,0,0
2019-04-04,31.68,32.1,31.68,31.79,499700,0,0
2019-04-05,31.99,32.9,31.89,32.72,699400,0,0
2019-04-08,32.54,33.28,32.54,33.09,777400,0,0
2019-04-09,32.89,32.91,32.1,32.21,449700,0,0
2019-04-10,32.29,32.64,32.13,32.55,513000,0,0
2019-04-11,32.69,33.08,32.56,32.91,1640800,0,0
2019-04-12,33.21,33.54,32.85,33.2,1577000,0,0
2019-04-15,33.25,33.52,32.97,33.29,1029900,0,0
2019-04-16,33.55,33.74,33.23,33.57,1666500,0,0
2019-04-17,33.85,33.85,32.68,32.77,604700,0,0
2019-04-18,32.92,32.92,32.13,32.67,588400,0,0
2019-04-22,32.46,32.99,32.46,32.99,544300,0,0
2019-04-23,33.0,33.35,32.62,33.17,878500,0,0
2019-04-24,33.03,33.25,32.44,32.47,624600,0,0
2019-04-25,32.4,32.43,31.72,32.18,619800,0,0
2019-04-26,32.16,32.18,31.58,31.93,868500,0,0
2019-04-29,32.09,32.58,32.02,32.49,786300,0,0
2019-04-30,32.42,32.47,31.79,32.04,547100,0,0
2019-05-01,32.5,32.84,31.89,32.01,1276200,0,0
2019-05-02,30.78,31.24,29.73,30.0,5880500,0,0
2019-05-03,29.22,30.73,29.22,30.48,2271200,0,0
2019-05-06,29.8,30.24,29.69,30.0,1422700,0,0
2019-05-07,29.7,30.04,29.31,29.37,1147200,0,0
2019-05-08,29.19,29.8,29.11,29.67,1581900,0,0
2019-05-09,29.37,29.37,28.56,28.95,1424300,0,0
2019-05-10,28.7,28.9,28.01,28.45,2169800,0,0
2019-05-13,27.84,27.86,27.0,27.17,3924800,0,0
2019-05-14,27.31,27.75,27.13,27.56,3025800,0,0
2019-05-15,27.62,27.76,27.17,27.6,1833000,0,0
2019-05-16,27.63,28.25,27.63,27.84,1440300,0,0
2019-05-17,27.56,27.83,27.23,27.33,1107300,0,0
2019-05-20,27.02,27.13,26.69,26.76,863100,0,0
2019-05-21,27.02,27.24,26.78,27.0,643600,0,0
2019-05-22,26.77,26.9,26.34,26.34,1055400,0,0
2019-05-23,25.96,25.96,25.41,25.76,1611300,0,0
2019-05-24,25.94,26.04,25.64,25.86,1010700,0,0
2019-05-28,25.86,25.86,25.37,25.42,1019600,0,0
2019-05-29,25.25,25.27,24.86,25.11,957000,0,0
2019-05-30,25.08,25.4,25.0,25.28,1350200,0,0
2019-05-31,24.88,25.56,24.83,25.42,2511400,0,0
2019-06-03,25.42,26.17,25.2,25.74,2194700,0,0
2019-06-04,26.1,26.42,25.85,26.42,1891100,0,0
2019-06-05,26.45,26.78,26.04,26.7,1676900,0,0
2019-06-06,26.6,26.89,26.15,26.88,4725800,0,0
2019-06-07,27.05,28.27,26.87,27.6,2841200,0,0
2019-06-10,27.76,28.56,27.75,28.21,1796000,0,0
2019-06-11,28.49,28.97,28.4,28.8,2590200,0,0
2019-06-12,28.79,29.05,28.51,28.78,1507200,0,0
2019-06-13,28.8,29.13,28.57,28.94,1834400,0,0
2019-06-14,28.85,29.3,28.69,29.1,1556300,0,0
2019-06-17,29.2,29.49,28.81,29.11,1540500,0,0
2019-06-18,29.38,29.85,29.14,29.7,2262900,0,0
2019-06-19,29.68,29.83,29.43,29.73,2032600,0,0
2019-06-20,29.83,30.26,29.69,29.95,1740400,0,0
2019-06-21,29.95,30.46,29.69,30.38,2158400,0,0
2019-06-24,30.38,30.66,30.33,30.42,1436800,0,0
2019-06-25,30.47,30.71,30.3,30.46,2200600,0,0
2019-06-26,30.57,31.06,30.46,30.9,3187700,0,0
2019-06-27,30.99,31.6,30.92,31.56,3019100,0,0
2019-06-28,31.55,31.95,31.53,31.82,2914500,0,0
2019-07-01,32.31,32.49,31.74,31.91,1661400,0,0
2019-07-02,31.9,31.9,31.4,31.67,2082400,0,0
2019-07-03,31.87,32.24,31.85,32.14,934900,0,0
2019-07-05,32.0,32.35,31.91,32.21,517800,0,0
2019-07-08,32.14,32.14,31.75,31.85,1180300,0,0
2019-07-09,31.62,31.95,31.53,31.83,1467100,0,0
2019-07-10,32.0,32.04,31.73,31.89,620000,0,0
2019-07-11,32.04,32.31,31.85,31.99,975500,0,0
2019-07-12,32.04,32.42,32.04,32.12,914300,0,0
2019-07-15,32.15,32.38,31.77,32.2,1749000,0,0
2019-07-16,32.13,32.56,32.09,32.36,855800,0,0
2019-07-17,32.22,32.35,31.91,32.03,534000,0,0
2019-07-18,32.04,32.24,31.89,32.12,564100,0,0
2019-07-19,32.27,32.43,31.93,32.01,827300,0,0
2019-07-22,32.08,32.28,31.84,32.04,1486000,0,0
2019-07-23,32.27,32.52,32.1,32.4,1182600,0,0
2019-07-24,32.3,32.82,32.3,32.75,824200,0,0
2019-07-25,32.76,32.97,32.49,32.65,728800,0,0
2019-07-26,32.83,32.91,32.5,32.7,1032600,0,0
2019-07-29,32.59,32.89,32.43,32.75,984700,0,0
2019-07-30,32.57,33.29,32.52,33.19,1387000,0,0
2019-07-31,33.19,33.37,32.67,32.7,1604100,0,0
2019-08-01,26.4,28.89,25.78,28.14,12871000,0,0
2019-08-02,27.26,27.68,26.26,26.46,5805500,0,0
2019-08-05,26.15,26.41,25.2,26.08,3208800,0,0
2019-08-06,26.11,26.44,25.53,26.36,2284400,0,0
2019-08-07,25.93,26.4,25.61,26.37,2498700,0,0
2019-08-08,26.5,27.3,26.45,27.21,1672300,0,0
2019-08-09,27.24,27.24,26.73,26.73,1924200,0,0
2019-08-12,26.52,26.59,26.17,26.38,1250000,0,0
2019-08-13,26.39,27.55,26.2,26.77,1630300,0,0
2019-08-14,26.18,26.26,25.18,25.61,3224800,0,0
2019-08-15,25.8,25.98,25.18,25.87,1691300,0,0
2019-08-16,26.13,27.76,26.13,27.62,3185700,0,0
2019-08-19,28.08,28.55,27.74,28.21,2032900,0,0
2019-08-20,31.27,31.75,30.82,31.24,7881900,0,0
2019-08-21,31.66,32.31,31.32,31.79,4165600,0,0
2019-08-22,31.94,32.36,31.82,32.25,1602800,0,0
2019-08-23,32.06,32.31,31.59,31.79,1731000,0,0
2019-08-26,32.07,32.34,31.75,31.9,1528200,0,0
2019-08-27,32.01,32.53,31.93,32.0,934900,0,0
2019-08-28,32.0,32.42,32.0,32.28,862500,0,0
2019-08-29,32.55,35.03,32.55,33.58,2478700,0,0
2019-08-30,33.63,33.83,33.44,33.77,657700,0,0
2019-09-03,33.46,33.56,32.96,33.26,1375000,0,0
2019-09-04,33.58,33.76,33.17,33.49,650100,0,0
2019-09-05,33.77,34.15,33.42,33.6,1532600,0,0
2019-09-06,33.69,33.89,33.31,33.4,1026300,0,0
2019-09-09,33.56,33.66,33.19,33.2,1350100,0,0
2019-09-10,33.08,33.47,32.83,33.29,2003300,0,0
2019-09-11,33.42,34.13,33.02,33.85,2162800,0,0
2019-09-12,34.02,34.45,33.62,33.92,1126400,0,0
2019-09-13,34.0,34.41,33.93,33.95,657100,0,0
2019-09-16,33.67,33.92,33.37,33.64,787000,0,0
2019-09-17,33.57,34.0,33.29,33.8,593700,0,0
2019-09-18,33.75,34.89,33.21,33.36,2154400,0,0
2019-09-19,33.08,33.98,33.08,33.53,1189700,0,0
2019-09-20,33.43,33.7,33.21,33.49,1594800,0,0
2019-09-23,33.45,33.68,33.13,33.29,1491300,0,0
2019-09-24,33.6,33.62,32.64,32.69,785200,0,0
2019-09-25,32.03,33.26,32.03,32.83,1432400,0,0
2019-09-26,32.87,32.87,32.21,32.25,931800,0,0
2019-09-27,32.38,32.59,31.63,32.09,1359000,0,0
2019-09-30,32.06,32.39,31.88,32.0,1336700,0,0
2019-10-01,32.21,32.46,31.89,31.94,742000,0,0
2019-10-02,31.74,32.19,31.13,32.07,745500,0,0
2019-10-03,31.89,32.26,31.58,32.06,1371100,0,0
2019-10-04,32.29,32.76,32.14,32.14,970500,0,0
2019-10-07,32.2,32.7,32.07,32.22,1291900,0,0
2019-10-08,32.02,32.4,31.66,32.04,439500,0,0
2019-10-09,32.24,32.24,31.8,32.0,862600,0,0
2019-10-10,32.06,32.61,31.92,31.95,450400,0,0
2019-10-11,32.47,32.85,32.4,32.64,1495400,0,0
2019-10-14,32.52,36.0,32.36,34.57,5679600,0,0
2019-10-15,34.76,35.1,34.42,34.52,1901100,0,0
2019-10-16,34.53,34.81,34.18,34.38,1064000,0,0
2019-10-17,34.45,34.65,34.25,34.3,953100,0,0
2019-10-18,34.2,34.42,34.08,34.34,593800,0,0
2019-10-21,34.53,34.8,34.42,34.51,955900,0,0
2019-10-22,34.68,34.7,34.17,34.31,342000,0,0
2019-10-23,34.38,34.51,34.16,34.47,339900,0,0
2019-10-24,34.49,34.84,34.4,34.74,879900,0,0
2019-10-25,34.7,34.85,34.51,34.68,708700,0,0
2019-10-28,34.92,35.08,34.57,34.84,655300,0,0
2019-10-29,34.99,34.99,34.72,34.73,574400,0,0
2019-10-30,34.85,34.85,33.72,34.5,1636900,0,0
2019-10-31,35.89,36.56,34.5,34.73,1830200,0,0
2019-11-01,35.03,35.55,34.86,35.34,1542000,0,0
2019-11-04,35.73,35.91,35.05,35.62,953500,0,0
2019-11-05,35.58,36.03,35.29,35.88,688100,0,0
2019-11-06,35.96,35.96,35.58,35.84,1297300,0,0
2019-11-07,36.0,36.06,35.49,35.57,884500,0,0
2019-11-08,35.53,35.94,35.25,35.67,640100,0,0
2019-11-11,35.43,35.56,35.12,35.16,1415200,0,0
2019-11-12,35.27,35.61,35.2,35.3,711600,0,0
2019-11-13,35.23,35.49,35.11,35.21,426500,0,0
2019-11-14,35.21,35.52,35.17,35.28,603800,0,0
2019-11-15,35.4,35.61,35.1,35.15,549900,0,0
2019-11-18,35.1,35.35,34.69,34.88,568200,0,0
2019-11-19,34.89,35.21,34.89,35.06,383400,0,0
2019-11-20,34.98,35.16,34.67,34.67,755900,0,0
2019-11-21,34.75,34.85,34.48,34.62,441000,0,0
2019-11-22,34.72,34.82,34.28,34.3,673800,0,0
2019-11-25,34.5,35.39,34.37,34.79,864900,0,0
2019-11-26,34.85,35.16,34.67,34.88,481300,0,0
2019-11-27,34.95,35.05,34.64,34.77,507100,0,0
2019-11-29,34.72,34.92,34.51,34.63,169700,0,0
2019-12-02,34.66,34.85,34.18,34.29,646100,0,0
2019-12-03,33.98,34.33,33.8,33.92,1039800,0,0
2019-12-04,34.22,34.47,34.1,34.22,1129900,0,0
2019-12-05,34.23,35.13,34.23,34.9,1595900,0,0
2019-12-06,35.07,35.42,34.82,34.95,575500,0,0
2019-12-09,34.9,34.95,34.67,34.68,1315700,0,0
2019-12-10,34.62,34.7,34.09,34.46,1609000,0,0
2019-12-11,34.5,34.86,34.16,34.22,670800,0,0
2019-12-12,34.23,34.93,34.21,34.59,1157300,0,0
2019-12-13,34.73,34.74,34.28,34.5,1295700,0,0
2019-12-16,34.69,34.95,34.47,34.5,542400,0,0
2019-12-17,34.34,34.69,33.88,34.5,672300,0,0
2019-12-18,34.5,34.88,34.5,34.84,408800,0,0
