Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,46.2,47.47,44.94,47.29,4050000,0.0,0
2019-02-06,47.13,47.72,46.73,46.88,2644600,0.0,0
2019-02-07,46.62,47.46,46.61,47.17,2279800,0.0,0
2019-02-08,46.75,47.03,46.14,46.86,2208200,0.0,0
2019-02-11,46.86,47.23,46.31,47.2,2863200,0.0,0
2019-02-12,47.52,47.91,47.32,47.71,1980100,0.0,0
2019-02-13,47.87,48.3,47.6,47.69,1946000,0.0,0
2019-02-14,47.33,47.55,46.75,47.2,2442300,0.0,0
2019-02-15,47.67,47.83,47.53,47.68,2276400,0.0,0
2019-02-19,47.6,48.12,47.38,48.07,2457000,0.0,0
2019-02-20,48.11,48.34,47.88,48.02,2786300,0.0,0
2019-02-21,48.14,48.28,47.55,47.78,2371600,0.0,0
2019-02-22,47.83,48.02,47.61,47.84,1529500,0.0,0
2019-02-25,48.12,48.43,47.96,48.11,1683400,0.0,0
2019-02-26,48.03,48.47,47.91,47.96,1554000,0.0,0
2019-02-27,47.81,48.1,47.72,48.03,1278700,0.0,0
2019-02-28,48.04,48.35,47.86,48.3,2475200,0.0,0
2019-03-01,48.67,48.96,48.31,48.64,1601300,0.3,0
2019-03-04,48.69,48.91,48.03,48.32,2447800,0.0,0
2019-03-05,48.29,48.5,47.84,48.16,1310200,0.0,0
2019-03-06,48.23,48.35,47.68,47.73,1500600,0.0,0
2019-03-07,47.63,47.63,47.08,47.3,2748500,0.0,0
2019-03-08,46.94,47.4,46.76,47.37,1455300,0.0,0
2019-03-11,47.52,47.59,47.24,47.45,3183200,0.0,0
2019-03-12,47.62,47.95,47.57,47.68,1465200,0.0,0
2019-03-13,47.86,48.17,47.75,47.85,1562800,0.0,0
2019-03-14,47.91,48.13,47.77,48.05,1375800,0.0,0
2019-03-15,48.0,48.45,47.94,48.06,3855800,0.0,0
2019-03-18,48.23,48.66,48.15,48.58,1489100,0.0,0
2019-03-19,48.68,49.02,48.23,48.45,3717300,0.0,0
2019-03-20,48.31,48.44,47.39,47.48,2099000,0.0,0
2019-03-21,47.32,48.34,47.27,48.19,1921500,0.0,0
2019-03-22,47.84,48.24,47.54,47.78,2181200,0.0,0
2019-03-25,47.86,48.21,47.62,47.66,2425300,0.0,0
2019-03-26,47.87,48.35,47.87,48.33,2122000,0.0,0
2019-03-27,48.34,48.72,48.27,48.46,1897000,0.0,0
2019-03-28,48.57,48.81,48.16,48.6,1737000,0.0,0
2019-03-29,48.97,49.01,48.6,48.95,1881700,0.0,0
2019-04-01,49.17,49.55,48.98,49.09,2376100,0.0,0
2019-04-02,49.1,49.22,48.65,48.74,1605800,0.0,0
2019-04-03,49.1,49.15,48.46,48.95,3282700,0.0,0
2019-04-04,49.01,49.36,48.81,49.23,1878400,0.0,0
2019-04-05,49.23,49.4,49.04,49.16,1460400,0.0,0
2019-04-08,49.16,49.25,48.86,49.12,1544200,0.0,0
2019-04-09,49.04,49.07,48.74,48.92,1187100,0.0,0
2019-04-10,48.89,49.27,48.71,49.21,1425400,0.0,0
2019-04-11,49.44,49.86,49.27,49.79,1378400,0.0,0
2019-04-12,50.19,50.44,49.99,50.28,1320000,0.0,0
2019-04-15,50.27,50.38,49.84,49.96,848500,0.0,0
2019-04-16,50.16,50.63,50.0,50.62,1150800,0.0,0
2019-04-17,50.75,50.75,49.66,49.8,1867500,0.0,0
2019-04-18,49.7,50.65,49.68,50.15,1753600,0.0,0
2019-04-22,49.95,50.12,49.75,50.1,898700,0.0,0
2019-04-23,50.07,50.52,49.94,50.32,1411300,0.0,0
2019-04-24,50.33,50.92,49.88,50.45,1733100,0.0,0
2019-04-25,50.22,50.37,49.78,50.18,1266100,0.0,0
2019-04-26,50.33,50.8,50.14,50.76,1313900,0.0,0
2019-04-29,50.85,51.33,50.8,50.97,2060500,0.0,0
2019-04-30,50.99,51.5,50.68,51.5,2534600,0.0,0
2019-05-01,51.39,51.58,50.56,50.6,2813300,0.0,0
2019-05-02,51.14,51.65,49.8,51.33,3576800,0.0,0
2019-05-03,51.44,52.05,51.31,51.9,1878000,0.0,0
2019-05-06,51.24,51.93,50.97,51.74,1722100,0.0,0
2019-05-07,51.6,51.87,51.15,51.49,2821600,0.0,0
2019-05-08,51.38,52.32,51.32,51.7,2112000,0.0,0
2019-05-09,51.27,51.9,51.22,51.7,1625900,0.0,0
2019-05-10,51.46,52.33,51.24,52.19,2742500,0.0,0
2019-05-13,51.63,51.8,50.89,51.16,1644700,0.0,0
2019-05-14,51.41,52.25,51.3,51.9,2068500,0.0,0
2019-05-15,51.59,52.46,51.5,52.12,1922700,0.0,0
2019-05-16,52.28,53.05,52.19,52.77,2060600,0.0,0
2019-05-17,52.3,53.26,52.3,52.75,2419000,0.0,0
2019-05-20,52.72,52.96,52.1,52.32,1913700,0.0,0
2019-05-21,52.7,53.06,52.63,52.8,2014500,0.0,0
2019-05-22,52.8,53.44,52.79,53.37,2929300,0.0,0
2019-05-23,53.0,53.09,52.16,52.49,2095600,0.0,0
2019-05-24,52.58,52.88,52.14,52.42,2484200,0.0,0
2019-05-28,52.33,52.54,51.52,51.65,6276500,0.0,0
2019-05-29,52.18,52.38,51.67,52.37,2804800,0.0,0
2019-05-30,52.49,52.82,51.97,52.25,1658300,0.0,0
2019-05-31,51.93,52.22,51.56,52.14,2216000,0.3,0
2019-06-03,52.01,52.96,51.96,52.9,2436100,0.0,0
2019-06-04,53.46,53.49,52.96,53.37,2882700,0.0,0
2019-06-05,53.37,54.41,53.37,54.41,2239200,0.0,0
2019-06-06,54.4,54.64,54.21,54.45,1646500,0.0,0
2019-06-07,54.5,54.87,54.41,54.43,1311700,0.0,0
2019-06-10,54.72,54.78,54.13,54.29,1308100,0.0,0
2019-06-11,54.46,54.57,53.89,54.15,1819700,0.0,0
2019-06-12,54.15,54.48,53.81,54.11,1578400,0.0,0
2019-06-13,54.21,54.33,53.63,53.97,1649500,0.0,0
2019-06-14,53.98,54.59,53.88,54.41,1606200,0.0,0
2019-06-17,54.5,54.5,53.91,53.99,1259500,0.0,0
2019-06-18,53.94,54.48,53.88,54.44,2420000,0.0,0
2019-06-19,54.51,54.84,54.4,54.7,1426100,0.0,0
2019-06-20,54.9,55.11,54.35,55.08,2114400,0.0,0
2019-06-21,54.99,55.25,54.81,55.17,4135300,0.0,0
2019-06-24,55.11,55.55,54.95,55.14,2002400,0.0,0
2019-06-25,55.04,55.75,55.04,55.48,2678900,0.0,0
2019-06-26,55.57,55.57,54.2,54.34,2161500,0.0,0
2019-06-27,54.34,54.91,54.07,54.85,2245500,0.0,0
2019-06-28,55.19,55.38,54.88,55.17,3479900,0.0,0
2019-07-01,55.43,55.44,54.68,55.34,2344800,0.0,0
2019-07-02,55.45,55.8,55.22,55.72,1854300,0.0,0
2019-07-03,55.88,56.66,55.8,56.59,1059900,0.0,0
2019-07-05,56.6,56.61,56.08,56.39,1181700,0.0,0
2019-07-08,56.17,56.64,56.12,56.55,1850300,0.0,0
2019-07-09,56.55,56.62,56.18,56.52,1934300,0.0,0
2019-07-10,56.55,56.81,56.13,56.6,1695100,0.0,0
2019-07-11,56.7,56.77,55.92,56.3,1582800,0.0,0
2019-07-12,56.51,56.97,56.34,56.92,1995600,0.0,0
2019-07-15,57.11,57.21,56.88,57.15,1464800,0.0,0
2019-07-16,57.31,57.61,57.21,57.48,2292700,0.0,0
2019-07-17,57.38,57.51,56.91,57.09,1800800,0.0,0
2019-07-18,57.14,57.54,57.08,57.33,1728400,0.0,0
2019-07-19,57.64,57.64,56.54,56.55,1962100,0.0,0
2019-07-22,56.53,56.92,56.41,56.48,1197800,0.0,0
2019-07-23,56.46,56.67,55.89,56.34,1730100,0.0,0
2019-07-24,56.3,56.99,56.19,56.96,1625400,0.0,0
2019-07-25,57.0,57.23,56.71,57.06,1619300,0.0,0
2019-07-26,57.06,57.57,56.91,57.57,1519100,0.0,0
2019-07-29,57.51,57.66,56.9,57.18,1916900,0.0,0
2019-07-30,56.88,57.25,56.67,57.2,1489500,0.0,0
2019-07-31,57.18,57.5,56.62,57.06,2214300,0.0,0
2019-08-01,57.03,57.36,55.66,56.34,3023200,0.0,0
2019-08-02,57.23,57.92,56.02,56.91,3407700,0.0,0
2019-08-05,56.62,56.98,55.5,56.0,2953600,0.0,0
2019-08-06,55.94,57.09,55.63,57.05,2002000,0.0,0
2019-08-07,56.48,57.81,55.95,57.44,1947700,0.0,0
2019-08-08,57.81,58.33,57.59,58.12,2107800,0.0,0
2019-08-09,58.17,58.46,57.82,58.02,1402200,0.0,0
2019-08-12,57.77,58.1,57.28,57.4,1642800,0.0,0
2019-08-13,57.34,58.58,57.31,58.32,1533000,0.0,0
2019-08-14,57.61,58.06,56.48,56.68,2008100,0.0,0
2019-08-15,56.84,57.48,56.61,57.32,1461300,0.0,0
2019-08-16,57.54,58.07,57.41,57.89,1768900,0.0,0
2019-08-19,58.42,58.67,58.18,58.54,1258400,0.0,0
2019-08-20,58.31,58.71,57.93,57.96,1634600,0.0,0
2019-08-21,58.14,58.37,57.87,58.3,1436900,0.0,0
2019-08-22,58.6,59.09,58.43,58.89,1200600,0.0,0
2019-08-23,58.77,59.22,57.29,57.53,1856600,0.0,0
2019-08-26,57.73,58.02,57.39,57.99,1086800,0.0,0
2019-08-27,58.26,58.52,57.69,57.97,1677000,0.0,0
2019-08-28,57.72,58.12,57.46,57.83,1225800,0.0,0
2019-08-29,58.27,58.31,57.64,58.08,2438400,0.0,0
2019-08-30,58.47,58.47,57.78,58.0,1843400,0.3,0
2019-09-03,57.87,58.61,57.72,58.57,1794100,0.0,0
2019-09-04,58.97,59.47,58.46,59.42,1877000,0.0,0
2019-09-05,59.97,60.17,59.46,59.7,2182200,0.0,0
2019-09-06,59.75,60.48,59.7,60.03,1889800,0.0,0
2019-09-09,60.39,60.39,59.57,60.01,1843300,0.0,0
2019-09-10,59.88,59.9,58.85,59.02,2259300,0.0,0
2019-09-11,58.99,59.07,58.31,58.76,1537900,0.0,0
2019-09-12,59.02,59.76,58.67,59.64,1815800,0.0,0
2019-09-13,59.75,60.22,59.4,60.03,1897300,0.0,0
2019-09-16,59.77,59.94,59.34,59.74,877800,0.0,0
2019-09-17,59.66,60.46,59.46,60.44,1543200,0.0,0
2019-09-18,60.42,60.54,60.04,60.53,1396000,0.0,0
2019-09-19,60.49,60.94,60.29,60.35,1279000,0.0,0
2019-09-20,60.5,60.65,59.89,60.15,2340000,0.0,0
2019-09-23,59.96,60.22,59.85,59.9,1558800,0.0,0
2019-09-24,60.05,60.49,59.86,60.26,2289100,0.0,0
2019-09-25,60.25,60.44,59.88,60.06,1792500,0.0,0
2019-09-26,60.21,60.53,59.89,60.32,1480800,0.0,0
2019-09-27,60.51,60.51,59.81,60.16,1464600,0.0,0
2019-09-30,60.3,60.44,59.98,60.32,1689000,0.0,0
2019-10-01,60.47,60.49,59.14,59.16,1416500,0.0,0
2019-10-02,58.85,58.92,57.58,57.79,2067400,0.0,0
2019-10-03,57.64,57.98,57.13,57.93,1659200,0.0,0
2019-10-04,57.97,59.3,57.9,59.22,1274400,0.0,0
2019-10-07,59.13,59.24,58.65,58.66,1340700,0.0,0
2019-10-08,58.29,58.29,57.53,57.54,2360200,0.0,0
2019-10-09,57.89,58.09,57.44,57.8,1389600,0.0,0
2019-10-10,57.9,58.49,57.9,58.08,1354900,0.0,0
2019-10-11,58.67,59.05,58.31,58.36,2026300,0.0,0
2019-10-14,58.36,58.98,58.28,58.89,1525600,0.0,0
2019-10-15,58.98,59.44,58.95,59.2,1580600,0.0,0
2019-10-16,59.05,59.12,58.15,58.62,2284000,0.0,0
2019-10-17,59.06,59.07,58.03,58.35,2592200,0.0,0
2019-10-18,58.51,59.05,58.04,58.72,2292200,0.0,0
2019-10-21,59.25,59.49,58.93,59.47,1237700,0.0,0
2019-10-22,58.98,59.17,57.05,57.22,2923100,0.0,0
2019-10-23,57.31,57.68,57.18,57.59,1817200,0.0,0
2019-10-24,57.81,57.94,57.03,57.21,1423600,0.0,0
2019-10-25,57.22,57.26,56.37,56.53,1770900,0.0,0
2019-10-28,56.69,56.79,56.17,56.19,2409100,0.0,0
2019-10-29,56.29,56.93,56.1,56.54,2289500,0.0,0
2019-10-30,56.53,56.94,56.16,56.67,1663500,0.0,0
2019-10-31,56.59,56.81,56.14,56.81,1654100,0.0,0
2019-11-01,57.04,57.31,56.79,57.24,1475100,0.0,0
2019-11-04,57.42,57.69,57.03,57.25,2523000,0.0,0
2019-11-05,59.05,60.93,58.95,60.1,5432200,0.0,0
2019-11-06,60.08,60.81,59.25,60.79,2757400,0.0,0
2019-11-07,60.85,61.33,60.57,60.71,2051300,0.0,0
2019-11-08,60.69,60.88,60.35,60.8,2338300,0.0,0
2019-11-11,60.47,61.45,60.41,61.06,1714600,0.0,0
2019-11-12,61.05,61.4,60.81,61.35,1781300,0.0,0
2019-11-13,61.05,61.42,60.84,61.19,1429400,0.0,0
2019-11-14,61.21,61.42,60.99,61.32,1205500,0.0,0
2019-11-15,61.61,61.77,61.39,61.7,2519500,0.0,0
2019-11-18,61.52,61.76,61.47,61.73,1478800,0.0,0
2019-11-19,61.63,62.2,61.62,61.85,1848700,0.0,0
2019-11-20,61.68,61.75,61.18,61.6,1624300,0.0,0
2019-11-21,61.61,61.65,61.08,61.33,1390300,0.0,0
2019-11-22,61.38,61.63,61.11,61.29,1307400,0.0,0
2019-11-25,61.43,61.78,61.43,61.55,1315300,0.0,0
2019-11-26,61.7,62.3,61.48,62.29,4414200,0.0,0
2019-11-27,62.37,62.45,61.95,62.22,1584200,0.0,0
2019-11-29,62.16,62.36,61.74,61.86,903900,0.3,0
2019-12-02,61.97,62.07,61.42,61.45,1489700,0.0,0
2019-12-03,61.09,61.12,60.24,60.3,2121900,0.0,0
2019-12-04,60.07,61.17,60.07,60.8,1377200,0.0,0
2019-12-05,60.3,60.86,60.3,60.52,1603900,0.0,0
2019-12-06,60.92,61.15,60.64,60.84,1758600,0.0,0
2019-12-09,60.83,61.22,60.63,61.04,1577600,0.0,0
2019-12-10,61.08,61.36,60.88,61.17,1365500,0.0,0
2019-12-11,61.09,61.32,60.84,60.92,1642800,0.0,0
2019-12-12,60.91,61.69,60.84,61.28,1485500,0.0,0
2019-12-13,60.95,61.4,60.74,61.07,1234800,0.0,0
2019-12-16,61.42,61.64,60.81,61.06,1745000,0.0,0
2019-12-17,61.1,61.6,60.85,60.89,2260200,0.0,0
2019-12-18,61.06,61.31,60.64,60.91,1926700,0.0,0
2019-12-19,60.77,61.08,60.5,60.78,1724900,0.0,0
2019-12-20,61.29,61.45,60.8,60.91,2973600,0.0,0
2019-12-23,61.05,61.05,59.89,60.1,1421100,0.0,0
2019-12-24,60.03,60.18,59.93,60.06,495300,0.0,0
2019-12-26,60.37,60.54,60.07,60.27,1254200,0.0,0
2019-12-27,60.37,60.68,60.24,60.56,965500,0.0,0
2019-12-30,60.7,60.75,60.44,60.69,771300,0.0,0
2019-12-31,60.6,60.87,60.45,60.77,1106200,0.0,0
2020-01-02,60.96,61.01,60.23,60.95,1612000,0.0,0
2020-01-03,60.3,60.77,60.29,60.64,1326800,0.0,0
2020-01-06,60.52,60.83,60.32,60.48,2050400,0.0,0
2020-01-07,60.09,60.49,59.84,59.94,1413900,0.0,0
2020-01-08,60.06,60.83,59.94,60.26,1656100,0.0,0
2020-01-09,60.51,60.63,60.11,60.62,1774900,0.0,0
2020-01-10,60.6,60.62,59.74,59.76,2479800,0.0,0
2020-01-13,59.82,59.98,59.13,59.5,2715500,0.0,0
2020-01-14,59.39,60.23,59.35,59.76,2348600,0.0,0
2020-01-15,59.56,60.05,59.54,59.6,1639800,0.0,0
2020-01-16,59.83,60.47,59.83,60.27,2772500,0.0,0
2020-01-17,60.55,61.22,60.53,61.22,2080500,0.0,0
2020-01-21,61.06,61.32,60.39,60.49,1460000,0.0,0
2020-01-22,60.49,60.49,59.58,59.9,2218500,0.0,0
2020-01-23,59.3,59.31,58.38,58.81,2668400,0.0,0
2020-01-24,58.81,59.05,58.49,58.98,2077800,0.0,0
2020-01-27,58.24,58.77,58.06,58.09,2261700,0.0,0
2020-01-28,58.23,58.96,58.15,58.68,2653800,0.0,0
2020-01-29,58.84,59.01,58.33,58.52,1585800,0.0,0
2020-01-30,58.23,59.64,58.06,59.52,2759500,0.0,0
2020-01-31,59.2,59.64,58.91,59.28,2946600,0.0,0
2020-02-03,59.57,60.41,59.41,60.14,2855500,0.0,0
