Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,43.36,43.63,43.08,43.58,714300,0.0,0
2019-02-06,43.73,44.05,42.92,43.7,810700,0.0,0
2019-02-07,43.58,44.7,43.45,44.58,694200,0.0,0
2019-02-08,44.42,44.75,44.32,44.57,497900,0.0,0
2019-02-11,44.55,44.94,44.36,44.93,734800,0.0,0
2019-02-12,44.97,45.02,44.45,44.46,791300,0.0,0
2019-02-13,44.48,44.72,44.26,44.47,623000,0.0,0
2019-02-14,44.53,45.02,44.34,44.86,725700,0.0,0
2019-02-15,45.01,45.47,44.99,45.42,660300,0.475,0
2019-02-19,45.42,45.85,45.33,45.72,412200,0.0,0
2019-02-20,45.66,45.66,44.58,44.86,689100,0.0,0
2019-02-21,44.84,45.15,44.55,45.07,491900,0.0,0
2019-02-22,45.08,45.6,45.02,45.33,327400,0.0,0
2019-02-25,45.36,45.39,44.94,45.03,355000,0.0,0
2019-02-26,45.17,45.17,44.68,44.87,355900,0.0,0
2019-02-27,44.7,44.97,44.34,44.63,476100,0.0,0
2019-02-28,44.59,45.48,44.37,44.87,670700,0.0,0
2019-03-01,44.94,45.02,44.12,44.77,436500,0.0,0
2019-03-04,44.6,45.1,43.91,44.2,1221000,0.0,0
2019-03-05,44.02,44.58,44.02,44.18,648800,0.0,0
2019-03-06,44.11,44.2,43.54,43.6,701200,0.0,0
2019-03-07,43.7,43.98,43.06,43.18,999600,0.0,0
2019-03-08,43.1,43.47,43.1,43.34,486200,0.0,0
2019-03-11,43.54,43.92,43.34,43.8,784400,0.0,0
2019-03-12,43.81,44.3,43.81,44.0,622200,0.0,0
2019-03-13,44.12,44.66,44.06,44.08,743900,0.0,0
2019-03-14,44.3,44.66,44.08,44.5,895100,0.0,0
2019-03-15,44.51,44.68,44.2,44.24,1048700,0.0,0
2019-03-18,44.37,44.72,43.7,43.88,658600,0.0,0
2019-03-19,43.93,44.28,43.73,43.82,451200,0.0,0
2019-03-20,43.74,44.77,43.54,44.37,1056800,0.0,0
2019-03-21,44.29,45.23,44.29,45.04,1133900,0.0,0
2019-03-22,45.09,45.35,44.5,44.62,525100,0.0,0
2019-03-25,44.42,44.75,43.69,43.81,820000,0.0,0
2019-03-26,43.92,44.4,43.89,44.38,336400,0.0,0
2019-03-27,44.43,44.65,44.09,44.63,430800,0.0,0
2019-03-28,44.76,45.35,44.66,45.28,567700,0.0,0
2019-03-29,45.37,45.41,45.06,45.32,774700,0.0,0
2019-04-01,45.34,45.42,44.6,45.23,554100,0.0,0
2019-04-02,45.25,45.48,44.48,45.09,845700,0.0,0
2019-04-03,45.09,45.49,44.93,45.34,430400,0.0,0
2019-04-04,45.43,45.45,45.02,45.37,489400,0.0,0
2019-04-05,45.47,45.5,45.12,45.42,402300,0.0,0
2019-04-08,45.38,45.38,44.88,44.94,561600,0.0,0
2019-04-09,44.95,44.95,44.21,44.3,426200,0.0,0
2019-04-10,44.37,44.82,44.33,44.7,588500,0.0,0
2019-04-11,44.73,45.03,44.45,44.92,336600,0.0,0
2019-04-12,44.85,45.06,44.51,44.99,373700,0.0,0
2019-04-15,45.07,45.25,44.51,44.57,408500,0.0,0
2019-04-16,44.67,44.8,43.24,43.37,410700,0.0,0
2019-04-17,43.62,43.62,42.88,43.19,513600,0.0,0
2019-04-18,43.14,43.75,43.01,43.59,380500,0.0,0
2019-04-22,43.41,43.49,42.23,42.76,442300,0.0,0
2019-04-23,43.03,43.84,42.87,43.49,820400,0.0,0
2019-04-24,43.27,43.36,42.36,42.83,1478500,0.0,0
2019-04-25,42.54,43.06,41.93,42.79,797900,0.0,0
2019-04-26,42.95,43.42,42.8,43.21,516600,0.0,0
2019-04-29,43.16,43.35,42.79,42.79,592500,0.0,0
2019-04-30,42.92,43.46,42.72,43.19,559900,0.0,0
2019-05-01,43.37,43.92,43.36,43.43,408300,0.0,0
2019-05-02,43.58,43.99,43.12,43.15,492900,0.0,0
2019-05-03,43.43,43.84,43.17,43.68,383700,0.0,0
2019-05-06,43.39,43.89,43.39,43.68,550100,0.0,0
2019-05-07,43.59,43.61,42.7,43.07,434500,0.0,0
2019-05-08,43.16,43.4,42.75,42.78,503500,0.0,0
2019-05-09,42.74,43.04,42.36,42.95,560700,0.0,0
2019-05-10,42.97,43.29,42.71,43.21,373100,0.475,0
2019-05-13,42.78,43.11,42.68,42.89,435100,0.0,0
2019-05-14,43.01,43.19,42.67,43.12,409600,0.0,0
2019-05-15,43.2,43.51,42.83,43.41,332600,0.0,0
2019-05-16,43.3,43.82,43.2,43.76,376200,0.0,0
2019-05-17,43.64,43.7,43.24,43.37,1209500,0.0,0
2019-05-20,43.13,43.34,42.1,42.34,625400,0.0,0
2019-05-21,42.45,43.15,42.45,42.95,464900,0.0,0
2019-05-22,42.96,43.13,42.73,43.07,330400,0.0,0
2019-05-23,42.87,43.03,42.4,42.9,584500,0.0,0
2019-05-24,43.13,43.63,43.09,43.35,618300,0.0,0
2019-05-28,43.52,43.56,42.85,42.85,805700,0.0,0
2019-05-29,42.75,42.75,42.14,42.5,637600,0.0,0
2019-05-30,42.47,42.87,42.38,42.71,538500,0.0,0
2019-05-31,42.43,43.14,42.22,42.95,590400,0.0,0
2019-06-03,43.01,43.16,42.4,42.59,848500,0.0,0
2019-06-04,42.64,42.86,42.09,42.63,367100,0.0,0
2019-06-05,42.74,43.58,42.7,43.5,551400,0.0,0
2019-06-06,43.55,43.88,43.31,43.68,961500,0.0,0
2019-06-07,43.94,44.01,43.58,43.63,460500,0.0,0
2019-06-10,43.71,43.84,42.94,43.07,412100,0.0,0
2019-06-11,43.17,43.18,42.71,42.93,500100,0.0,0
2019-06-12,42.88,43.29,42.79,43.05,988200,0.0,0
2019-06-13,43.2,43.58,43.03,43.55,440400,0.0,0
2019-06-14,43.58,43.69,43.26,43.32,391700,0.0,0
2019-06-17,43.36,43.63,43.23,43.57,349900,0.0,0
2019-06-18,43.5,43.94,42.95,42.97,432100,0.0,0
2019-06-19,42.87,43.37,42.69,43.25,671600,0.0,0
2019-06-20,43.53,43.74,43.14,43.25,560200,0.0,0
2019-06-21,43.11,43.11,42.48,42.6,705000,0.0,0
2019-06-24,42.8,43.27,42.03,42.06,394600,0.0,0
2019-06-25,42.06,42.33,41.56,41.58,465200,0.0,0
2019-06-26,41.7,41.7,39.91,39.94,1206700,0.0,0
2019-06-27,40.15,40.76,40.15,40.51,637000,0.0,0
2019-06-28,40.52,40.97,40.31,40.45,1041300,0.0,0
2019-07-01,40.94,41.62,40.58,41.37,1694100,0.0,0
2019-07-02,41.31,42.2,41.13,42.08,789800,0.0,0
2019-07-03,42.18,42.41,42.03,42.11,206600,0.0,0
2019-07-05,41.84,42.25,41.18,42.11,437700,0.0,0
2019-07-08,41.97,42.56,41.95,42.49,601100,0.0,0
2019-07-09,42.47,42.97,42.36,42.94,438200,0.0,0
2019-07-10,43.14,43.6,42.7,43.19,737800,0.0,0
2019-07-11,43.09,43.39,42.76,42.85,883500,0.0,0
2019-07-12,42.88,43.32,42.78,42.98,1034900,0.0,0
2019-07-15,43.13,43.27,42.22,42.26,476700,0.0,0
2019-07-16,42.04,42.34,41.83,41.86,525200,0.0,0
2019-07-17,41.87,42.09,41.73,41.93,938100,0.0,0
2019-07-18,42.0,42.6,41.64,42.57,509200,0.0,0
2019-07-19,42.62,42.7,41.65,41.71,792100,0.0,0
2019-07-22,41.85,42.02,41.42,41.45,445800,0.0,0
2019-07-23,41.62,42.2,41.37,42.05,410200,0.0,0
2019-07-24,43.95,44.01,41.99,43.44,1606200,0.0,0
2019-07-25,43.63,43.92,43.25,43.61,1343800,0.0,0
2019-07-26,43.58,44.25,43.43,44.16,813600,0.0,0
2019-07-29,44.37,44.59,43.6,43.93,982500,0.0,0
2019-07-30,43.77,44.5,43.46,43.9,1036600,0.0,0
2019-07-31,44.08,44.82,43.71,44.39,1227200,0.0,0
2019-08-01,44.42,44.5,43.38,43.38,641600,0.0,0
2019-08-02,43.33,44.12,43.1,43.89,753100,0.0,0
2019-08-05,43.44,43.46,41.94,42.64,597300,0.0,0
2019-08-06,42.76,43.39,42.61,43.0,582600,0.0,0
2019-08-07,42.72,43.77,42.47,43.35,531000,0.0,0
2019-08-08,43.53,44.34,43.06,44.0,762900,0.0,0
2019-08-09,43.79,44.12,43.1,43.59,603900,0.475,0
2019-08-12,43.45,43.69,43.22,43.55,171700,0.0,0
2019-08-13,43.54,43.73,43.3,43.39,346700,0.0,0
2019-08-14,42.97,43.19,42.61,42.61,749700,0.0,0
2019-08-15,42.77,43.07,42.44,42.61,794700,0.0,0
2019-08-16,42.68,43.47,42.44,43.22,2637100,0.0,0
2019-08-19,43.6,43.81,43.27,43.68,1531900,0.0,0
2019-08-20,43.75,43.98,43.28,43.29,468700,0.0,0
2019-08-21,43.5,43.7,43.2,43.48,414500,0.0,0
2019-08-22,43.68,43.82,43.12,43.31,1104100,0.0,0
2019-08-23,43.21,43.4,42.23,42.29,670700,0.0,0
2019-08-26,42.6,42.6,40.94,42.3,945800,0.0,0
2019-08-27,42.57,42.88,41.81,41.83,1297300,0.0,0
2019-08-28,41.69,41.96,41.55,41.63,694400,0.0,0
2019-08-29,41.87,42.65,41.73,42.55,1044700,0.0,0
2019-08-30,42.62,42.98,42.48,42.77,686200,0.0,0
2019-09-03,42.79,43.04,42.56,42.74,776100,0.0,0
2019-09-04,43.04,43.34,42.97,43.3,768600,0.0,0
2019-09-05,43.33,43.33,42.93,43.11,481500,0.0,0
2019-09-06,43.29,43.32,42.94,43.15,524700,0.0,0
2019-09-09,43.18,43.23,42.52,43.18,1295400,0.0,0
2019-09-10,43.07,43.89,42.85,43.86,1008100,0.0,0
2019-09-11,43.83,44.57,43.7,44.34,816600,0.0,0
2019-09-12,44.68,44.68,44.12,44.54,828500,0.0,0
2019-09-13,44.54,44.87,43.84,43.92,589200,0.0,0
2019-09-16,43.92,44.63,43.56,44.49,434500,0.0,0
2019-09-17,44.53,44.61,44.26,44.56,728100,0.0,0
2019-09-18,44.79,44.84,44.26,44.56,660600,0.0,0
2019-09-19,44.74,44.85,44.57,44.69,477500,0.0,0
2019-09-20,44.83,45.01,44.52,44.64,1042200,0.0,0
2019-09-23,44.42,44.72,44.41,44.46,397300,0.0,0
2019-09-24,44.53,44.74,43.56,43.59,988500,0.0,0
2019-09-25,43.62,44.23,43.58,44.08,1166200,0.0,0
2019-09-26,44.32,44.59,44.21,44.51,272900,0.0,0
2019-09-27,44.69,44.74,44.25,44.46,435000,0.0,0
2019-09-30,44.49,44.76,44.38,44.48,628800,0.0,0
2019-10-01,44.56,44.61,43.89,43.89,578700,0.0,0
2019-10-02,43.87,44.02,43.32,43.48,514400,0.0,0
2019-10-03,43.53,44.2,43.28,43.97,498600,0.0,0
2019-10-04,43.99,44.23,43.7,44.12,483400,0.0,0
2019-10-07,43.95,44.2,43.8,43.81,339100,0.0,0
2019-10-08,43.61,43.7,43.15,43.15,1045400,0.0,0
2019-10-09,43.43,43.53,43.04,43.18,299900,0.0,0
2019-10-10,43.19,43.21,42.71,42.78,526200,0.0,0
2019-10-11,43.01,43.58,42.83,43.12,888800,0.0,0
2019-10-14,43.15,43.15,42.57,42.72,1223500,0.0,0
2019-10-15,42.73,43.09,42.56,42.91,1129900,0.0,0
2019-10-16,43.01,43.47,42.72,43.37,1231900,0.0,0
2019-10-17,43.45,43.87,43.3,43.68,1145400,0.0,0
2019-10-18,43.71,43.76,43.29,43.6,1129400,0.0,0
2019-10-21,43.61,44.05,43.58,43.87,1298900,0.0,0
2019-10-22,43.9,44.05,43.57,43.81,951400,0.0,0
2019-10-23,43.95,44.12,43.35,44.05,1226800,0.0,0
2019-10-24,44.36,45.3,44.12,45.16,857000,0.0,0
2019-10-25,45.06,45.35,44.82,45.18,1075500,0.0,0
2019-10-28,45.2,45.37,45.01,45.18,591100,0.0,0
2019-10-29,45.32,45.79,45.15,45.56,851700,0.0,0
2019-10-30,45.59,46.5,45.48,46.5,897500,0.0,0
2019-10-31,46.52,46.85,46.04,46.32,1053100,0.0,0
2019-11-01,46.46,46.78,46.19,46.78,598800,0.0,0
2019-11-04,46.77,46.81,46.44,46.62,724200,0.0,0
2019-11-05,46.49,46.49,45.93,46.09,805100,0.0,0
2019-11-06,46.14,46.24,45.83,46.05,467100,0.0,0
2019-11-07,46.1,46.21,45.77,46.12,634300,0.475,0
2019-11-08,46.01,46.48,45.78,46.47,544700,0.0,0
2019-11-11,46.39,46.52,46.06,46.3,464000,0.0,0
2019-11-12,46.31,46.51,45.66,45.78,540500,0.0,0
2019-11-13,45.71,46.17,45.6,46.0,520200,0.0,0
2019-11-14,46.13,46.61,46.01,46.56,528900,0.0,0
2019-11-15,46.67,46.85,46.4,46.73,585100,0.0,0
2019-11-18,46.77,47.53,46.75,47.53,813400,0.0,0
2019-11-19,47.67,48.05,47.4,47.85,986300,0.0,0
2019-11-20,47.87,47.92,47.19,47.59,879200,0.0,0
2019-11-21,47.42,47.42,46.44,46.44,793500,0.0,0
2019-11-22,46.68,47.0,46.2,46.71,615200,0.0,0
2019-11-25,46.92,47.65,46.83,47.47,601100,0.0,0
2019-11-26,47.53,48.08,47.3,48.06,623700,0.0,0
2019-11-27,48.0,48.72,47.97,48.65,409600,0.0,0
2019-11-29,48.63,48.74,48.47,48.55,304900,0.0,0
2019-12-02,48.47,48.67,47.42,47.49,665900,0.0,0
2019-12-03,47.28,47.8,47.25,47.74,508500,0.0,0
2019-12-04,47.7,48.16,47.32,47.41,717000,0.0,0
2019-12-05,47.3,47.5,47.1,47.41,718500,0.0,0
2019-12-06,47.69,48.02,47.51,47.57,922900,0.0,0
2019-12-09,47.68,47.72,47.23,47.63,531700,0.0,0
2019-12-10,47.67,47.81,47.41,47.57,407700,0.0,0
2019-12-11,47.68,47.68,46.56,46.72,635000,0.0,0
2019-12-12,46.81,46.93,45.77,45.87,1081200,0.0,0
2019-12-13,45.98,46.16,45.33,46.13,883000,0.0,0
2019-12-16,46.27,46.6,45.92,46.59,695000,0.0,0
2019-12-17,46.77,46.77,46.03,46.32,668600,0.0,0
2019-12-18,46.32,47.15,46.32,47.03,640200,0.0,0
2019-12-19,46.95,47.33,46.88,47.33,355500,0.0,0
2019-12-20,47.49,47.85,47.44,47.68,1052600,0.0,0
2019-12-23,47.87,48.0,47.41,47.95,441600,0.0,0
2019-12-24,48.0,48.21,47.75,48.09,198200,0.0,0
2019-12-26,48.16,48.17,47.77,48.04,411800,0.0,0
2019-12-27,48.28,48.4,48.0,48.36,421000,0.0,0
2019-12-30,48.2,48.57,48.16,48.52,484700,0.0,0
2019-12-31,48.48,49.04,48.47,48.91,655000,0.0,0
2020-01-02,49.04,49.04,47.71,48.17,619200,0.0,0
2020-01-03,47.8,48.49,47.65,48.38,1012700,0.0,0
2020-01-06,48.2,48.6,48.0,48.35,668700,0.0,0
2020-01-07,47.8,48.02,47.15,47.37,1011400,0.0,0
2020-01-08,47.76,48.53,47.43,48.5,925100,0.0,0
2020-01-09,48.48,48.91,48.32,48.77,1016100,0.0,0
2020-01-10,48.8,49.06,48.45,48.99,706600,0.0,0
2020-01-13,49.04,49.66,48.95,49.53,609000,0.0,0
2020-01-14,49.5,49.56,49.1,49.45,710700,0.0,0
2020-01-15,49.56,50.06,49.47,49.62,479200,0.0,0
2020-01-16,49.83,50.32,49.73,50.18,547600,0.0,0
2020-01-17,50.2,50.5,50.16,50.48,975900,0.0,0
2020-01-21,50.47,50.59,50.16,50.33,520700,0.0,0
