Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,145.44,145.72,144.47,145.72,2962700,0.0,0
2019-02-06,146.02,146.51,145.33,145.93,3147200,0.0,0
2019-02-07,144.73,145.93,144.31,145.2,2961700,0.0,0
2019-02-08,145.03,145.68,144.25,145.65,3952100,0.0,0
2019-02-11,146.02,146.34,145.1,145.52,2977700,0.0,0
2019-02-12,146.22,147.51,145.99,147.36,2654900,0.0,0
2019-02-13,147.98,149.64,147.68,148.46,2759700,0.0,0
2019-02-14,147.92,148.62,146.97,147.52,2110700,0.0,0
2019-02-15,148.97,150.26,148.57,150.26,3039400,0.0,0
2019-02-19,149.57,150.68,149.35,150.22,2479600,0.0,0
2019-02-20,150.27,151.75,149.96,151.5,2622400,0.0,0
2019-02-21,151.28,151.49,149.84,150.36,2706300,0.82,0
2019-02-22,150.99,151.34,150.14,150.95,2868500,0.0,0
2019-02-25,151.93,152.4,151.47,151.79,2312500,0.0,0
2019-02-26,151.63,152.53,151.36,151.65,1986300,0.0,0
2019-02-27,151.6,152.46,150.86,152.32,1751400,0.0,0
2019-02-28,151.82,152.3,151.15,151.8,2843900,0.0,0
2019-03-01,152.71,153.56,152.36,153.43,3385400,0.0,0
2019-03-04,154.48,154.67,151.71,152.23,4068400,0.0,0
2019-03-05,152.24,152.91,151.35,151.88,3381900,0.0,0
2019-03-06,151.83,152.74,151.47,151.48,3929400,0.0,0
2019-03-07,151.31,151.58,149.41,150.24,3579600,0.0,0
2019-03-08,149.04,149.58,148.17,149.36,2920700,0.0,0
2019-03-11,148.78,150.98,148.33,150.94,2792800,0.0,0
2019-03-12,151.31,152.1,150.55,151.24,1822000,0.0,0
2019-03-13,152.03,153.15,151.59,152.76,2533900,0.0,0
2019-03-14,153.06,153.34,152.1,152.97,2657600,0.0,0
2019-03-15,152.87,153.71,152.75,153.06,5287300,0.0,0
2019-03-18,153.26,154.78,152.62,154.62,2395900,0.0,0
2019-03-19,155.3,155.83,154.35,154.93,2694600,0.0,0
2019-03-20,154.88,155.36,153.36,153.99,2373700,0.0,0
2019-03-21,154.07,156.57,153.8,156.12,1951900,0.0,0
2019-03-22,155.28,155.51,153.33,153.54,2430900,0.0,0
2019-03-25,153.64,154.92,153.32,153.64,2048500,0.0,0
2019-03-26,154.56,155.55,154.28,155.16,2214400,0.0,0
2019-03-27,155.01,155.96,153.9,154.8,2764700,0.0,0
2019-03-28,155.3,156.34,154.7,156.21,2179200,0.0,0
2019-03-29,156.85,157.14,155.66,156.58,2704700,0.0,0
2019-04-01,157.65,159.39,157.41,159.09,2393600,0.0,0
2019-04-02,158.95,159.17,157.51,158.67,3332700,0.0,0
2019-04-03,159.25,159.57,157.8,157.93,3815200,0.0,0
2019-04-04,157.9,158.98,157.44,158.7,1967300,0.0,0
2019-04-05,159.24,159.79,158.81,159.32,1745000,0.0,0
2019-04-08,158.83,159.71,158.19,159.68,1854000,0.0,0
2019-04-09,158.81,159.15,158.19,158.48,1932500,0.0,0
2019-04-10,158.43,158.43,156.87,157.62,2381000,0.0,0
2019-04-11,157.82,158.68,157.33,158.53,1756200,0.0,0
2019-04-12,159.53,160.24,159.02,160.08,2118900,0.0,0
2019-04-15,160.36,160.47,159.41,159.62,2392800,0.0,0
2019-04-16,160.19,160.52,159.74,160.46,3007100,0.0,0
2019-04-17,160.91,162.23,160.27,160.49,3416400,0.0,0
2019-04-18,165.05,167.36,163.45,166.57,6376900,0.0,0
2019-04-22,165.77,166.93,165.04,165.76,3264700,0.0,0
2019-04-23,165.77,169.47,165.54,169.28,4169400,0.0,0
2019-04-24,169.24,169.58,168.53,168.77,3825200,0.0,0
2019-04-25,168.19,168.43,166.14,167.91,3340300,0.0,0
2019-04-26,167.66,169.75,167.5,169.72,2703300,0.0,0
2019-04-29,169.37,170.57,169.24,170.01,2943100,0.0,0
2019-04-30,170.46,171.45,169.94,171.07,3651700,0.0,0
2019-05-01,171.2,171.77,168.32,168.42,3762200,0.0,0
2019-05-02,167.9,169.02,167.06,168.86,4421600,0.0,0
2019-05-03,169.06,171.08,168.88,170.99,4128600,0.0,0
2019-05-06,167.98,170.95,167.75,170.07,3001700,0.0,0
2019-05-07,168.18,169.24,166.39,167.35,4683900,0.0,0
2019-05-08,167.25,168.92,167.01,167.85,2899600,0.0,0
