Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,52.91,53.27,52.15,52.32,1055500,0.0,0
2019-02-06,52.03,53.01,51.93,52.94,1284100,0.0,0
2019-02-07,52.82,52.98,51.35,52.31,1130400,0.71,0
2019-02-08,52.06,52.38,51.14,52.02,885200,0.0,0
2019-02-11,51.51,52.36,51.25,52.24,1737600,0.0,0
2019-02-12,53.2,53.77,52.46,52.59,1074000,0.0,0
2019-02-13,52.95,53.94,52.87,53.01,898500,0.0,0
2019-02-14,52.85,53.79,52.54,53.46,666500,0.0,0
2019-02-15,54.19,54.51,53.19,53.85,1364300,0.0,0
2019-02-19,53.4,54.83,53.4,54.46,1237800,0.0,0
2019-02-20,54.52,54.88,53.42,53.55,1400700,0.0,0
2019-02-21,53.43,53.43,51.79,52.13,1388400,0.0,0
2019-02-22,52.71,52.77,51.31,51.62,1551900,0.0,0
2019-02-25,51.13,51.86,51.07,51.47,1820400,0.0,0
2019-02-26,51.52,51.95,50.49,50.53,1072000,0.0,0
2019-02-27,50.76,51.65,50.48,50.81,755500,0.0,0
2019-02-28,50.85,50.93,48.78,50.85,1883200,0.0,0
2019-03-01,51.09,51.57,50.73,51.56,1203600,0.0,0
2019-03-04,51.56,51.81,50.13,50.95,1531300,0.0,0
2019-03-05,50.99,51.06,50.25,50.7,787700,0.0,0
2019-03-06,50.49,50.98,50.0,50.82,1811000,0.0,0
2019-03-07,51.02,51.28,50.25,51.19,1754700,0.0,0
2019-03-08,49.93,50.52,49.17,49.55,1382400,0.0,0
2019-03-11,49.92,51.15,49.76,50.92,1045300,0.0,0
2019-03-12,51.28,52.19,50.87,51.78,1132500,0.0,0
2019-03-13,52.37,52.88,51.27,51.77,1178100,0.0,0
2019-03-14,51.82,52.24,51.52,51.86,907200,0.0,0
2019-03-15,50.49,51.51,50.42,51.18,2909500,0.0,0
2019-03-18,51.38,52.94,51.13,52.79,1006400,0.0,0
2019-03-19,53.07,53.57,51.89,52.17,1123200,0.0,0
2019-03-20,52.13,53.48,51.81,52.89,1185100,0.0,0
2019-03-21,52.85,53.26,52.43,53.02,605700,0.0,0
2019-03-22,52.43,52.43,50.88,51.12,705500,0.0,0
2019-03-25,50.76,51.75,50.4,51.58,703200,0.0,0
2019-03-26,52.44,53.0,52.07,52.19,764800,0.0,0
2019-03-27,52.02,52.62,51.12,51.71,749700,0.0,0
2019-03-28,51.33,53.51,51.33,53.36,981700,0.0,0
2019-03-29,53.99,54.16,52.0,52.13,1234900,0.0,0
2019-04-01,52.85,54.2,52.53,53.97,1062000,0.0,0
2019-04-02,53.98,54.3,53.26,53.48,978500,0.0,0
2019-04-03,53.82,54.18,52.23,52.64,1117300,0.0,0
2019-04-04,52.7,53.91,52.19,53.55,927300,0.0,0
2019-04-05,53.92,55.17,53.52,54.79,1150500,0.0,0
2019-04-08,55.09,55.86,54.5,55.07,1507300,0.0,0
2019-04-09,54.92,55.11,54.06,54.54,955300,0.0,0
2019-04-10,54.92,56.14,54.72,55.81,1402800,0.0,0
2019-04-11,55.68,56.77,55.09,55.44,1097900,0.0,0
2019-04-12,56.47,56.98,55.82,56.59,1178800,0.0,0
2019-04-15,56.49,56.71,55.83,56.42,989200,0.0,0
2019-04-16,56.97,58.05,56.59,58.01,860300,0.0,0
2019-04-17,58.22,58.76,58.09,58.4,850300,0.0,0
2019-04-18,58.44,58.97,58.12,58.66,1040500,0.0,0
2019-04-22,59.53,60.8,59.09,60.53,1084900,0.0,0
2019-04-23,60.44,60.59,58.9,59.12,1382400,0.0,0
2019-04-24,59.32,59.45,57.02,57.14,1333100,0.0,0
2019-04-25,58.95,60.14,56.72,57.65,2052300,0.0,0
2019-04-26,56.73,56.96,54.77,55.08,1386400,0.0,0
2019-04-29,55.08,55.25,54.14,54.81,959700,0.0,0
2019-04-30,55.18,55.36,54.23,54.91,1387200,0.0,0
2019-05-01,54.65,55.16,52.72,52.77,1179300,0.0,0
2019-05-02,52.33,53.85,52.03,53.19,1448400,0.0,0
2019-05-03,53.88,54.35,53.56,54.0,945400,0.0,0
2019-05-06,53.35,54.21,53.14,53.94,795300,0.0,0
2019-05-07,53.2,53.64,52.69,53.6,669300,0.0,0
2019-05-08,53.7,54.31,53.57,53.61,782400,0.0,0
2019-05-09,53.09,54.85,53.04,54.83,924000,0.0,0
2019-05-10,54.83,54.83,52.82,54.58,1132700,0.71,0
2019-05-13,54.17,54.37,53.19,54.02,776700,0.0,0
2019-05-14,54.64,56.68,54.5,55.87,1379400,0.0,0
2019-05-15,55.06,55.83,54.37,55.02,1167500,0.0,0
2019-05-16,55.28,55.42,54.38,55.16,889500,0.0,0
2019-05-17,54.51,54.76,52.28,52.69,1373000,0.0,0
2019-05-20,52.6,52.93,52.08,52.25,1055200,0.0,0
2019-05-21,52.48,53.36,52.33,52.74,1112600,0.0,0
2019-05-22,52.33,52.68,50.77,51.39,786600,0.0,0
2019-05-23,50.14,50.21,48.42,48.66,1496900,0.0,0
2019-05-24,49.37,49.57,47.89,47.94,922900,0.0,0
2019-05-28,48.12,48.12,46.66,46.77,2045800,0.0,0
2019-05-29,46.4,48.6,46.38,48.44,1959900,0.0,0
2019-05-30,48.42,49.23,47.4,47.66,1018400,0.0,0
2019-05-31,46.62,47.38,46.35,46.45,1045100,0.0,0
2019-06-03,46.63,47.64,46.21,47.29,1113200,0.0,0
2019-06-04,47.8,48.18,47.36,47.8,1191300,0.0,0
2019-06-05,48.15,48.85,46.96,48.44,1621500,0.0,0
2019-06-06,48.58,49.38,48.24,48.61,1543300,0.0,0
2019-06-07,49.07,49.76,48.08,49.28,1466000,0.0,0
2019-06-10,49.33,49.74,47.86,48.12,1544300,0.0,0
2019-06-11,48.71,49.25,48.08,48.76,1138000,0.0,0
2019-06-12,48.26,48.51,46.78,46.96,1583800,0.0,0
2019-06-13,47.92,48.37,46.92,47.73,1688000,0.0,0
2019-06-14,47.72,47.72,45.95,45.97,1449600,0.0,0
2019-06-17,45.68,46.81,45.68,46.25,2655200,0.0,0
2019-06-18,46.51,47.65,46.37,47.03,1420100,0.0,0
2019-06-19,46.81,47.3,46.08,46.66,1100600,0.0,0
2019-06-20,47.92,48.81,47.39,48.51,1749300,0.0,0
2019-06-21,48.66,49.73,48.42,48.54,2077200,0.0,0
2019-06-24,48.51,48.72,47.31,47.48,1021800,0.0,0
2019-06-25,47.13,47.43,46.27,46.36,1196000,0.0,0
2019-06-26,47.05,48.19,46.64,47.22,1092000,0.0,0
2019-06-27,47.26,47.89,46.99,47.24,772100,0.0,0
2019-06-28,47.28,48.14,47.28,48.08,1053900,0.0,0
2019-07-01,49.15,49.77,48.4,48.84,1081000,0.0,0
2019-07-02,48.43,48.49,46.79,46.95,1661700,0.0,0
2019-07-03,46.93,47.01,46.3,46.84,642800,0.0,0
2019-07-05,46.67,47.53,46.56,47.52,627300,0.0,0
2019-07-08,47.28,48.51,47.05,48.06,812700,0.0,0
2019-07-09,47.73,48.27,47.33,48.02,1780600,0.0,0
2019-07-10,48.62,49.38,48.45,49.23,1123900,0.0,0
2019-07-11,49.17,49.58,48.95,49.17,2157700,0.0,0
2019-07-12,49.29,50.4,49.13,49.53,1123200,0.0,0
2019-07-15,49.69,49.84,48.65,48.71,1071700,0.0,0
2019-07-16,48.62,49.41,47.66,48.05,1386600,0.0,0
2019-07-17,48.03,48.18,47.47,47.53,1289900,0.0,0
2019-07-18,47.31,48.27,47.08,48.08,1246300,0.0,0
2019-07-19,48.13,48.77,47.72,48.7,886500,0.0,0
2019-07-22,48.89,49.55,47.68,48.31,954200,0.0,0
2019-07-23,48.44,48.56,46.78,47.74,1678800,0.0,0
2019-07-24,47.84,48.69,47.66,48.34,1560900,0.0,0
2019-07-25,47.01,47.15,44.66,46.53,2652900,0.0,0
2019-07-26,46.57,47.02,45.22,45.65,1744800,0.0,0
2019-07-29,45.69,46.16,45.27,45.32,1487100,0.0,0
2019-07-30,44.91,47.16,44.91,46.93,1229900,0.0,0
2019-07-31,46.85,47.81,46.3,47.18,2528600,0.0,0
2019-08-01,46.36,46.36,43.69,44.55,1672600,0.0,0
2019-08-02,44.63,44.95,43.4,43.81,1270500,0.0,0
2019-08-05,42.8,42.9,41.31,41.53,1567400,0.0,0
2019-08-06,41.72,42.02,39.58,41.64,1987300,0.0,0
2019-08-07,40.52,41.6,40.1,41.32,1947800,0.0,0
2019-08-08,41.7,41.89,40.97,41.75,1727200,0.0,0
2019-08-09,41.89,41.94,40.68,41.23,1756800,0.71,0
2019-08-12,40.88,41.02,39.67,39.85,1852800,0.0,0
2019-08-13,39.47,40.73,38.86,39.09,1987300,0.0,0
2019-08-14,38.13,38.81,37.72,38.05,1843200,0.0,0
2019-08-15,37.93,38.35,37.44,37.81,1232200,0.0,0
2019-08-16,37.97,38.33,37.71,38.05,1383900,0.0,0
2019-08-19,38.81,38.93,38.07,38.45,1662400,0.0,0
2019-08-20,38.27,38.35,37.31,37.61,1246800,0.0,0
2019-08-21,38.16,38.53,37.88,37.91,901500,0.0,0
2019-08-22,38.2,38.8,37.65,37.69,1240700,0.0,0
2019-08-23,37.12,37.91,35.59,35.78,1469300,0.0,0
2019-08-26,36.28,36.6,35.71,35.8,1056300,0.0,0
2019-08-27,36.1,36.38,34.97,35.38,1924000,0.0,0
2019-08-28,35.55,36.09,35.22,35.54,2075000,0.0,0
2019-08-29,36.06,36.6,35.82,35.96,1997200,0.0,0
2019-08-30,36.17,37.01,36.05,36.29,1527800,0.0,0
2019-09-03,35.33,35.66,34.81,35.1,1445900,0.0,0
2019-09-04,35.96,36.31,35.42,35.81,1458500,0.0,0
2019-09-05,36.33,36.87,35.81,36.31,1660300,0.0,0
2019-09-06,36.08,37.49,35.51,37.1,2292200,0.0,0
2019-09-09,37.56,40.33,37.56,40.28,1871100,0.0,0
2019-09-10,40.8,41.74,40.39,40.7,1705200,0.0,0
2019-09-11,40.8,42.08,40.14,41.17,1857000,0.0,0
2019-09-12,39.4,40.19,38.62,39.35,1651800,0.0,0
2019-09-13,39.74,40.39,39.34,40.02,965100,0.0,0
2019-09-16,42.78,45.81,42.25,45.76,3447600,0.0,0
2019-09-17,45.22,45.3,42.23,42.53,2534300,0.0,0
2019-09-18,41.76,42.9,41.53,42.07,1048600,0.0,0
2019-09-19,42.79,42.9,41.49,41.52,907900,0.0,0
2019-09-20,41.65,42.35,41.39,41.74,2254700,0.0,0
2019-09-23,41.51,41.97,40.91,41.83,678600,0.0,0
2019-09-24,41.41,41.41,38.99,39.35,1153300,0.0,0
2019-09-25,38.52,39.92,38.2,39.66,1004900,0.0,0
2019-09-26,39.66,39.77,38.71,39.65,1219600,0.0,0
2019-09-27,38.84,39.92,38.56,39.16,1396000,0.0,0
2019-09-30,38.29,38.84,37.82,38.68,1488200,0.0,0
2019-10-01,39.08,39.42,37.79,37.84,1068400,0.0,0
2019-10-02,37.74,38.45,36.97,37.16,1111800,0.0,0
2019-10-03,36.83,37.49,36.35,37.49,1427900,0.0,0
2019-10-04,37.42,37.94,36.74,36.98,1198900,0.0,0
2019-10-07,37.33,37.61,35.89,35.95,2585100,0.0,0
2019-10-08,35.14,35.98,34.5,35.35,2670500,0.0,0
2019-10-09,35.98,35.98,34.99,35.14,1902700,0.0,0
2019-10-10,35.6,35.8,34.96,35.47,1348200,0.0,0
2019-10-11,36.16,37.52,36.01,37.02,1176100,0.0,0
