Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,22.71,23.08,22.66,22.96,5185700,0.0,0
2019-02-06,22.91,23.06,22.7,23.04,2348400,0.0,0
2019-02-07,22.91,23.05,22.87,23.01,2989300,0.0,0
2019-02-08,22.83,23.06,22.83,22.94,2509000,0.0,0
2019-02-11,22.93,23.13,22.87,22.97,2533500,0.0,0
2019-02-12,23.03,23.2,22.95,23.1,2472800,0.0,0
2019-02-13,23.21,23.39,23.05,23.27,2935100,0.0,0
2019-02-14,23.13,23.61,23.13,23.22,2469600,0.0,0
2019-02-15,23.27,23.31,22.97,23.13,3053500,0.0,0
2019-02-19,23.15,23.26,23.02,23.23,3268600,0.0,0
2019-02-20,23.15,23.33,22.88,22.93,4085300,0.0,0
2019-02-21,23.02,23.7,22.97,23.58,3323700,0.0,0
2019-02-22,23.66,24.23,23.65,24.07,3109400,0.0,0
2019-02-25,24.37,24.48,23.25,23.27,3906600,0.0,0
2019-02-26,23.19,23.42,23.13,23.29,1823300,0.0,0
2019-02-27,23.27,23.74,23.27,23.34,2623000,0.0,0
2019-02-28,23.27,23.27,22.96,23.17,4017900,0.0,0
2019-03-01,23.22,23.51,23.16,23.16,3270200,0.0,0
2019-03-04,23.2,23.21,22.94,22.96,2811300,0.0,0
2019-03-05,23.0,23.07,22.82,22.92,5484600,0.0,0
2019-03-06,22.99,23.11,22.58,22.58,5401100,0.0,0
2019-03-07,22.58,23.79,22.58,23.18,6898500,0.0,0
2019-03-08,23.05,23.96,22.99,23.94,4271600,0.0,0
2019-03-11,23.99,23.99,23.6,23.86,3012000,0.0,0
2019-03-12,23.91,23.91,22.83,23.15,4987300,0.0,0
2019-03-13,23.23,23.37,22.97,23.23,4096400,0.0,0
2019-03-14,23.23,23.51,23.1,23.27,3502000,0.0,0
2019-03-15,23.41,23.75,23.41,23.61,5195100,0.25,0
2019-03-18,23.66,23.71,23.31,23.58,2417400,0.0,0
2019-03-19,23.63,23.77,23.45,23.48,2452100,0.0,0
2019-03-20,23.57,23.6,22.97,23.08,3246500,0.0,0
