Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,17.39,17.51,17.35,17.48,8436800,0.0,0
2019-02-06,17.47,17.5,17.33,17.37,4229600,0.0,0
2019-02-07,17.27,17.39,17.2,17.35,5872800,0.0,0
2019-02-08,17.2,17.32,17.01,17.14,6581100,0.0,0
2019-02-11,17.2,17.28,17.07,17.08,9649600,0.0,0
2019-02-12,17.26,17.26,17.02,17.15,10732300,0.0,0
2019-02-13,17.24,17.58,17.17,17.51,10376400,0.0,0
2019-02-14,17.49,17.6,17.36,17.5,5461700,0.0,0
2019-02-15,17.64,17.82,17.6,17.78,9716200,0.0,0
2019-02-19,17.79,17.9,17.64,17.67,9573300,0.0,0
2019-02-20,18.02,18.94,17.66,18.77,19771800,0.0,0
2019-02-21,18.78,19.08,18.71,18.88,10887800,0.0,0
2019-02-22,18.97,19.4,18.97,19.21,9184800,0.0,0
2019-02-25,19.33,19.41,18.87,18.89,8389200,0.0,0
2019-02-26,18.94,19.18,18.78,18.79,7868800,0.0,0
2019-02-27,18.69,18.82,18.51,18.6,6602300,0.0,0
2019-02-28,18.63,18.83,18.62,18.71,9641100,0.0,0
2019-03-01,18.8,18.83,18.4,18.65,6661700,0.0,0
2019-03-04,18.75,18.89,18.59,18.89,5504600,0.0,0
2019-03-05,18.89,19.0,18.74,18.93,4520900,0.0,0
2019-03-06,18.94,19.06,18.78,18.82,4011000,0.0,0
2019-03-07,18.85,18.85,18.45,18.49,5341400,0.0,0
2019-03-08,18.34,18.4,18.15,18.4,7098800,0.0,0
2019-03-11,18.52,18.73,18.32,18.55,4663900,0.0,0
2019-03-12,18.49,18.55,18.23,18.28,7536800,0.0,0
2019-03-13,18.36,18.53,18.25,18.29,4896000,0.0,0
2019-03-14,18.28,18.36,18.15,18.34,3928800,0.0,0
2019-03-15,18.32,18.39,18.22,18.28,7254000,0.0,0
2019-03-18,18.35,18.44,18.17,18.32,3718300,0.0,0
2019-03-19,18.37,18.45,18.15,18.21,4267400,0.0,0
2019-03-20,18.19,18.5,18.09,18.24,7584000,0.0,0
2019-03-21,18.17,18.46,18.08,18.27,7758100,0.0,0
2019-03-22,18.22,18.27,17.7,17.93,6581400,0.0,0
2019-03-25,17.93,18.0,17.66,17.84,5983100,0.0,0
2019-03-26,17.99,18.21,17.91,18.21,6486200,0.0,0
2019-03-27,18.2,18.28,17.93,18.13,8444400,0.0,0
2019-03-28,18.2,18.3,18.06,18.29,6256700,0.2,0
2019-03-29,18.35,18.42,18.17,18.22,6376100,0.0,0
2019-04-01,18.35,18.61,18.32,18.59,6406200,0.0,0
2019-04-02,18.65,18.79,18.51,18.74,8707900,0.0,0
2019-04-03,18.83,18.87,18.47,18.61,12362500,0.0,0
2019-04-04,18.59,18.64,18.41,18.56,4770500,0.0,0
2019-04-05,18.6,18.68,18.55,18.64,3975500,0.0,0
2019-04-08,18.61,18.72,18.55,18.69,4844000,0.0,0
2019-04-09,18.67,18.68,18.23,18.27,4375000,0.0,0
2019-04-10,18.32,18.51,18.31,18.47,8473900,0.0,0
2019-04-11,18.54,18.58,18.22,18.39,4255600,0.0,0
2019-04-12,18.45,18.55,18.21,18.53,4817700,0.0,0
2019-04-15,18.53,18.58,18.22,18.34,5776100,0.0,0
2019-04-16,18.37,18.41,18.17,18.32,5528800,0.0,0
2019-04-17,18.45,18.45,18.09,18.14,3678400,0.0,0
2019-04-18,18.12,18.32,18.06,18.22,5204600,0.0,0
2019-04-22,18.15,18.15,17.85,18.02,4459200,0.0,0
2019-04-23,18.07,18.34,17.99,18.24,5829500,0.0,0
2019-04-24,18.32,18.41,18.21,18.27,6242700,0.0,0
2019-04-25,18.15,18.36,17.95,18.22,8154900,0.0,0
2019-04-26,18.28,18.54,18.23,18.49,5655300,0.0,0
2019-04-29,18.51,18.84,18.5,18.54,9877300,0.0,0
2019-04-30,18.52,18.6,18.38,18.55,7415600,0.0,0
2019-05-01,18.63,18.91,18.61,18.78,15027800,0.0,0
2019-05-02,18.8,19.27,18.76,18.9,10758000,0.0,0
2019-05-03,18.96,19.2,18.9,19.17,6314600,0.0,0
2019-05-06,18.93,19.2,18.8,19.17,9966700,0.0,0
2019-05-07,18.98,19.1,18.51,18.67,8058600,0.0,0
2019-05-08,18.68,18.76,18.37,18.39,8126300,0.0,0
2019-05-09,18.23,18.54,18.23,18.33,10631900,0.0,0
2019-05-10,18.2,18.53,18.08,18.52,4974300,0.0,0
2019-05-13,18.18,18.31,18.0,18.15,6669400,0.0,0
2019-05-14,18.17,18.51,18.14,18.31,4804800,0.0,0
2019-05-15,18.21,18.71,18.21,18.59,4250900,0.0,0
2019-05-16,18.59,18.77,18.59,18.65,3813500,0.0,0
2019-05-17,18.48,18.67,18.43,18.49,4522900,0.0,0
2019-05-20,18.45,18.5,18.15,18.29,2746000,0.0,0
2019-05-21,18.41,18.54,18.28,18.49,5289600,0.0,0
2019-05-22,18.47,18.51,18.37,18.43,2742300,0.0,0
2019-05-23,18.25,18.49,18.13,18.45,6009500,0.0,0
2019-05-24,18.59,18.73,18.45,18.57,4135200,0.0,0
2019-05-28,18.63,18.65,18.2,18.2,6955800,0.0,0
2019-05-29,18.13,18.16,17.77,17.91,5463800,0.0,0
2019-05-30,17.95,18.11,17.72,17.74,8239800,0.0,0
2019-05-31,17.45,17.6,17.26,17.46,8376400,0.0,0
2019-06-03,17.49,17.52,17.18,17.4,9246600,0.0,0
2019-06-04,17.5,17.61,17.32,17.45,10045300,0.0,0
2019-06-05,17.6,17.73,17.33,17.56,10673600,0.0,0
2019-06-06,17.54,17.61,17.36,17.48,6177000,0.0,0
2019-06-07,17.56,17.77,17.5,17.68,7116700,0.0,0
2019-06-10,17.8,17.87,17.68,17.82,3941500,0.0,0
2019-06-11,17.93,18.0,17.75,17.91,4406700,0.0,0
2019-06-12,17.92,17.97,17.75,17.77,4881600,0.0,0
2019-06-13,17.77,17.88,17.7,17.87,4896900,0.0,0
2019-06-14,17.84,17.85,17.59,17.65,5239000,0.0,0
2019-06-17,17.68,17.96,17.65,17.87,5773200,0.0,0
2019-06-18,17.97,18.25,17.86,17.98,5075600,0.0,0
2019-06-19,17.98,18.0,17.63,17.81,7335700,0.0,0
2019-06-20,18.03,18.03,17.76,17.98,5569400,0.0,0
2019-06-21,17.92,17.92,17.52,17.52,13464900,0.0,0
2019-06-24,17.52,17.6,17.06,17.23,8600300,0.0,0
2019-06-25,17.36,17.53,17.16,17.16,7950200,0.0,0
2019-06-26,17.2,17.29,17.06,17.18,8094300,0.0,0
2019-06-27,17.33,17.57,17.22,17.56,5004700,0.2,0
2019-06-28,17.59,17.78,17.59,17.77,8481100,0.0,0
