Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,103.27,104.56,102.87,103.78,1485400,0.0,0
2019-02-06,103.75,104.28,103.44,103.82,885100,0.0,0
2019-02-07,102.85,104.63,102.08,104.62,1072500,0.0,0
2019-02-08,104.47,106.13,104.13,106.05,1420700,0.0,0
2019-02-11,106.34,107.12,105.86,106.25,1227200,0.0,0
2019-02-12,106.29,107.56,105.97,107.3,1007700,0.0,0
2019-02-13,107.42,107.54,106.18,106.75,1618000,0.0,0
2019-02-14,106.19,106.6,105.46,105.83,936900,0.0,0
2019-02-15,106.46,107.51,106.38,106.96,2175300,0.0,0
2019-02-19,106.64,107.58,106.1,107.29,1122200,0.0,0
2019-02-20,107.19,108.45,106.82,108.26,1485400,0.0,0
2019-02-21,108.19,109.8,107.72,109.48,1179600,0.722,0
2019-02-22,108.01,109.03,107.39,108.52,1132500,0.0,0
2019-02-25,108.61,108.84,107.37,107.78,943700,0.0,0
2019-02-26,108.07,108.76,107.9,108.04,1019900,0.0,0
2019-02-27,107.66,108.09,107.22,107.89,1113600,0.0,0
2019-02-28,108.1,109.06,107.94,108.97,1195100,0.0,0
2019-03-01,109.4,110.52,109.07,110.49,1218900,0.0,0
2019-03-04,110.5,110.71,108.08,108.93,1131300,0.0,0
2019-03-05,108.93,110.24,108.52,110.02,963000,0.0,0
2019-03-06,110.23,110.55,109.42,109.95,1052300,0.0,0
2019-03-07,109.91,110.49,109.58,110.2,765700,0.0,0
2019-03-08,110.25,110.35,108.6,109.52,1010200,0.0,0
2019-03-11,109.2,109.72,108.67,109.67,748300,0.0,0
2019-03-12,109.81,110.07,108.58,108.65,911300,0.0,0
2019-03-13,108.69,109.24,108.5,109.07,733300,0.0,0
2019-03-14,109.14,109.18,108.43,108.67,919700,0.0,0
2019-03-15,108.9,109.62,108.66,109.08,1333400,0.0,0
2019-03-18,109.03,109.2,108.09,108.81,1145200,0.0,0
2019-03-19,108.69,109.05,107.33,107.64,1356600,0.0,0
2019-03-20,107.83,108.62,107.27,108.1,1181900,0.0,0
2019-03-21,108.25,109.88,108.09,109.78,1113500,0.0,0
2019-03-22,109.87,111.19,109.82,110.27,1387800,0.0,0
2019-03-25,109.81,110.95,109.8,110.68,758800,0.0,0
2019-03-26,111.03,111.65,110.79,111.5,860200,0.0,0
2019-03-27,111.51,112.46,110.71,111.47,781500,0.0,0
2019-03-28,111.74,112.67,111.65,112.56,892200,0.0,0
2019-03-29,112.85,113.16,112.17,113.05,1077800,0.0,0
2019-04-01,112.99,113.22,111.49,112.08,705100,0.0,0
2019-04-02,112.21,113.05,111.3,112.98,1012800,0.0,0
2019-04-03,112.98,113.6,112.18,113.08,1122800,0.0,0
2019-04-04,113.24,113.62,112.96,113.13,827200,0.0,0
2019-04-05,113.44,114.27,113.25,114.08,829600,0.0,0
2019-04-08,114.05,114.51,113.7,114.47,611000,0.0,0
2019-04-09,114.21,114.92,113.69,114.23,754000,0.0,0
2019-04-10,114.3,114.63,113.96,114.51,589800,0.0,0
2019-04-11,114.5,114.69,113.45,114.13,1049300,0.0,0
2019-04-12,114.02,114.55,113.61,114.31,810400,0.0,0
2019-04-15,114.45,114.99,114.22,114.93,428500,0.0,0
2019-04-16,114.93,115.41,114.51,115.02,798800,0.0,0
2019-04-17,115.28,115.28,113.68,114.94,956700,0.0,0
2019-04-18,115.25,115.54,114.58,115.15,859300,0.0,0
2019-04-22,114.99,115.76,114.77,115.23,673300,0.0,0
2019-04-23,115.23,115.92,114.57,115.05,1026000,0.0,0
2019-04-24,114.96,116.04,114.88,115.26,1452900,0.0,0
2019-04-25,118.26,122.7,118.14,120.55,2966300,0.0,0
2019-04-26,120.61,124.17,120.61,123.23,1948100,0.0,0
2019-04-29,122.6,122.73,121.43,122.39,1688800,0.0,0
2019-04-30,122.57,123.36,121.51,122.92,1518700,0.0,0
2019-05-01,123.07,123.35,121.01,121.02,1443300,0.0,0
2019-05-02,121.0,123.56,119.75,120.64,1591200,0.0,0
2019-05-03,120.71,121.09,119.36,119.95,1128200,0.0,0
2019-05-06,119.46,121.84,119.2,121.73,1421900,0.0,0
2019-05-07,121.91,122.39,120.63,122.39,1727700,0.0,0
2019-05-08,122.22,123.56,121.78,122.93,1426600,0.0,0
2019-05-09,122.9,123.68,121.82,123.56,1270800,0.0,0
2019-05-10,123.54,125.02,122.98,124.92,1267900,0.0,0
2019-05-13,124.24,125.41,124.06,125.1,1778300,0.0,0
2019-05-14,124.91,125.53,124.54,125.09,1667500,0.0,0
