Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,115.78,116.31,110.03,110.88,685300,0.0,0
2019-02-06,111.18,112.83,111.13,112.17,329000,0.0,0
2019-02-07,111.86,112.9,110.53,111.93,341100,0.0,0
2019-02-08,111.59,112.45,111.35,112.24,343100,0.0,0
2019-02-11,112.29,113.59,111.87,112.2,402600,0.0,0
2019-02-12,113.27,113.97,112.57,112.87,592100,0.0,0
2019-02-13,113.44,114.73,113.44,113.77,457800,0.0,0
2019-02-14,113.34,114.46,112.69,112.76,519000,0.0,0
2019-02-15,113.77,115.54,113.2,115.45,346000,0.0,0
2019-02-19,115.23,116.36,115.02,115.51,439700,0.0,0
2019-02-20,115.67,117.37,115.25,116.59,364500,0.0,0
2019-02-21,116.21,116.95,115.55,116.06,276500,0.0,0
2019-02-22,116.67,117.66,115.84,116.98,229900,0.0,0
2019-02-25,117.82,118.63,117.19,117.42,320100,0.0,0
2019-02-26,116.81,117.57,115.82,115.85,223600,0.0,0
2019-02-27,115.98,116.57,115.2,116.27,247600,0.84,0
2019-02-28,115.89,116.4,114.99,115.72,196000,0.0,0
2019-03-01,116.78,116.78,114.59,115.77,243300,0.0,0
2019-03-04,116.44,117.08,114.63,114.83,236400,0.0,0
2019-03-05,114.62,116.47,113.93,115.84,367600,0.0,0
2019-03-06,116.11,117.62,115.92,116.61,339400,0.0,0
2019-03-07,116.61,117.62,114.97,117.19,420100,0.0,0
2019-03-08,115.72,116.38,114.65,115.47,250000,0.0,0
2019-03-11,115.31,116.85,114.51,116.63,230000,0.0,0
2019-03-12,117.12,117.24,115.67,116.37,204300,0.0,0
2019-03-13,116.91,119.15,116.24,118.93,511400,0.0,0
2019-03-14,118.42,119.27,117.8,118.81,435200,0.0,0
2019-03-15,120.1,121.29,119.37,121.26,910700,0.0,0
2019-03-18,121.0,121.55,119.81,120.82,696700,0.0,0
2019-03-19,121.25,121.59,118.47,118.78,359800,0.0,0
2019-03-20,118.32,118.32,115.38,116.31,381900,0.0,0
2019-03-21,115.67,118.22,115.45,117.25,254500,0.0,0
2019-03-22,116.87,116.87,112.07,112.64,465100,0.0,0
2019-03-25,112.36,113.48,111.94,112.83,302700,0.0,0
2019-03-26,114.01,114.85,112.75,113.48,200500,0.0,0
2019-03-27,113.74,113.9,112.76,113.72,161300,0.0,0
2019-03-28,113.79,115.21,112.78,114.9,257200,0.0,0
2019-03-29,115.98,116.44,114.88,115.65,415500,0.0,0
2019-04-01,117.09,118.2,116.82,117.1,329600,0.0,0
2019-04-02,117.18,117.87,115.73,117.8,411900,0.0,0
2019-04-03,118.87,120.35,118.64,119.27,342100,0.0,0
2019-04-04,119.57,120.57,119.34,120.52,225600,0.0,0
2019-04-05,120.9,122.88,120.57,122.57,254500,0.0,0
2019-04-08,122.26,123.91,121.66,123.53,277900,0.0,0
2019-04-09,123.06,123.06,121.68,121.79,236900,0.0,0
2019-04-10,122.23,122.56,120.46,121.04,267000,0.0,0
2019-04-11,121.48,122.53,120.41,122.28,218700,0.0,0
2019-04-12,122.97,123.47,122.02,122.55,231700,0.0,0
2019-04-15,122.6,122.66,120.75,121.92,318600,0.0,0
2019-04-16,122.6,123.46,121.68,122.92,292300,0.0,0
2019-04-17,124.03,124.83,122.26,122.69,258500,0.0,0
2019-04-18,123.24,124.71,122.48,123.68,349700,0.0,0
2019-04-22,122.91,123.9,122.05,123.18,198200,0.0,0
2019-04-23,123.33,123.48,122.31,122.98,351700,0.0,0
2019-04-24,122.83,123.74,122.37,122.74,284200,0.0,0
2019-04-25,122.14,122.14,120.18,120.5,286600,0.0,0
2019-04-26,120.8,121.58,120.25,120.83,261400,0.0,0
2019-04-29,121.17,121.52,120.4,120.82,339600,0.0,0
2019-04-30,125.47,126.48,122.85,125.08,768700,0.0,0
2019-05-01,125.35,126.44,124.27,124.52,375500,0.0,0
2019-05-02,124.45,126.77,123.56,126.17,366300,0.0,0
2019-05-03,127.04,127.99,126.81,127.12,359000,0.0,0
2019-05-06,124.62,125.98,122.98,125.96,322200,0.0,0
2019-05-07,124.4,125.31,122.72,123.79,390700,0.0,0
2019-05-08,123.76,125.3,122.97,123.82,293100,0.0,0
2019-05-09,122.98,124.14,120.82,122.92,370300,0.0,0
2019-05-10,122.3,123.53,120.44,123.33,322600,0.0,0
2019-05-13,120.81,121.43,115.04,116.89,410500,0.0,0
2019-05-14,117.53,118.97,116.95,118.18,322800,0.0,0
2019-05-15,118.35,119.21,116.93,118.45,401400,0.0,0
2019-05-16,118.6,120.65,118.6,120.32,280900,0.0,0
2019-05-17,118.78,120.2,118.46,118.99,205100,0.0,0
2019-05-20,117.97,118.31,116.43,116.55,249700,0.0,0
2019-05-21,117.24,118.75,116.66,118.35,160100,0.0,0
2019-05-22,117.95,118.31,116.44,116.51,164700,0.0,0
2019-05-23,114.7,115.45,111.88,114.84,395200,0.0,0
2019-05-24,116.14,116.14,114.66,115.67,189500,0.0,0
2019-05-28,116.42,117.42,115.09,115.09,202300,0.0,0
2019-05-29,114.6,115.18,113.91,114.99,340200,0.0,0
2019-05-30,114.97,116.58,114.61,115.62,251000,0.84,0
2019-05-31,114.19,114.67,112.15,113.09,547500,0.0,0
2019-06-03,112.98,115.43,112.98,115.12,302600,0.0,0
2019-06-04,116.67,120.57,116.16,120.32,422500,0.0,0
2019-06-05,120.65,121.47,116.97,121.42,338100,0.0,0
2019-06-06,121.09,122.54,120.6,122.15,272200,0.0,0
2019-06-07,123.21,123.66,121.81,122.39,341000,0.0,0
2019-06-10,123.35,124.3,122.71,123.1,311700,0.0,0
2019-06-11,124.38,125.01,121.62,122.32,295100,0.0,0
2019-06-12,122.26,122.26,120.7,121.0,278300,0.0,0
2019-06-13,121.64,121.86,120.5,121.77,340000,0.0,0
2019-06-14,121.49,121.73,119.94,121.15,235900,0.0,0
2019-06-17,120.81,121.24,118.9,119.44,195500,0.0,0
2019-06-18,120.0,123.1,119.45,122.23,222000,0.0,0
2019-06-19,122.7,122.97,120.66,122.13,203100,0.0,0
2019-06-20,124.22,124.99,121.79,124.8,236500,0.0,0
2019-06-21,124.39,125.28,124.02,124.07,276200,0.0,0
2019-06-24,124.33,124.77,123.52,123.91,106700,0.0,0
2019-06-25,124.51,125.31,123.72,124.7,249400,0.0,0
2019-06-26,125.4,126.88,124.29,125.85,276100,0.0,0
2019-06-27,126.4,127.33,126.12,126.81,254000,0.0,0
2019-06-28,126.7,128.75,126.52,128.75,677100,0.0,0
2019-07-01,130.46,130.89,128.29,129.47,348400,0.0,0
2019-07-02,128.8,129.69,127.25,128.12,325400,0.0,0
2019-07-03,128.38,129.33,127.98,128.96,170700,0.0,0
2019-07-05,127.94,127.95,126.04,127.5,203500,0.0,0
2019-07-08,126.66,127.86,126.66,127.22,224400,0.0,0
2019-07-09,127.31,127.38,125.28,126.08,204900,0.0,0
2019-07-10,126.65,127.19,124.59,124.78,265600,0.0,0
2019-07-11,124.57,125.09,123.07,123.64,233000,0.0,0
2019-07-12,124.48,126.92,124.48,126.38,189600,0.0,0
2019-07-15,126.6,127.11,125.13,125.64,223700,0.0,0
2019-07-16,125.54,126.98,125.45,126.75,265600,0.0,0
2019-07-17,126.52,126.62,123.63,123.69,134000,0.0,0
2019-07-18,124.16,124.41,122.53,123.24,160900,0.0,0
2019-07-19,124.13,125.3,123.23,123.89,178400,0.0,0
2019-07-22,123.95,124.53,122.23,122.8,207500,0.0,0
2019-07-23,123.73,124.87,122.64,124.86,232100,0.0,0
2019-07-24,123.94,126.14,122.66,125.92,318900,0.0,0
2019-07-25,126.08,126.37,124.58,124.98,209300,0.0,0
2019-07-26,125.03,125.32,124.16,124.37,298800,0.0,0
2019-07-29,124.25,124.25,122.81,123.78,299400,0.0,0
2019-07-30,127.3,132.18,125.08,129.95,692500,0.0,0
2019-07-31,129.49,130.7,127.12,128.23,495700,0.0,0
2019-08-01,128.22,130.53,125.37,126.06,500200,0.0,0
