Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-04,,,,,,0.15,0
2019-02-05,68.8,69.43,68.56,69.38,511100.0,0.0,0
2019-02-06,69.38,69.76,69.11,69.21,338400.0,0.0,0
2019-02-07,68.83,69.45,68.67,69.36,331500.0,0.0,0
2019-02-08,68.9,69.63,68.51,69.34,438200.0,0.0,0
2019-02-11,69.49,70.25,69.35,69.83,456200.0,0.0,0
2019-02-12,70.2,70.83,70.19,70.82,419300.0,0.0,0
2019-02-13,71.18,71.25,70.26,70.9,456900.0,0.0,0
2019-02-14,70.79,70.98,70.15,70.29,476800.0,0.0,0
2019-02-15,70.74,71.28,70.66,71.11,311600.0,0.0,0
2019-02-19,70.86,71.5,70.65,71.32,431700.0,0.0,0
2019-02-20,71.27,71.51,70.8,71.02,335900.0,0.0,0
2019-02-21,71.0,71.07,70.18,70.28,420000.0,0.0,0
2019-02-22,70.59,71.28,70.43,71.19,394500.0,0.0,0
2019-02-25,71.59,72.31,70.59,71.7,523100.0,0.0,0
2019-02-26,71.44,71.76,71.0,71.29,518700.0,0.0,0
2019-02-27,71.21,71.98,70.98,71.63,307800.0,0.0,0
2019-02-28,71.61,72.07,71.46,71.67,354000.0,0.0,0
2019-03-01,72.08,72.24,71.33,72.18,372400.0,0.0,0
2019-03-04,72.33,72.38,70.88,71.14,418800.0,0.0,0
2019-03-05,71.18,71.55,70.72,70.79,278600.0,0.0,0
2019-03-06,70.22,70.96,69.95,70.02,341400.0,0.0,0
2019-03-07,69.88,70.18,69.03,69.98,396900.0,0.0,0
2019-03-08,69.58,69.66,68.77,69.32,390700.0,0.0,0
2019-03-11,67.06,69.12,65.19,69.12,1121000.0,0.0,0
2019-03-12,68.85,69.57,68.36,69.52,741300.0,0.0,0
2019-03-13,69.55,69.94,68.39,68.74,629900.0,0.0,0
2019-03-14,68.65,68.65,67.74,68.27,590700.0,0.0,0
2019-03-15,68.39,69.04,67.85,68.72,1055600.0,0.0,0
2019-03-18,68.59,69.57,68.27,69.42,504000.0,0.0,0
2019-03-19,69.44,69.63,68.74,69.0,328900.0,0.0,0
2019-03-20,68.79,69.18,68.41,68.42,335400.0,0.0,0
2019-03-21,68.15,69.1,67.95,68.55,552000.0,0.0,0
2019-03-22,68.29,68.48,66.99,67.03,288600.0,0.0,0
2019-03-25,66.9,68.19,66.72,67.0,324300.0,0.0,0
2019-03-26,67.43,67.64,66.8,67.17,656500.0,0.0,0
2019-03-27,67.21,68.0,67.21,67.72,434600.0,0.0,0
2019-03-28,67.86,68.62,67.68,68.53,352200.0,0.0,0
2019-03-29,68.92,69.22,68.53,68.71,376400.0,0.0,0
2019-04-01,69.34,69.98,68.91,69.95,867200.0,0.0,0
2019-04-02,69.99,70.13,69.64,69.69,328100.0,0.0,0
2019-04-03,70.01,70.07,68.8,69.06,251300.0,0.0,0
2019-04-04,69.05,69.78,69.05,69.45,337400.0,0.0,0
2019-04-05,69.55,69.88,69.5,69.76,233300.0,0.0,0
2019-04-08,68.11,69.26,67.77,69.18,495500.0,0.0,0
2019-04-09,68.69,68.81,67.71,67.8,349500.0,0.0,0
2019-04-10,67.83,67.83,67.01,67.56,350900.0,0.0,0
2019-04-11,67.57,68.08,67.36,67.99,524000.0,0.0,0
2019-04-12,68.34,68.84,68.15,68.55,285900.0,0.0,0
2019-04-15,68.53,68.82,67.94,68.28,354400.0,0.0,0
2019-04-16,68.46,68.64,68.21,68.38,215400.0,0.0,0
2019-04-17,68.77,68.87,67.62,67.79,301200.0,0.0,0
2019-04-18,67.72,68.05,67.36,67.97,186400.0,0.0,0
2019-04-22,67.74,67.85,67.4,67.84,272400.0,0.0,0
2019-04-23,68.39,69.25,67.9,69.18,498000.0,0.0,0
2019-04-24,70.6,72.29,68.04,68.06,1206400.0,0.0,0
2019-04-25,67.92,70.69,66.92,70.26,881800.0,0.0,0
2019-04-26,70.56,70.67,69.85,70.59,576700.0,0.0,0
2019-04-29,70.83,71.08,70.28,70.49,336300.0,0.0,0
2019-04-30,70.3,70.54,69.46,70.25,507800.0,0.0,0
2019-05-01,70.52,71.25,70.01,70.17,536500.0,0.0,0
2019-05-02,69.8,70.63,69.75,70.46,251200.0,0.15,0
2019-05-03,70.69,71.39,70.52,71.02,375600.0,0.0,0
2019-05-06,69.75,72.06,69.75,71.17,519400.0,0.0,0
2019-05-07,70.57,71.1,69.81,70.26,366600.0,0.0,0
2019-05-08,70.25,70.95,70.08,70.58,726800.0,0.0,0
2019-05-09,70.08,70.56,69.13,70.28,312700.0,0.0,0
2019-05-10,69.83,70.81,69.44,70.8,383200.0,0.0,0
2019-05-13,69.29,69.38,68.13,68.71,393500.0,0.0,0
2019-05-14,68.94,69.73,68.59,69.38,318000.0,0.0,0
2019-05-15,68.8,69.96,68.34,69.82,265300.0,0.0,0
2019-05-16,69.92,70.81,69.45,70.54,353100.0,0.0,0
2019-05-17,69.88,70.53,69.53,69.84,369600.0,0.0,0
2019-05-20,69.65,69.88,68.83,69.26,302600.0,0.0,0
2019-05-21,69.87,71.21,69.7,71.2,339500.0,0.0,0
2019-05-22,71.43,74.52,71.43,73.78,847500.0,0.0,0
2019-05-23,74.67,74.67,72.38,73.02,459800.0,0.0,0
2019-05-24,73.7,74.36,73.46,73.81,389600.0,0.0,0
2019-05-28,73.87,74.43,73.05,73.29,735500.0,0.0,0
2019-05-29,73.0,73.0,71.75,72.84,506400.0,0.0,0
2019-05-30,73.0,73.45,72.56,72.86,263500.0,0.0,0
2019-05-31,72.38,72.7,71.61,72.47,306100.0,0.0,0
2019-06-03,72.25,73.68,72.25,73.17,420100.0,0.0,0
2019-06-04,73.67,74.67,73.67,74.67,564600.0,0.0,0
2019-06-05,74.67,75.67,74.52,74.62,463700.0,0.0,0
2019-06-06,74.57,75.22,74.01,75.11,271600.0,0.0,0
2019-06-07,75.58,76.63,75.18,76.56,272300.0,0.0,0
2019-06-10,77.25,77.97,76.75,77.2,508100.0,0.0,0
2019-06-11,77.45,77.77,75.98,76.78,365200.0,0.0,0
2019-06-12,76.87,77.11,76.34,76.97,254500.0,0.0,0
2019-06-13,77.26,77.59,76.64,77.53,391000.0,0.0,0
2019-06-14,77.16,77.39,75.99,76.47,522300.0,0.0,0
2019-06-17,76.58,76.99,75.59,76.35,718700.0,0.0,0
2019-06-18,76.75,79.06,76.58,78.59,870300.0,0.0,0
2019-06-19,78.58,78.58,77.1,77.66,505300.0,0.0,0
2019-06-20,78.44,78.65,77.5,78.13,540300.0,0.0,0
2019-06-21,77.9,78.56,77.2,78.16,1049500.0,0.0,0
2019-06-24,78.37,78.66,77.58,77.64,441800.0,0.0,0
2019-06-25,77.66,78.48,77.53,78.32,485000.0,0.0,0
2019-06-26,78.56,79.0,78.04,78.72,286700.0,0.0,0
2019-06-27,79.14,79.51,78.72,79.15,595800.0,0.0,0
2019-06-28,79.18,80.83,79.18,80.53,2316300.0,0.0,0
2019-07-01,81.3,81.64,80.17,80.93,462600.0,0.0,0
2019-07-02,81.11,81.11,80.02,80.38,426900.0,0.0,0
2019-07-03,80.42,81.06,80.36,80.9,480800.0,0.0,0
2019-07-05,80.45,81.09,79.75,81.04,211500.0,0.0,0
2019-07-08,80.49,80.9,79.91,80.02,256500.0,0.0,0
2019-07-09,80.02,80.66,79.81,80.53,709300.0,0.0,0
2019-07-10,80.73,81.2,79.91,80.01,318900.0,0.0,0
2019-07-11,80.13,80.4,79.44,80.2,275200.0,0.0,0
2019-07-12,80.4,81.11,80.4,81.01,450800.0,0.0,0
2019-07-15,80.9,81.25,80.27,80.52,337400.0,0.0,0
2019-07-16,80.49,81.29,80.49,80.8,391900.0,0.0,0
2019-07-17,80.65,81.28,79.25,79.39,426000.0,0.0,0
2019-07-18,79.35,79.44,78.86,79.42,486800.0,0.0,0
2019-07-19,79.42,80.04,79.42,79.83,450500.0,0.0,0
2019-07-22,79.97,80.98,79.63,80.25,942900.0,0.0,0
2019-07-23,81.86,85.26,81.86,83.32,944000.0,0.0,0
2019-07-24,83.33,83.64,80.86,83.21,815300.0,0.0,0
2019-07-25,83.21,83.81,82.21,82.54,414000.0,0.0,0
2019-07-26,82.63,83.48,82.31,83.06,394700.0,0.0,0
2019-07-29,83.39,83.49,82.64,82.9,356300.0,0.0,0
2019-07-30,82.68,82.89,82.0,82.56,443700.0,0.0,0
2019-07-31,82.58,82.89,80.85,81.4,577000.0,0.0,0
2019-08-01,81.49,83.09,81.04,81.11,411100.0,0.17,0
2019-08-02,80.83,80.9,78.94,79.59,603300.0,0.0,0
2019-08-05,78.24,78.41,76.06,76.83,496700.0,0.0,0
2019-08-06,77.5,79.02,77.43,78.83,397200.0,0.0,0
2019-08-07,77.86,79.54,77.36,79.25,319400.0,0.0,0
2019-08-08,79.69,81.56,79.69,81.19,466400.0,0.0,0
2019-08-09,81.19,81.64,80.81,81.14,365000.0,0.0,0
