Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,129.09,129.6,128.75,129.35,5398900,0.0,0
2019-02-06,129.03,130.4,128.98,130.08,4879700,0.0,0
2019-02-07,128.92,129.81,127.54,128.58,4379400,1.57,0
2019-02-08,127.75,129.08,127.61,129.08,3249800,0.0,0
2019-02-11,129.64,130.47,129.27,129.35,3095100,0.0,0
2019-02-12,130.47,131.48,130.19,131.34,3317200,0.0,0
2019-02-13,132.18,133.14,131.68,132.75,4253000,0.0,0
2019-02-14,132.42,132.83,131.49,131.75,2789400,0.0,0
2019-02-15,132.81,133.4,132.63,133.25,3844100,0.0,0
2019-02-19,133.03,133.89,132.6,133.89,3385700,0.0,0
2019-02-20,133.95,134.42,132.47,133.22,3802000,0.0,0
2019-02-21,133.04,133.56,132.59,133.06,2937300,0.0,0
2019-02-22,133.92,134.55,133.63,134.43,3113700,0.0,0
2019-02-25,135.15,135.6,134.49,134.63,3194200,0.0,0
2019-02-26,134.83,135.62,134.64,134.88,3060400,0.0,0
2019-02-27,134.43,134.73,133.6,134.35,2530900,0.0,0
2019-02-28,133.96,134.24,132.95,133.34,3457800,0.0,0
2019-03-01,134.48,135.19,133.84,134.38,3030000,0.0,0
2019-03-04,135.14,135.23,132.42,133.63,3406900,0.0,0
2019-03-05,133.58,133.93,132.79,133.1,4250300,0.0,0
2019-03-06,133.33,133.59,131.98,132.23,2768300,0.0,0
2019-03-07,131.88,132.15,129.97,130.67,4358800,0.0,0
2019-03-08,129.56,130.55,128.95,130.41,3773600,0.0,0
2019-03-11,131.32,132.96,131.13,132.94,3939300,0.0,0
2019-03-12,133.72,134.86,133.08,133.49,3954700,0.0,0
2019-03-13,133.27,134.49,133.07,133.76,3173200,0.0,0
2019-03-14,133.71,134.13,133.28,133.98,2738600,0.0,0
2019-03-15,134.54,135.47,134.41,134.6,7153700,0.0,0
2019-03-18,134.98,135.51,133.91,135.35,3268500,0.0,0
2019-03-19,136.08,136.79,135.15,135.62,3482300,0.0,0
2019-03-20,135.66,135.82,134.16,134.76,3649500,0.0,0
2019-03-21,134.28,137.2,134.07,136.54,3605400,0.0,0
2019-03-22,136.09,136.54,134.09,134.62,3877200,0.0,0
2019-03-25,134.24,135.06,133.56,134.36,2839800,0.0,0
2019-03-26,135.08,136.13,134.59,135.36,2553700,0.0,0
2019-03-27,135.54,135.62,133.6,134.42,3098200,0.0,0
2019-03-28,135.06,135.57,134.28,135.07,2663900,0.0,0
2019-03-29,135.63,136.33,135.29,136.21,3101400,0.0,0
2019-04-01,136.61,138.44,136.61,138.33,3984300,0.0,0
2019-04-02,138.38,138.96,137.66,138.05,2404800,0.0,0
2019-04-03,138.67,139.22,138.05,138.65,2681200,0.0,0
2019-04-04,138.64,139.15,137.6,137.83,2771100,0.0,0
2019-04-05,138.33,138.53,137.52,138.32,2731800,0.0,0
2019-04-08,138.06,138.45,137.92,138.42,2118200,0.0,0
2019-04-09,137.72,138.0,136.93,137.19,3038500,0.0,0
2019-04-10,137.27,138.53,137.06,138.06,2678000,0.0,0
2019-04-11,138.82,139.12,138.07,138.8,2942000,0.0,0
2019-04-12,139.26,139.44,138.72,139.35,2898900,0.0,0
2019-04-15,139.4,139.45,138.31,138.91,3603200,0.0,0
2019-04-16,139.4,140.35,139.03,140.11,6301700,0.0,0
2019-04-17,132.61,137.06,131.54,134.29,12525700,0.0,0
