Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,136.32,137.17,135.68,136.66,268500,0.0,0
2019-02-06,136.18,137.47,136.18,136.51,203700,0.0,0
2019-02-07,135.52,136.31,134.58,136.17,354700,0.0,0
2019-02-08,135.67,138.36,135.67,138.31,403400,0.0,0
2019-02-11,138.51,138.91,137.73,138.65,280500,0.0,0
2019-02-12,139.55,142.78,138.94,141.23,325700,0.0,0
2019-02-13,141.71,142.34,140.12,140.24,354200,0.0,0
2019-02-14,139.56,141.18,139.02,139.36,441000,0.0,0
2019-02-15,140.11,142.46,139.85,142.36,260900,0.0,0
2019-02-19,141.84,142.8,140.71,140.8,275000,0.0,0
2019-02-20,140.85,141.81,140.46,141.42,214300,0.0,0
2019-02-21,140.6,141.08,139.75,140.72,310100,0.0,0
2019-02-22,141.26,142.89,140.69,142.79,314400,0.0,0
2019-02-25,143.52,144.21,142.74,143.06,312700,0.0,0
2019-02-26,142.57,143.42,141.69,141.79,233400,0.0,0
2019-02-27,141.47,143.45,141.13,143.19,269900,0.0,0
2019-02-28,143.0,143.04,141.49,142.34,278700,0.0,0
2019-03-01,143.51,143.74,142.08,143.08,183200,0.0,0
2019-03-04,143.98,144.88,142.54,143.78,253300,0.0,0
2019-03-05,143.78,144.7,142.74,142.98,369700,0.0,0
2019-03-06,142.95,144.51,142.95,143.32,221500,0.0,0
2019-03-07,143.35,143.53,141.13,142.06,196800,0.0,0
2019-03-08,140.8,141.58,140.47,141.22,267700,0.0,0
2019-03-11,141.23,145.08,141.23,144.96,350400,0.0,0
2019-03-12,144.96,145.19,143.89,144.11,322900,0.0,0
2019-03-13,144.63,146.24,144.18,145.62,399100,0.0,0
2019-03-14,145.18,145.61,144.39,144.88,375100,0.0,0
2019-03-15,145.5,146.83,145.19,145.92,570100,0.0,0
2019-03-18,145.96,148.17,145.74,148.15,357900,0.0,0
2019-03-19,148.2,148.74,146.72,147.37,307200,0.0,0
2019-03-20,147.21,148.12,145.52,146.75,257000,0.0,0
2019-03-21,145.83,150.37,145.83,149.79,387600,0.0,0
2019-03-22,149.61,149.77,145.96,146.13,319000,0.0,0
2019-03-25,145.79,147.2,145.23,146.02,189000,0.0,0
2019-03-26,147.52,148.79,147.37,148.5,208900,0.0,0
2019-03-27,148.5,149.54,147.59,148.13,268400,0.0,0
2019-03-28,148.23,149.97,148.16,149.6,151200,0.0,0
2019-03-29,150.04,150.8,148.21,149.89,415600,0.0,0
2019-04-01,151.13,154.24,151.01,153.88,419800,0.0,0
2019-04-02,154.01,154.35,152.67,152.93,216900,0.0,0
2019-04-03,153.71,155.04,153.1,153.65,340500,0.0,0
2019-04-04,153.96,155.3,153.1,154.43,266100,0.0,0
2019-04-05,155.11,155.51,153.97,154.35,176400,0.0,0
2019-04-08,153.92,155.61,153.12,155.49,203900,0.0,0
2019-04-09,154.32,154.32,152.3,152.65,267900,0.0,0
2019-04-10,153.31,154.05,152.76,153.49,149300,0.0,0
2019-04-11,153.85,155.81,153.84,155.59,163200,0.0,0
2019-04-12,157.06,157.16,155.26,155.35,294900,0.0,0
2019-04-15,156.1,156.14,153.87,154.31,330400,0.0,0
2019-04-16,154.74,155.8,153.56,153.88,571500,0.0,0
2019-04-17,154.52,154.74,152.55,152.61,458600,0.0,0
2019-04-18,153.33,153.84,152.03,152.64,391700,0.0,0
2019-04-22,152.12,152.73,150.99,151.73,357500,0.0,0
2019-04-23,152.01,154.48,151.85,154.29,460500,0.0,0
2019-04-24,154.55,156.5,154.24,154.8,427100,0.0,0
2019-04-25,153.54,154.61,151.15,151.45,440800,0.0,0
2019-04-26,154.59,157.57,151.92,154.68,736700,0.0,0
2019-04-29,155.0,155.61,153.94,155.38,441400,0.0,0
2019-04-30,156.19,157.39,153.56,154.75,286300,0.0,0
2019-05-01,155.07,155.18,152.57,152.57,233900,0.0,0
2019-05-02,152.0,153.67,151.47,153.46,351000,0.0,0
2019-05-03,154.84,155.56,154.36,154.52,287300,0.0,0
2019-05-06,151.9,154.23,151.7,154.1,493900,0.0,0
2019-05-07,152.79,153.2,150.94,151.85,384600,0.0,0
2019-05-08,151.83,153.07,150.86,151.63,283800,0.0,0
2019-05-09,150.31,151.56,149.79,151.05,228600,0.0,0
2019-05-10,150.45,153.23,148.8,152.61,231300,0.0,0
2019-05-13,149.52,149.82,147.59,148.73,235900,0.0,0
2019-05-14,148.98,150.34,148.49,149.29,260700,0.0,0
2019-05-15,149.38,152.22,148.39,151.59,182600,0.0,0
2019-05-16,152.45,152.87,151.41,152.08,194800,0.5,0
2019-05-17,151.08,151.27,149.21,149.26,225200,0.0,0
2019-05-20,148.09,150.49,148.09,149.68,354500,0.0,0
2019-05-21,151.31,152.32,151.08,151.86,180000,0.0,0
2019-05-22,151.5,151.96,150.17,150.46,183800,0.0,0
2019-05-23,148.81,149.61,146.93,149.39,217300,0.0,0
2019-05-24,150.71,151.92,150.43,151.55,277000,0.0,0
2019-05-28,151.73,152.66,149.91,150.13,450500,0.0,0
2019-05-29,149.2,152.08,149.2,150.29,352500,0.0,0
