Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,15.57,15.61,15.25,15.34,1672100,0.0,0
2019-02-06,15.31,15.67,15.31,15.61,1290200,0.0,0
2019-02-07,15.58,15.59,15.05,15.18,1566800,0.0,0
2019-02-08,15.05,15.19,14.65,14.86,2065700,0.0,0
2019-02-11,14.91,15.35,14.78,15.31,1919300,0.0,0
2019-02-12,15.44,15.7,15.35,15.55,1553600,0.0,0
2019-02-13,15.63,16.05,15.42,15.87,2041500,0.0,0
2019-02-14,15.59,15.74,15.17,15.52,2109600,0.0,0
2019-02-15,15.61,15.78,15.46,15.69,2403200,0.0,0
2019-02-19,15.73,16.26,15.51,16.06,3336800,0.0,0
2019-02-20,16.06,16.22,15.83,15.91,1689500,0.0,0
2019-02-21,15.93,16.42,15.78,15.98,2421400,0.0,0
2019-02-22,16.15,16.4,15.96,16.36,2089800,0.0,0
2019-02-25,16.58,16.75,16.43,16.47,2083200,0.0,0
2019-02-26,16.39,16.82,16.33,16.72,2047300,0.0,0
2019-02-27,16.72,16.81,16.46,16.56,1914200,0.0,0
2019-02-28,16.56,16.56,16.24,16.25,1367000,0.0,0
2019-03-01,16.38,16.73,16.38,16.53,2033500,0.0,0
2019-03-04,16.58,16.72,16.06,16.24,2195600,0.0,0
2019-03-05,16.35,16.38,16.1,16.17,1564500,0.0,0
2019-03-06,16.19,16.43,16.06,16.08,2281800,0.0,0
2019-03-07,14.84,14.87,13.4,13.52,17916200,0.0,0
2019-03-08,13.55,13.59,12.81,13.04,9076000,0.0,0
2019-03-11,12.92,13.25,12.88,13.02,5137400,0.0,0
2019-03-12,12.98,13.2,12.59,12.66,6322600,0.0,0
2019-03-13,12.72,12.84,12.44,12.49,6258200,0.0,0
2019-03-14,12.53,12.68,12.37,12.5,4370300,0.0,0
2019-03-15,12.53,12.92,12.53,12.66,4189300,0.0,0
2019-03-18,12.69,12.71,12.27,12.51,3682400,0.0,0
2019-03-19,12.58,12.8,12.52,12.61,3636700,0.0,0
2019-03-20,12.72,12.8,12.44,12.52,2709000,0.2,0
2019-03-21,12.47,12.81,12.44,12.8,2111200,0.0,0
2019-03-22,12.77,12.79,12.29,12.32,3430500,0.0,0
2019-03-25,12.25,12.44,12.19,12.3,1801100,0.0,0
2019-03-26,12.39,12.63,12.3,12.44,2527900,0.0,0
2019-03-27,12.48,12.48,12.15,12.28,2927100,0.0,0
2019-03-28,12.31,12.42,12.1,12.22,2428100,0.0,0
2019-03-29,12.28,12.61,12.26,12.43,2813000,0.0,0
2019-04-01,12.65,12.9,12.63,12.87,3738700,0.0,0
2019-04-02,12.9,12.98,12.7,12.86,2772900,0.0,0
2019-04-03,12.97,13.24,12.97,13.17,3307300,0.0,0
2019-04-04,13.17,13.36,13.04,13.1,3206600,0.0,0
2019-04-05,13.2,13.39,13.12,13.18,2222600,0.0,0
2019-04-08,13.24,13.28,13.01,13.23,2815000,0.0,0
2019-04-09,13.2,13.25,12.98,13.1,2765800,0.0,0
2019-04-10,13.13,13.4,13.07,13.33,4218600,0.0,0
2019-04-11,13.33,13.38,13.18,13.29,1959800,0.0,0
2019-04-12,13.42,13.65,13.38,13.61,1999000,0.0,0
2019-04-15,13.67,13.73,13.37,13.54,1232200,0.0,0
2019-04-16,13.55,13.75,13.54,13.73,2788000,0.0,0
2019-04-17,13.79,13.87,13.47,13.51,815400,0.0,0
2019-04-18,13.56,13.6,13.39,13.47,935100,0.0,0
2019-04-22,13.39,13.44,13.23,13.34,654100,0.0,0
2019-04-23,13.53,13.63,13.19,13.53,2744900,0.0,0
2019-04-24,13.47,13.65,13.3,13.56,1628800,0.0,0
2019-04-25,13.63,13.69,13.28,13.3,1244200,0.0,0
2019-04-26,13.25,13.73,13.25,13.69,2473100,0.0,0
