Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,89.73,94.99,89.46,90.75,1178200,0.0,0
2019-02-06,90.45,91.05,89.72,90.18,614900,0.0,0
2019-02-07,89.44,90.05,88.48,89.59,466100,0.0,0
2019-02-08,89.53,89.89,88.53,89.22,570100,0.0,0
2019-02-11,89.31,89.66,87.92,89.33,689100,0.0,0
2019-02-12,89.65,91.03,89.56,90.37,657800,0.0,0
2019-02-13,90.9,91.32,90.21,90.42,572000,0.0,0
2019-02-14,89.95,91.14,89.9,90.47,463300,0.0,0
2019-02-15,91.02,91.92,90.6,91.08,420600,0.0,0
2019-02-19,90.86,91.14,89.86,90.41,695900,0.0,0
2019-02-20,90.23,92.23,89.98,90.82,743200,0.0,0
2019-02-21,91.35,91.77,90.1,91.07,651700,0.0,0
2019-02-22,90.72,91.57,89.29,90.97,1474500,0.0,0
2019-02-25,91.3,91.3,90.37,90.4,570800,0.0,0
2019-02-26,90.69,91.27,90.02,90.55,577200,0.0,0
2019-02-27,90.6,90.97,89.72,90.79,500900,0.0,0
2019-02-28,90.72,91.03,89.34,89.8,550700,0.0,0
2019-03-01,90.09,90.37,88.89,89.48,774900,0.0,0
2019-03-04,89.66,89.66,88.56,89.06,436500,0.0,0
2019-03-05,89.22,90.03,88.96,89.12,483200,0.0,0
2019-03-06,89.25,89.41,87.88,87.94,699400,0.0,0
2019-03-07,87.96,89.51,87.43,88.85,544400,0.0,0
2019-03-08,88.73,89.19,87.82,88.57,466200,0.0,0
2019-03-11,88.71,89.69,88.14,89.59,556300,0.0,0
2019-03-12,89.66,89.99,89.26,89.63,597900,0.0,0
2019-03-13,89.93,90.82,89.22,90.44,555500,0.0,0
2019-03-14,90.47,91.2,90.03,90.7,515300,0.0,0
2019-03-15,90.92,92.31,90.66,92.17,1036600,0.0,0
2019-03-18,92.16,92.97,91.35,91.44,386900,0.0,0
2019-03-19,91.58,93.0,91.31,92.37,416900,0.0,0
2019-03-20,92.42,92.42,90.21,91.02,500000,0.0,0
2019-03-21,90.82,93.29,90.82,92.97,351000,0.0,0
2019-03-22,92.92,93.04,91.2,91.31,249100,0.0,0
2019-03-25,90.86,91.07,89.66,90.36,322500,0.0,0
2019-03-26,90.7,91.25,89.65,90.22,268100,0.0,0
2019-03-27,90.15,90.57,89.56,90.26,281500,0.0,0
2019-03-28,90.19,91.3,90.1,90.96,357000,0.0,0
2019-03-29,91.23,92.84,90.93,92.59,438300,0.625,0
2019-04-01,92.77,93.58,91.74,92.11,445200,0.0,0
2019-04-02,92.27,92.83,91.03,91.11,360400,0.0,0
2019-04-03,91.24,91.8,90.3,91.06,472000,0.0,0
2019-04-04,91.24,92.58,90.65,92.19,375900,0.0,0
2019-04-05,92.16,92.29,91.72,91.98,328100,0.0,0
2019-04-08,92.03,92.99,91.93,92.4,490600,0.0,0
2019-04-09,92.4,92.4,91.54,91.82,211500,0.0,0
2019-04-10,91.95,92.55,91.43,92.17,283500,0.0,0
2019-04-11,92.35,93.05,92.0,92.82,271200,0.0,0
2019-04-12,92.95,92.98,92.34,92.47,445900,0.0,0
2019-04-15,92.48,92.85,91.63,91.87,391500,0.0,0
2019-04-16,91.8,92.06,90.37,91.23,395200,0.0,0
2019-04-17,91.6,91.97,91.16,91.39,240200,0.0,0
