Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,47.98,49.49,47.98,48.79,31641600,0.0,0
2019-02-06,49.04,49.72,48.92,48.99,21647800,0.315,0
2019-02-07,48.6,48.94,47.8,48.34,27825900,0.0,0
2019-02-08,47.88,48.13,47.14,47.95,18851200,0.0,0
2019-02-11,48.13,48.42,47.7,47.88,18004100,0.0,0
2019-02-12,48.46,49.23,48.38,49.1,18050100,0.0,0
2019-02-13,49.22,49.89,49.09,49.55,17712800,0.0,0
2019-02-14,49.49,50.11,49.44,49.89,17545400,0.0,0
2019-02-15,50.32,50.73,50.16,50.72,22520400,0.0,0
2019-02-19,50.42,50.77,50.41,50.47,15611800,0.0,0
2019-02-20,50.69,50.79,50.13,50.46,21607700,0.0,0
2019-02-21,50.39,50.9,50.28,50.48,16162100,0.0,0
2019-02-22,51.74,52.02,51.11,51.54,31934100,0.0,0
2019-02-25,52.1,52.64,51.9,52.14,20711800,0.0,0
2019-02-26,52.05,52.4,51.95,52.26,16082200,0.0,0
2019-02-27,51.8,52.41,51.56,52.27,17590300,0.0,0
2019-02-28,51.96,52.21,51.85,52.0,18388800,0.0,0
2019-03-01,52.47,52.71,51.93,52.33,18359300,0.0,0
2019-03-04,52.77,53.12,52.24,52.96,21706100,0.0,0
2019-03-05,52.87,53.01,52.15,52.71,21057700,0.0,0
2019-03-06,52.66,52.68,51.98,51.99,14740500,0.0,0
2019-03-07,51.81,52.03,51.41,51.64,17803000,0.0,0
2019-03-08,51.03,51.61,50.76,51.53,16793900,0.0,0
2019-03-11,51.92,52.68,51.62,52.38,18963000,0.0,0
2019-03-12,52.37,52.98,52.21,52.6,20782100,0.0,0
2019-03-13,53.02,53.58,52.68,53.38,25522300,0.0,0
2019-03-14,53.31,53.46,52.36,52.47,26647100,0.0,0
2019-03-15,52.71,53.7,52.71,53.34,46512500,0.0,0
2019-03-18,53.43,53.52,52.89,53.12,16274000,0.0,0
2019-03-19,53.48,53.66,53.02,53.19,18274800,0.0,0
2019-03-20,53.08,53.41,52.64,52.84,24325300,0.0,0
2019-03-21,52.94,53.99,52.86,53.65,19127200,0.0,0
2019-03-22,53.41,53.63,52.24,52.29,21438400,0.0,0
2019-03-25,52.01,52.58,51.43,51.82,16971400,0.0,0
2019-03-26,52.35,52.79,52.08,52.47,17724300,0.0,0
2019-03-27,52.62,52.88,51.98,52.19,19656000,0.0,0
2019-03-28,52.28,52.47,51.81,52.15,13607900,0.0,0
2019-03-29,52.82,53.06,52.51,52.73,18736100,0.0,0
2019-04-01,53.35,53.58,53.12,53.52,17830400,0.0,0
2019-04-02,53.54,53.81,53.25,53.37,13704500,0.0,0
2019-04-03,54.03,54.97,53.89,54.47,24552800,0.0,0
2019-04-04,54.27,55.12,54.27,54.9,16520500,0.0,0
2019-04-05,54.74,54.93,53.87,54.59,19268400,0.0,0
2019-04-08,54.28,54.73,54.2,54.67,11758800,0.0,0
2019-04-09,54.35,54.42,53.9,54.32,13339700,0.0,0
2019-04-10,54.32,54.85,54.32,54.74,13084000,0.0,0
2019-04-11,54.75,55.05,54.62,54.79,10845800,0.0,0
2019-04-12,55.19,55.46,54.83,55.4,12910200,0.0,0
2019-04-15,55.43,55.53,54.9,55.26,11676900,0.0,0
2019-04-16,55.63,56.43,55.05,55.68,30301900,0.0,0
2019-04-17,57.38,58.51,57.06,57.5,38788400,0.0,0
2019-04-18,57.64,57.81,57.06,57.43,20464200,0.0,0
2019-04-22,57.09,57.76,56.83,57.75,12327500,0.0,0
2019-04-23,57.82,57.91,57.44,57.71,17739900,0.0,0
2019-04-24,57.46,58.21,57.08,57.65,17723700,0.0,0
2019-04-25,57.24,57.32,56.19,56.56,27949900,0.0,0
