Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,58.52,59.5,58.05,58.26,520600,0,0
2019-02-06,58.3,58.86,58.0,58.05,530800,0,0
2019-02-07,58.0,58.42,57.5,58.03,764500,0,0
2019-02-08,57.71,59.26,57.71,58.73,596900,0,0
2019-02-11,58.4,59.15,57.99,59.1,675900,0,0
2019-02-12,59.36,59.99,59.08,59.67,719700,0,0
2019-02-13,59.88,60.92,58.73,60.55,821000,0,0
2019-02-14,60.19,60.55,58.6,58.87,503100,0,0
2019-02-15,59.05,59.05,58.21,58.98,617100,0,0
2019-02-19,58.67,59.52,58.11,58.54,487300,0,0
2019-02-20,58.67,59.3,56.98,58.37,452000,0,0
2019-02-21,58.23,58.23,56.98,57.41,525900,0,0
2019-02-22,57.52,58.8,57.25,58.76,414500,0,0
2019-02-25,59.17,61.92,59.05,61.67,1497400,0,0
2019-02-26,61.45,62.48,60.67,61.62,1026400,0,0
2019-02-27,62.55,72.2,62.49,70.94,4747400,0,0
2019-02-28,71.16,72.18,70.31,70.99,1848300,0,0
2019-03-01,71.47,71.95,69.39,69.69,1711300,0,0
2019-03-04,69.6,71.0,69.29,70.49,1106400,0,0
2019-03-05,70.5,72.73,70.43,71.22,1328600,0,0
2019-03-06,71.06,72.06,68.91,69.18,937000,0,0
2019-03-07,68.92,70.48,68.15,69.81,786100,0,0
2019-03-08,68.98,70.74,68.79,70.46,1151500,0,0
2019-03-11,71.0,73.98,71.0,73.92,1375400,0,0
2019-03-12,74.0,75.02,73.53,74.88,1115900,0,0
2019-03-13,75.18,76.82,74.77,76.61,1287600,0,0
2019-03-14,77.0,78.2,76.24,77.44,1224000,0,0
2019-03-15,77.52,78.59,76.91,78.54,1288400,0,0
2019-03-18,78.49,79.72,78.01,79.52,1364300,0,0
2019-03-19,79.58,80.46,79.24,79.61,1172900,0,0
2019-03-20,79.6,81.03,78.6,80.21,930400,0,0
2019-03-21,79.53,80.88,79.07,80.5,1579200,0,0
2019-03-22,80.3,80.6,78.52,78.9,790900,0,0
2019-03-25,78.0,79.53,77.02,79.04,906500,0,0
2019-03-26,79.78,80.45,78.77,80.18,931400,0,0
2019-03-27,80.25,80.75,76.57,77.03,1331000,0,0
2019-03-28,77.2,79.94,76.61,79.75,1126600,0,0
2019-03-29,80.06,81.59,79.26,81.17,893000,0,0
2019-04-01,81.9,82.75,80.56,81.31,893500,0,0
2019-04-02,81.64,82.18,80.43,81.74,876700,0,0
2019-04-03,81.68,85.04,81.21,84.89,2015700,0,0
2019-04-04,84.67,85.0,81.23,82.15,1155000,0,0
2019-04-05,82.63,85.82,82.3,84.99,1381100,0,0
2019-04-08,84.9,86.58,83.34,86.14,1274600,0,0
2019-04-09,85.44,85.51,82.62,83.72,1114000,0,0
2019-04-10,84.69,86.08,83.95,85.62,909100,0,0
2019-04-11,85.57,85.57,82.9,83.76,891300,0,0
2019-04-12,84.27,85.14,83.85,84.61,680000,0,0
2019-04-15,84.84,85.88,83.41,83.88,1000800,0,0
