Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,34.29,34.3,34.09,34.24,1994700,0.0,0
2019-02-06,34.25,34.28,33.95,34.12,1593100,0.0,0
2019-02-07,34.03,34.11,33.79,33.94,1716500,0.0,0
2019-02-08,33.85,34.11,33.76,33.91,1772400,0.0,0
2019-02-11,33.98,34.2,33.66,33.79,2627100,0.0,0
2019-02-12,33.7,34.02,33.15,33.24,2355100,0.0,0
2019-02-13,33.21,33.38,32.99,33.29,2570100,0.0,0
2019-02-14,33.34,33.44,32.44,32.76,4898300,0.0,0
2019-02-15,32.86,33.18,32.46,32.62,3105200,0.0,0
2019-02-19,32.68,33.22,32.67,32.87,3794500,0.0,0
2019-02-20,32.87,33.27,32.71,33.18,3860700,0.0,0
2019-02-21,33.18,33.45,33.07,33.29,2819300,0.0,0
2019-02-22,33.34,33.58,32.94,33.05,2810600,0.0,0
2019-02-25,33.0,33.2,32.16,32.55,3057500,0.0,0
2019-02-26,32.67,32.77,32.42,32.55,1788500,0.0,0
2019-02-27,32.4,32.61,32.24,32.51,1821800,0.0,0
2019-02-28,32.51,33.25,32.49,32.9,3160400,0.0,0
2019-03-01,32.97,33.3,32.5,33.23,2274700,0.0,0
2019-03-04,33.44,33.44,32.65,33.13,2239900,0.0,0
2019-03-05,33.1,33.22,32.73,32.79,2519100,0.0,0
2019-03-06,33.04,33.05,32.52,32.53,2193500,0.0,0
2019-03-07,32.6,32.67,32.24,32.39,2771800,0.0,0
2019-03-08,32.3,32.53,32.07,32.3,1768000,0.0,0
2019-03-11,32.44,32.55,32.24,32.49,2544100,0.0,0
2019-03-12,32.68,32.74,32.38,32.6,2636400,0.0,0
2019-03-13,32.63,32.94,32.6,32.76,2145800,0.0,0
2019-03-14,32.88,33.06,32.71,32.86,1784700,0.611,0
2019-03-15,32.88,33.03,32.77,33.02,2424000,0.0,0
2019-03-18,32.99,33.07,32.69,32.91,1501200,0.0,0
2019-03-19,32.91,33.07,32.52,32.61,1689200,0.0,0
2019-03-20,32.61,32.8,32.22,32.51,1899200,0.0,0
2019-03-21,32.51,33.31,32.43,33.3,2493000,0.0,0
2019-03-22,33.24,33.76,33.16,33.19,3093700,0.0,0
2019-03-25,33.19,33.37,33.14,33.24,2457300,0.0,0
2019-03-26,33.33,33.63,33.3,33.58,2906400,0.0,0
2019-03-27,33.57,33.71,33.27,33.51,1447800,0.0,0
2019-03-28,33.61,33.97,33.52,33.68,1866700,0.0,0
2019-03-29,33.78,33.87,33.4,33.52,2099600,0.0,0
2019-04-01,33.53,33.85,33.28,33.79,2115300,0.0,0
2019-04-02,33.72,33.82,33.36,33.82,1805800,0.0,0
2019-04-03,33.82,33.92,33.61,33.92,1378200,0.0,0
2019-04-04,33.93,33.99,33.78,33.96,961100,0.0,0
2019-04-05,34.0,34.4,34.0,34.37,1741100,0.0,0
2019-04-08,34.36,34.4,34.15,34.31,1152600,0.0,0
2019-04-09,34.31,34.36,33.92,34.0,1262900,0.0,0
2019-04-10,34.13,34.31,33.93,34.22,844200,0.0,0
2019-04-11,34.3,34.5,34.18,34.3,1001800,0.0,0
2019-04-12,34.27,34.54,33.98,34.53,1291300,0.0,0
2019-04-15,34.55,34.64,34.31,34.57,1205000,0.0,0
2019-04-16,34.55,34.59,33.93,34.07,1628600,0.0,0
2019-04-17,34.21,34.21,33.65,34.05,1369000,0.0,0
2019-04-18,34.09,34.21,33.92,33.97,1822300,0.0,0
2019-04-22,33.85,33.91,33.21,33.46,2750500,0.0,0
2019-04-23,33.65,34.1,33.48,33.89,2134400,0.0,0
2019-04-24,33.99,34.52,33.79,33.88,2810900,0.0,0
2019-04-25,32.7,32.7,30.72,30.86,9957300,0.0,0
2019-04-26,30.92,30.92,30.21,30.66,6279600,0.0,0
2019-04-29,30.6,30.9,30.26,30.27,3579800,0.0,0
2019-04-30,30.26,30.74,30.22,30.7,3281200,0.0,0
2019-05-01,30.67,30.74,30.2,30.21,2537100,0.0,0
2019-05-02,30.26,30.3,29.78,29.81,3514300,0.0,0
2019-05-03,29.91,30.03,29.75,29.87,3066600,0.0,0
2019-05-06,29.7,29.8,29.35,29.4,2965000,0.0,0
2019-05-07,29.4,29.59,28.93,29.17,2972100,0.0,0
2019-05-08,29.22,29.58,29.16,29.29,2897100,0.0,0
2019-05-09,29.18,29.42,28.99,29.27,2380500,0.0,0
2019-05-10,29.24,29.65,29.12,29.63,2193900,0.0,0
2019-05-13,29.39,29.81,29.26,29.68,2247900,0.0,0
2019-05-14,29.8,30.25,29.74,30.05,2436500,0.0,0
2019-05-15,30.06,30.39,29.9,30.21,1663000,0.0,0
2019-05-16,30.25,30.68,30.2,30.59,1978400,0.0,0
2019-05-17,30.46,30.59,30.32,30.33,1690300,0.0,0
2019-05-20,30.29,30.38,29.73,29.89,2411900,0.0,0
2019-05-21,30.1,30.4,30.02,30.09,1781400,0.0,0
2019-05-22,30.06,30.1,29.68,29.89,2437800,0.0,0
2019-05-23,29.72,30.06,29.65,29.99,1789300,0.0,0
2019-05-24,30.16,30.24,29.56,29.59,2536600,0.0,0
2019-05-28,29.74,29.98,29.26,29.36,3071100,0.0,0
2019-05-29,29.37,29.49,28.94,29.05,2524500,0.0,0
2019-05-30,29.05,29.29,29.05,29.1,1323100,0.0,0
2019-05-31,29.05,29.23,28.9,28.97,3392700,0.0,0
2019-06-03,29.06,29.53,28.93,29.38,2546100,0.0,0
2019-06-04,29.38,29.61,28.78,29.03,5379000,0.0,0
2019-06-05,29.21,29.76,28.89,29.74,3886100,0.0,0
2019-06-06,29.83,30.03,29.04,29.34,3236800,0.0,0
2019-06-07,29.44,29.62,29.37,29.48,3924200,0.0,0
2019-06-10,29.63,29.85,29.38,29.73,4193900,0.0,0
2019-06-11,29.93,30.02,29.69,29.94,2131900,0.0,0
2019-06-12,29.83,30.11,29.75,29.91,2490700,0.0,0
2019-06-13,29.99,30.33,29.94,30.32,4876500,0.0,0
2019-06-14,30.38,30.62,30.12,30.57,2600100,0.611,0
2019-06-17,30.61,31.25,30.59,31.21,2453200,0.0,0
2019-06-18,31.33,31.48,30.89,31.11,2667300,0.0,0
2019-06-19,31.01,31.42,30.81,31.37,1756300,0.0,0
2019-06-20,31.56,31.78,31.32,31.36,1939400,0.0,0
2019-06-21,31.31,31.31,30.54,30.89,3135700,0.0,0
2019-06-24,30.93,31.01,30.1,30.36,2594800,0.0,0
2019-06-25,30.38,30.43,29.72,29.75,2656600,0.0,0
2019-06-26,29.75,29.8,28.98,29.35,6252800,0.0,0
2019-06-27,29.49,29.85,29.39,29.75,3144500,0.0,0
2019-06-28,29.83,30.16,29.72,30.16,4108300,0.0,0
2019-07-01,30.44,30.44,29.44,29.6,4331200,0.0,0
2019-07-02,29.68,30.52,29.58,30.47,3112200,0.0,0
2019-07-03,30.57,30.82,30.47,30.8,1161400,0.0,0
2019-07-05,30.64,30.74,30.1,30.44,1642500,0.0,0
2019-07-08,30.33,30.7,30.29,30.32,1880900,0.0,0
2019-07-09,30.32,30.46,29.92,30.45,2096400,0.0,0
2019-07-10,30.77,30.91,30.41,30.9,3355000,0.0,0
2019-07-11,29.9,29.97,28.37,28.59,11058100,0.0,0
2019-07-12,28.65,29.11,28.53,29.07,3972600,0.0,0
2019-07-15,29.23,29.63,29.09,29.3,2480200,0.0,0
2019-07-16,29.19,29.8,29.1,29.46,2465700,0.0,0
2019-07-17,29.59,29.6,28.94,29.05,2174600,0.0,0
2019-07-18,28.94,29.46,28.82,29.43,2148800,0.0,0
2019-07-19,29.39,29.44,28.95,28.96,2032800,0.0,0
2019-07-22,29.05,29.19,28.64,28.93,2673100,0.0,0
2019-07-23,28.94,29.44,28.83,29.33,1531600,0.0,0
2019-07-24,29.35,29.47,29.12,29.17,2211800,0.0,0
2019-07-25,29.15,29.21,28.9,28.97,1860800,0.0,0
2019-07-26,28.96,29.02,28.7,28.82,2658300,0.0,0
2019-07-29,28.89,28.96,28.78,28.82,2467000,0.0,0
2019-07-30,28.78,28.97,28.6,28.78,2936500,0.0,0
2019-07-31,28.72,28.78,28.21,28.34,4382000,0.0,0
2019-08-01,28.99,30.14,28.88,29.71,6872300,0.0,0
2019-08-02,29.87,31.07,29.76,30.29,6936800,0.0,0
2019-08-05,30.13,30.25,29.62,29.96,3417000,0.0,0
2019-08-06,29.95,30.06,29.59,29.69,2145100,0.0,0
2019-08-07,29.69,29.92,29.43,29.72,2373600,0.0,0
2019-08-08,29.67,30.08,29.54,30.08,2384800,0.0,0
2019-08-09,29.99,30.17,29.45,29.46,2038700,0.0,0
2019-08-12,29.48,29.99,29.46,29.96,1348400,0.0,0
2019-08-13,29.86,30.13,29.67,29.85,1588500,0.0,0
2019-08-14,29.73,29.8,29.41,29.49,1840200,0.0,0
2019-08-15,29.57,29.99,29.51,29.86,1532900,0.0,0
2019-08-16,29.97,30.53,29.86,30.34,1959700,0.0,0
2019-08-19,30.35,30.83,30.3,30.74,1250700,0.0,0
2019-08-20,30.83,30.86,30.22,30.24,1130400,0.0,0
2019-08-21,30.29,30.71,30.09,30.56,2468100,0.0,0
2019-08-22,30.62,30.73,30.41,30.5,1359000,0.0,0
2019-08-23,30.48,30.77,29.9,30.0,1814400,0.0,0
2019-08-26,30.18,30.38,30.06,30.38,1129800,0.0,0
2019-08-27,30.56,30.62,30.07,30.07,1586700,0.0,0
2019-08-28,30.11,30.5,30.08,30.42,1250200,0.0,0
2019-08-29,30.58,30.7,30.51,30.66,998800,0.0,0
2019-08-30,30.72,30.97,30.64,30.69,1396600,0.0,0
2019-09-03,30.63,31.22,30.48,31.19,2231900,0.0,0
2019-09-04,31.31,31.76,31.24,31.72,4154900,0.0,0
2019-09-05,31.74,31.98,31.4,31.88,3004000,0.0,0
2019-09-06,31.87,32.05,31.7,31.84,1572500,0.0,0
2019-09-09,31.8,32.37,31.64,32.21,3735900,0.0,0
2019-09-10,32.08,32.42,32.0,32.31,2187800,0.0,0
2019-09-11,32.52,33.08,32.35,32.66,3124000,0.0,0
2019-09-12,32.97,32.99,32.67,32.89,2045800,0.0,0
2019-09-13,32.81,32.88,31.85,31.93,3608500,0.611,0
2019-09-16,31.93,31.98,31.51,31.67,3670600,0.0,0
2019-09-17,31.73,31.79,31.53,31.63,2865200,0.0,0
2019-09-18,31.61,31.68,31.23,31.54,2234300,0.0,0
2019-09-19,31.69,31.93,31.52,31.54,2634800,0.0,0
2019-09-20,31.62,31.73,31.34,31.39,2680400,0.0,0
2019-09-23,31.32,31.63,30.66,30.73,3838000,0.0,0
2019-09-24,30.71,30.78,30.47,30.61,2745900,0.0,0
2019-09-25,30.64,30.92,30.5,30.61,2452000,0.0,0
2019-09-26,30.76,31.36,30.58,31.31,2383900,0.0,0
2019-09-27,31.32,31.65,31.32,31.57,1656700,0.0,0
2019-09-30,31.64,32.14,31.42,31.78,2303400,0.0,0
2019-10-01,31.62,31.81,31.22,31.67,2398200,0.0,0
2019-10-02,31.66,31.66,31.26,31.41,1984000,0.0,0
2019-10-03,31.39,32.14,31.38,31.96,1815800,0.0,0
2019-10-04,31.9,32.1,31.46,31.6,2397900,0.0,0
2019-10-07,31.46,31.79,31.39,31.66,961800,0.0,0
2019-10-08,31.59,31.79,31.05,31.38,2309100,0.0,0
2019-10-09,31.47,31.55,31.11,31.16,1081500,0.0,0
2019-10-10,31.09,31.74,31.03,31.69,2434300,0.0,0
2019-10-11,31.77,32.05,31.62,31.63,1614200,0.0,0
2019-10-14,31.74,32.0,31.55,31.89,960300,0.0,0
2019-10-15,31.85,32.19,31.8,32.17,1235400,0.0,0
2019-10-16,32.21,32.23,31.91,32.09,1479200,0.0,0
2019-10-17,32.09,32.34,32.06,32.15,1238800,0.0,0
2019-10-18,32.08,32.9,31.94,32.87,4590600,0.0,0
2019-10-21,32.83,33.41,32.82,33.3,2332800,0.0,0
2019-10-22,33.36,33.37,32.95,33.33,1419100,0.0,0
2019-10-23,33.3,33.66,33.29,33.65,1649900,0.0,0
2019-10-24,33.72,33.79,33.3,33.53,1560700,0.0,0
2019-10-25,33.43,33.6,33.23,33.45,1019000,0.0,0
2019-10-28,33.42,33.43,32.93,33.02,1590300,0.0,0
2019-10-29,33.09,33.29,32.78,33.19,2000700,0.0,0
2019-10-30,33.15,33.2,32.18,32.85,3186800,0.0,0
2019-10-31,32.44,32.56,31.58,32.18,4411300,0.0,0
