Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,32.93,33.25,32.74,33.17,4083900,0.0,0
2019-02-06,33.16,33.51,33.08,33.25,4357100,0.0,0
2019-02-07,33.08,33.22,32.59,33.02,6616000,0.0,0
2019-02-08,32.86,33.14,32.49,33.13,4308700,0.0,0
2019-02-11,33.25,33.5,33.08,33.2,4073700,0.0,0
2019-02-12,33.38,33.85,33.38,33.72,5415500,0.0,0
2019-02-13,33.86,34.24,33.83,33.94,3771100,0.0,0
2019-02-14,33.7,34.05,33.6,33.76,2654200,0.0,0
2019-02-15,33.97,34.34,33.87,34.2,3407600,0.0,0
2019-02-19,33.99,34.19,33.86,34.02,2793500,0.0,0
2019-02-20,34.06,34.59,33.98,34.52,3478000,0.0,0
2019-02-21,34.35,34.85,34.28,34.68,4487600,0.0,0
2019-02-22,34.79,35.05,34.6,34.86,3499800,0.0,0
2019-02-25,35.06,35.25,34.9,34.91,2694800,0.0,0
2019-02-26,34.72,35.04,34.64,34.67,3482500,0.0,0
2019-02-27,34.47,34.85,34.15,34.6,3183500,0.0,0
2019-02-28,34.6,34.6,34.2,34.37,3821800,0.0,0
2019-03-01,34.53,34.56,34.1,34.39,3765000,0.0,0
2019-03-04,34.52,34.69,34.06,34.41,4143200,0.0,0
2019-03-05,34.47,34.59,34.29,34.33,2998700,0.0,0
2019-03-06,34.33,34.55,34.25,34.26,2422500,0.0,0
2019-03-07,34.52,34.84,33.85,34.76,6603800,0.0,0
2019-03-08,34.32,35.02,34.22,34.96,4679200,0.0,0
2019-03-11,34.94,35.24,34.85,35.22,3167300,0.0,0
2019-03-12,35.22,35.4,35.14,35.17,2531600,0.0,0
2019-03-13,35.33,35.49,35.09,35.34,2552500,0.0,0
2019-03-14,35.22,35.34,34.93,35.09,3182900,0.0,0
2019-03-15,35.25,35.64,34.99,35.17,6559000,0.26,0
2019-03-18,35.83,35.84,35.43,35.75,4595300,0.0,0
2019-03-19,35.94,36.14,35.57,35.7,3781900,0.0,0
2019-03-20,35.71,35.94,35.25,35.71,2839300,0.0,0
2019-03-21,35.62,36.4,35.49,36.28,2747200,0.0,0
2019-03-22,36.13,36.34,35.41,35.46,3345400,0.0,0
2019-03-25,35.53,35.94,35.35,35.49,3017600,0.0,0
2019-03-26,35.65,35.98,35.62,35.88,3029800,0.0,0
2019-03-27,35.97,36.24,35.73,35.8,2596900,0.0,0
2019-03-28,35.98,36.23,35.82,36.22,2304900,0.0,0
2019-03-29,36.46,36.56,35.93,36.26,3615200,0.0,0
2019-04-01,36.55,36.67,36.15,36.24,4867400,0.0,0
2019-04-02,36.34,36.34,35.69,35.83,5215500,0.0,0
2019-04-03,35.99,36.07,35.26,35.34,7136900,0.0,0
2019-04-04,35.33,35.97,35.32,35.47,8130400,0.0,0
2019-04-05,35.45,35.89,35.44,35.52,8554800,0.0,0
2019-04-08,35.53,35.84,35.44,35.73,4818100,0.0,0
2019-04-09,35.53,35.59,35.15,35.21,5066700,0.0,0
2019-04-10,35.35,35.41,35.07,35.16,5095600,0.0,0
2019-04-11,35.19,35.27,35.03,35.15,9273300,0.0,0
2019-04-12,35.24,35.53,35.07,35.41,7693400,0.0,0
2019-04-15,35.44,35.92,35.32,35.92,5244600,0.0,0
2019-04-16,36.02,36.27,35.77,36.18,7312700,0.0,0
2019-04-17,36.32,36.37,35.82,35.91,4150100,0.0,0
2019-04-18,36.03,36.16,35.85,36.07,2119900,0.0,0
2019-04-22,35.91,36.0,35.59,35.97,2157300,0.0,0
2019-04-23,35.94,36.32,35.94,36.28,3268100,0.0,0
2019-04-24,36.23,36.57,36.03,36.41,3069700,0.0,0
2019-04-25,36.26,36.26,35.91,35.97,2898300,0.0,0
2019-04-26,36.14,36.5,35.94,36.5,7389300,0.0,0
2019-04-29,36.51,36.73,36.45,36.63,3037600,0.0,0
2019-04-30,36.71,36.89,36.4,36.81,4803000,0.0,0
2019-05-01,38.31,39.1,38.08,38.56,12988900,0.0,0
2019-05-02,38.52,38.6,38.0,38.26,7163500,0.0,0
2019-05-03,38.43,38.88,38.35,38.85,3700400,0.0,0
2019-05-06,38.47,38.96,38.21,38.86,3644800,0.0,0
2019-05-07,38.62,38.8,38.23,38.52,5142800,0.0,0
2019-05-08,38.45,38.87,38.39,38.65,6987200,0.0,0
2019-05-09,38.43,38.88,38.34,38.86,6883000,0.0,0
2019-05-10,38.6,39.06,38.32,38.95,5353700,0.0,0
2019-05-13,38.35,38.72,38.27,38.38,7744700,0.0,0
2019-05-14,38.48,38.86,38.4,38.52,5727000,0.0,0
2019-05-15,38.48,38.57,38.32,38.33,6203600,0.0,0
2019-05-16,38.35,38.61,38.21,38.46,5678400,0.0,0
2019-05-17,38.28,38.46,38.14,38.23,5040900,0.0,0
2019-05-20,38.14,38.4,38.02,38.37,6675500,0.0,0
2019-05-21,38.46,38.79,38.39,38.76,6483700,0.0,0
2019-05-22,38.56,38.7,38.39,38.48,7390800,0.0,0
2019-05-23,38.33,38.39,38.02,38.04,15821100,0.0,0
2019-05-24,38.12,38.22,37.76,37.8,14041200,0.0,0
2019-05-28,37.9,38.02,37.73,37.75,13800200,0.0,0
2019-05-29,37.64,37.71,37.26,37.54,17837600,0.0,0
2019-05-30,37.7,38.24,37.69,38.21,25331900,0.0,0
2019-05-31,37.83,38.09,37.76,37.81,27662400,0.0,0
2019-06-03,38.68,38.75,37.79,38.28,22706800,0.0,0
2019-06-04,38.19,38.85,37.98,38.82,14166300,0.0,0
2019-06-05,39.09,39.19,38.56,38.73,17685700,0.0,0
2019-06-06,38.72,38.76,38.28,38.72,7369500,0.0,0
2019-06-07,38.74,38.82,38.32,38.39,9042000,0.0,0
2019-06-10,38.36,38.48,38.08,38.09,8651400,0.0,0
2019-06-11,38.18,38.28,38.02,38.15,8044300,0.0,0
2019-06-12,38.27,39.3,38.23,38.8,8776200,0.0,0
2019-06-13,39.08,39.57,38.77,39.53,5996200,0.0,0
2019-06-14,39.34,39.46,39.03,39.21,4964800,0.0,0
2019-06-17,39.31,39.36,38.44,38.45,6890500,0.0,0
2019-06-18,38.73,39.25,38.55,38.93,6630800,0.0,0
2019-06-19,38.85,38.93,38.04,38.34,6177800,0.0,0
2019-06-20,38.58,39.08,38.44,38.97,7667200,0.0,0
2019-06-21,38.99,39.61,38.82,39.61,27707400,0.26,0
2019-06-24,39.51,40.39,39.38,39.95,7712600,0.0,0
2019-06-25,40.11,40.52,39.89,40.09,5953100,0.0,0
2019-06-26,40.06,40.34,39.92,40.13,4252300,0.0,0
2019-06-27,40.13,40.18,39.9,40.04,4981100,0.0,0
2019-06-28,40.12,40.9,40.03,40.81,5236400,0.0,0
2019-07-01,41.18,41.41,40.97,41.39,3762100,0.0,0
2019-07-02,41.39,41.56,41.08,41.14,4368400,0.0,0
2019-07-03,41.18,41.44,41.07,41.33,2952700,0.0,0
2019-07-05,40.8,41.4,40.75,41.37,3023500,0.0,0
2019-07-08,41.5,41.67,40.99,41.19,5176600,0.0,0
2019-07-09,41.16,41.3,40.94,41.15,4571800,0.0,0
2019-07-10,41.18,41.39,40.81,40.83,3635800,0.0,0
2019-07-11,40.91,41.03,40.58,40.83,4286900,0.0,0
2019-07-12,40.76,41.08,40.69,41.04,6417800,0.0,0
2019-07-15,41.04,41.35,40.79,41.32,4185000,0.0,0
2019-07-16,41.32,41.64,41.22,41.55,3424500,0.0,0
2019-07-17,41.57,41.57,40.54,40.57,4453800,0.0,0
2019-07-18,40.44,40.83,40.18,40.68,2873100,0.0,0
2019-07-19,40.89,41.09,40.76,40.82,3216600,0.0,0
2019-07-22,40.51,40.72,40.36,40.51,2729200,0.0,0
2019-07-23,40.74,40.76,40.23,40.57,4628900,0.0,0
2019-07-24,40.42,40.98,40.29,40.9,3074700,0.0,0
2019-07-25,40.94,41.07,40.54,40.63,3160000,0.0,0
2019-07-26,40.6,40.87,40.44,40.7,2874600,0.0,0
2019-07-29,40.73,40.82,40.28,40.42,3405800,0.0,0
2019-07-30,40.25,40.79,40.14,40.77,3695000,0.0,0
2019-07-31,40.95,42.33,40.82,41.93,8660400,0.0,0
2019-08-01,41.66,42.32,41.09,41.5,6032700,0.0,0
2019-08-02,41.32,41.9,41.22,41.43,4375700,0.0,0
2019-08-05,40.92,41.41,40.5,40.9,5493700,0.0,0
2019-08-06,40.74,41.5,40.72,41.37,4536600,0.0,0
2019-08-07,40.96,41.47,40.62,41.38,4222300,0.0,0
2019-08-08,41.52,42.17,41.5,42.09,4707200,0.0,0
2019-08-09,41.97,42.17,41.49,41.8,2972400,0.0,0
2019-08-12,41.66,41.8,41.28,41.35,2157900,0.0,0
2019-08-13,41.26,42.37,41.25,42.35,4863800,0.0,0
2019-08-14,41.79,41.87,40.95,41.01,4527800,0.0,0
2019-08-15,41.15,41.25,40.78,41.04,5091400,0.0,0
2019-08-16,41.35,42.0,41.31,41.82,4848500,0.0,0
2019-08-19,42.25,42.53,42.1,42.13,4262400,0.0,0
2019-08-20,42.09,42.63,41.82,41.86,3793900,0.0,0
2019-08-21,42.26,42.63,42.16,42.38,4361900,0.0,0
2019-08-22,42.47,42.7,41.46,41.62,5080700,0.0,0
2019-08-23,41.42,41.86,40.54,40.79,6418400,0.0,0
2019-08-26,40.97,41.17,40.73,41.09,4297200,0.0,0
2019-08-27,41.41,41.7,41.23,41.49,5574000,0.0,0
2019-08-28,41.28,42.06,41.12,42.03,2928100,0.0,0
2019-08-29,42.46,42.64,41.84,42.11,5835700,0.0,0
2019-08-30,42.38,42.57,42.01,42.18,4049100,0.0,0
2019-09-03,41.91,41.91,41.34,41.5,3772600,0.0,0
2019-09-04,41.9,42.08,41.78,41.89,4946800,0.0,0
2019-09-05,42.25,42.78,42.19,42.33,4681100,0.0,0
2019-09-06,42.51,42.69,42.25,42.31,3731600,0.0,0
2019-09-09,42.41,42.41,41.79,42.37,4637000,0.0,0
2019-09-10,42.46,42.73,42.29,42.45,4191000,0.0,0
2019-09-11,42.56,43.59,42.5,43.59,5124100,0.0,0
2019-09-12,43.79,43.97,43.45,43.77,3703500,0.0,0
2019-09-13,44.04,44.16,43.56,43.77,3659800,0.26,0
2019-09-16,43.58,43.71,43.3,43.44,3173300,0.0,0
2019-09-17,43.36,43.79,43.24,43.59,3989600,0.0,0
2019-09-18,43.63,43.89,43.41,43.84,4360800,0.0,0
2019-09-19,43.86,44.22,43.58,43.76,3204400,0.0,0
2019-09-20,44.04,44.3,43.53,43.64,9911500,0.0,0
2019-09-23,43.45,44.21,43.33,43.97,3276100,0.0,0
2019-09-24,44.08,44.37,43.15,43.19,5410700,0.0,0
2019-09-25,43.17,43.5,43.0,43.43,3710500,0.0,0
2019-09-26,43.53,43.62,43.17,43.32,4234900,0.0,0
2019-09-27,43.48,43.48,43.01,43.4,3566900,0.0,0
2019-09-30,43.74,43.93,43.55,43.62,3961600,0.0,0
2019-10-01,43.84,43.86,42.63,42.68,3846800,0.0,0
2019-10-02,42.4,42.42,41.38,41.6,5734000,0.0,0
2019-10-03,41.51,41.85,41.08,41.77,6224400,0.0,0
2019-10-04,41.98,42.32,41.74,42.18,4371800,0.0,0
2019-10-07,41.86,42.39,41.48,41.98,4597200,0.0,0
2019-10-08,41.58,41.77,41.03,41.05,4889700,0.0,0
2019-10-09,41.44,41.75,41.3,41.34,9277800,0.0,0
2019-10-10,41.36,42.13,41.36,41.53,5980000,0.0,0
2019-10-11,42.0,42.78,41.92,42.46,5266000,0.0,0
2019-10-14,42.35,42.43,41.95,41.98,2593800,0.0,0
