Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,143.26,144.81,141.93,144.68,197300,0.0,0
2019-02-06,144.3,144.75,143.45,143.8,152300,0.0,0
2019-02-07,143.14,144.83,142.64,143.79,201600,0.0,0
2019-02-08,142.72,144.03,141.9,143.27,187900,0.0,0
2019-02-11,143.75,145.64,143.75,145.14,206300,0.0,0
2019-02-12,150.04,171.98,150.04,164.86,1271000,0.0,0
2019-02-13,165.91,168.52,160.33,162.35,560000,0.0,0
2019-02-14,162.09,165.64,161.67,163.24,378700,0.0,0
2019-02-15,163.72,165.65,163.16,163.68,394600,0.0,0
2019-02-19,162.73,164.88,162.48,163.58,369700,0.0,0
2019-02-20,163.58,164.18,162.43,163.01,378400,0.0,0
2019-02-21,162.82,164.39,162.14,164.01,293800,0.0,0
2019-02-22,164.49,166.39,163.53,165.89,247200,0.0,0
2019-02-25,166.4,166.7,163.92,164.32,297500,0.0,0
2019-02-26,165.0,165.12,163.15,163.94,235200,0.0,0
2019-02-27,163.05,164.6,162.07,162.52,368300,0.0,0
2019-02-28,162.19,164.61,161.78,163.84,385200,0.0,0
2019-03-01,165.11,166.51,161.12,162.96,425000,0.0,0
2019-03-04,163.59,164.73,161.98,164.17,343000,0.0,0
2019-03-05,163.84,165.89,162.36,163.76,246400,0.0,0
2019-03-06,163.88,163.88,158.22,158.79,512200,0.0,0
2019-03-07,159.2,160.01,157.27,157.83,515000,0.0,0
2019-03-08,157.32,159.98,155.84,159.53,217800,0.0,0
2019-03-11,160.26,162.18,159.59,160.61,184500,0.0,0
2019-03-12,160.86,161.67,158.0,160.43,261200,0.0,0
2019-03-13,161.19,161.63,160.17,160.39,237100,0.0,0
2019-03-14,160.92,162.19,159.89,160.48,330200,0.0,0
2019-03-15,160.95,162.98,160.31,160.85,348300,0.0,0
2019-03-18,161.57,163.25,160.78,161.76,301100,0.0,0
2019-03-19,162.47,162.96,158.63,159.25,355600,0.0,0
2019-03-20,158.3,159.4,150.11,152.38,464500,0.0,0
2019-03-21,152.25,153.06,151.27,153.04,400500,0.0,0
2019-03-22,152.22,152.67,146.59,147.05,452100,0.0,0
2019-03-25,146.7,149.43,146.15,147.9,289100,0.0,0
2019-03-26,149.63,151.27,147.97,150.31,238500,0.0,0
2019-03-27,150.41,152.22,149.46,150.76,413000,0.0,0
2019-03-28,151.02,153.01,150.24,152.9,323800,0.0,0
2019-03-29,154.08,155.07,152.83,152.98,388400,0.0,0
2019-04-01,154.49,155.72,153.11,154.35,466800,0.0,0
2019-04-02,153.95,153.95,151.83,152.76,350900,0.0,0
2019-04-03,154.14,155.27,153.24,154.3,287400,0.0,0
2019-04-04,154.41,155.53,153.58,153.99,163200,0.0,0
2019-04-05,154.31,155.48,153.45,154.75,185700,0.0,0
2019-04-08,154.03,154.1,152.2,153.56,330100,0.0,0
2019-04-09,152.87,152.87,150.91,151.22,121700,0.0,0
2019-04-10,151.38,153.25,151.38,153.25,180700,0.0,0
2019-04-11,153.46,155.23,153.01,153.65,287700,0.0,0
2019-04-12,154.65,154.79,153.02,154.68,194500,0.0,0
2019-04-15,155.19,155.43,151.91,153.66,182300,0.0,0
2019-04-16,154.24,154.55,150.69,150.89,148300,0.0,0
2019-04-17,153.72,153.72,151.16,151.3,286200,0.0,0
2019-04-18,152.12,155.15,151.49,155.09,304200,0.0,0
2019-04-22,154.01,155.26,153.14,154.78,336900,0.0,0
2019-04-23,154.72,156.22,153.83,154.75,278800,0.0,0
2019-04-24,154.42,156.42,153.83,154.85,253400,0.0,0
2019-04-25,154.41,155.29,151.94,152.54,260000,0.0,0
2019-04-26,152.81,154.44,152.29,153.92,148600,0.0,0
2019-04-29,153.8,155.17,153.15,153.23,151400,0.0,0
2019-04-30,153.01,153.9,151.81,153.37,292400,0.0,0
2019-05-01,153.84,154.29,151.33,151.69,235700,0.0,0
2019-05-02,152.0,153.49,149.31,150.6,268200,0.0,0
2019-05-03,151.6,151.67,150.1,151.34,198300,0.0,0
2019-05-06,148.84,150.28,147.08,149.71,306800,0.0,0
2019-05-07,148.88,148.88,140.55,141.93,483100,0.0,0
2019-05-08,142.14,142.2,138.02,139.48,550900,0.0,0
2019-05-09,137.94,137.94,134.56,135.35,457000,0.0,0
2019-05-10,137.43,138.15,133.79,136.86,600800,0.0,0
2019-05-13,133.15,137.11,132.09,136.71,745900,0.0,0
2019-05-14,137.46,137.83,134.2,134.8,568900,0.0,0
2019-05-15,134.09,136.17,132.86,135.08,344200,0.0,0
2019-05-16,135.15,136.34,135.15,135.41,237700,0.43,0
2019-05-17,134.2,134.82,132.18,132.78,362700,0.0,0
2019-05-20,131.75,132.79,130.1,130.63,288100,0.0,0
2019-05-21,131.22,132.07,130.27,131.65,345600,0.0,0
2019-05-22,131.11,131.51,128.52,129.66,275000,0.0,0
2019-05-23,128.08,129.43,127.49,129.03,481200,0.0,0
2019-05-24,129.73,132.61,129.73,132.13,404700,0.0,0
2019-05-28,132.77,134.82,130.38,131.2,680300,0.0,0
2019-05-29,130.61,131.32,128.97,129.09,347500,0.0,0
2019-05-30,128.92,129.52,126.15,126.43,226300,0.0,0
2019-05-31,125.2,125.49,123.44,123.88,261300,0.0,0
2019-06-03,124.07,128.02,124.07,126.53,541300,0.0,0
2019-06-04,127.35,128.96,125.48,127.39,464700,0.0,0
2019-06-05,128.49,128.49,125.32,127.79,244900,0.0,0
2019-06-06,127.75,129.18,126.73,128.91,186200,0.0,0
2019-06-07,129.54,131.74,129.1,131.15,387700,0.0,0
2019-06-10,131.99,133.04,131.35,132.9,171100,0.0,0
2019-06-11,133.93,134.91,131.27,132.82,255800,0.0,0
2019-06-12,132.86,133.18,130.15,131.79,296900,0.0,0
2019-06-13,132.12,134.04,131.39,133.74,220700,0.0,0
2019-06-14,133.25,133.79,132.52,132.52,208300,0.0,0
2019-06-17,133.0,134.34,131.95,133.02,309400,0.0,0
2019-06-18,134.07,137.01,133.59,136.78,421800,0.0,0
2019-06-19,136.69,139.16,135.42,138.59,386100,0.0,0
2019-06-20,140.16,141.01,138.96,140.04,474900,0.0,0
2019-06-21,139.29,141.35,138.72,138.91,635900,0.0,0
2019-06-24,139.43,139.43,135.94,136.82,569700,0.0,0
2019-06-25,137.26,137.68,135.55,135.66,430200,0.0,0
2019-06-26,136.05,136.65,133.46,135.01,347500,0.135,0
2019-06-27,135.58,138.77,135.58,137.74,404200,0.0,0
2019-06-28,138.0,141.39,138.0,140.18,525300,0.0,0
2019-07-01,141.97,143.69,139.25,140.62,2391000,0.0,0
2019-07-02,140.42,141.14,136.14,137.07,721400,0.0,0
2019-07-03,138.17,139.75,137.43,139.53,584200,0.0,0
2019-07-05,138.74,140.19,137.91,139.09,563600,0.0,0
2019-07-08,138.49,139.07,136.82,138.0,445700,0.0,0
2019-07-09,136.97,137.58,136.5,136.77,411000,0.0,0
2019-07-10,137.44,138.16,134.96,136.62,495000,0.0,0
2019-07-11,137.53,139.16,136.74,139.05,252400,0.0,0
2019-07-12,139.18,141.08,137.92,138.09,356200,0.0,0
2019-07-15,138.5,139.06,136.8,138.94,289200,0.0,0
2019-07-16,139.27,140.51,138.93,139.72,314700,0.0,0
2019-07-17,140.47,140.62,138.48,138.91,251300,0.0,0
2019-07-18,139.09,140.23,138.01,139.68,203900,0.0,0
2019-07-19,140.26,141.49,140.13,140.2,214000,0.0,0
2019-07-22,140.63,141.09,139.14,139.51,316500,0.0,0
2019-07-23,140.79,143.04,140.53,142.45,361500,0.0,0
2019-07-24,142.35,143.45,140.92,143.14,316900,0.0,0
2019-07-25,143.26,143.4,141.72,143.32,376600,0.0,0
2019-07-26,143.48,144.79,143.36,143.81,324300,0.0,0
2019-07-29,143.46,145.22,141.08,142.28,444200,0.0,0
2019-07-30,145.12,147.63,142.44,143.91,614000,0.0,0
2019-07-31,143.98,146.25,143.24,145.16,613100,0.0,0
